index	V7-arm-healthy-BA7	V10-arm-healthy-BC3	V7-arm-healthy-BB3	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V11-arm-healthy-BF3	V9-arm-healthy-BG3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V11-arm-healthy-BH1	V9-arm-healthy-BG5	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V7-arm-healthy-BB4	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V8-arm-healthy-BE5	V7-arm-healthy-BA6	V8-arm-healthy-BD6	V7-arm-healthy-BA8	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V7-arm-healthy-BB8	V8-arm-healthy-BE8	V7-arm-psoriasis-BB10	V8-arm-psoriasis-BE10	V7-arm-psoriasis-BA10	V8-arm-psoriasis-BE9	V9-arm-healthy-BG8	V10-arm-healthy-BC6	V10-back-healthy-BC9	V8-arm-healthy-BD7	V9-arm-psoriasis-BG10	V8-arm-healthy-BE6	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V8-arm-psoriasis-BD10	V12-leg-healthy-BH8	V9-arm-healthy-BG7	V10-arm-healthy-BC4	V7-arm-psoriasis-BA9	V11-arm-psoriasis-BF11	V10-arm-healthy-BC5	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V8-arm-psoriasis-BD9	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V11-arm-healthy-BF8	V9-arm-psoriasis-BG11	V11-arm-psoriasis-BF9	V10-back-psoriasis-BD12	V11-arm-psoriasis-BF10	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V12-leg-healthy-BH10	V10-back-healthy-BC12	V11-arm-healthy-BF7	V12-leg-psoriasis-BA11	V11-arm-healthy-BF12	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	V7-arm-healthy-BB12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	30037.601351351354	998.6756756756757	30713.695945945947	218.73648648648648	141.40540540540542	92.7972972972973	458.46283783783787	2488.9560810810813	3165.050675675676	1440.5675675675675	32655.81081081081	23292.121621621623	38900.84797297297	218.73648648648648	398.80743243243245	447.4155405405406	289.4391891891892	9558.121621621622	110.47297297297298	386.6554054054054	329.2094594594595	16102.540540540542	458.46283783783787	26368.79391891892	100.5304054054054	109.36824324324324	186.69932432432432	534.6891891891892	665.0472972972973	1100.3108108108108	95.00675675675676	402.1216216216216	5910.304054054054	422.0067567567568	4707.253378378378	114.8918918918919	9794.533783783783	281.7060810810811	463.9864864864865	1738.8445945945946	525.8513513513514	813.0810810810812	163.5	828.5472972972973	413.1689189189189	1045.0743243243244	155.7668918918919	206.58445945945945	69.59797297297297	504.8614864864865	1342.2466216216217	7283.483108108108	79.54054054054055	955.5912162162163	155.7668918918919	108.26351351351352	82.85472972972973	123.72972972972973	148.03378378378378	214.31756756756758	467.3006756756757	1604.0675675675677	169.02364864864865	120.41554054054055	289.4391891891892	139.19594594594594	182.28040540540542	1335.6182432432433	91.69256756756756	156.8716216216216	487.18581081081084	806.4527027027027	5.523648648648649	57.44594594594595	24.304054054054056	6.628378378378379	75.12162162162163	9.942567567567568	4.418918918918919	4226.715327169275	4740.134152334152	4271.989864864865	78.9268018018018	650.1948198198199	268.5874155405406	2196.6077702702705	4885.0872466216215	650.1948198198199	3381.6895740677387	1192.3046683046684	458.46283783783787	467.3006756756757	422.0067567567568	69.59797297297297	487.18581081081084	175.65202702702703	410.4070945945946	216.52702702702703	487.18581081081084	398.80743243243245	172.8902027027027	240922.77364864867	260707.37837837834	260591.38175675675	710.3412162162163	5851.753378378379	6446.097972972973	65898.23310810812	195403.48986486485	5851.753378378379	267153.47635135136	26230.702702702707
992.745__8.38_527	37219.509244992296	269.15523882896764	25147.468798151	56.11363636363636	233.9653312788906	97.961093990755	330.9753466872111	3186.113251155624	3486.6540832049304	1760.4464560862866	40087.011171032354	27279.786979969183	49921.163713405236	92.25462249614792	639.1248073959938	307.19838212634824	619.152157164869	12902.332049306626	160.73228043143297	202.5797380585516	633.4183359013867	20719.246918335903	260.595531587057	32147.40716486903	226.35670261941448	153.12365177195684	121.73805855161787	448.9090909090909	736.1348228043144	1175.53312788906	355.70338983050846	998.6325115562404	6469.236517719569	356.654468412943	4966.5323574730355	414.67026194144836	12449.618644067796	272.00847457627117	428.9364406779661	1660.5832049306625	418.47457627118644	1529.3343605546995	60.869029275808934	333.8285824345146	246.3293528505393	1345.7761941448382	191.16679506933744	252.9869029275809	126.49345146379045	459.37095531587056	1653.925654853621	8509.300077041602	110.3251155624037	1298.2222650231124	119.83590138674884	58.9668721109399	168.3409090909091	241.5739599383667	138.85747303543914	153.12365177195684	346.1926040061633	1022.4094761171032	295.78543913713406	137.90639445300462	575.4025423728814	142.6617873651772	221.6013097072419	1234.5	189.2646379044684	62.771186440677965	540.2126348228043	624.8586286594762	19.972650231124806	11.412942989214175	3.8043143297380584	2.8532357473035437	63.72226502311248	4.755392912172573	8.559707241910631	4926.587057010785	5553.3997198487195	5014.974999368509	64.03929121725733	603.4065228556752	270.14594568567026	2200.1934899845915	6012.100597072419	603.4065228556752	3948.3605985839954	1413.8647744782184	428.9364406779661	418.47457627118644	414.67026194144836	62.771186440677965	418.47457627118644	185.46032357473035	421.80335130970724	256.791217257319	418.47457627118644	333.8285824345146	231.58763482280432	280815.46224961476	305436.9845916796	305913.4749614791	576.3536209553159	5430.658705701077	6483.502696456086	66005.80469953774	240484.02388289676	5430.658705701077	311920.4872881356	31105.025038520802
989.614__8.21_4778	38225.92857142857	782.1428571428572	9224.07142857143	328.5	284.17857142857144	401.5	252.89285714285717	4645.928571428572	2528.9285714285716	3801.214285714286	127838.64285714287	59641.0	143906.4642857143	226.82142857142858	370.2142857142857	258.1071428571429	172.07142857142858	34195.28571428572	208.57142857142858	469.28571428571433	662.2142857142858	51157.357142857145	438.0	102551.96428571429	161.64285714285714	148.60714285714286	260.7142857142857	2505.464285714286	677.8571428571429	161.64285714285714	205.96428571428572	323.2857142857143	10066.178571428572	195.5357142857143	5402.0	427.5714285714286	28383.964285714286	560.5357142857143	182.5	187.71428571428572	229.42857142857144	208.57142857142858	148.60714285714286	247.67857142857144	127.75	138.17857142857144	59.964285714285715	443.2142857142857	135.57142857142858	190.32142857142858	258.1071428571429	18492.464285714286	190.32142857142858	161.64285714285714	135.57142857142858	349.3571428571429	132.96428571428572	383.25	177.2857142857143	146.0	255.5	286.7857142857143	219.0	143.39285714285714	299.8214285714286	70.39285714285715	122.53571428571429	391.0714285714286	281.5714285714286	276.3571428571429	153.82142857142858	237.25	132.96428571428572	59.964285714285715	26.071428571428573	41.714285714285715	99.07142857142858	31.28571428571429	28.67857142857143	10484.053258145364	11815.287012987017	10737.75292740047	118.48015873015873	207.41269841269843	337.29910714285717	2622.0904761904762	14435.163392857143	207.41269841269843	8328.303345388791	2742.9512987012986	247.67857142857144	281.5714285714286	299.8214285714286	132.96428571428572	229.42857142857144	213.78571428571428	316.76785714285717	228.125	229.42857142857144	255.5	271.14285714285717	597591.0357142858	649840.7857142859	655002.9285714286	1066.3214285714287	1866.714285714286	8095.1785714285725	78662.71428571429	577406.5357142857	1866.714285714286	657935.9642857144	60344.928571428565
973.655__5.42_3754	25492.923076923078	123.48717948717949	328.8205128205128	348.92307692307696	63.17948717948718	192.4102564102564	67.48717948717949	2471.1794871794873	2814.3589743589746	1145.8461538461538	13635.282051282053	3769.2307692307695	8993.02564102564	64.61538461538461	425.02564102564105	175.17948717948718	249.84615384615387	6686.974358974359	166.56410256410257	205.33333333333334	284.3076923076923	11890.666666666668	1005.1282051282052	14641.846153846154	97.64102564102565	160.82051282051282	66.05128205128206	433.64102564102564	99.07692307692308	660.5128205128206	182.35897435897436	445.12820512820514	4477.128205128205	267.0769230769231	2775.5897435897436	87.58974358974359	9153.846153846154	51.69230769230769	89.02564102564104	2429.5384615384614	618.8717948717949	561.4358974358975	66.05128205128206	445.12820512820514	631.7948717948718	518.3589743589744	389.12820512820514	78.97435897435898	5233.846153846154	284.3076923076923	2801.4358974358975	7221.128205128205	47.38461538461539	1628.3076923076924	84.71794871794872	76.1025641025641	232.6153846153846	117.74358974358975	6190.153846153847	3556.7179487179487	603.0769230769231	702.1538461538462	501.12820512820514	21.53846153846154	89.02564102564104	460.92307692307696	112.0	611.6923076923077	203.8974358974359	4210.051282051282	900.3076923076924	585.8461538461539	437.94871794871796	327.3846153846154	521.2307692307693	732.3076923076924	4828.923076923077	857.2307692307693	5.743589743589744	2447.6005398110665	2903.985081585082	2174.395964691047	2952.0455840455843	556.4900284900285	187.3247863247863	836.8888888888888	3352.497435897436	556.4900284900285	2078.670561506005	1122.806526806527	501.12820512820514	660.5128205128206	284.3076923076923	3556.7179487179487	603.0769230769231	105.53846153846155	241.23076923076923	608.8205128205129	603.0769230769231	445.12820512820514	160.82051282051282	139513.23076923078	159719.1794871795	132638.15384615387	26568.410256410258	5008.410256410257	4495.794871794871	25106.666666666664	134099.89743589744	5008.410256410257	164214.9743589744	24701.743589743593
968.569__6.23_4939	56690.56140350878	1102.3508771929826	3687.921052631579	235.33333333333334	467.5701754385965	151.7280701754386	272.49122807017545	653.359649122807	2325.464912280702	925.8508771929825	9834.456140350878	6434.508771929825	6019.578947368422	235.33333333333334	278.6842105263158	210.56140350877195	396.35087719298247	1891.9561403508774	179.5964912280702	216.7543859649123	201.27192982456143	14949.859649122807	337.51754385964915	13866.087719298246	188.8859649122807	371.5789473684211	278.6842105263158	495.4385964912281	173.40350877192984	309.64912280701753	281.780701754386	467.5701754385965	1077.578947368421	467.5701754385965	2461.7105263157896	195.07894736842107	11048.280701754387	297.2631578947369	185.78947368421055	247.71929824561406	436.60526315789474	198.17543859649123	504.72807017543863	312.7456140350877	291.0701754385965	229.140350877193	736.9649122807018	170.30701754385967	489.2456140350877	312.7456140350877	1644.2368421052633	3929.447368421053	164.11403508771932	204.3684210526316	148.63157894736844	201.27192982456143	191.98245614035088	176.5	272.49122807017545	219.85087719298247	263.20175438596493	322.03508771929825	164.11403508771932	322.03508771929825	284.87719298245617	210.56140350877195	272.49122807017545	328.22807017543863	111.47368421052632	139.3421052631579	210.56140350877195	191.98245614035088	99.08771929824562	154.82456140350877	92.89473684210527	185.78947368421055	198.17543859649123	68.12280701754386	6.192982456140351	2317.316251154202	2702.392344497609	2458.36022433132	196.11111111111114	316.5302144249513	247.59027777777783	657.2818713450292	3300.1629385964916	316.5302144249513	1956.6296913169006	1022.1236044657097	281.780701754386	312.7456140350877	291.0701754385965	185.78947368421055	263.20175438596493	209.01315789473688	312.7456140350877	227.59210526315792	263.20175438596493	278.6842105263158	267.8464912280702	132087.0263157895	148631.57894736849	149959.9736842105	1765.0000000000002	2848.7719298245615	5942.166666666668	19718.456140350878	132006.51754385966	2848.7719298245615	154573.74561403514	22486.719298245614
967.688__8.07_678	198.01950867052025	2176.4306358381505	1416.46387283237	4329.669797687861	5072.688945086706	102.57767341040463	1277.3150289017342	322.0046965317919	513.7803468208093	826.86524566474	89.19797687861272	282.75758670520236	63.330563583815035	455.801661849711	3523.320086705203	4638.294797687861	4493.794075144509	5346.526734104047	157.88041907514452	578.8948699421966	4686.461705202312	52.62680635838151	25509.729407514453	49.058887283237	63.330563583815035	240.83453757225436	613.6820809248555	1594.8598265895955	2829.3598265895957	19883.121026011562	5862.091040462428	6432.95809248555	125.76914739884394	3625.005780346821	155.20447976878614	4030.856575144509	33.00325144508671	1593.0758670520233	817.9454479768787	4335.913656069364	143.60874277456648	35552.52962427746	438.8540462427746	15857.61632947977	206.93930635838151	644.90137283237	1137.2742052023123	13913.992413294798	79.38619942196533	2494.867413294798	481.6690751445087	125.76914739884394	32.11127167630058	1194.3609104046243	41.92304913294798	48.16690751445087	121.30924855491331	5576.657514450868	52.62680635838151	127.5531069364162	248.8623554913295	624.385838150289	305.05708092485554	494.1567919075145	41.03106936416185	153.42052023121389	184.63981213872833	1234.5	50.84284682080925	179.28793352601159	658.2810693641619	642.2254335260117	28.543352601156073	63.330563583815035	21.407514450867055	14.271676300578036	137.3648843930636	33.00325144508671	8.919797687861273	3034.452578338911	3356.9577509196006	3216.8299891026245	74.82719171483623	544.0085500963391	715.1447796242777	2782.917413294798	2835.313791546243	544.0085500963391	2554.3816583741855	1310.5615475564898	624.385838150289	513.7803468208093	578.8948699421966	52.62680635838151	624.385838150289	371.9555635838151	1052.090137283237	147.62265173410407	624.385838150289	455.801661849711	169.92214595375725	172963.79696531792	184632.67630057802	196226.6293352601	673.4447254335261	4896.076950867053	17163.474710982664	83487.52239884394	113412.55166184972	4896.076950867053	201796.15101156067	28832.354046242774
964.712__7.85_1165	29758.884223918576	1527.6806615776081	40881.94910941476	2011.4287531806617	343.44020356234097	879.5419847328244	1105.7099236641222	2267.961832061069	4142.223918575064	2866.8880407124684	43660.88295165395	27197.7417302799	45858.69083969466	221.97964376590332	344.4872773536896	212.5559796437659	325.6399491094148	15468.421119592875	126.69592875318067	386.3702290076336	236.63867684478373	19695.458015267177	383.2290076335878	36428.74427480916	152.87277353689566	237.68575063613233	236.63867684478373	957.0254452926209	1236.5941475826971	318.3104325699746	212.5559796437659	263.8625954198473	8826.832061068702	153.9198473282443	9572.348600508905	272.2391857506361	19081.872773536896	83.76590330788804	930.8486005089059	2282.6208651399493	561.2315521628499	377.9936386768448	171.72010178117048	438.72391857506364	299.46310432569976	1061.7328244274809	376.9465648854962	211.5089058524173	74.34223918575064	913.0483460559797	2166.3956743002545	16944.795165394404	58.63613231552163	1342.348600508906	96.33078880407125	86.90712468193384	175.9083969465649	79.57760814249365	74.34223918575064	310.98091603053433	283.75699745547075	1159.1106870229007	301.55725190839695	73.29516539440203	65.96564885496183	105.75445292620866	150.77862595419847	1234.5	135.07251908396947	80.62468193384224	575.8905852417303	147.63740458015266	23.03562340966921	112.03689567430025	12.564885496183207	21.98854961832061	48.16539440203562	18.84732824427481	33.50636132315522	5275.819070577207	6225.27251908397	5662.317586451425	73.87687305626235	610.444020356234	382.09467769296015	3110.3675996607294	6318.8809160305345	610.444020356234	4450.129883724677	2310.8442632431183	386.3702290076336	377.9936386768448	344.4872773536896	48.16539440203562	561.2315521628499	198.9440203562341	343.9637404580153	238.2092875318066	561.2315521628499	318.3104325699746	142.92557251908397	300721.6870229008	342389.98854961834	345401.37277353695	664.8918575063612	5493.996183206106	9170.272264631043	93311.02798982189	252755.2366412214	5493.996183206106	351560.26081424946	50838.5737913486
962.733__8.07_615	139.04972375690608	1379.4364640883978	1589.5911602209944	4002.419889502762	4530.966850828729	84.53591160220994	883.281767955801	386.3370165745856	465.34254143646405	495.36464088397787	43.453038674033145	277.30939226519337	50.56353591160221	139.04972375690608	3153.110497237569	4496.994475138121	4695.298342541436	6291.999999999999	75.8453038674033	312.8618784530386	5175.651933701657	83.74585635359115	28128.337016574584	55.30386740331491	84.53591160220994	158.80110497237567	405.29834254143645	2122.878453038674	3108.867403314917	21558.237569060773	6359.944751381215	7044.922651933701	63.994475138121544	4026.1215469613257	106.6574585635359	4279.729281767955	148.53038674033147	1965.6574585635358	865.9005524861877	4908.613259668507	227.53591160220992	40633.331491712706	666.8066298342541	18341.13259668508	132.7292817679558	847.7292817679557	1072.1049723756905	15357.883977900552	270.1988950276243	2759.662983425414	939.3756906077348	38.712707182320436	29.232044198895025	1337.563535911602	67.94475138121547	107.44751381215468	96.38674033149171	6470.552486187845	143.0	203.8342541436464	256.76795580110496	657.3259668508286	484.3038674033149	284.41988950276243	66.3646408839779	91.646408839779	36.34254143646409	1061.0441988950276	78.21546961325966	142.20994475138122	662.8563535911602	382.3867403314917	16.591160220994475	104.28729281767954	30.812154696132595	26.86187845303867	139.04972375690608	113.76795580110496	3.9502762430939224	3288.3208296985554	3673.570165745856	3483.366542885607	120.70288520564765	550.5807243707795	686.6896869244935	2968.026887661142	3113.2719613259665	550.5807243707795	2766.1634380026567	1413.3011049723757	657.3259668508286	495.36464088397787	484.3038674033149	139.04972375690608	657.3259668508286	221.61049723756906	874.5911602209944	140.62983425414365	657.3259668508286	382.3867403314917	120.08839779005524	187434.28729281767	202046.35911602207	212485.35911602204	1086.3259668508288	4955.226519337016	16480.552486187844	89040.80662983426	124530.87845303866	4955.226519337016	218526.91160220988	31092.624309392268
961.584__7.56_4092	18370.0	1536.3999999999999	7275.633333333333	298.7444444444444	246.78888888888886	352.55555555555554	185.55555555555554	3078.3666666666663	4238.0888888888885	1822.1555555555556	58503.81111111111	40111.544444444444	62591.6	202.25555555555553	391.5222222222222	146.58888888888887	334.0	24222.42222222222	270.9111111111111	796.0333333333333	465.7444444444444	31301.366666666665	391.5222222222222	51870.2	228.23333333333332	115.04444444444444	326.5777777777778	1130.0333333333333	849.8444444444444	154.0111111111111	154.0111111111111	256.06666666666666	10372.555555555555	183.7	5455.333333333333	437.9111111111111	15629.344444444443	167.0	139.16666666666666	337.7111111111111	131.74444444444444	129.88888888888889	215.24444444444444	269.05555555555554	131.74444444444444	139.16666666666666	152.15555555555554	148.44444444444443	146.58888888888887	133.6	128.03333333333333	16078.388888888889	102.05555555555554	300.59999999999997	562.2333333333333	280.18888888888887	103.91111111111111	300.59999999999997	204.1111111111111	124.32222222222221	174.42222222222222	100.19999999999999	85.35555555555555	94.63333333333333	135.45555555555555	222.66666666666666	224.5222222222222	96.48888888888888	426.77777777777777	92.77777777777777	103.91111111111111	100.19999999999999	74.22222222222221	48.24444444444444	27.833333333333332	38.96666666666666	170.7111111111111	27.833333333333332	5.566666666666666	5692.258479532163	6543.633535353536	5975.710200364297	100.81851851851852	171.94814814814814	294.72407407407405	2123.0648148148143	7543.3436111111105	171.94814814814814	4645.230661040787	1932.4767676767676	228.23333333333332	246.78888888888886	298.7444444444444	92.77777777777777	139.16666666666666	208.75	303.3833333333333	214.31666666666666	139.16666666666666	222.66666666666666	218.95555555555555	324458.7333333333	359899.84444444446	364518.3222222221	907.3666666666667	1547.5333333333333	7073.377777777778	63691.94444444443	301733.7444444444	1547.5333333333333	366973.2222222222	42514.48888888889
957.631__7.62_4085	13882.166666666668	281.86111111111114	2924.0555555555557	577.9166666666667	285.9166666666667	182.5	387.3055555555556	1504.611111111111	1790.5277777777778	1267.361111111111	34421.52777777778	21127.416666666668	33350.86111111111	131.80555555555557	369.0555555555556	277.80555555555554	320.3888888888889	12564.111111111111	186.55555555555557	630.6388888888889	352.83333333333337	16721.055555555555	154.11111111111111	30479.52777777778	115.58333333333334	146.0	135.86111111111111	855.7222222222223	405.5555555555556	137.88888888888889	508.97222222222223	249.41666666666669	5625.055555555556	298.08333333333337	2283.277777777778	665.1111111111112	8768.111111111111	194.66666666666669	196.69444444444446	259.55555555555554	131.80555555555557	316.33333333333337	166.2777777777778	387.3055555555556	237.25	192.63888888888889	105.44444444444446	342.69444444444446	146.0	279.83333333333337	180.47222222222223	8818.805555555557	273.75	125.72222222222223	178.44444444444446	239.2777777777778	170.33333333333334	180.47222222222223	119.6388888888889	119.6388888888889	170.33333333333334	152.08333333333334	285.9166666666667	119.6388888888889	129.77777777777777	296.0555555555556	194.66666666666669	111.52777777777779	269.69444444444446	105.44444444444446	176.41666666666669	93.27777777777779	58.80555555555556	160.19444444444446	46.63888888888889	34.47222222222222	87.19444444444444	14.194444444444445	14.194444444444445	3251.8796296296296	3713.008585858586	3408.3952641165756	81.33641975308643	178.44444444444446	251.44444444444446	1161.6462962962967	4344.86875	178.44444444444446	2661.394163150492	1131.5000000000002	259.55555555555554	277.80555555555554	285.9166666666667	87.19444444444444	170.33333333333334	184.52777777777777	336.61111111111114	190.61111111111114	170.33333333333334	239.2777777777778	215.95833333333334	185357.13888888888	204215.47222222222	207912.11111111112	732.0277777777778	1606.0000000000002	6034.666666666667	34849.3888888889	173794.75	1606.0000000000002	210250.13888888888	24893.000000000007
