index	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	1008.6025167646978	1756.1287183491531	531.0783163495532	417.2758199889347	1055.4623682073054	157.31521555732564	1355.5885595897212	965.0897975679907	471.945646671977	1620.0120070158641	140.57955432782293	1348.89429509792	92.60399213658177	492.02844014738025	1029.0200234646911	815.1860891265877	1100.5370824520996	656.6577595013034	1100.5370824520996	656.6577595013034	815.1860891265877	280.6012532813291	1032.0324424860016	748.084056958772	1008.6025167646978	492.02844014738025	1008.6025167646978	492.02844014738025	748.084056958772	278.92768715837883	10290.20023464691	11412.605247772228	5502.685412260498	5909.9198355117305	5502.685412260498	5909.9198355117305	11412.605247772228	1122.4050131253164
992.745__8.38_527	335.30858439996854	2068.7236337892055	521.327834402778	306.8725207052716	1676.5429219998427	238.15203344308722	2060.429781878252	1617.3011226358908	431.28029936957086	1273.6986863249688	177.72539809185614	1537.917111488195	235.78236146852913	672.9868407744951	1200.2388551136683	939.5749379122793	1277.7271286817177	751.7126097070359	1277.7271286817177	751.7126097070359	939.5749379122793	287.91514490880695	1405.8078989065818	597.1573375886366	1617.3011226358908	521.327834402778	1617.3011226358908	521.327834402778	597.1573375886366	271.32744108690036	12002.388551136683	13154.049130771911	6388.635643408588	6765.413487363323	6388.635643408588	6765.413487363323	13154.049130771911	1151.6605796352278
99.531__4.16_1538	812.45220836722	472.38670747084285	254.71832265584666	2408.2459596552776	876.6279935558359	921.6172037911542	1362.2468216841253	576.2588546317985	709.903273272009	694.0247284830731	598.7534597494578	952.7126873361537	640.4346398204144	879.9360237201976	780.2981551696248	868.5942060138149	1126.3181103618529	725.4142591537935	1126.3181103618529	725.4142591537935	868.5942060138149	1089.3343331242897	844.540100961528	761.1777408196144	812.45220836722	709.903273272009	812.45220836722	709.903273272009	761.1777408196144	675.1689565462117	7802.981551696248	12160.318884193408	5631.590551809264	6528.728332384142	5631.590551809264	6528.728332384142	12160.318884193408	4357.337332497159
99.512__8.76_83	1907.6687226780045	853.4307443559494	514.568537038146	903.6325528474758	740.476675250015	765.5775794957782	966.3848134618839	627.5226061440804	451.8162764237379	1029.137074076292	589.8712497754357	1041.6875261991736	577.320797652554	665.1739625127253	911.162824121205	831.0192227079464	1051.727887897479	708.4032976026509	1051.727887897479	708.4032976026509	831.0192227079464	630.6602191748009	809.5041619258639	753.0271273728965	903.6325528474758	665.1739625127253	903.6325528474758	665.1739625127253	753.0271273728965	583.5960237139948	9111.628241212049	11634.26911791125	5258.639439487395	6375.629678423858	5258.639439487395	6375.629678423858	11634.26911791125	2522.6408766992035
99.512__8.19_655	1066.4105200891843	919.9255585384722	339.8451107976521	1312.5052554943807	732.4248077535606	3398.451107976521	451.17368157619336	691.4090185193612	673.8308231332758	410.15789234199394	298.8293215634527	796.878190835874	1482.4278108932067	808.5969877599309	961.5272876188743	955.9190062337901	888.2848068435184	993.4935614506074	888.2848068435184	993.4935614506074	955.9190062337901	941.898302771079	764.6514992947173	764.6514992947173	919.9255585384722	732.4248077535606	919.9255585384722	732.4248077535606	764.6514992947173	993.1680393138282	9615.272876188743	13382.866087273062	4441.424034217592	8941.442053055467	4441.424034217592	8941.442053055467	13382.866087273062	3767.593211084316
99.013__10.0_32	104.11284513805522	624.6770708283314	937.015606242497	832.9027611044418	520.5642256902761	937.015606242497	1145.2412965186074	1041.1284513805522	937.015606242497	832.9027611044418	1457.5798319327732	937.015606242497	832.9027611044418	624.6770708283314	770.4350540216085	840.3393929000173	749.6124849939976	890.7432306255837	749.6124849939976	890.7432306255837	840.3393929000173	1015.1002400960384	884.9591836734694	884.9591836734694	832.9027611044418	937.015606242497	832.9027611044418	937.015606242497	884.9591836734694	884.9591836734694	7704.350540216085	11764.751500600241	3748.0624249699877	8016.689075630253	3748.0624249699877	8016.689075630253	11764.751500600241	4060.4009603841537
98.512__6.24_2325	835.6289821875283	445.90286024292476	739.0752132372886	1128.8013351818922	928.6717049941228	2355.9119623858464	458.1915217456825	372.17089122637816	886.5391512703819	200.12963018776938	430.1031525965219	598.6333674914856	1188.4891196238584	630.2327827842913	756.4548916483318	799.8915482254267	648.1391181168811	884.1984538412851	648.1391181168811	884.1984538412851	799.8915482254267	908.4831896681635	614.4330751378884	684.65399801079	458.1915217456825	739.0752132372886	458.1915217456825	739.0752132372886	684.65399801079	1007.670243226137	7564.548916483318	11198.481675155974	3240.6955905844056	7957.786084571566	3240.6955905844056	7957.786084571566	11198.481675155974	3633.932758672654
98.512__10.13_1904	839.4219928543074	1049.2774910678843	577.1026200873363	524.6387455339421	2072.323044859071	1757.5397975387061	1101.7413656212784	1836.2356093687974	786.9581183009132	891.8858674077015	498.406808257245	524.6387455339421	314.78324732036526	288.55131004366814	1093.8717844382693	933.1074831282256	1070.263040889242	856.909951038772	1070.263040889242	856.909951038772	933.1074831282256	531.1967298531165	970.581679237793	813.1900555776103	1049.2774910678843	577.1026200873363	1049.2774910678843	577.1026200873363	813.1900555776103	511.52277689559355	10938.717844382692	13063.504763795157	5351.3152044462095	7712.189559348948	5351.3152044462095	7712.189559348948	13063.504763795157	2124.786919412466
98.013__7.04_2832	3824.7476635514017	504.6542056074766	690.5794392523364	1009.3084112149533	956.1869158878504	929.626168224299	451.5327102803738	929.626168224299	1009.3084112149533	265.607476635514	1301.4766355140187	770.2616822429907	1328.03738317757	398.411214953271	972.123364485981	1026.3831775700933	1343.973831775701	849.9439252336448	1343.973831775701	849.9439252336448	1026.3831775700933	1162.032710280374	730.4205607476636	929.626168224299	929.626168224299	929.626168224299	929.626168224299	929.626168224299	929.626168224299	1155.392523364486	9721.23364485981	14369.364485981307	6719.869158878505	7649.4953271028035	6719.869158878505	7649.4953271028035	14369.364485981307	4648.130841121496
98.013__0.85_3287	1289.4982803379798	417.9753046612762	240.11347289052037	2561.210377498884	355.72366354151166	1520.7186616399624	711.4473270830233	969.3469831506193	1556.2910279941136	373.50984671858726	275.68583924467157	658.0887775517966	2134.34198124907	800.3782429684013	733.6800560543679	990.3092704664584	1189.8956545463566	879.4279459776261	1189.8956545463566	879.4279459776261	990.3092704664584	1631.882306496685	684.7680523174099	755.9127850257123	969.3469831506193	658.0887775517966	969.3469831506193	658.0887775517966	755.9127850257123	1845.3165046215918	7336.800560543679	13864.329786530418	5949.478272731782	7914.851513798635	5949.478272731782	7914.851513798635	13864.329786530418	6527.52922598674
