index	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	266.53846153846155	628.2692307692308	317.3076923076923	1110.576923076923	288.75	314.1346153846154	228.46153846153848	447.4038461538462	310.9615384615385	237.98076923076925	485.4807692307693	831.3461538461539	523.5576923076924	2316.346153846154	165.0	597.9807692307692	564.8076923076923	564.8076923076923	520.3846153846154	587.0192307692308	564.8076923076923	473.58173076923083	317.3076923076923	317.3076923076923	317.3076923076923	314.1346153846154	382.3557692307693	317.3076923076923	417.2596153846155	6577.788461538461	8472.115384615385	8472.115384615385	2601.9230769230767	5870.1923076923085	8472.115384615385	1894.3269230769233
992.745__8.38_527	256.6271186440678	241.67796610169492	421.06779661016947	530.6949152542372	592.9830508474577	401.135593220339	289.0169491525424	313.93220338983053	154.47457627118644	441.0	774.8644067796611	1507.3728813559321	580.5254237288135	1636.9322033898304	29.89830508474576	512.8012326656394	544.8135593220338	544.8135593220338	353.7966101694915	640.322033898305	544.8135593220338	632.8474576271186	421.06779661016947	421.06779661016947	421.06779661016947	401.135593220339	500.7966101694915	421.06779661016947	434.771186440678	5640.813559322034	8172.203389830508	8172.203389830508	1768.9830508474574	6403.22033898305	8172.203389830508	2531.3898305084745
99.512__4.27_3979	874.5	445.5	239.25	338.25	602.25	511.5	264.0	346.5	495.0	214.5	544.5	363.0	264.0	206.25	115.5	403.5	388.3	388.3	400.95	381.975	388.3	346.5	346.5	346.5	346.5	445.5	305.25	346.5	313.5	4438.5	5824.5	5824.5	2004.75	3819.75	5824.5	1386.0
99.013__6.55_2949	866.1052631578947	337.5263157894737	388.4736842105263	235.6315789473684	636.8421052631579	363.0	343.89473684210526	299.3157894736842	477.6315789473684	127.36842105263158	248.36842105263156	503.10526315789474	191.05263157894737	248.36842105263156	363.0	374.0	375.3122807017544	375.3122807017544	308.2315789473684	408.85263157894735	375.3122807017544	378.9210526315789	337.5263157894737	343.89473684210526	343.89473684210526	337.5263157894737	353.4473684210526	343.89473684210526	410.7631578947368	4114.0	5629.684210526316	5629.684210526316	1541.157894736842	4088.5263157894738	5629.684210526316	1515.6842105263156
99.013__0.88_2719	516.5	810.1960784313726	638.0294117647059	10.127450980392158	394.97058823529414	911.4705882352941	486.11764705882354	516.5	10.127450980392158	121.52941176470588	243.05882352941177	10.127450980392158	719.0490196078432	719.0490196078432	10.127450980392158	444.6871657754011	407.7986928104577	407.7986928104577	372.6901960784314	425.3529411764706	407.7986928104577	306.35539215686276	516.5	486.11764705882354	486.11764705882354	121.52941176470588	501.30882352941177	486.11764705882354	248.12254901960785	4891.558823529413	6116.9803921568655	6116.9803921568655	1863.4509803921571	4253.529411764706	6116.9803921568655	1225.421568627451
98.512__6.24_2325	243.44444444444443	257.4444444444444	558.4444444444445	324.3333333333333	249.66666666666666	516.4444444444445	185.88888888888889	383.4444444444444	297.88888888888886	440.99999999999994	147.0	99.55555555555554	689.1111111111111	516.4444444444445	145.44444444444443	343.91919191919186	337.037037037037	337.037037037037	367.4222222222222	321.8444444444444	337.037037037037	318.1111111111111	324.3333333333333	297.88888888888886	297.88888888888886	324.3333333333333	246.55555555555554	297.88888888888886	241.88888888888886	3783.1111111111104	5055.555555555555	5055.555555555555	1837.111111111111	3218.444444444444	5055.555555555555	1272.4444444444443
98.512__1.43_3070	1389.6086206896553	769.143103448276	841.7258620689655	339.5	207.21206896551726	326.6224137931035	482.3241379310345	1093.4241379310345	506.9086206896552	379.3034482758621	505.73793103448276	268.0879310344828	304.3793103448276	489.348275862069	143.9948275862069	589.601880877743	536.4880459770116	536.4880459770116	464.29551724137934	572.5843103448276	536.4880459770116	390.42500000000007	489.348275862069	482.3241379310345	482.3241379310345	379.3034482758621	485.83620689655174	482.3241379310345	393.35172413793106	6485.620689655173	8047.320689655174	8047.320689655174	2321.477586206897	5725.843103448276	8047.320689655174	1561.7000000000003
98.013__0.85_3287	879.5769230769231	125.65384615384615	684.1153846153846	321.1153846153846	390.9230769230769	958.6923076923076	1135.5384615384614	693.4230769230769	251.3076923076923	521.2307692307692	544.5	172.19230769230768	176.84615384615384	260.6153846153846	400.2307692307692	525.4615384615386	501.0641025641026	501.0641025641026	435.6	533.7961538461539	501.0641025641026	433.9711538461538	521.2307692307692	400.2307692307692	400.2307692307692	321.1153846153846	472.36538461538464	400.2307692307692	214.07692307692307	5780.076923076924	7515.961538461539	7515.961538461539	2178.0	5337.961538461539	7515.961538461539	1735.8846153846152
98.013_CH6O3P_4.59_3833	828.09375	680.625	328.96875	249.5625	521.8125	363.0	226.875	238.21875	192.84375	397.03125	204.1875	499.125	328.96875	691.96875	204.1875	427.96875	397.03125	397.03125	376.6125	407.240625	397.03125	311.953125	363.0	328.96875	328.96875	363.0	328.96875	328.96875	277.921875	4707.65625	5955.46875	5955.46875	1883.0625	4072.40625	5955.46875	1247.8125
975.718__8.45_3720	1056.4772727272727	258.25	328.6818181818182	178.42727272727274	2155.2136363636364	450.76363636363635	910.9181818181818	516.5	262.94545454545454	352.15909090909093	342.7681818181818	328.6818181818182	323.98636363636365	464.85	51.65	559.6128099173554	532.1515151515152	532.1515151515152	300.50909090909096	647.9727272727272	532.1515151515152	456.63295454545454	352.15909090909093	342.7681818181818	342.7681818181818	262.94545454545454	403.8090909090909	342.7681818181818	326.33409090909095	6155.74090909091	7982.272727272728	7982.272727272728	1502.5454545454547	6479.727272727272	7982.272727272728	1826.5318181818182
973.655__5.42_3754	434.30357142857144	145.84821428571428	375.9642857142857	463.4732142857143	220.39285714285714	363.0	106.95535714285714	191.22321428571428	171.77678571428572	525.0535714285714	1131.1339285714284	200.94642857142856	252.80357142857142	1322.357142857143	738.9642857142857	537.4285714285714	442.94642857142856	442.94642857142856	333.83035714285717	497.5044642857142	442.94642857142856	183.12053571428572	434.30357142857144	363.0	363.0	363.0	314.38392857142856	363.0	186.36160714285714	5911.714285714285	6644.196428571428	6644.196428571428	1669.1517857142858	4975.044642857142	6644.196428571428	732.4821428571429
97.514__5.71_3499	433.5	257.0755813953488	378.05232558139534	287.31976744186045	362.93023255813955	872.0406976744187	272.19767441860466	186.50581395348837	423.4186046511628	403.25581395348837	196.5872093023256	327.6453488372093	337.7267441860465	186.50581395348837	221.7906976744186	344.142177589852	343.10348837209307	343.10348837209307	448.62209302325584	290.3441860465116	343.10348837209307	340.24709302325584	287.31976744186045	327.6453488372093	327.6453488372093	403.25581395348837	299.92151162790697	327.6453488372093	332.6860465116279	3785.5639534883717	5146.552325581396	5146.552325581396	2243.110465116279	2903.441860465116	5146.552325581396	1360.9883720930234
97.514__3.89_4067	1019.5102040816325	653.3877551020407	552.0	366.1224489795918	495.67346938775506	416.81632653061223	484.4081632653061	276.0	349.2244897959184	202.77551020408163	276.0	202.77551020408163	304.1632653061224	484.4081632653061	163.34693877551018	446.0037105751391	416.4408163265306	416.4408163265306	397.66530612244895	425.8285714285715	416.4408163265306	335.1428571428571	416.81632653061223	366.1224489795918	366.1224489795918	366.1224489795918	394.2857142857142	366.1224489795918	326.69387755102036	4906.04081632653	6246.612244897959	6246.612244897959	1988.3265306122448	4258.285714285715	6246.612244897959	1340.5714285714284
