index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	136.0	289.26984126984127	418.7936507936508	306.53968253968253	10.793650793650793	47.49206349206349	12.952380952380953	146.79365079365078	19.428571428571427	219.47089947089944	154.22927689594354	154.22927689594354	154.22927689594354	154.22927689594354	23.746031746031743	218.03174603174602	136.0	136.0	136.0	136.0	12.952380952380953	1316.8253968253966	1388.0634920634918	1388.0634920634918	1388.0634920634918	1388.0634920634918	71.23809523809523
996.79__9.57_5822	168.0	154.0	112.0	70.0	70.0	70.0	42.0	56.0	70.0	105.0	90.22222222222223	90.22222222222223	90.22222222222223	90.22222222222223	60.666666666666664	91.0	70.0	70.0	70.0	70.0	70.0	630.0	812.0	812.0	812.0	812.0	182.0
995.65__9.84_5856	54.666666666666664	127.55555555555556	127.55555555555556	82.0	154.88888888888889	173.11111111111111	127.55555555555556	82.0	182.22222222222223	109.33333333333333	123.50617283950616	123.50617283950616	123.50617283950616	123.50617283950616	151.85185185185185	104.77777777777777	127.55555555555556	127.55555555555556	127.55555555555556	127.55555555555556	154.88888888888889	656.0	1111.5555555555554	1111.5555555555554	1111.5555555555554	1111.5555555555554	455.55555555555554
992.745__8.38_527	211.5909090909091	232.27272727272728	256.1363636363636	105.0	33.40909090909091	6.363636363636364	4.7727272727272725	106.5909090909091	7.954545454545455	153.25757575757578	107.12121212121212	107.12121212121212	107.12121212121212	107.12121212121212	14.84848484848485	159.0909090909091	105.0	105.0	105.0	105.0	6.363636363636364	919.5454545454546	964.0909090909091	964.0909090909091	964.0909090909091	964.0909090909091	44.54545454545455
991.123__7.54_5722	210.0	105.0	56.53846153846153	105.0	32.30769230769231	24.23076923076923	72.6923076923077	105.0	113.07692307692307	115.76923076923077	91.53846153846153	91.53846153846153	91.53846153846153	91.53846153846153	43.07692307692307	105.0	105.0	105.0	105.0	105.0	32.30769230769231	694.6153846153846	823.8461538461538	823.8461538461538	823.8461538461538	823.8461538461538	129.23076923076923
99.531__4.16_1538	150.27480916030535	66.63740458015268	173.76335877862596	154.42748091603053	64.30152671755725	66.63740458015268	45.93893129770992	39.19083969465649	51.0	105.88231552162848	90.24130619168787	90.24130619168787	90.24130619168787	90.24130619168787	58.959287531806616	108.45610687022901	66.63740458015268	66.63740458015268	66.63740458015268	66.63740458015268	64.30152671755725	635.2938931297709	812.1717557251908	812.1717557251908	812.1717557251908	812.1717557251908	176.87786259541986
99.512__8.76_83	96.80851063829788	187.6595744680851	101.27659574468086	131.06382978723406	70.0	55.10638297872341	95.31914893617022	70.0	142.97872340425533	121.63120567375888	105.5791962174941	105.5791962174941	105.5791962174941	105.5791962174941	73.47517730496455	116.17021276595746	96.80851063829788	96.80851063829788	96.80851063829788	96.80851063829788	70.0	729.7872340425533	950.2127659574469	950.2127659574469	950.2127659574469	950.2127659574469	220.42553191489364
99.512__4.27_3979	89.63414634146342	76.82926829268293	299.6341463414634	105.0	38.41463414634146	69.14634146341463	97.3170731707317	74.26829268292683	138.29268292682926	130.60975609756096	109.83739837398373	109.83739837398373	109.83739837398373	109.83739837398373	68.29268292682927	97.3170731707317	89.63414634146342	89.63414634146342	89.63414634146342	89.63414634146342	69.14634146341463	783.6585365853658	988.5365853658536	988.5365853658536	988.5365853658536	988.5365853658536	204.8780487804878
99.013__7.26_2802	169.16666666666666	55.416666666666664	49.583333333333336	175.0	70.0	58.333333333333336	29.166666666666668	58.333333333333336	90.41666666666667	99.65277777777777	83.93518518518518	83.93518518518518	83.93518518518518	83.93518518518518	52.5	74.375	58.333333333333336	58.333333333333336	58.333333333333336	58.333333333333336	58.333333333333336	597.9166666666666	755.4166666666666	755.4166666666666	755.4166666666666	755.4166666666666	157.5
99.013__3.79_3477	93.35632183908046	131.0	75.28735632183908	79.80459770114942	87.33333333333333	85.82758620689656	63.241379310344826	22.586206896551726	81.3103448275862	80.55747126436782	79.97190293742017	79.97190293742017	79.97190293742017	79.97190293742017	78.80076628352491	80.55747126436782	81.3103448275862	81.3103448275862	81.3103448275862	81.3103448275862	85.82758620689656	483.3448275862069	719.7471264367815	719.7471264367815	719.7471264367815	719.7471264367815	236.4022988505747
