index	V13-leg-psoriasis-BB3	V13-leg-healthy-BA2	V13-leg-psoriasis-BA9	V13-leg-psoriasis-BA12	V13-leg-psoriasis-BB2	V13-leg-psoriasis-BA8	V13-leg-psoriasis-BA7	V13-leg-psoriasis-BB7	V13-leg-psoriasis-BA10	V13-leg-healthy-BA1	V13-leg-healthy-BB9	V13-leg-psoriasis-BA6	V13-leg-psoriasis-BB12	V13-leg-healthy-BC1	V13-leg-psoriasis-BB4	V13-leg-healthy-BB8	V13-leg-psoriasis-BB6	V13-leg-psoriasis-BA5	V13-leg-psoriasis-BB5	V13-leg-psoriasis-BB1	V13-leg-psoriasis-BA11	V13-leg-healthy-BA4	V13-leg-psoriasis-BB10	V13-leg-psoriasis-BA3	V13-leg-psoriasis-BB11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	7.8	1.2	5.3999999999999995	1.2	1.7999999999999998	1.7999999999999998	3.0	6.0	1.7999999999999998	2.4	7.199999999999999	5.3999999999999995	3.5999999999999996	9.6	10.2	3.5999999999999996	4.2	4.2	7.8	1.2	4.8	3.0	5.3999999999999995	2.4	6.0	4.5	4.44	4.44	4.44	4.44	4.421052631578948	3.3	4.2	4.2	4.2	4.2	4.2	27.0	111.0	111.0	111.0	111.0	84.0
992.745__8.38_527	4.0	2.0	1.0	1.0	4.0	4.0	1.0	5.0	1.0	4.0	8.0	5.0	4.0	8.0	4.0	3.0	6.0	4.0	4.0	4.0	4.0	4.0	7.0	1.0	8.0	4.833333333333333	4.04	4.04	4.04	4.04	3.789473684210526	4.0	4.0	4.0	4.0	4.0	4.0	29.0	101.0	101.0	101.0	101.0	72.0
990.729__7.93_5197	7.0	1.75	1.75	3.5	10.5	5.25	1.75	1.75	3.5	1.75	7.0	1.75	5.25	8.75	1.75	1.75	1.75	5.25	10.5	1.75	7.0	3.5	7.0	1.75	10.5	4.083333333333333	4.55	4.55	4.55	4.55	4.697368421052632	2.625	3.5	3.5	3.5	3.5	3.5	24.5	113.75	113.75	113.75	113.75	89.25
99.531__4.16_1538	2.8636363636363638	2.181818181818182	2.181818181818182	2.0454545454545454	1.9090909090909092	5.181818181818182	1.9090909090909092	2.3181818181818183	3.0	5.863636363636364	4.5	3.0	3.0	4.909090909090909	5.590909090909091	1.5	2.0454545454545454	5.045454545454546	4.636363636363637	9.0	9.681818181818182	5.7272727272727275	16.09090909090909	5.7272727272727275	15.272727272727273	4.113636363636364	5.007272727272728	5.007272727272728	5.007272727272728	5.007272727272728	5.2894736842105265	4.704545454545455	4.5	4.5	4.5	4.5	3.0	24.681818181818183	125.18181818181819	125.18181818181819	125.18181818181819	125.18181818181819	100.5
989.614__8.21_4778	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.666666666666667	4.32	4.32	4.32	4.32	4.2105263157894735	4.0	4.0	4.0	4.0	4.0	4.0	28.0	108.0	108.0	108.0	108.0	80.0
987.717__8.03_4706	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	9.0	3.0	3.0	3.5	3.48	3.48	3.48	3.48	3.473684210526316	3.0	3.0	3.0	3.0	3.0	3.0	21.0	87.0	87.0	87.0	87.0	66.0
987.559__3.37_5387	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	24.0	100.0	100.0	100.0	100.0	76.0
987.044__3.24_6202	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	24.0	100.0	100.0	100.0	100.0	76.0
982.62__7.48_4896	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	24.0	100.0	100.0	100.0	100.0	76.0
98.512__2.39_1840	1.625	3.25	1.5	2.75	1.75	1.875	3.0	1.625	1.875	7.25	3.625	5.5	2.875	4.5	4.0	4.625	5.625	6.375	4.5	6.0	4.25	3.75	15.625	8.0	7.375	4.5	4.525	4.525	4.525	4.525	4.532894736842105	4.125	4.0	4.0	4.0	4.0	4.0	27.0	113.125	113.125	113.125	113.125	86.125
