index	V14-arm-healthy-BD5	V14-arm-healthy-BC4	V14-arm-healthy-BC9	V14-arm-healthy-BD1	V14-arm-healthy-BC6	V14-arm-healthy-BC5	V14-arm-healthy-BC3	V14-arm-psoriasis-BC7	V14-arm-healthy-BD2	V14-arm-psoriasis-BD4	V14-arm-healthy-BC2	V14-arm-psoriasis-BC8	V14-arm-healthy-BC10	V14-arm-healthy-BD3	V14-arm-psoriasis-BC11	V14-arm-psoriasis-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	15.292353823088455	8.365817091454273	10.974512743628186	24.28785607196402	4.677661169415292	12.773613193403298	6.026986506746627	6.386806596701649	5.127436281859071	7.646176911544227	4.4077961019490255	6.656671664167916	16.821589205397302	5.487256371814093	4.227886056971514	5.487256371814093	10.385716232792696	9.04047976011994	9.04047976011994	9.04047976011994	9.04047976011994	6.08095952023988	8.365817091454273	6.521739130434782	6.521739130434782	6.521739130434782	6.521739130434782	6.386806596701649	114.24287856071965	144.64767616191904	144.64767616191904	144.64767616191904	144.64767616191904	30.404797601199398
992.745__8.38_527	13.621621621621623	7.4594594594594605	7.621621621621622	30.324324324324326	4.864864864864865	10.864864864864867	3.891891891891892	6.162162162162163	4.7027027027027035	7.4594594594594605	4.540540540540541	6.648648648648649	20.270270270270274	5.027027027027027	5.1891891891891895	4.216216216216217	10.289926289926292	8.929054054054054	8.929054054054054	8.929054054054054	8.929054054054054	5.935135135135136	7.4594594594594605	6.405405405405406	6.405405405405406	6.405405405405406	6.405405405405406	6.162162162162163	113.18918918918921	142.86486486486487	142.86486486486487	142.86486486486487	142.86486486486487	29.67567567567568
990.729__7.93_5197	7.857142857142857	10.476190476190476	5.238095238095238	10.476190476190476	10.476190476190476	2.619047619047619	10.476190476190476	2.619047619047619	18.333333333333332	2.619047619047619	13.095238095238095	7.857142857142857	2.619047619047619	7.857142857142857	15.714285714285714	5.238095238095238	9.04761904761905	8.348214285714285	8.348214285714285	8.348214285714285	8.348214285714285	6.80952380952381	10.476190476190476	7.857142857142857	7.857142857142857	7.857142857142857	7.857142857142857	5.238095238095238	99.52380952380955	133.57142857142856	133.57142857142856	133.57142857142856	133.57142857142856	34.04761904761905
99.013__6.55_2949	6.461538461538462	4.3076923076923075	6.461538461538462	6.461538461538462	8.615384615384615	6.461538461538462	4.3076923076923075	4.3076923076923075	4.3076923076923075	10.769230769230768	17.23076923076923	6.461538461538462	12.923076923076923	30.153846153846153	12.923076923076923	12.923076923076923	9.790209790209788	9.692307692307692	9.692307692307692	9.692307692307692	9.692307692307692	9.476923076923077	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	10.769230769230768	107.69230769230768	155.07692307692307	155.07692307692307	155.07692307692307	155.07692307692307	47.38461538461539
99.013__10.0_32	7.0	7.0	7.0	7.0	7.0	7.0	7.0	21.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.875	7.875	7.875	7.875	9.8	7.0	7.0	7.0	7.0	7.0	7.0	77.0	126.0	126.0	126.0	126.0	49.0
989.614__8.21_4778	6.461538461538462	6.461538461538462	6.461538461538462	19.384615384615383	6.461538461538462	6.461538461538462	19.384615384615383	12.923076923076923	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	8.811188811188813	8.48076923076923	8.48076923076923	8.48076923076923	8.48076923076923	7.753846153846153	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	6.461538461538462	96.92307692307695	135.69230769230768	135.69230769230768	135.69230769230768	135.69230769230768	38.76923076923077
987.559__3.37_5387	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	77.0	112.0	112.0	112.0	112.0	35.0
987.044__3.24_6202	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	77.0	112.0	112.0	112.0	112.0	35.0
983.647__7.58_4359	9.692307692307692	27.692307692307693	2.769230769230769	12.461538461538462	1.3846153846153846	13.846153846153847	20.76923076923077	6.923076923076923	4.153846153846154	5.538461538461538	6.923076923076923	6.923076923076923	9.692307692307692	4.153846153846154	1.3846153846153846	4.153846153846154	10.321678321678322	8.653846153846153	8.653846153846153	8.653846153846153	8.653846153846153	4.984615384615385	9.692307692307692	6.923076923076923	6.923076923076923	6.923076923076923	6.923076923076923	5.538461538461538	113.53846153846155	138.46153846153845	138.46153846153845	138.46153846153845	138.46153846153845	24.923076923076923
982.62__7.48_4896	6.0	12.0	6.0	6.0	6.0	6.0	12.0	6.0	12.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.636363636363637	7.125	7.125	7.125	7.125	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	114.0	114.0	114.0	114.0	30.0
