index	V15-leg-psoriasis-BF3	V15-leg-psoriasis-BD7	V15-leg-psoriasis-BE4	V15-leg-psoriasis-BF10	V15-leg-psoriasis-BE10	V15-leg-healthy-BD11	V15-leg-psoriasis-BD8	V15-leg-healthy-BF7	V15-leg-psoriasis-BE2	V15-leg-healthy-BF6	V15-leg-psoriasis-BE9	V15-leg-healthy-BE5	V15-leg-psoriasis-BE3	V15-leg-psoriasis-BD9	V15-leg-psoriasis-BF1	V15-leg-psoriasis-BF9	V15-leg-psoriasis-BF2	V15-leg-psoriasis-BE7	V15-leg-healthy-BE12	V15-leg-healthy-BF11	V15-leg-psoriasis-BE8	V15-leg-psoriasis-BE1	V15-leg-healthy-BD12	V15-leg-psoriasis-BF8	V15-leg-healthy-BE6	V15-leg-healthy-BD6	V15-leg-psoriasis-BF4	V15-leg-healthy-BF5	V15-leg-healthy-BE11	V15-leg-healthy-BD10	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	2.962962962962963	23.11111111111111	6.814814814814815	4.148148148148148	5.037037037037037	10.37037037037037	10.37037037037037	4.148148148148148	2.962962962962963	2.6666666666666665	2.6666666666666665	7.111111111111111	2.6666666666666665	9.185185185185185	1.7777777777777777	0.8888888888888888	2.074074074074074	4.444444444444445	3.8518518518518516	8.296296296296296	1.7777777777777777	8.0	11.25925925925926	2.962962962962963	7.111111111111111	13.62962962962963	3.5555555555555554	3.8518518518518516	3.8518518518518516	9.481481481481481	7.135802469135801	6.034567901234567	6.034567901234567	6.034567901234567	6.034567901234567	5.300411522633745	7.111111111111111	4.148148148148148	4.148148148148148	4.148148148148148	4.148148148148148	3.259259259259259	85.62962962962962	181.037037037037	181.037037037037	181.037037037037	181.037037037037	95.4074074074074
992.745__8.38_527	2.0	23.333333333333332	8.0	4.0	3.3333333333333335	6.0	11.333333333333334	3.3333333333333335	5.333333333333333	4.0	4.0	5.333333333333333	6.0	8.666666666666666	2.6666666666666665	0.6666666666666666	0.6666666666666666	6.0	2.6666666666666665	5.333333333333333	1.3333333333333333	8.0	12.0	2.6666666666666665	9.333333333333334	16.666666666666668	4.666666666666667	3.3333333333333335	2.6666666666666665	11.333333333333334	6.833333333333333	6.155555555555555	6.155555555555555	6.155555555555555	6.155555555555555	5.703703703703704	5.333333333333333	5.0	5.0	5.0	5.0	4.333333333333334	82.0	184.66666666666666	184.66666666666666	184.66666666666666	184.66666666666666	102.66666666666667
990.729__7.93_5197	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	60.0	150.0	150.0	150.0	150.0	90.0
989.614__8.21_4778	4.0	8.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	12.0	4.0	4.0	4.0	4.0	5.333333333333333	4.933333333333334	4.933333333333334	4.933333333333334	4.933333333333334	4.666666666666667	4.0	4.0	4.0	4.0	4.0	4.0	64.0	148.0	148.0	148.0	148.0	84.0
987.559__3.37_5387	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	60.0	150.0	150.0	150.0	150.0	90.0
987.044__3.24_6202	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	60.0	150.0	150.0	150.0	150.0	90.0
983.647__7.58_4359	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	8.88888888888889	8.88888888888889	8.88888888888889	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	75.55555555555556	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	10.74074074074074	7.259259259259262	7.259259259259262	7.259259259259262	7.259259259259262	4.938271604938271	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	128.88888888888889	217.77777777777786	217.77777777777786	217.77777777777786	217.77777777777786	88.88888888888889
982.62__7.48_4896	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	60.0	150.0	150.0	150.0	150.0	90.0
979.617__7.57_3001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	10.0	5.0	5.0	5.0	15.0	5.0	5.0	5.0	5.0	5.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.25	5.666666666666667	5.666666666666667	5.666666666666667	5.666666666666667	5.277777777777778	5.0	5.0	5.0	5.0	5.0	5.0	75.0	170.0	170.0	170.0	170.0	95.0
975.718__8.45_3720	4.0	8.0	4.0	4.0	4.0	20.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	8.0	6.0	5.066666666666666	5.066666666666666	5.066666666666666	5.066666666666666	4.444444444444445	4.0	4.0	4.0	4.0	4.0	4.0	72.0	152.0	152.0	152.0	152.0	80.0
