index	V16-back-psoriasis-BG9	V16-back-healthy-BG3	V16-back-healthy-BH8	V16-back-healthy-BG10	V16-back-healthy-BG2	V16-back-healthy-BH9	V16-back-healthy-BH10	V16-back-healthy-BG4	V16-back-psoriasis-BH7	V16-back-psoriasis-BG12	V16-back-psoriasis-BH1	V16-back-psoriasis-BG6	V16-back-healthy-BG1	V16-back-healthy-BG5	V16-back-healthy-BH11	V16-back-psoriasis-BH2	V16-back-healthy-BH12	V16-back-psoriasis-BH5	V16-back-psoriasis-BG7	V16-back-healthy-BH3	V16-back-healthy-BF12	V16-back-healthy-BH4	V16-back-psoriasis-BG8	V16-back-psoriasis-BG11	V16-back-psoriasis-BH6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	2.3333333333333335	4.666666666666667	11.666666666666668	8.166666666666668	1.1666666666666667	4.666666666666667	10.5	3.5	2.3333333333333335	4.666666666666667	5.833333333333334	3.5	9.333333333333334	10.5	7.0	9.333333333333334	4.666666666666667	7.0	7.0	1.1666666666666667	8.166666666666668	1.1666666666666667	7.0	9.333333333333334	3.5	6.166666666666669	5.926666666666668	5.926666666666668	5.926666666666668	5.926666666666668	5.621212121212121	5.833333333333334	5.833333333333334	5.833333333333334	5.833333333333334	5.833333333333334	5.833333333333334	86.33333333333336	148.16666666666669	148.16666666666669	148.16666666666669	148.16666666666669	61.833333333333336
992.745__8.38_527	5.0	5.0	10.0	5.0	10.0	5.0	5.0	10.0	5.0	5.0	5.0	10.0	10.0	20.0	5.0	10.0	10.0	5.0	15.0	5.0	5.0	5.0	5.0	10.0	5.0	7.857142857142857	7.6	7.6	7.6	7.6	7.2727272727272725	5.0	5.0	5.0	5.0	5.0	5.0	110.0	190.0	190.0	190.0	190.0	80.0
990.729__7.93_5197	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
987.559__3.37_5387	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
987.044__3.24_6202	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
98.013__10.03_149	6.0	6.0	36.0	6.0	6.0	6.0	12.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	12.0	6.0	8.571428571428571	7.68	7.68	7.68	7.68	6.545454545454546	6.0	6.0	6.0	6.0	6.0	6.0	120.0	192.0	192.0	192.0	192.0	72.0
979.617__7.57_3001	4.0	4.0	4.0	16.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	12.0	8.0	16.0	4.0	8.0	4.0	8.0	8.0	16.0	12.0	4.0	7.428571428571429	7.04	7.04	7.04	7.04	6.545454545454546	6.0	4.0	4.0	4.0	4.0	4.0	104.0	176.0	176.0	176.0	176.0	72.0
973.655__5.42_3754	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
971.361__7.54_5821	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
965.799__6.18_5877	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
965.514__3.3_5490	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
