index	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	4.930817610062893	8.5937106918239	4.0150943396226415	9.50943396226415	6.7622641509433965	3.5924528301886793	7.889308176100629	7.537106918238994	3.3811320754716983	7.748427672955975	17.39874213836478	3.6628930817610064	3.028930817610063	6.973584905660378	2.6062893081761005	3.028930817610063	4.877987421383647	6.291194968553459	6.291194968553459	6.291194968553459	6.291194968553459	7.70440251572327	3.8037735849056604	5.846540880503145	5.846540880503145	5.846540880503145	5.846540880503145	7.255345911949686	39.02389937106918	100.65911949685534	100.65911949685534	100.65911949685534	100.65911949685534	61.63522012578616
992.745__8.38_527	3.2710280373831777	6.542056074766355	3.2710280373831777	8.112149532710282	7.588785046728972	3.401869158878505	8.897196261682243	7.327102803738319	3.9252336448598135	7.327102803738319	21.19626168224299	3.794392523364486	2.6168224299065423	6.672897196261682	2.6168224299065423	3.6635514018691593	5.086448598130842	6.264018691588785	6.264018691588785	6.264018691588785	6.264018691588785	7.441588785046729	3.794392523364486	5.233644859813085	5.233644859813085	5.233644859813085	5.233644859813085	6.607476635514018	40.69158878504673	100.22429906542057	100.22429906542057	100.22429906542057	100.22429906542057	59.532710280373834
990.729__7.93_5197	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	48.0	96.0	96.0	96.0	96.0	48.0
99.512__10.11_2256	10.28125	5.25	2.40625	12.46875	4.375	5.03125	5.03125	138.03125	152.03125	4.375	3.0625	3.9375	6.5625	22.75	6.34375	3.28125	22.859375	24.076171875	24.076171875	24.076171875	24.076171875	25.29296875	4.703125	5.140625	5.140625	5.140625	5.140625	8.421875	182.875	385.21875	385.21875	385.21875	385.21875	202.34375
987.717__8.03_4706	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	10.909090909090908	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	16.363636363636363	7.5	6.4772727272727275	6.4772727272727275	6.4772727272727275	6.4772727272727275	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	60.0	103.63636363636364	103.63636363636364	103.63636363636364	103.63636363636364	43.63636363636363
987.559__3.37_5387	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	48.0	96.0	96.0	96.0	96.0	48.0
987.044__3.24_6202	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	48.0	96.0	96.0	96.0	96.0	48.0
983.647__7.58_4359	15.0	5.0	5.0	10.0	5.0	5.0	5.0	5.0	10.0	5.0	10.0	5.0	5.0	15.0	5.0	5.0	5.625	7.1875	7.1875	7.1875	7.1875	8.75	5.0	5.0	5.0	5.0	5.0	7.5	45.0	115.0	115.0	115.0	115.0	70.0
98.513__10.04_5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	110.0	115.0	5.0	5.0	5.0	5.0	10.0	5.0	5.0	18.75	18.75	18.75	18.75	18.75	18.75	5.0	5.0	5.0	5.0	5.0	5.0	150.0	300.0	300.0	300.0	300.0	150.0
98.512__10.13_1904	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	152.72727272727272	125.45454545454544	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	20.454545454545453	22.159090909090907	22.159090909090907	22.159090909090907	22.159090909090907	23.863636363636363	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	163.63636363636363	354.5454545454545	354.5454545454545	354.5454545454545	354.5454545454545	190.9090909090909
