index	V18-leg-psoriasis-GD6	V18-leg-healthy-GC2	V18-leg-healthy-GD9	V18-leg-healthy-GC5	V18-leg-psoriasis-GD7	V18-leg-psoriasis-GC12	V18-leg-healthy-GD12	V18-leg-healthy-GC3	V18-leg-psoriasis-GC9	V18-leg-psoriasis-GC8	V18-leg-healthy-GD8	V18-leg-healthy-GD4	V18-leg-healthy-GC10	V18-leg-healthy-GE1	V18-leg-healthy-GC1	V18-leg-psoriasis-GD5	V18-leg-psoriasis-GC7	V18-leg-healthy-GC6	V18-leg-healthy-GC4	V18-leg-healthy-GC11	V18-leg-psoriasis-GD1	V18-leg-psoriasis-GD2	V18-leg-psoriasis-GD10	V18-leg-psoriasis-GD11	V18-leg-healthy-GD3	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	2.4074074074074074	13.518518518518517	6.111111111111111	8.888888888888888	4.444444444444444	5.185185185185185	3.518518518518518	9.62962962962963	11.666666666666666	9.25925925925926	4.259259259259259	5.37037037037037	7.777777777777778	3.888888888888889	7.4074074074074066	3.148148148148148	9.25925925925926	5.0	12.222222222222221	3.148148148148148	3.333333333333333	3.333333333333333	5.555555555555555	5.185185185185185	3.518518518518518	6.732804232804233	6.281481481481482	6.281481481481482	6.281481481481482	6.281481481481482	5.707070707070707	5.7407407407407405	5.185185185185185	5.185185185185185	5.185185185185185	5.185185185185185	5.185185185185185	94.25925925925925	157.03703703703704	157.03703703703704	157.03703703703704	157.03703703703704	62.77777777777778
992.745__8.38_527	0.8	14.0	3.6	9.2	4.4	6.8	2.4	10.8	10.4	13.6	4.8	6.0	10.8	3.6	8.4	3.6	12.0	6.0	11.2	4.0	3.6	3.2	6.8	7.6	4.8	7.114285714285715	6.896	6.896	6.896	6.896	6.618181818181818	6.0	6.0	6.0	6.0	6.0	6.8	99.60000000000001	172.4	172.4	172.4	172.4	72.8
990.729__7.93_5197	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
989.614__8.21_4778	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
987.559__3.37_5387	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
987.044__3.24_6202	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
983.647__7.58_4359	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	10.0	5.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	25.0	7.142857142857143	6.4	6.4	6.4	6.4	5.454545454545454	5.0	5.0	5.0	5.0	5.0	5.0	100.0	160.0	160.0	160.0	160.0	60.0
982.62__7.48_4896	6.0	6.0	6.0	6.0	12.0	6.0	6.0	6.0	6.0	6.0	18.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.857142857142857	6.72	6.72	6.72	6.72	6.545454545454546	6.0	6.0	6.0	6.0	6.0	6.0	96.0	168.0	168.0	168.0	168.0	72.0
98.512__3.65_1856	2.297872340425532	3.9574468085106385	6.0	2.425531914893617	3.0638297872340425	5.48936170212766	2.6808510638297873	7.531914893617022	3.0638297872340425	8.553191489361703	4.212765957446809	4.595744680851064	5.74468085106383	3.3191489361702127	4.595744680851064	3.9574468085106385	3.8297872340425534	7.787234042553192	11.23404255319149	9.319148936170214	11.23404255319149	7.531914893617022	12.25531914893617	14.425531914893618	41.87234042553192	8.23404255319149	7.639148936170213	7.639148936170213	7.639148936170213	7.639148936170213	6.882011605415861	5.170212765957447	5.48936170212766	5.48936170212766	5.48936170212766	5.48936170212766	5.48936170212766	115.27659574468085	190.97872340425533	190.97872340425533	190.97872340425533	190.97872340425533	75.70212765957447
98.512__2.39_1840	2.727272727272727	3.6363636363636362	6.7272727272727275	5.090909090909091	5.818181818181818	3.6363636363636362	4.0	3.4545454545454546	9.636363636363637	5.636363636363637	2.909090909090909	6.7272727272727275	11.818181818181818	7.090909090909091	8.0	11.090909090909092	4.909090909090909	30.727272727272727	6.0	3.090909090909091	6.7272727272727275	4.7272727272727275	6.545454545454546	29.272727272727273	14.181818181818182	8.103896103896105	8.167272727272728	8.167272727272728	8.167272727272728	8.167272727272728	8.247933884297522	6.363636363636363	6.0	6.0	6.0	6.0	5.818181818181818	113.45454545454547	204.1818181818182	204.1818181818182	204.1818181818182	204.1818181818182	90.72727272727273
979.617__7.57_3001	5.0	10.0	5.0	5.0	5.0	10.0	5.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	10.0	5.0	5.0	10.0	5.0	5.0	15.0	5.0	10.0	6.428571428571429	6.6	6.6	6.6	6.6	6.818181818181818	5.0	5.0	5.0	5.0	5.0	5.0	90.0	165.0	165.0	165.0	165.0	75.0
975.718__8.45_3720	5.0	15.0	5.0	5.0	5.0	15.0	5.0	5.0	5.0	15.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	20.0	15.0	10.0	5.0	5.714285714285714	7.4	7.4	7.4	7.4	9.545454545454545	5.0	5.0	5.0	5.0	5.0	5.0	80.0	185.0	185.0	185.0	185.0	105.0
973.655__5.42_3754	6.0	6.0	6.0	18.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.857142857142857	6.48	6.48	6.48	6.48	6.0	6.0	6.0	6.0	6.0	6.0	6.0	96.0	162.0	162.0	162.0	162.0	66.0
971.361__7.54_5821	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	84.0	150.0	150.0	150.0	150.0	66.0
970.671__7.82_2660	3.393939393939394	9.93939393939394	3.393939393939394	8.969696969696969	9.93939393939394	5.090909090909091	1.9393939393939394	6.0606060606060606	8.0	8.727272727272727	4.848484848484849	4.121212121212121	5.333333333333333	5.090909090909091	5.333333333333333	1.9393939393939394	7.515151515151516	5.090909090909091	12.363636363636363	1.4545454545454546	1.4545454545454546	4.363636363636363	5.333333333333333	4.363636363636363	5.333333333333333	5.662337662337663	5.575757575757576	5.575757575757576	5.575757575757576	5.575757575757576	5.465564738292011	5.212121212121212	5.090909090909091	5.090909090909091	5.090909090909091	5.090909090909091	5.090909090909091	79.27272727272728	139.3939393939394	139.3939393939394	139.3939393939394	139.3939393939394	60.121212121212125
969.668__7.79_1917	1.6470588235294117	10.980392156862745	5.490196078431373	8.784313725490197	8.92156862745098	4.9411764705882355	4.11764705882353	8.509803921568627	10.705882352941178	9.470588235294118	5.901960784313726	5.764705882352941	7.0	4.254901960784314	4.666666666666667	4.392156862745098	7.823529411764706	4.11764705882353	11.117647058823529	2.607843137254902	2.4705882352941178	4.254901960784314	5.352941176470589	7.96078431372549	6.313725490196078	6.401960784313727	6.302745098039216	6.302745098039216	6.302745098039216	6.302745098039216	6.1764705882352935	5.833333333333334	5.764705882352941	5.764705882352941	5.764705882352941	5.764705882352941	5.352941176470589	89.62745098039217	157.5686274509804	157.5686274509804	157.5686274509804	157.5686274509804	67.94117647058823
