index	V19-leg-healthy-GG9	V19-leg-psoriasis-GF8	V19-leg-psoriasis-GF9	V19-leg-healthy-GH2	V19-leg-psoriasis-GG8	V19-leg-psoriasis-GG1	V19-leg-psoriasis-GH6	V19-leg-psoriasis-partial-GF7	V19-leg-healthy-GG4	V19-leg-psoriasis-GH4	V19-leg-healthy-GF2	V19-leg-healthy-GF11	V19-leg-psoriasis-GG12	V19-leg-psoriasis-partial-GF4	V19-leg-psoriasis-GH1	V19-leg-psoriasis-GG2	V19-leg-psoriasis-GG10	V19-leg-psoriasis-GF10	V19-leg-healthy-GF1	V19-leg-psoriasis-GG5	V19-leg-psoriasis-GG6	V19-leg-psoriasis-GG7	V19-leg-psoriasis-partial-GF3	V19-leg-psoriasis-GF12	V19-leg-psoriasis-GG11	V19-leg-psoriasis-GG3	V19-leg-healthy-GH3	V19-leg-psoriasis-GH5	V19-leg-psoriasis-partial-GF5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
995.65__9.84_5856	9.0	3.0	3.0	3.0	45.0	3.0	6.0	9.0	33.0	3.0	3.0	3.0	3.0	153.0	3.0	3.0	3.0	102.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	513.0	3.0	3.0	3.0	8.142857142857142	32.172413793103445	32.172413793103445	32.172413793103445	32.172413793103445	39.81818181818182	3.0	3.0	3.0	3.0	3.0	3.0	57.0	933.0	933.0	933.0	933.0	876.0
99.531__4.61_1540	6.5	2.3333333333333335	2.8333333333333335	5.666666666666667	5.666666666666667	5.5	5.333333333333333	6.5	2.1666666666666665	1.5	1.6666666666666667	2.5	3.0	10.0	4.166666666666667	1.6666666666666667	2.0	4.666666666666667	2.8333333333333335	5.666666666666667	5.5	6.5	25.666666666666668	4.0	13.333333333333334	11.5	12.666666666666666	16.0	20.0	4.857142857142857	6.804597701149426	6.804597701149426	6.804597701149426	6.804597701149426	7.424242424242425	2.8333333333333335	5.5	5.5	5.5	5.5	5.5	34.0	197.33333333333334	197.33333333333334	197.33333333333334	197.33333333333334	163.33333333333334
99.531__4.16_1538	5.333333333333333	1.8666666666666667	1.6	3.3333333333333335	1.6	6.266666666666667	5.2	6.133333333333334	1.8666666666666667	2.4	2.933333333333333	6.933333333333334	2.1333333333333333	4.666666666666667	8.4	4.0	1.6	2.8	4.533333333333333	2.933333333333333	4.0	5.466666666666667	8.533333333333333	3.7333333333333334	18.666666666666668	17.466666666666665	7.333333333333333	6.933333333333334	6.8	4.609523809523809	5.360919540229886	5.360919540229886	5.360919540229886	5.360919540229886	5.6000000000000005	4.533333333333333	4.533333333333333	4.533333333333333	4.533333333333333	4.533333333333333	4.333333333333334	32.266666666666666	155.4666666666667	155.4666666666667	155.4666666666667	155.4666666666667	123.2
989.614__8.21_4778	6.0	3.0	3.0	9.0	6.0	3.0	9.0	9.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	21.0	3.0	3.0	3.0	3.0	6.0	6.0	3.0	9.0	6.0	3.0	3.0	4.714285714285714	5.068965517241379	5.068965517241379	5.068965517241379	5.068965517241379	5.181818181818182	3.0	3.0	3.0	3.0	3.0	3.0	33.0	147.0	147.0	147.0	147.0	114.0
987.717__8.03_4706	3.5	3.5	3.5	3.5	7.0	3.5	10.5	7.0	3.5	3.5	3.5	3.5	3.5	7.0	3.5	3.5	3.5	7.0	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	4.224137931034483	4.224137931034483	4.224137931034483	4.224137931034483	4.454545454545454	3.5	3.5	3.5	3.5	3.5	3.5	24.5	122.5	122.5	122.5	122.5	98.0
987.559__3.37_5387	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	28.0	116.0	116.0	116.0	116.0	88.0
987.044__3.24_6202	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	28.0	116.0	116.0	116.0	116.0	88.0
983.647__7.58_4359	3.75	6.75	8.0	5.75	13.0	5.25	5.25	2.75	3.5	2.25	3.25	2.25	3.25	10.5	4.0	6.0	2.75	8.5	2.75	3.75	3.5	2.0	2.25	2.75	3.0	19.75	5.5	2.0	1.75	3.8214285714285716	5.025862068965517	5.025862068965517	5.025862068965517	5.025862068965517	5.409090909090909	3.5	3.5	3.5	3.5	3.5	3.625	26.75	145.75	145.75	145.75	145.75	119.0
982.62__7.48_4896	6.0	3.0	3.0	6.0	6.0	3.0	12.0	9.0	3.0	3.0	3.0	3.0	3.0	6.0	9.0	3.0	6.0	15.0	12.0	3.0	6.0	3.0	3.0	3.0	3.0	27.0	3.0	3.0	3.0	5.142857142857143	5.896551724137931	5.896551724137931	5.896551724137931	5.896551724137931	6.136363636363637	3.0	3.0	3.0	3.0	3.0	3.0	36.0	171.0	171.0	171.0	171.0	135.0
98.512__5.67_2114	4.833333333333333	3.8333333333333335	4.0	2.6666666666666665	3.1666666666666665	1.6666666666666667	5.333333333333333	9.0	3.8333333333333335	1.8333333333333333	2.1666666666666665	4.0	6.666666666666667	6.0	2.8333333333333335	4.5	5.5	4.5	6.333333333333333	12.5	14.0	18.833333333333332	39.666666666666664	6.666666666666667	12.833333333333334	12.5	14.5	7.666666666666667	24.0	5.476190476190475	8.477011494252874	8.477011494252874	8.477011494252874	8.477011494252874	9.431818181818182	4.0	5.5	5.5	5.5	5.5	6.333333333333334	38.33333333333333	245.83333333333334	245.83333333333334	245.83333333333334	245.83333333333334	207.5
