index	V21-hand-psoriasis-RF3	V21-hand-psoriasis-RF4	V21-hand-psoriasis-RE9	V21-hand-healthy-RE6	V21-hand-psoriasis-RE7	V21-arm-healthy-RD11	V21-hand-psoriasis-RF5	V21-arm-psoriasis-RE1	V21-arm-healthy-RE4	V21-hand-healthy-RF1	V21-hand-psoriasis-RF8	V21-hand-psoriasis-RF2	V21-hand-healthy-RE12	V21-arm-psoriasis-RD7	V21-arm-healthy-RD8	V21-hand-healthy-RE8	V21-hand-psoriasis-RF6	V21-arm-healthy-RD4	V21-hand-psoriasis-RE5	V21-arm-psoriasis-RD6	V21-arm-psoriasis-RD3	V21-hand-psoriasis-RE10	V21-hand-psoriasis-RF7	V21-hand-psoriasis-RF9	V21-arm-psoriasis-RD9	V21-arm-healthy-RD12	V21-arm-healthy-RD1	V21-arm-psoriasis-RE2	V21-arm-psoriasis-RD10	V21-hand-psoriasis-RE11	V21-hand-psoriasis-RF10	V21-arm-healthy-RD5	V21-arm-healthy-RE3	V21-arm-psoriasis-RD2	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_hand	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_hand	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_hand	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	4.0	8.666666666666666	4.0	6.0	4.0	4.0	3.6666666666666665	3.6666666666666665	3.6666666666666665	3.3333333333333335	7.0	1.6666666666666667	1.6666666666666667	3.6666666666666665	1.0	6.666666666666667	3.3333333333333335	6.333333333333333	4.666666666666667	9.0	5.333333333333333	4.333333333333333	5.0	4.333333333333333	3.0	7.333333333333333	5.333333333333333	8.666666666666666	5.0	3.0	5.0	3.3333333333333335	1.0	3.3333333333333335	4.13888888888889	4.604166666666666	4.529411764705882	4.529411764705882	4.462962962962963	4.529411764705882	4.742424242424242	3.833333333333333	3.833333333333333	4.0	4.0	4.166666666666666	4.0	4.166666666666666	49.66666666666668	73.66666666666666	154.0	154.0	80.33333333333333	154.0	104.33333333333333
992.745__8.38_527	6.4	5.6	4.8	10.4	4.0	4.0	2.4	4.0	4.0	2.4	9.6	3.2	3.2	1.6	0.8	1.6	3.2	4.0	4.0	7.2	5.6	4.0	4.0	2.4	4.8	8.0	11.2	8.8	8.8	1.6	3.2	2.4	4.8	10.4	4.7333333333333325	5.65	4.894117647058824	4.894117647058824	4.222222222222222	4.894117647058824	4.9818181818181815	4.0	4.8	4.0	4.0	3.6	4.0	4.0	56.79999999999999	90.4	166.4	166.4	76.0	166.4	109.6
990.729__7.93_5197	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.470588235294118	4.470588235294118	4.0	4.470588235294118	4.181818181818182	4.0	4.0	4.0	4.0	4.0	4.0	4.0	60.0	80.0	152.0	152.0	72.0	152.0	92.0
989.614__8.21_4778	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.666666666666667	4.5	4.705882352941177	4.705882352941177	4.888888888888889	4.705882352941177	4.7272727272727275	4.0	4.0	4.0	4.0	4.0	4.0	4.0	56.0	72.0	160.0	160.0	88.0	160.0	104.0
987.717__8.03_4706	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	12.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.666666666666667	5.5	4.823529411764706	4.823529411764706	4.222222222222222	4.823529411764706	4.909090909090909	4.0	4.0	4.0	4.0	4.0	4.0	4.0	56.0	88.0	164.0	164.0	76.0	164.0	108.0
987.559__3.37_5387	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
987.044__3.24_6202	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
983.647__7.58_4359	4.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	4.0	4.0	8.0	4.0	4.0	8.0	4.0	4.0	12.0	4.0	4.0	4.0	4.0	4.0	4.0	16.0	5.666666666666667	6.25	5.411764705882353	5.411764705882353	4.666666666666667	5.411764705882353	5.2727272727272725	4.0	4.0	4.0	4.0	4.0	4.0	4.0	68.0	100.0	184.0	184.0	84.0	184.0	116.0
982.62__7.48_4896	4.0	4.0	4.0	4.0	8.0	4.0	12.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.5	4.705882352941177	4.705882352941177	4.888888888888889	4.705882352941177	5.090909090909091	4.0	4.0	4.0	4.0	4.0	4.0	4.0	48.0	72.0	160.0	160.0	88.0	160.0	112.0
98.513__6.8_3090	3.245436105476674	3.245436105476674	3.08316430020284	3.245436105476674	4.543610547667343	4.8681541582150105	2.5963488843813387	2.7586206896551726	5.192697768762677	5.841784989858012	7.789046653144017	4.8681541582150105	4.543610547667343	2.7586206896551726	6.004056795131846	5.030425963488844	6.328600405679514	23.042596348884384	5.192697768762677	4.543610547667343	5.354969574036511	2.7586206896551726	5.354969574036511	7.626774847870183	4.705882352941177	5.192697768762677	5.679513184584179	5.679513184584179	4.543610547667343	3.569979716024341	6.004056795131846	3.8945233265720085	3.7322515212981746	7.95131845841785	6.355645706558487	5.9939148073022315	5.31678797279561	5.31678797279561	4.714897453234167	5.31678797279561	4.75013829983404	5.111561866125761	5.0304259634888435	4.8681541582150105	4.8681541582150105	4.705882352941177	4.8681541582150105	4.62474645030426	76.26774847870185	95.9026369168357	180.77079107505074	180.77079107505074	84.868154158215	180.77079107505074	104.50304259634888
