index	V22-back-psoriasis-BB10	V22-back-healthy-BB4	V22-back-healthy-BB3	V22-back-psoriasis-BB1	V22-back-healthy-BA1	V22-back-healthy-BB8	V22-back-psoriasis-BB5	V22-back-psoriasis-BA8	V22-back-healthy-BA6	V22-back-psoriasis-BC3	V22-back-healthy-BA2	V22-back-psoriasis-BB2	V22-back-healthy-BA5	V22-back-psoriasis-BA7	V22-back-psoriasis-BC4	V22-back-healthy-BC5	V22-back-healthy-BA11	V22-back-healthy-BC1	V22-back-psoriasis-BB11	V22-back-healthy-BC2	V22-back-psoriasis-BB7	V22-back-psoriasis-BB12	V22-back-healthy-BA10	V22-back-psoriasis-BA9	V22-back-healthy-BA3	V22-back-healthy-BB9	V22-back-psoriasis-BA12	V22-back-healthy-BA4	V22-back-healthy-BC6	V22-back-psoriasis-BB6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	8.571428571428571	5.0	8.571428571428571	2.142857142857143	0.7142857142857143	2.857142857142857	4.285714285714286	1.4285714285714286	5.714285714285714	3.5714285714285716	2.857142857142857	7.142857142857143	7.142857142857143	0.7142857142857143	2.857142857142857	1.4285714285714286	3.5714285714285716	5.0	6.428571428571429	10.0	9.285714285714286	11.428571428571429	2.857142857142857	2.142857142857143	1.4285714285714286	2.857142857142857	4.285714285714286	2.857142857142857	9.285714285714286	5.714285714285714	4.508928571428571	4.738095238095239	4.738095238095239	4.738095238095239	4.738095238095239	5.0	3.2142857142857144	3.928571428571429	3.928571428571429	3.928571428571429	3.928571428571429	4.285714285714286	72.14285714285714	142.14285714285717	142.14285714285717	142.14285714285717	142.14285714285717	70.0
992.745__8.38_527	2.0	4.0	10.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	6.0	2.0	8.0	2.0	2.0	10.0	8.0	12.0	14.0	10.0	4.0	4.0	2.0	4.0	2.0	2.0	10.0	4.0	4.875	4.933333333333334	4.933333333333334	4.933333333333334	4.933333333333334	5.0	4.0	4.0	4.0	4.0	4.0	4.0	78.0	148.0	148.0	148.0	148.0	70.0
990.729__7.93_5197	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
99.531__4.16_1538	2.325315005727377	2.1649484536082473	1.9243986254295533	1.6036655211912945	3.6082474226804124	2.084765177548683	4.329896907216495	2.004581901489118	1.2829324169530354	1.6036655211912945	2.565864833906071	2.4856815578465064	6.174112256586484	4.971363115693013	1.8442153493699884	3.207331042382589	1.5234822451317296	6.013745704467354	3.8487972508591066	5.5326460481099655	4.7308132875143185	6.254295532646048	5.292096219931271	5.051546391752577	4.650630011454754	3.447880870561283	3.3676975945017182	5.61282932416953	10.423825887743414	5.77319587628866	4.094358533791524	3.856815578465062	3.856815578465062	3.856815578465062	3.856815578465062	3.5853379152348226	3.5280641466208476	3.5280641466208476	3.5280641466208476	3.5280641466208476	3.5280641466208476	3.6082474226804124	65.50973654066438	115.70446735395187	115.70446735395187	115.70446735395187	115.70446735395187	50.194730813287514
989.614__8.21_4778	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	6.461538461538462	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	6.461538461538462	3.230769230769231	6.461538461538462	3.230769230769231	3.230769230769231	6.461538461538462	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	6.461538461538462	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	4.038461538461538	3.7692307692307683	3.7692307692307683	3.7692307692307683	3.7692307692307683	3.461538461538462	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	3.230769230769231	64.61538461538461	113.07692307692305	113.07692307692305	113.07692307692305	113.07692307692305	48.46153846153847
987.559__3.37_5387	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
982.62__7.48_4896	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.25	4.266666666666667	4.266666666666667	4.266666666666667	4.266666666666667	4.285714285714286	4.0	4.0	4.0	4.0	4.0	4.0	68.0	128.0	128.0	128.0	128.0	60.0
98.512__2.39_1840	1.4297872340425533	2.9489361702127663	1.5191489361702128	3.1276595744680855	3.9319148936170216	1.5191489361702128	1.7872340425531916	3.1276595744680855	2.8595744680851065	7.1489361702127665	2.4127659574468088	3.4851063829787234	7.863829787234043	3.842553191489362	1.5191489361702128	4.2893617021276595	4.8255319148936175	3.6638297872340426	1.9659574468085108	3.5744680851063833	6.34468085106383	6.702127659574469	3.5744680851063833	5.093617021276596	3.7531914893617024	18.319148936170215	6.8808510638297875	4.37872340425532	2.323404255319149	1.7872340425531916	4.484840425531916	4.200000000000001	4.200000000000001	4.200000000000001	4.200000000000001	3.874468085106383	3.619148936170213	3.5744680851063833	3.5744680851063833	3.5744680851063833	3.5744680851063833	3.3063829787234047	71.75744680851065	126.00000000000003	126.00000000000003	126.00000000000003	126.00000000000003	54.242553191489364
98.512__0.79_1293	0.5863192182410423	1.250814332247557	1.7198697068403908	0.9381107491856676	2.071661237785016	2.306188925081433	2.6188925081433223	0.3908794788273615	2.1889250814332244	4.846905537459283	4.182410423452768	3.0097719869706836	5.042345276872964	7.11400651465798	1.01628664495114	2.149837133550488	2.03257328990228	10.123778501628664	3.908794788273615	3.6742671009771986	3.9869706840390875	8.052117263843648	6.840390879478827	8.364820846905536	10.123778501628664	5.159609120521172	8.794788273615634	8.052117263843648	9.693811074918566	5.785016286644951	4.788273615635179	4.5342019543973935	4.5342019543973935	4.5342019543973935	4.5342019543973935	4.24383434155421	3.9283387622149832	3.9478827361563513	3.9478827361563513	3.9478827361563513	3.9478827361563513	3.9478827361563513	76.61237785016286	136.0260586319218	136.0260586319218	136.0260586319218	136.0260586319218	59.41368078175895
98.013__0.85_3287	0.34782608695652173	0.6956521739130435	5.913043478260869	0.34782608695652173	2.4347826086956523	3.8260869565217392	3.130434782608696	0.6956521739130435	3.4782608695652173	1.0434782608695652	5.217391304347826	3.130434782608696	1.7391304347826086	8.0	4.521739130434782	1.7391304347826086	3.4782608695652173	18.08695652173913	3.130434782608696	1.391304347826087	1.7391304347826086	15.304347826086957	13.91304347826087	13.217391304347826	15.652173913043478	1.391304347826087	14.956521739130435	17.391304347826086	19.130434782608695	18.08695652173913	7.217391304347826	6.771014492753623	6.771014492753623	6.771014492753623	6.771014492753623	6.260869565217392	3.6521739130434785	3.4782608695652173	3.4782608695652173	3.4782608695652173	3.4782608695652173	3.130434782608696	115.47826086956522	203.1304347826087	203.1304347826087	203.1304347826087	203.1304347826087	87.65217391304348
979.617__7.57_3001	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	9.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	12.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.75	3.7	3.7	3.7	3.7	3.642857142857143	3.0	3.0	3.0	3.0	3.0	3.0	60.0	111.0	111.0	111.0	111.0	51.0
973.655__5.42_3754	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
