index	V5-leg-psoriasis-4B8	V5-leg-psoriasis-4B9	V5-leg-psoriasis-4A6	V5-forehead-psoriasis-4C6	V5-leg-psoriasis-4C1	V5-leg-psoriasis-4A11	V5-leg-healthy-4A3	V5-leg-psoriasis-4A9	V5-forehead-psoriasis-4C11	V5-leg-psoriasis-4B12	V5-forehead-psoriasis-4C5	V5-forehead-healthy-4C10	V5-leg-healthy-4B3	V5-leg-healthy-4B4	V5-forehead-healthy-4C9	V5-leg-healthy-4B10	V5-forehead-psoriasis-4C7	V5-leg-psoriasis-4B7	V5-leg-healthy-4A10	V5-leg-psoriasis-4A8	V5-forehead-healthy-4C4	V5-forehead-healthy-4C8	V5-leg-healthy-4B5	V5-leg-psoriasis-4A12	V5-leg-psoriasis-4A7	V5-leg-healthy-4B1	V5-leg-healthy-4B11	V5-leg-healthy-4B6	V5-leg-healthy-4A5	V5-leg-healthy-4A4	V5-leg-healthy-4B2	V5-forehead-healthy-4C2	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_forehead	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_forehead	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_forehead	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	5711.310910582444	4804.469237079573	2196.81706316653	904.7744052502051	61.46677604593929	85.30926989335521	128.99753896636588	40.38063986874487	690.0541427399507	69.32239540607054	223.54060705496306	135.06152584085316	61.05332239540607	53.886792452830186	114.52666119770304	21.775225594749795	166.8974569319114	19.570139458572598	26.736669401148482	19.84577522559475	237.18457752255947	135.61279737489744	61.60459392945037	37.624282198523375	7.71780147662018	54.300246103363406	9.371616078753076	11.30106644790812	31.284659557013946	54.713699753896634	17.916324856439704	414.55619360131254	92.3460888867442	590.7293933017085	519.0307629204266	225.1369975389663	989.557461406518	335.8009297238173	519.0307629204266	335.8009297238173	1002.6067268252664	54.713699753896634	53.886792452830186	61.53568498769483	39.00246103363412	61.05332239540607	223.54060705496306	61.53568498769483	223.54060705496306	85.30926989335521	1569.8835110746513	13586.776045939294	16608.98441345365	2701.643970467596	10885.132075471698	3022.208367514356	16608.98441345365	3022.208367514356	15039.100902378996
992.745__8.38_527	4993.601067378252	4435.132755170113	2007.3702468312208	837.8705803869246	55.25283522348232	79.6851234156104	126.8685790527018	49.088725817211476	580.5470313542362	70.71914609739827	209.8038692461641	135.83455637091396	66.6844563042028	55.25283522348232	111.29019346230821	22.0787191460974	164.18945963975983	18.156104069379587	28.018679119412944	19.388925950633755	227.2875250166778	135.27418278852568	61.753168779186126	35.97598398932622	10.310873915943963	52.00266844563042	7.733155436957972	11.879919946631087	27.34623082054703	46.51100733822548	22.302868579052703	324.1200800533689	86.01404858140721	534.9180033065521	469.6666110740494	208.73915943962643	890.7494693431983	302.91305314654215	469.6666110740494	302.91305314654215	904.4728485657105	55.25283522348232	49.088725817211476	64.21881254169446	41.243495663775846	55.25283522348232	209.8038692461641	64.21881254169446	209.8038692461641	79.6851234156104	1462.2388258839226	12303.114076050699	15029.33155436958	2504.8699132755173	9798.244162775181	2726.2174783188793	15029.33155436958	2726.2174783188793	13567.092728485657
989.614__8.21_4778	26626.294416243654	7559.644670050761	3685.8375634517765	171.6243654822335	171.6243654822335	163.4517766497462	98.07106598984771	57.20812182741117	237.00507614213197	155.27918781725887	40.86294416243655	106.24365482233502	32.690355329949234	24.517766497461928	32.690355329949234	32.690355329949234	32.690355329949234	24.517766497461928	65.38071065989847	32.690355329949234	24.517766497461928	65.38071065989847	57.20812182741117	57.20812182741117	49.035532994923855	40.86294416243655	24.517766497461928	8.172588832487309	24.517766497461928	24.517766497461928	24.517766497461928	32.690355329949234	42.305165721110775	1697.41116751269	1243.2550761421319	360.2749576988155	3156.105214582371	82.63395375070502	1243.2550761421319	82.63395375070502	2604.331641285956	32.690355329949234	49.035532994923855	44.9492385786802	53.121827411167516	32.690355329949234	40.86294416243655	44.9492385786802	40.86294416243655	155.27918781725887	719.1878172588832	39040.456852791875	39784.16243654822	4323.299492385786	34717.15736040608	743.7055837563452	39784.16243654822	743.7055837563452	39064.974619289336
982.62__7.48_4896	24279.26716688907	4900.836961039529	2284.689694397655	840.481701047842	76.94550784240806	130.21547481022904	53.26996696782097	41.43219653052742	544.5374401155033	41.43219653052742	71.0266226237613	65.10773740511452	17.756655655940325	23.6755408745871	94.7021634983484	17.756655655940325	118.3777043729355	29.594426093233874	23.6755408745871	17.756655655940325	301.86314615098553	106.53993393564194	17.756655655940325	41.43219653052742	23.6755408745871	17.756655655940325	11.83777043729355	29.594426093233874	41.43219653052742	35.51331131188065	47.3510817491742	497.18635836632905	82.51622334231091	1400.202368463352	1088.8899150679238	229.85004265744973	2676.9503602516093	293.3136452796068	1088.8899150679238	293.3136452796068	2229.4467656902852	35.51331131188065	35.51331131188065	44.39163913985081	41.43219653052742	29.594426093233874	118.3777043729355	44.39163913985081	118.3777043729355	76.94550784240806	1402.7757968192855	32204.654474657098	34844.47728217356	2758.2005118893967	29446.453962767704	2639.8228075164616	34844.47728217356	2639.8228075164616	33441.70148535428
979.617__7.57_3001	10275.616438356165	6801.219178082191	1082.2191780821918	315.1917808219178	60.12328767123287	65.58904109589041	63.76712328767123	71.05479452054794	218.63013698630135	67.41095890410959	105.67123287671232	58.3013698630137	27.32876712328767	38.26027397260274	76.52054794520548	30.972602739726025	69.23287671232876	40.082191780821915	36.43835616438356	16.397260273972602	91.0958904109589	52.83561643835616	27.32876712328767	29.15068493150685	18.21917808219178	18.21917808219178	34.61643835616438	14.575342465753424	20.041095890410958	18.21917808219178	27.32876712328767	114.78082191780821	44.15471394037066	821.0512209648601	624.5761986301371	122.22031963470322	1583.4122042341216	122.47336377473364	624.5761986301371	122.47336377473364	1282.3872146118727	34.61643835616438	34.61643835616438	55.56849315068493	28.23972602739726	38.26027397260274	91.0958904109589	55.56849315068493	91.0958904109589	69.23287671232876	750.6301369863013	18884.178082191782	19986.438356164388	1466.6438356164385	17417.53424657534	1102.2602739726028	19986.438356164388	1102.2602739726028	19235.80821917809
974.658__7.53_3150	17824.242424242424	7455.272727272727	2497.4545454545455	140.12121212121212	41.21212121212121	140.12121212121212	74.18181818181819	78.3030303030303	61.81818181818182	98.9090909090909	49.45454545454545	41.21212121212121	32.96969696969697	24.727272727272727	49.45454545454545	61.81818181818182	32.96969696969697	70.06060606060606	32.96969696969697	16.484848484848484	20.606060606060606	41.21212121212121	57.696969696969695	45.333333333333336	28.848484848484848	32.96969696969697	37.09090909090909	12.363636363636363	53.57575757575758	24.727272727272727	41.21212121212121	45.333333333333336	40.24242424242424	1251.4150197628455	914.5227272727271	255.51515151515147	2337.851239669421	53.57575757575758	914.5227272727271	53.57575757575758	1905.3737373737372	41.21212121212121	45.333333333333336	45.333333333333336	43.27272727272727	57.696969696969695	45.333333333333336	45.333333333333336	45.333333333333336	70.06060606060606	684.1212121212121	28782.54545454545	29264.72727272727	3066.1818181818176	25716.363636363632	482.1818181818182	29264.72727272727	482.1818181818182	28580.606060606056
974.371__2.39_1449	19793.198884559963	5772.18124566366	2342.085445909164	177.51747878529113	194.6965896354806	97.3482948177403	128.843331376421	11.452740566792977	148.8856273683087	62.99007311736137	68.71644340075785	37.22140684207717	45.81096226717191	60.12688797566313	91.62192453434382	8.589555425094732	60.12688797566313	40.08459198377542	20.04229599188771	37.22140684207717	74.44281368415434	62.99007311736137	40.08459198377542	48.67414740887015	17.179110850189463	14.315925708491221	17.179110850189463	11.452740566792977	28.631851416982443	25.768666275284197	37.22140684207717	37.22140684207717	43.62146774704972	1254.5730373058657	925.4351225182793	234.06538533383147	2367.8541121844482	84.30489583889273	925.4351225182793	84.30489583889273	1924.8239312590063	37.22140684207717	40.08459198377542	47.24255483802103	32.92662912952981	45.81096226717191	68.71644340075785	47.24255483802103	68.71644340075785	68.71644340075785	741.5649516998452	28855.17985803491	29613.923920584937	2808.7846240059775	26046.39523402893	758.7440625500346	29613.923920584937	758.7440625500346	28872.358968885095
973.642__8.82_4479	14961.142857142857	8924.077922077922	6819.766233766234	173.2207792207792	160.3896103896104	250.2077922077922	102.64935064935065	76.98701298701299	128.3116883116883	57.74025974025974	64.15584415584415	32.077922077922075	32.077922077922075	64.15584415584415	121.8961038961039	70.57142857142857	44.90909090909091	89.81818181818181	44.90909090909091	57.74025974025974	19.246753246753247	19.246753246753247	25.662337662337663	19.246753246753247	19.246753246753247	64.15584415584415	38.493506493506494	25.662337662337663	25.662337662337663	32.077922077922075	64.15584415584415	25.662337662337663	47.55080213903743	1392.46075663467	1020.4788961038961	631.400432900433	2222.7083825265645	69.85858585858585	1020.4788961038961	69.85858585858585	2123.130735930736	32.077922077922075	64.15584415584415	60.94805194805194	60.94805194805194	64.15584415584415	44.90909090909091	60.94805194805194	44.90909090909091	89.81818181818181	808.3636363636363	32026.597402597406	32655.324675324675	7576.805194805196	24449.79220779221	628.7272727272727	32655.324675324675	628.7272727272727	31846.96103896104
970.671__7.82_2660	7016.287793952967	6290.126539753639	3104.1758118701005	255.1377379619261	68.69092945128779	117.7558790593505	268.22172452407614	42.52295632698768	271.49272116461367	35.98096304591265	29.438969764837626	58.87793952967525	52.33594624860022	65.41993281075028	26.16797312430011	3.270996640537514	39.251959686450164	58.87793952967525	19.625979843225082	39.251959686450164	55.606942889137734	42.52295632698768	42.52295632698768	13.083986562150056	22.896976483762597	58.87793952967525	22.896976483762597	26.16797312430011	32.70996640537514	52.33594624860022	19.625979843225082	117.7558790593505	56.761412291680394	759.724524076148	574.0599104143337	315.9237588652482	1243.870813397129	99.58367550080877	574.0599104143337	99.58367550080877	1160.3315416200078	42.52295632698768	42.52295632698768	47.42945128779395	40.88745800671892	52.33594624860022	55.606942889137734	47.42945128779395	55.606942889137734	58.87793952967525	964.9440089585667	17473.664053751403	18369.917133258677	3791.0851063829787	13682.57894736842	896.2530795072789	18369.917133258677	896.2530795072789	17404.973124300115
969.668__7.79_1917	5685.100917431193	3012.7339449541287	2890.2018348623856	221.72477064220186	50.56880733944955	103.08256880733946	215.88990825688074	23.339449541284406	167.26605504587158	89.4678899082569	50.56880733944955	42.78899082568808	40.84403669724771	60.29357798165138	58.348623853211016	11.669724770642203	54.45871559633028	35.00917431192661	33.06422018348624	42.78899082568808	77.79816513761469	60.29357798165138	60.29357798165138	9.724770642201836	13.61467889908257	42.78899082568808	17.504587155963304	25.284403669724774	50.56880733944955	44.73394495412845	17.504587155963304	118.6422018348624	57.5477603885591	546.7857997606701	419.62385321100925	290.6085626911315	826.2518765638032	94.65443425076452	419.62385321100925	94.65443425076452	829.976758409786	44.73394495412845	42.78899082568808	50.56880733944955	42.78899082568808	50.56880733944955	60.29357798165138	50.56880733944955	60.29357798165138	54.45871559633028	978.3119266055047	12576.073394495414	13427.963302752296	3487.302752293578	9088.770642201835	851.8899082568807	13427.963302752296	851.8899082568807	12449.65137614679
