index	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	5016.475674580796	5129.387889102438	415.6719269889862	528.5841415106282	240.5841956474203	5453.733760228331	3889.9364885200994	6496.695767893107	1596.2687582373317	2689.2294752736184	4403.760863426592	987.0593916516094	786.1420687528051	1635.751133903396	1216.3892652633758	0.7379883302068108	3050.6285104786452	2530.4005493319214	2530.4005493319214	1210.5545450276782	3850.246553636164	2530.4005493319214	969.7166658917492	3289.5829818968587	1616.0099460703639	1616.0099460703639	657.3631051317167	4146.848675973346	1616.0099460703639	1001.2656670080905	36607.54212574374	40486.40878931074	40486.40878931074	9684.436360221425	30801.972429089314	40486.40878931074	3878.866663566997
992.745__8.38_527	5114.425494390883	3455.576340194954	437.8117597539085	479.1098242560683	241.90733352372678	5508.456078169401	3748.5834940362265	6859.791479917285	1772.9415918870218	2847.0833391757906	4417.455310878168	888.953907416742	682.4635849059434	1710.7331149787053	1169.284123736782	1.1762106978463214	2960.9470692311916	2458.4845617449655	2458.4845617449655	994.9925690795263	3921.9765544104052	2458.4845617449655	951.0970392862894	3151.3298396853725	1741.8373534328634	1741.8373534328634	580.7867045810059	4083.0194024571974	1741.8373534328634	925.8738543213627	35531.3648307743	39335.75298791945	39335.75298791945	7959.940552636211	31375.812435283242	39335.75298791945	3804.3881571451575
989.614__8.21_4778	3040.5026653608525	733.6856111067178	369.53865432226434	201.1517927567881	302.34980808185264	10168.326810346749	4743.864341344623	11446.366499790136	2719.9040348433327	4069.0726571893774	8157.016255761092	800.667084364906	429.67681916707727	2257.669657467167	1470.896562911235	2.281102804458422	3871.031459165941	3182.0606473511643	3182.0606473511643	694.9068634309247	5669.2144312714045	3182.0606473511643	1115.1482119068328	2880.2033501020924	1864.283110189201	1864.283110189201	399.6077367446708	4406.468499267001	1864.283110189201	950.286691039156	46452.3775099913	50912.97035761863	50912.97035761863	5559.254907447397	45353.715450171236	50912.97035761863	4460.592847627331
98.513__6.8_3090	8962.22553609504	1614.1461214217895	1566.8698751876784	2444.8573052497395	992.8011709163308	1823.5123547442809	1492.578631105504	2059.893585914836	2127.4310805349946	1985.6023418326615	2904.1122686668177	405.2249677209513	607.837451581427	1769.4823590481542	763.1736892077917	655.113697815538	2336.7973138574857	2010.928902315221	2010.928902315221	1301.785208803556	2720.072595826886	2010.928902315221	1033.323667688426	1904.557348288471	1691.8142402349717	1691.8142402349717	1279.8355230520046	1904.557348288471	1691.8142402349717	877.9874300620612	28041.56776628983	32174.862437043535	32174.862437043535	10414.281670428449	21760.580766615087	32174.862437043535	4133.294670753704
98.512__5.19_2012	4827.836542089731	1855.3850464634813	630.4473736691158	1570.1255884154784	1505.4028542365197	2840.6088889654075	1021.1809170457921	2814.240367633239	1857.7821847664059	412.30778810299586	1054.7408532867337	503.3990436141229	1085.9036512247508	1764.2937909523544	649.6244800925109	261.288075018759	1637.445222422605	1540.9104653485874	1540.9104653485874	1158.716727176079	1923.1042035210955	1540.9104653485874	1251.306194126534	1312.433220851106	1295.6532527306354	1295.6532527306354	1295.6532527306354	1409.5173221195441	1295.6532527306354	1295.6532527306354	19649.34266907126	24654.5674455774	24654.5674455774	9269.733817408633	15384.833628168764	24654.5674455774	5005.224776506136
973.655__5.42_3754	7189.714836710344	92.73654937516439	696.9414911557114	793.7276715079572	323.1605519710969	3845.529575836511	1063.0281314838712	2536.28388094609	1885.9131460268147	3353.4994121211193	4129.408707329918	1262.674938653985	782.7936678698375	2581.639747889402	2036.5594183742433	1.6198523908325657	2237.5898494615262	2035.9519737276812	2035.9519737276812	729.9459836189249	3341.957963836437	2035.9519737276812	1431.0383465261448	1574.2940423403998	1574.2940423403998	1574.2940423403998	739.8675795127745	2967.569580005261	1574.2940423403998	1409.6765431220404	26851.078193538317	32575.2315796429	32575.2315796429	5839.567868951399	26735.663710691497	32575.2315796429	5724.153386104579
970.671__7.82_2660	2886.1530023769647	5932.091905232242	267.2782335273601	366.70057160275496	292.13381804620883	4110.8554395784195	2942.320167393584	4559.869959912427	1317.9915790968737	1939.3811920680914	3430.070663601122	744.699136168623	803.7714993757569	1712.7757332079382	1582.041814634773	25.82398391568697	2376.9363195395126	2057.1224187336766	2057.1224187336766	1218.8113408706886	2895.4334965966646	2057.1224187336766	1097.6807163161693	2412.767097222528	1647.4087739213555	1647.4087739213555	555.699853885689	2914.236584885274	1647.4087739213555	1192.9066570052648	28523.23583447415	32913.958699738825	32913.958699738825	9750.490726965509	23163.467972773316	32913.958699738825	4390.722865264677
968.569__6.23_4939	21476.807012275225	1397.1420773224706	247.52055274142847	880.9854744493497	350.75187331605264	3725.712206193255	2437.6668653871484	2280.473718148516	716.7538280806293	5663.645633344155	5253.066517422354	408.23294954510476	932.6011347366617	4185.560816025672	1488.642566013615	2.3461663766960044	3707.529416773861	3215.4943369611456	3215.4943369611456	617.0417570710492	5813.946916851242	3215.4943369611456	1739.3890975230001	1838.8078977354935	1442.8923216680428	1442.8923216680428	562.493388812867	3955.6365111094633	1442.8923216680428	1210.6218503751384	44490.353001286334	51447.90939137833	51447.90939137833	4936.334056568394	46511.57533480994	51447.90939137833	6957.556390092001
964.712__7.85_1165	3048.067681318585	4187.352821836066	232.29705491488883	424.26922864418293	293.64235288871913	4471.986424672685	2785.74145956336	4697.097928950779	1584.36029190104	2017.3165295240346	3731.231226936241	904.0924159429884	980.4522973369869	1954.4697732081875	1735.5785963470203	3.4319047817527437	2340.6037474155505	2065.71174929797	2065.71174929797	1076.237296030828	3055.1862025651117	2065.71174929797	1241.0357549452283	2401.528994543697	1845.0241847776038	1845.0241847776038	664.1808222935856	2916.9045704409727	1845.0241847776038	1358.0154468420037	28087.244968986604	33051.38798876752	33051.38798876752	8609.898368246624	24441.489620520893	33051.38798876752	4964.143019780913
961.584__7.56_4092	2009.337723843642	795.8195166859516	336.7162912986467	463.5684203291796	199.3100651327734	6399.233241925877	4387.459957204849	6846.3616263327	2649.4843077833234	3423.7897033856966	5673.639063871229	1134.5654420490869	596.712414959627	1709.5607725186865	1758.677916879309	0.6088902193465582	2843.382015410794	2399.0528346512456	2399.0528346512456	772.0981685572419	4026.0075007452488	2399.0528346512456	1066.065292372599	2329.4110158134827	1734.1193446989978	1734.1193446989978	530.1404176444033	3905.6248302952727	1734.1193446989978	1153.1365937391568	34120.584184929525	38384.84535441993	38384.84535441993	6176.7853484579355	32208.06000596199	38384.84535441993	4264.261169490396
957.631__7.62_4085	2754.549934795725	580.201724507075	298.55040193082505	355.28302547832686	251.4743951573661	6830.044572474064	4192.178757031356	6617.599003445121	2493.0165638320645	3317.8525799482254	6047.8586137765915	1116.1439554664537	453.0562703155108	1739.8004554567217	1749.8594312630164	2.8165132257625003	2883.841303825966	2425.017887381513	2425.017887381513	693.817856239173	4156.217918523853	2425.017887381513	1048.5476380481537	2623.783249313895	1744.829943359869	1744.829943359869	404.16964789691883	3755.015668489791	1744.829943359869	1096.4283628861162	34606.09564591159	38800.28619810421	38800.28619810421	5550.542849913384	33249.74334819082	38800.28619810421	4194.190552192615
955.525__7.06_3916	14637.885881892846	1161.0111849824013	1063.5975752835354	510.9244427062965	1435.3597184200237	1809.109894407509	1568.5579194368402	1383.6708642940948	1359.8144700821276	3164.948298787642	3840.8794681267113	278.3245991396168	906.5429800547518	3498.937817755182	1552.653656628862	7.952131403989051	2565.5563942119675	2386.2606814626515	2386.2606814626515	840.4408877590927	3932.080475166211	2386.2606814626515	1848.3735432147048	1371.7426671881112	1409.5152913570591	1409.5152913570591	985.0702776691436	2487.0290965975755	1409.5152913570591	1494.006687524443	30786.67673054361	38180.170903402424	38180.170903402424	6723.527102072741	31456.643801329687	38180.170903402424	7393.494172858819
954.678__8.37_2186	4965.108946697096	4115.511550509962	331.1008439911447	514.9872692708053	313.37896521896363	5201.810080000781	3344.873020139476	6292.495213148082	1661.645465074796	2651.7896424155642	4072.522834676454	1049.626522922643	622.7222550739652	1590.5824858398128	1161.5726482360242	3.333818778925145	2850.400433968811	2368.316347624656	2368.316347624656	1076.5383363551505	3660.0943588941614	2368.316347624656	922.0640885921914	2998.33133127752	1626.1139754573044	1626.1139754573044	568.8547621723853	3708.697927407965	1626.1139754573044	892.1474516549947	34204.80520762573	37893.061561994495	37893.061561994495	8612.306690841204	29280.75487115329	37893.061561994495	3688.2563543687656
953.674__8.39_629	4996.302737520128	4119.136876006441	348.1266774020397	538.1084272678476	277.27321524422973	5263.184111647879	3610.881374127751	6059.388083735909	1658.3488996242618	2762.340311325818	4150.501341921631	1019.5340848094471	710.8019323671497	1635.2979066022542	1192.6054750402575	0.37788513150831987	2877.185900876722	2396.3880837359093	2396.3880837359093	1083.9634997316157	3708.812667740204	2396.3880837359093	953.9946323134727	3186.6108427267845	1646.8234031132579	1646.8234031132579	624.4551798174987	3880.691358024691	1646.8234031132579	951.7037037037036	34526.23081052066	38342.20933977455	38342.20933977455	8671.707997852925	29670.50134192163	38342.20933977455	3815.978529253891
952.672__6.62_2982	12181.613603432028	1642.8940458366249	725.0202406045349	1710.2108561311488	814.169529913499	2834.583525374819	2370.6433463179646	2116.8407777750976	405.720235018347	3542.319720092922	1983.1168438116513	919.6931784832933	960.6290766353687	2418.8567374748536	1670.184644604675	3.6387465024066996	2536.3579266150696	2268.7584442505768	2268.7584442505768	897.746988640653	3639.769899860501	2268.7584442505768	1465.959997157099	1846.6638499714	1690.1977503679118	1690.1977503679118	866.9313541983961	2394.750041896409	1690.1977503679118	1315.406860620022	30436.295119380837	36300.13510800923	36300.13510800923	7181.975909125224	29118.15919888401	36300.13510800923	5863.839988628396
948.718__8.39_340	5567.928198305392	3006.8432303673153	402.7650836374894	545.8264437909046	292.35361578389546	5570.60748336053	3518.5866758986735	6457.263909746896	1843.721971663569	2890.2631759914266	4280.313647969884	942.0490871774756	663.652677262206	1816.0567957454	1103.117735259609	0.9346343215597681	2918.9252951859266	2431.392772892639	2431.392772892639	962.2683430005519	3900.5172027847266	2431.392772892639	968.7952060127775	2948.553203179371	1829.8893837044845	1829.8893837044845	604.7395605265554	3899.450161934279	1829.8893837044845	883.3852062609075	35027.10354223112	38902.28436628223	38902.28436628223	7698.146744004415	31204.137622277813	38902.28436628223	3875.18082405111
945.588__8.23_4782	2645.185092977943	836.2182978771809	182.97380561979065	365.2474563711382	260.3409185827506	9551.86279273467	4250.640206317918	10685.763602178233	2628.848146047604	3512.9103599350624	7190.707191388469	937.3906763672055	312.7358412379075	2092.6462092982815	1277.315864996319	0.7001548684430764	3565.703981890305	2920.7179135499327	2920.7179135499327	690.5569121215026	5150.878914978362	2920.7179135499327	985.7597085288146	2637.0166195127736	1684.9810371473004	1684.9810371473004	338.9916488045228	3881.7752831264897	1684.9810371473004	795.0258531171132	42788.44778268366	46731.486616798924	46731.486616798924	5524.455296972021	41207.0313198269	46731.486616798924	3943.0388341152584
940.632__8.28_4703	2360.5151400303707	852.4260920074291	343.411905918953	362.68666209775296	290.0850804909397	10473.42063865544	4626.262728848308	11794.06268283955	2729.1448519499204	3831.018413504653	7919.033576059972	954.2610538187557	515.7603507510561	2005.538380404138	1363.8496226182554	0.8031148407833325	3853.9205717143236	3151.3925184272675	3151.3925184272675	756.0723889844488	5546.712647870086	3151.3925184272675	1043.8083585660972	2544.8299959901456	1684.6940015111968	1684.6940015111968	439.2235064244045	4228.64057117648	1684.6940015111968	939.8049866846557	46247.046860571885	50422.28029483628	50422.28029483628	6048.579111875591	44373.701182960685	50422.28029483628	4175.233434264389
939.599__7.91_3785	1040.2867939486027	3788.3010239809737	349.83095725705226	543.1585915306864	837.7530818524147	34403.11282288432	3507.5156503930766	44331.86775450882	1785.9790975754772	1845.8186034220782	36354.801321265775	911.4017044328467	842.3561207636916	1325.6752064477769	1132.347572174143	50.633428024047035	10742.725645768647	8315.677483153862	8315.677483153862	1138.676750677149	15492.678215630574	8315.677483153862	1034.5329953095065	1815.8988504987778	1229.0113893109599	1229.0113893109599	840.0546013080532	2676.6671269075773	1229.0113893109599	987.3518464689173	128912.70774922377	133050.8397304618	133050.8397304618	9109.414005417191	123941.4257250446	133050.8397304618	4138.131981238026
936.681__7.2_2484	9444.667130694792	3304.7516407356425	766.1115377956208	1328.2941050988823	432.10895369191854	2269.6743256419904	1815.5189967617089	1858.509428379017	616.1961865147512	2578.3235782790753	3263.9658466371707	1087.9886155457234	585.3312612510427	2156.1354934219203	1602.771476194004	6.613912556508957	2361.717942053407	2069.8101555749854	2069.8101555749854	1015.9245266487612	3123.69578450121	2069.8101555749854	1194.0867961397214	1837.0142125703628	1709.1452364778565	1709.1452364778565	691.1538621551861	2212.904909531955	1709.1452364778565	1094.0513687225234	28340.615304640887	33116.96248919977	33116.96248919977	8127.39621319009	24989.56627600968	33116.96248919977	4776.347184558886
931.69__8.48_3471	4310.868610689462	13653.51122473436	567.9860669489493	274.8906926579851	185.6877526563873	6986.956810737396	4150.667412319245	10398.514148757688	1172.381497163857	2759.8297355596387	6016.647279699608	309.4795877606455	285.8135016377726	1474.5792122713108	1161.4586881840696	38.22983142925621	4219.996908204841	3359.218878325477	3359.218878325477	2060.997519373652	4657.440237277302	3359.218878325477	776.884788687385	3455.248573939442	1323.4803547175839	1323.4803547175839	297.646544699209	4230.768011504353	1323.4803547175839	723.6360949109211	50639.96289845809	53747.50205320763	53747.50205320763	16487.980154989214	37259.521898218416	53747.50205320763	3107.53915474954
929.491__6.01_4603	16582.764940937424	828.4572135541043	290.04014633132084	914.1873120553511	800.4146579695844	2625.584418584913	1932.5326877103478	1318.8013283462822	776.3781817542815	3615.086022781546	3955.602769165003	430.2529242539207	261.9975907468009	3523.7474131633953	1349.2475315523322	4.006079369217138	2772.807835403643	2450.568826142239	2450.568826142239	538.2167632543226	4362.920889030155	2450.568826142239	1483.8517983580282	1116.4943202008167	1116.4943202008167	1116.4943202008167	603.315553004101	3074.665915874154	1116.4943202008167	1074.8310947609584	33273.69402484372	39209.10121827582	39209.10121827582	4305.734106034581	34903.36711224124	39209.10121827582	5935.407193432113
927.494__6.39_3864	13927.458809840136	271.9158916647129	665.767160757548	1105.9538732730698	1191.3086374727554	2181.423902189109	2411.88176552826	1664.4179018938703	1091.3216279816952	5031.053672684328	3511.738869929924	790.1412457342329	653.5736230147359	3644.6484313265773	1874.1467510702407	3.658061322843671	2721.394398566644	2501.2756391052526	2501.2756391052526	721.7050151526992	4280.846263057806	2501.2756391052526	1840.9193607210773	1385.18588758347	1427.8632696833129	1427.8632696833129	727.9542032458905	2961.8103177290923	1427.8632696833129	1532.727694271498	32656.73278279973	40020.41022568404	40020.41022568404	5773.640121221593	34246.77010446245	40020.41022568404	7363.677442884309
927.133__10.01_6149	5606.067598598074	485.67417314587277	2012.0787173186159	2150.842766788865	666.0674374571969	1457.0225194376183	388.5393385166982	2025.9551222656407	832.5842968214962	888.0899166095959	1248.8764452322444	2525.5057003585384	2664.2697498287876	2192.47198162994	1026.8539660798453	7396.123836764291	2251.446702654796	2097.9389729283325	2097.9389729283325	2341.643334810458	1854.234611046207	2097.9389729283325	1637.4157837489424	1734.5506183781172	1734.5506183781172	1734.5506183781172	2081.4607420537404	1352.9494823349314	1734.5506183781172	1609.6629738548927	27017.36043185755	33567.02356685332	33567.02356685332	18733.146678483663	14833.876888369656	33567.02356685332	6549.66313499577
925.623__8.48_2415	4724.843784846323	2261.855091985535	106.85222546497765	428.30681972096085	354.67755511484177	3404.006611241431	2725.180708287455	3416.577461296134	1481.5644707328834	2502.4970787469974	2840.114194501885	1058.645158178224	1082.8889404265803	1727.593964660647	1163.701547921101	6.285425027351627	2079.72741916918	1830.349439884583	1830.349439884583	847.6344608314193	2813.0644189377463	1830.349439884583	1082.2155020307925	2382.1760853662663	1604.5792176967652	1604.5792176967652	743.4759889495924	2782.64745139467	1604.5792176967652	1123.2952441738407	24956.72903003016	29285.59103815333	29285.59103815333	6781.075686651355	22504.51535150197	29285.59103815333	4328.86200812317
