index	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	523.595865482603	338.4862160695615	1070.991543032597	692.8389735173838	788.0382217869479	1097.4357786630317	2633.8458687912757	227.42042642173666	962.5701769478156	1010.1698010825977	275.02005055651875	674.3280085760797	1946.295742399979	1983.3176722825872	494.50720628912507	296.1754390608664	1106.2505238731765	938.4398119350442	938.4398119350442	1049.505601582869	827.3740222872193	938.4398119350442	435.0076761206475	986.3699890152067	740.4385976521659	740.4385976521659	740.4385976521659	743.0830212152093	740.4385976521659	395.3413226749957	13275.006286478118	15015.036990960707	15015.036990960707	8396.044812662953	6618.992178297754	15015.036990960707	1740.03070448259
992.745__8.38_527	89.90601037554514	374.8623483454933	492.1973110390013	992.013775499659	1014.8712357646282	417.5296075067689	1883.454725833454	569.9126759398963	1600.0222185478372	571.4365066242276	664.3901783684353	435.8155757187442	2450.3197404046878	534.864570200277	405.33896203211873	387.05299382014346	915.9492271734563	805.2492772513074	805.2492772513074	808.9636145443649	801.5349399582499	805.2492772513074	473.14942748486044	570.674591282062	552.3886230700866	552.3886230700866	617.9133424963314	454.8634592728851	552.3886230700866	420.57726887543146	10991.390726081476	12883.988436020918	12883.988436020918	6471.708916354919	6412.279519665999	12883.988436020918	1892.5977099394418
982.62__7.48_4896	1118.2031191887136	7214.902928268579	1253.527063549131	427.3387716644765	555.5404031638195	427.3387716644765	434.46108452555114	683.7420346631624	477.1949616919988	527.051151719521	1531.2972651310408	405.97183308125267	505.6842131362972	1061.2246163001166	1431.5848850759962	968.6345491061468	1223.8507599613201	1188.9811032456423	1188.9811032456423	1519.7235067317947	858.2386997594904	1188.9811032456423	1084.372133098609	541.2957774416702	619.641218913491	619.641218913491	541.2957774416702	826.1882918846545	619.641218913491	1200.1097170910716	14686.209119535843	19023.697651930277	19023.697651930277	12157.788053854358	6865.909598075923	19023.697651930277	4337.488532394436
98.512__10.13_1904	22.800185147089078	182.40148117671262	1345.2109236782555	866.4070355893849	934.8075910306521	820.8066652952068	410.4033326476034	1596.0129602962354	980.4079613248304	1618.8131454433244	1026.0083316190085	1162.809442501543	205.2016663238017	638.4051841184942	592.804813824316	1071.6087019131867	801.8065110059657	842.1818388706027	842.1818388706027	855.0069430158403	829.3567347253652	842.1818388706027	963.3078224645135	843.6068504422958	900.6073133100185	900.6073133100185	900.6073133100185	900.6073133100185	900.6073133100185	1048.8085167660975	9621.678132071589	13474.909421929644	13474.909421929644	6840.055544126722	6634.8538778029215	13474.909421929644	3853.231289858054
973.655__5.42_3754	1130.038486588904	204.61602226301144	567.3444253656227	809.1633607673634	920.7721001835515	3255.2548996388186	2139.167505476938	590.5962460773285	1441.6128841257625	864.9677304754574	283.67221268281133	167.4131091242821	1818.292379655397	1441.6128841257625	255.7700278287643	381.3298596719759	1265.286577061993	1016.9765083782345	1016.9765083782345	853.9231156373972	1180.0299011190718	1016.9765083782345	272.0463023269584	1025.4052933862279	837.0655456214104	837.0655456214104	837.0655456214104	860.3173663331163	837.0655456214104	269.7211202557878	15183.438924743918	16271.624134051752	16271.624134051752	6831.384925099178	9440.239208952575	16271.624134051752	1088.1852093078337
967.688__8.07_678	422.2691376527469	494.7351845552476	452.3690803037256	438.27604357118645	457.06675921457196	2487.942947616586	1939.1844555866053	571.7249222607855	627.4011167597056	353.54383506814247	393.12612959471846	155.37138027354882	3467.409000528057	1546.5802903153142	1357.0202468572722	543.8868250113255	1104.8752311193896	981.7442096980963	981.7442096980963	722.2355097724169	1241.2529096237756	981.7442096980963	612.3511454342163	533.2300534080166	519.3110047832865	519.3110047832865	447.6714013928792	599.5630195102456	519.3110047832865	468.506477303022	13258.502773432674	15707.90735516954	15707.90735516954	5777.884078179335	9930.023276990205	15707.90735516954	2449.404581736865
965.514__3.3_5490	913.8389719381065	3421.038202640091	1359.042573651543	1218.451962584142	421.77183320220297	1312.1790366290759	421.77183320220297	445.2036017134365	1054.4295830055075	515.498907247137	468.63537022467	679.5212868257715	609.225981292071	515.498907247137	632.6577498033045	843.5436664044059	1017.329282862721	927.0193417256754	927.0193417256754	957.7735378966694	896.2651455546813	927.0193417256754	656.0895183145379	761.5324766150887	656.089518314538	656.089518314538	515.498907247137	878.6913191712563	656.089518314538	656.089518314538	12207.951394352653	14832.309467610807	14832.309467610807	7662.188303173355	7170.121164437451	14832.309467610807	2624.3580732581518
964.583__5.02_189	790.7944273391779	1903.1206548052744	3615.0602392648134	590.9233083413637	643.063600253837	486.64272451641716	1685.8694385033023	625.6835029496792	816.8645732954145	938.5252544245188	521.4029191247326	2867.7160551860297	816.8645732954145	1468.6182222013304	590.9233083413637	417.12233529978613	1198.5025432658786	1173.6996960714034	1173.6996960714034	1327.4049316050487	1019.9944605377583	1173.6996960714034	1099.291154487978	816.8645732954145	803.8295003172962	803.8295003172962	1203.5717383129245	708.2389651444286	803.8295003172962	556.1631137330482	14382.030519190543	18779.195137142455	18779.195137142455	10619.23945284039	8159.955684302066	18779.195137142455	4397.164617951912
963.622__7.98_3912	2876.019545696389	3627.885715777895	662.4834785333547	804.4442239333592	389.0775985037162	930.6315531778077	604.6476192963158	373.30418234816017	368.0463769629748	609.9054246815011	499.4915115926087	425.8822362000137	4053.7679519779085	567.8429816000183	2923.3397941630574	704.5459216148375	1322.3380543741166	1276.332257253745	1276.332257253745	941.1471639481784	1611.5173505593111	1276.332257253745	1138.3148658926293	636.1944516074279	636.1944516074279	636.1944516074279	586.2453004481671	817.5887373963226	636.1944516074279	602.0187166037231	15868.0566524894	20421.31611605992	20421.31611605992	7529.177311585428	12892.138804474489	20421.31611605992	4553.259463570517
962.733__8.07_615	374.12834219549455	423.5345524064669	420.35896639888574	438.8955265826736	483.79683571312376	2629.311363439833	2015.1677997411095	594.4992409541514	658.5279169674744	376.34386731706286	400.0499861178433	183.7408834153949	3798.2224175792503	1714.4471899069101	1435.586427938851	604.8383581881367	1160.6028349335363	1034.4656046789164	1034.4656046789164	754.4970801500731	1314.4341292077597	1034.4656046789164	656.0539139150565	539.1480383336376	539.1480383336376	539.1480383336376	431.21503949457025	631.6831375778056	539.1480383336376	502.44417215298995	13927.234019202435	16551.449674862663	16551.449674862663	6035.976641200585	10515.473033662078	16551.449674862663	2624.215655660226
