index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
974.371__2.39_1449	8821.344537815126	6537.462184873949	5578.795518207283	6597.882352941177	7101.3837535014	5905.064425770308	7371.26050420168	5752.0	5784.224089635854	6785.856209150326	6605.490818549642	6605.490818549642	6605.490818549642	6605.490818549642	6244.760037348274	6567.672268907563	6537.462184873949	6537.462184873949	6537.462184873949	6537.462184873949	5784.224089635854	40715.13725490196	59449.41736694678	59449.41736694678	59449.41736694678	59449.41736694678	18734.28011204482
905.398__4.79_2102	1025.4	154882.0090909091	3076.2	28245.10909090909	21346.963636363635	5732.918181818181	7597.281818181818	4194.818181818182	2563.5	35904.53636363636	25407.13333333333	25407.13333333333	25407.13333333333	25407.13333333333	4412.327272727273	13539.940909090908	5732.918181818181	5732.918181818181	5732.918181818181	5732.918181818181	3076.2	215427.21818181817	228664.19999999998	228664.19999999998	228664.19999999998	228664.19999999998	13236.98181818182
903.123__9.51_1200	405271.115942029	10800.608695652174	4283.0	4034.710144927536	24704.840579710144	1986.31884057971	4096.782608695652	4345.072463768116	1551.8115942028985	75190.44444444445	51230.473429951686	51230.473429951686	51230.473429951686	51230.473429951686	3310.5314009661834	7572.840579710145	4283.0	4283.0	4283.0	4283.0	4096.782608695652	451142.6666666667	461074.2608695652	461074.2608695652	461074.2608695652	461074.2608695652	9931.59420289855
892.655__7.23_1983	5173.006402793947	10283.687427240979	4283.0	11986.416763678697	8845.21769499418	8812.808498253784	2752.2887077997675	10936.857392316648	1530.711292200233	9339.665696546372	7178.22157547536	7178.22157547536	7178.22157547536	7178.22157547536	2855.3333333333335	9564.45256111758	8812.808498253784	8812.808498253784	8812.808498253784	8812.808498253784	2752.2887077997675	56037.994179278234	64603.994179278234	64603.994179278234	64603.994179278234	64603.994179278234	8566.0
887.389__5.47_62	2255.269849643894	8877.37061461356	785.6080189923504	4234.6188340807175	7264.000000000001	7999.788973885519	6478.39198100765	9959.976787127407	5162.01951991559	6765.170843225183	5890.782731029632	5890.782731029632	5890.782731029632	5890.782731029632	4142.00650663853	7631.89448694276	6478.39198100765	6478.39198100765	6478.39198100765	6478.39198100765	5162.01951991559	40591.025059351094	53017.04457926669	53017.04457926669	53017.04457926669	53017.04457926669	12426.01951991559
878.64__6.79_498	6119.5	4023.558433398492	6157.949804523876	4384.132155822396	5509.429768221167	6283.552499301871	5359.902750628316	3881.7213767104163	3805.6762077631947	5033.649038909057	5058.380332929971	5058.380332929971	5058.380332929971	5058.380332929971	5107.842920971795	4946.780962021781	5359.902750628316	5359.902750628316	5359.902750628316	5359.902750628316	5359.902750628316	30201.894233454343	45525.422996369736	45525.422996369736	45525.422996369736	45525.422996369736	15323.528762915386
876.66__7.81_1380	9766.778355541112	5226.733181670458	1783.412739681508	7600.5	7679.5432239194015	7620.26080597985	699.0385115372115	12622.21481962951	330.99350016249593	8419.338397790054	5925.49723756906	5925.49723756906	5925.49723756906	5925.49723756906	937.8149171270717	7649.902014949626	7600.5	7600.5	7600.5	7600.5	699.0385115372115	50516.03038674033	53329.47513812155	53329.47513812155	53329.47513812155	53329.47513812155	2813.444751381215
862.645__7.48_2524	6119.5	10134.97482467182	3480.665078223341	13580.42609242942	8773.740963855422	8773.740963855422	2659.7431217406943	11834.04117964395	1827.8168494875022	9869.404004076006	7464.961008211952	7464.961008211952	7464.961008211952	7464.961008211952	2656.075016483846	9454.357894263621	8773.740963855422	8773.740963855422	8773.740963855422	8773.740963855422	2659.7431217406943	59216.424024456035	67184.64907390757	67184.64907390757	67184.64907390757	67184.64907390757	7968.225049451537
861.373__4.84_5153	1971.5396825396824	300795.7698412698	4283.0	30694.833333333332	18389.70634920635	3467.190476190476	17437.92857142857	2957.309523809524	1903.5555555555554	59712.724867724864	42433.42592592593	42433.42592592593	42433.42592592593	42433.42592592593	7874.828042328041	10928.448412698413	4283.0	4283.0	4283.0	4283.0	4283.0	358276.3492063492	381900.8333333333	381900.8333333333	381900.8333333333	381900.8333333333	23624.484126984124
858.65__8.12_4287	21374.550847457624	6034.737288135592	1914.1101694915253	7873.822033898305	7263.999999999999	16390.169491525423	605.9745762711864	21557.30508474576	207.76271186440675	13415.764124293784	9246.936911487757	9246.936911487757	9246.936911487757	9246.936911487757	909.2824858757061	12131.995762711864	7263.999999999999	7263.999999999999	7263.999999999999	7263.999999999999	605.9745762711864	80494.58474576271	83222.43220338982	83222.43220338982	83222.43220338982	83222.43220338982	2727.8474576271183
