index	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	11287317.233057713	36094498.25344761	19634560.246398874	68854341.9542285	18511723.015198126	20224409.407018684	17041340.4938745	33698817.5	23519507.529571634	18374001.555610336	39127129.111214	67278368.05692591	43214439.79175912	199410936.0612144	14480305.363611361	43608912.70009087	42050113.038208716	42050113.038208716	33413351.73997535	46368493.687325396	42050113.038208716	37763413.96803279	20224409.407018684	23519507.529571634	23519507.529571634	23519507.529571634	26666688.873199437	23519507.529571634	33366973.660665378	479698039.70099956	630751695.5731307	630751695.5731307	167066758.69987676	463684936.87325394	630751695.5731307	151053655.87213117
995.65__9.84_5856	24713807.72574627	16729580.0	17545815.85149254	27768104.22789179	10467469.021455225	61650631.397667915	16008183.745149255	23085103.74533582	38464367.64533582	24531541.35942164	22025459.638992537	16391878.356809702	24642064.937313434	22025459.638992537	19083392.222294778	24511487.711753737	24342190.634259947	24342190.634259947	33828844.92606343	19598863.48835821	24342190.634259947	23876623.671152055	22025459.638992537	22025459.638992537	22025459.638992537	27768104.22789179	20554425.930643655	22025459.638992537	20516971.647061568	269626364.8292911	365132859.5138992	365132859.5138992	169144224.63031718	195988634.88358212	365132859.5138992	95506494.68460822
992.745__8.38_527	9552793.904372286	12347500.786745282	22955617.08227616	29137077.212929923	33521226.999999996	22782703.078776892	19028135.874688953	20991166.56807987	10393088.295335038	29788808.054979235	55134155.3179243	107367062.03910123	42408069.792680696	124546941.05895485	2420290.208281123	33016207.297574535	36158309.08500839	36158309.08500839	20889835.485753275	43792545.88463594	36158309.08500839	44799089.000451475	22955617.08227616	22955617.08227616	22955617.08227616	22782703.078776892	28238422.04113808	22955617.08227616	30718102.833684824	363178280.2733199	542374636.2751259	542374636.2751259	104449177.42876637	437925458.84635943	542374636.2751259	179196356.0018059
99.512__4.27_3979	33829762.167817935	23382141.42751025	13743111.667921174	19580208.211804762	35461554.28875729	30221890.57127833	18517061.011421576	23917198.656188387	34352436.16474638	15496822.678142918	40102969.0	27378265.986328375	20475843.960789178	16744767.045828627	9769672.584290063	23840918.027230885	24198247.028188348	24198247.028188348	24606699.810696527	23994020.636934258	24198247.028188348	25180901.780821376	23382141.42751025	23382141.42751025	23382141.42751025	23382141.42751025	22196521.308488782	23382141.42751025	23927054.973558776	262250098.29953972	362973705.4228252	362973705.4228252	123033499.05348264	239940206.3693426	362973705.4228252	100723607.1232855
99.013__6.55_2949	35228189.76569365	18981358.369415134	23419225.00134435	14168404.77643489	39561989.43986491	22746610.0	24892588.932883978	21812615.883819442	34907594.974453464	9563113.629562462	19357229.644060913	39469563.810856074	15385853.350764692	20927425.460759684	30843348.020277224	23328137.271930244	24751007.404012725	24751007.404012725	20073416.34997319	27089802.93103249	24751007.404012725	28663900.267239552	21812615.883819442	22746610.0	22746610.0	18981358.369415134	24155906.967114165	22746610.0	29900091.95366872	256609509.99123266	371265111.06019086	371265111.06019086	100367081.74986595	270898029.3103249	371265111.06019086	114655601.06895821
99.013__10.0_32	24816983.20817135	20985635.101207383	28091052.499999996	14731961.743421052	28171876.67916417	21934554.166828647	23148566.93961199	32924572.42611767	23975439.69460227	23420410.995813396	17560928.02037231	61960373.776110195	25804334.26098983	18744339.210844047	21106061.328068927	22953488.670909904	25825139.33675488	25825139.33675488	21009600.34037455	28232908.834945045	25825139.33675488	33722178.667828575	21934554.166828647	23420410.995813396	23420410.995813396	21934554.166828647	25310658.73458059	23420410.995813396	24889886.977796048	252488375.38000894	387377090.05132324	387377090.05132324	105048001.70187275	282329088.34945047	387377090.05132324	134888714.6713143
99.013__0.88_2719	18776561.409347136	40064505.844091654	34139925.40317095	6.211912451358281	22088933.27387246	50330032.82514604	31287191.576658983	33698817.5	6.211912451358281	8590577.967232395	17057787.353180815	6.211912451358281	50818251.87234809	53439467.72179794	6.211912451358281	25289692.883787666	24019471.83963309	24019471.83963309	19797025.812059	26130694.853420127	24019471.83963309	20526363.968207996	22088933.27387246	22088933.27387246	22088933.27387246	8590577.967232395	26688062.425265722	22088933.27387246	15643598.894285718	278186621.7216643	360292077.5944963	360292077.5944963	98985129.060295	261306948.53420126	360292077.5944963	82105455.87283199
989.614__8.21_4778	35403866.53004498	27396042.223598227	27263827.29720025	61230756.38097184	21873113.91478615	20387952.79932538	29982454.301927067	21822308.79633703	55456003.38118444	21468791.4817849	37149091.00433769	50924736.06004679	21535560.0	43192098.95271162	11149310.746852204	29848832.738904573	32415727.59140724	32415727.59140724	37187909.25337295	30029636.760424383	32415727.59140724	39474688.43578957	27263827.29720025	27396042.223598227	27396042.223598227	27396042.223598227	28623140.79956366	27396042.223598227	40453595.180986926	328337160.1279503	486235913.8711086	486235913.8711086	185939546.26686478	300296367.6042438	486235913.8711086	157898753.74315828
98.513__6.8_3090	15180483.15402491	47925107.691631995	36829584.2239836	21671168.490071286	33649353.56931476	12968827.332891269	36300486.703055546	26719372.750689413	30814470.927507725	28964231.614789996	17006269.260695882	24823758.047715582	17652953.621374674	38905152.0	27066805.943390414	27898759.639225777	27765201.68874247	27765201.68874247	28468761.211378455	27413421.92742448	27765201.68874247	27397917.324913383	27066805.943390414	27066805.943390414	27066805.943390414	28964231.614789996	26893089.347039916	27066805.943390414	27819114.48761165	306886356.03148353	416478025.33113706	416478025.33113706	142343806.05689228	274134219.2742448	416478025.33113706	109591669.29965353
98.512__6.24_2325	11557416.179916782	16729580.0	38952960.32015477	22767462.519100066	18122545.360039975	37563954.37201764	15708073.161961338	32656227.702023525	25430969.811699905	38153834.88230905	13382096.75117452	9136574.630163841	64352042.39883365	50322142.74241591	14346775.532593383	26777726.94197687	27278843.757626954	27278843.757626954	28129160.317025334	26853685.477927767	27278843.757626954	28656915.00066468	22767462.519100066	22767462.519100066	22767462.519100066	25430969.811699905	16915309.261000656	22767462.519100066	20569521.486830622	294554996.3617456	409182656.3644043	409182656.3644043	140645801.58512667	268536854.7792777	409182656.3644043	114627660.00265872
