index	V16-back-psoriasis-BG9	V16-back-healthy-BG3	V16-back-healthy-BH8	V16-back-healthy-BG10	V16-back-healthy-BG2	V16-back-healthy-BH9	V16-back-healthy-BH10	V16-back-healthy-BG4	V16-back-psoriasis-BH7	V16-back-psoriasis-BG12	V16-back-psoriasis-BH1	V16-back-psoriasis-BG6	V16-back-healthy-BG1	V16-back-healthy-BG5	V16-back-healthy-BH11	V16-back-psoriasis-BH2	V16-back-healthy-BH12	V16-back-psoriasis-BH5	V16-back-psoriasis-BG7	V16-back-healthy-BH3	V16-back-healthy-BF12	V16-back-healthy-BH4	V16-back-psoriasis-BG8	V16-back-psoriasis-BG11	V16-back-psoriasis-BH6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	861822.8770736755	1542752.964031299	3560390.906438294	3049612.1457333234	747614.3449962513	1753728.5923695075	3942877.2132841954	1464020.9447618243	898018.498695868	1697380.0	2164958.4600048577	1540685.2573311229	3613553.3377205674	4370510.361638455	2858694.132736354	3699244.1507597757	2152336.4154637326	3277723.7858055523	3188268.226621189	467513.93379021954	3542256.1722932663	897140.2252188514	3916808.62257046	5103916.034171428	2510775.952987888	2425928.6921768673	2512904.142259918	2512904.142259918	2512904.142259918	2512904.142259918	2623600.169638347	2505515.2741000433	2510775.952987888	2510775.952987888	2510775.952987888	2510775.952987888	2510775.952987888	33963001.69047614	62822603.556497954	62822603.556497954	62822603.556497954	62822603.556497954	28859601.866021816
992.745__8.38_527	1531524.3113914714	869678.8454992234	3023247.274996632	1514427.0592657207	3412364.2852583877	1402820.3559701864	1685903.886099469	4409389.3403967125	2420715.9034175123	2427853.7669581375	1282487.873114482	4121689.474608004	4711015.798636966	6727343.2844712045	1245246.8459460035	4894399.409434859	4171988.1369274305	1028692.8591437426	5978516.744498578	1140506.4570346575	968083.0874270437	3646750.0	1786247.7648589807	6708438.290818317	3319466.0257501295	2780626.0469949734	2977151.8832769543	2977151.8832769543	2977151.8832769543	2977151.8832769543	3227275.674908565	2354575.5805480503	2427853.7669581375	2427853.7669581375	2427853.7669581375	2427853.7669581375	2427853.7669581375	38928764.65792963	74428797.08192386	74428797.08192386	74428797.08192386	74428797.08192386	35500032.42399421
99.013__7.26_2802	723409.6057472648	977153.3949303709	2673713.1675553364	1446273.256084879	3037786.669388443	1538392.8863425732	878934.8153653576	1711628.942843903	814259.7895634486	1778057.9671990662	2265948.549552857	2218074.0	1564863.0471576618	2440861.183057906	3073635.516531661	2742543.5948003805	1276059.309724011	1430802.2947209417	3601542.3611605265	3126148.6847850946	3635260.780837235	6967852.692602579	3791433.394791955	2494547.6882430823	14636170.180349771	2453468.8819433576	2833814.1509334524	2833814.1509334524	2833814.1509334524	2833814.1509334524	3317889.947829936	2076245.0629509045	2265948.549552857	2265948.549552857	2265948.549552857	2265948.549552857	2265948.549552857	34348564.34720701	70845353.7733363	70845353.7733363	70845353.7733363	70845353.7733363	36496789.4261293
99.013__0.88_2719	883492.0593122913	1067948.6325494014	839116.8629106914	1849786.6896407516	1016621.1769856222	9501124.855673637	11354629.37498985	2435277.234545638	1900290.8358806388	2458372.2372369845	2840274.8525298657	1624730.3813301749	3351091.241757751	6932252.745608581	1391462.1505918643	5826807.077980609	2392972.073015538	1125546.1766927063	2027745.0	4257325.456908292	1708778.5017377746	3780824.6003002245	4694884.958652448	9761301.187429091	2771876.6662132754	3705657.9712296873	3511781.321218948	3511781.321218948	3511781.321218948	3511781.321218948	3265029.2212052806	2414124.653780588	2435277.234545638	2435277.234545638	2435277.234545638	2435277.234545638	2458372.2372369845	51879211.59721562	87794533.0304737	87794533.0304737	87794533.0304737	87794533.0304737	35915321.43325809
98.513__6.8_3090	1030386.7950777408	1872306.7571171133	839415.0949648976	836630.6109394233	1169272.7850423667	2014345.490805067	1103723.226566417	1354427.6178969573	2640585.63039284	930893.9089118784	2169529.5598998535	1045260.7475159758	2005364.1943389673	4554748.958380895	2688734.0	2431025.6631195317	1047119.4072965292	1870808.3441307428	3135213.8271938064	9363594.437312812	905435.4115314852	7525202.294980792	10005821.154400557	15326154.647197997	5035261.757624427	2662880.020512409	3316050.492905563	3316050.492905563	3316050.492905563	3316050.492905563	4147358.3668604866	1613367.1875070352	2005364.1943389673	2005364.1943389673	2005364.1943389673	2005364.1943389673	2431025.6631195317	37280320.287173726	82901262.32263908	82901262.32263908	82901262.32263908	82901262.32263908	45620942.03546535
98.512__1.43_3070	1909892.5908476552	1787563.4920928385	2570239.2470156993	1572470.0208305863	1728080.022853849	1684397.0200650522	1193417.967095311	1845396.9547634355	3098106.8447339316	1693136.4616349284	1676659.701128522	1837313.609429256	1254983.8094342009	3287271.641350014	1842789.2163760203	2423845.0000000005	2688159.0061837942	4717087.563225701	4635176.522866212	11845238.013421115	5238484.311940043	3921661.878612937	3395990.5164333438	6832635.250394214	4753998.5253354255	3032868.0430024927	3177359.8075225637	3177359.8075225637	3177359.8075225637	3177359.8075225637	3361258.416911745	1844093.085569728	2423845.0000000005	2423845.0000000005	2423845.0000000005	2423845.0000000005	3098106.8447339316	42460152.6020349	79433995.1880641	79433995.1880641	79433995.1880641	79433995.1880641	36973842.586029194
98.013_CH6O3P_4.59_3833	1911096.8254187875	2026908.0945703415	1544918.5046004844	1743449.474862875	1347814.1731887138	1802105.3048277907	1865866.1510352327	2296609.6750219897	1525719.9559322034	2640236.039211346	3644333.963048871	1277749.8419143155	1624432.3016059694	2332059.0	2299504.438182537	2658408.9751356426	2343373.0066521717	2276722.006779661	2884875.7927459604	4934534.052250828	2924261.6268626773	5934653.98149034	3644875.578767604	9959506.405791372	10605248.322637744	2501463.5560822827	3121970.5397014176	3121970.5397014176	3121970.5397014176	3121970.5397014176	3911706.7006712286	2161758.884796166	2299504.438182537	2299504.438182537	2299504.438182537	2299504.438182537	2658408.9751356426	35020489.78515196	78049263.49253544	78049263.49253544	78049263.49253544	78049263.49253544	43028773.70738351
979.617__7.57_3001	1745691.6652353918	1723819.0	1693297.0679034647	4990851.333744727	1885739.387376582	2747631.4805336148	1436236.679147967	1090826.8918645096	1086939.363601786	2120424.246544296	1006229.6350428597	1174457.101854636	2242831.10038484	2609401.806435688	4648002.286471142	3086610.4063874427	5223018.002963154	1479579.7181368368	3285154.7913674717	717277.9758773898	3560589.06992191	4270061.043775245	7405149.507826946	5056591.177351674	3344046.0093135713	2774255.937600017	2785218.2699625255	2785218.2699625255	2785218.2699625255	2785218.2699625255	2799170.329332992	2426116.453410264	2242831.10038484	2242831.10038484	2242831.10038484	2242831.10038484	2120424.246544296	38839583.12640024	69630456.74906313	69630456.74906313	69630456.74906313	69630456.74906313	30790873.622662913
978.691__7.53_4572	1322021.5417175416	2132514.4585207026	1363180.5200472518	1855567.7989219453	2723751.076645125	2619284.7474115766	3094181.8816125155	2554878.2096746974	4885033.239901923	1029744.3732491537	1498501.556329849	3194682.4222281785	2438378.9320706395	4371955.100509247	1601587.8492311663	2454619.7806962687	1332146.6503866503	2438960.0	1528688.0352601327	2434379.2478235406	1917519.3246572758	2684533.833646029	4529661.778770462	3301598.921230531	6089587.057466472	2365989.9736541687	2615878.3335203547	2615878.3335203547	2615878.3335203547	2615878.3335203547	2933918.0642591375	2436379.08994709	2438960.0	2438960.0	2438960.0	2438960.0	2454619.7806962687	33123859.631158363	65396958.338008866	65396958.338008866	65396958.338008866	65396958.338008866	32273098.706850514
974.658__7.53_3150	1213557.6308186196	2179941.701444623	1707058.048154093	2829645.174959872	3257890.27929374	3939895.929373997	1648335.0947030499	1829352.0128410915	1358002.4398073836	1156610.02247191	1710335.6083467095	2624233.194221509	3200532.975922954	3335463.7560192617	1930910.8571428573	2766597.6629213486	2096359.3643659712	2438960.0	3101728.1926163724	4.552166934189406	2626003.9871589085	4965435.409309791	5073799.74317817	6160602.285714286	3500980.5457463884	2539059.2244897964	2666089.4587479937	2666089.4587479937	2666089.4587479937	2666089.4587479937	2827764.3023493364	2402972.844301766	2624233.194221509	2624233.194221509	2624233.194221509	2624233.194221509	2624233.194221509	35546829.14285715	66652236.46869984	66652236.46869984	66652236.46869984	66652236.46869984	31105407.3258427
