index	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	1930975.2350054968	3979541.2340023275	1916281.0658604999	4562093.828704606	3283192.6526174904	1878702.7320278138	4249175.0444148425	4289706.791211744	1944741.8956763155	4455176.474117326	10051650.666630004	2162629.6978220437	1834852.1017113673	4478782.650341262	1706362.529516126	2042570.0524139788	2684525.3058305494	3422902.165754578	3422902.165754578	3422902.165754578	3422902.165754578	4161279.0256786062	1993655.9740451472	2722911.175219767	2722911.175219767	2722911.175219767	2722911.175219767	4134624.0126070357	21476202.446644396	54766434.65207325	54766434.65207325	54766434.65207325	54766434.65207325	33290232.20542885
992.745__8.38_527	1405519.0972189251	3310626.297693522	1695264.270504959	4284682.231725965	4008760.832992483	1922987.9253163582	5206817.939666156	4594553.506093614	2507834.1424374525	4643157.347590318	13376662.188455736	2494953.390386901	1808635.3473430763	4716924.557635067	1868391.4806886113	2781333.7551974976	3079318.4617992295	3789194.0194341647	3789194.0194341647	3789194.0194341647	3789194.0194341647	4499069.577069101	2644583.948817475	3045980.02644551	3045980.02644551	3045980.02644551	3045980.02644551	3797654.2647097437	24634547.694393836	60627104.310946636	60627104.310946636	60627104.310946636	60627104.310946636	35992556.61655281
990.729__7.93_5197	5465274.745217918	3080178.1120786997	4623352.721921072	2583380.7501394534	3733148.907214528	1562357.4083513874	3306116.2150428644	4587863.881832176	4281058.418187298	3025234.7061211234	4417942.9973198725	2416071.4836688065	6746120.939789806	4049956.735389504	3932573.121430917	5988188.287573723	3806503.7232303643	3987426.2144549466	3987426.2144549466	3987426.2144549466	3987426.2144549466	4168348.70567953	3832861.0143227223	3991264.9284102106	3991264.9284102106	3991264.9284102106	3991264.9284102106	4233949.866354688	30452029.785842914	63798819.431279145	63798819.431279145	63798819.431279145	63798819.431279145	33346789.64543624
99.512__8.76_83	4586758.443654034	1444363.4862444939	2308832.867232983	1248680.3287480313	3537575.749597204	3801739.0369769703	1715789.0798928903	3621756.8214054815	3632727.620646417	1845414.4676169504	1646861.1427994908	4734635.07833114	5246409.018134984	3126018.008011757	8353199.005684255	2871055.2969144676	3508291.640570267	3357613.4657432223	3357613.4657432223	3357613.4657432223	3357613.4657432223	3206935.2909161765	3204315.5232558358	3331796.8788044807	3331796.8788044807	3331796.8788044807	3331796.8788044807	3373887.414708619	28066333.124562137	53721815.45189156	53721815.45189156	53721815.45189156	53721815.45189156	25655482.327329412
99.512__10.11_2256	4170184.836212328	2583490.580032748	1233718.6859401918	6275958.964507102	2272569.514343958	2788538.7548639444	2791070.0953138196	81566235.08524728	89895873.56799822	2662018.5951041584	1910811.9806791365	2537613.092689711	4190558.645064432	15189829.505663007	4294701.190636068	2398339.493952576	13542103.737269117	14172594.536765542	14172594.536765542	14172594.536765542	14172594.536765542	14803085.336261967	2725278.6749840514	2789804.425088882	2789804.425088882	2789804.425088882	2789804.425088882	4180371.74063838	108336829.89815293	226761512.58824867	226761512.58824867	226761512.58824867	226761512.58824867	118424682.69009574
983.647__7.58_4359	5747913.196978127	2636586.4947128613	3150612.074792365	6012161.630511519	2492197.2868253603	984292.0597461776	2706875.0891876114	3524679.019938724	7274353.46708227	3927925.891182198	5536058.446376565	2492193.690581079	2559029.890545941	8335155.623909558	3441008.800493877	4434241.123522952	3551438.224104102	4078455.2366491994	4078455.2366491994	4078455.2366491994	4078455.2366491994	4605472.249194296	3295810.437643121	3482843.9102163007	3482843.9102163007	3482843.9102163007	3482843.9102163007	4530368.733157644	28411505.792832814	65255283.78638719	65255283.78638719	65255283.78638719	65255283.78638719	36843777.99355437
98.513__10.04_5	1480779.8312884818	4527396.293425767	1371105.533273491	2057024.0262253345	4651258.834843694	4069560.2315518716	4956172.856435127	75135414.83680186	79137264.8374605	2306691.5759797907	5418218.403975512	3998522.133394112	4.844057153614714	9865450.39556611	1266304.3567550369	3075317.5007724515	12604209.465883996	12707280.405737894	12707280.405737894	12707280.405737894	12707280.405737894	12810351.345591791	3572438.8661621613	4034041.1824729918	4034041.1824729918	4034041.1824729918	4034041.1824729918	4262959.21340994	100833675.72707197	203316486.4918063	203316486.4918063	203316486.4918063	203316486.4918063	102482810.76473433
98.512__10.13_1904	7.298696795517304	6821573.687297543	2065888.8292743776	1874261.5449080707	4180394.2779036956	5390445.219632509	3402645.1473733718	141225615.4373896	119238663.57443029	3475566.427057385	8163804.027993175	2430458.734210467	7.298696795517304	4952961.333709203	1907981.5241033605	7.298696795517304	17457699.037308972	19070642.60383584	19070642.60383584	19070642.60383584	19070642.60383584	20683586.170362707	3439105.787215378	3439105.787215378	3439105.787215378	3439105.787215378	3439105.787215378	3691710.033959835	139661592.29847178	305130281.66137344	305130281.66137344	305130281.66137344	305130281.66137344	165468689.36290166
98.013__10.03_149	2538977.8495066697	1511922.3966589929	6.868971267231203	5466801.29348003	2302815.7483679936	3013307.791394053	2199169.840916742	12917986.565321751	37764436.30212173	2287367.4319879906	1688592.3376521794	3170778.9576953286	1469169.9194917458	3194854.7019869736	6877928.405763673	4109423.881362472	7319307.03386074	5657096.268292475	5657096.268292475	5657096.268292475	5657096.268292475	3994885.502724209	2658061.769881023	2776142.8204503614	2776142.8204503614	2776142.8204503614	2776142.8204503614	2854878.403600999	58554456.27088592	90513540.2926796	90513540.2926796	90513540.2926796	90513540.2926796	31959084.02179367
98.013__1.82_3349	1738930.5714396702	1977723.2203845182	1302298.5981075214	3065320.236311093	2157736.1976252915	2376215.9678107747	2266689.4615590684	4247721.85350618	2834418.975119563	2859954.31473643	5026665.104754764	4831986.057821504	7663017.691971482	5769925.882888582	4910765.930656982	4908737.248427945	2952102.086755447	3621131.707070085	3621131.707070085	3621131.707070085	3621131.707070085	4290161.327384724	2605317.4714651685	2962637.2755237613	2962637.2755237613	2962637.2755237613	2962637.2755237613	4539853.955663842	23616816.694043577	57938107.31312136	57938107.31312136	57938107.31312136	57938107.31312136	34321290.619077794
