index	V19-leg-healthy-GG9	V19-leg-psoriasis-GF8	V19-leg-psoriasis-GF9	V19-leg-healthy-GH2	V19-leg-psoriasis-GG8	V19-leg-psoriasis-GG1	V19-leg-psoriasis-GH6	V19-leg-psoriasis-partial-GF7	V19-leg-healthy-GG4	V19-leg-psoriasis-GH4	V19-leg-healthy-GF2	V19-leg-healthy-GF11	V19-leg-psoriasis-GG12	V19-leg-psoriasis-partial-GF4	V19-leg-psoriasis-GH1	V19-leg-psoriasis-GG2	V19-leg-psoriasis-GG10	V19-leg-psoriasis-GF10	V19-leg-healthy-GF1	V19-leg-psoriasis-GG5	V19-leg-psoriasis-GG6	V19-leg-psoriasis-GG7	V19-leg-psoriasis-partial-GF3	V19-leg-psoriasis-GF12	V19-leg-psoriasis-GG11	V19-leg-psoriasis-GG3	V19-leg-healthy-GH3	V19-leg-psoriasis-GH5	V19-leg-psoriasis-partial-GF5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
995.65__9.84_5856	5052061.840255732	1576724.9392101285	2153289.8265558076	1416861.064745528	26084287.33808264	1859127.5959309652	4446636.072461577	5808252.190255732	20199476.193688586	923297.6703766693	729531.0819475938	1682165.9431468884	1774093.845357773	99505061.75575712	1083306.2020660117	3800798.015589569	623631.4087616529	70364696.49263039	1623791.4606261023	717764.4515936004	1221894.879818594	1033907.5239292013	1144838.4459561603	1336840.921888385	1552591.8802532125	461667697.0791509	980775.9837490552	2240564.0	4000795.449357521	4526380.50973707	25055336.605280798	25055336.605280798	25055336.605280798	25055336.605280798	31587277.18113562	1623791.4606261023	1682165.9431468884	1682165.9431468884	1682165.9431468884	1682165.9431468884	1816610.720644369	31684663.568159487	726604761.5531431	726604761.5531431	726604761.5531431	726604761.5531431	694920097.9849837
993.67__9.35_4876	1602647.1527196653	1305317.999748954	1067355.0677824267	960192.6627615063	1392919.7083682008	1822850.0231799164	4967097.879916319	2894370.085355649	2613930.778242678	1258632.8457740587	1483082.8064435148	1822472.3824267783	1171830.2030962345	2791252.267531381	2520505.7397489543	2289105.0	1578209.9648535566	1979735.1273640168	2536760.711297071	1492501.9330543934	1730908.1824267784	2140894.6870292886	5321609.505188284	2841062.535564854	2324948.0332217575	3541859.7853556485	3875190.690125523	2128383.2846861924	2262560.6861924687	2127753.8834309625	2266144.4044640027	2266144.4044640027	2266144.4044640027	2266144.4044640027	2310177.7520654243	1822472.3824267783	2128383.2846861924	2128383.2846861924	2128383.2846861924	2128383.2846861924	2134638.9858577405	14894277.184016736	65718187.729456075	65718187.729456075	65718187.729456075	65718187.729456075	50823910.54543933
99.531__4.61_1540	2217491.5042758225	868938.8338486449	1073267.8310949188	2105395.0324719422	2228144.8441439928	2164864.375326462	2165036.292904836	2638605.0	899624.469805318	692750.5374000131	766387.5537098278	1125253.4075131458	1338683.5971444403	4391357.0400066525	1864214.2271247576	750711.4719861734	906365.7267313253	2179384.8696382195	1364621.2158001557	2703408.4127766057	2734862.9867721386	3179388.3266762164	13056540.810598625	2199026.5520743993	8042864.46898575	7043546.43583632	7779040.361069597	10015776.062711846	12624142.993886573	2322544.7920922586	3486886.042838439	3486886.042838439	3486886.042838439	3486886.042838439	3857358.2589849513	1364621.2158001557	2179384.8696382195	2179384.8696382195	2179384.8696382195	2179384.8696382195	2213585.698109196	16257813.544645809	101119695.24231473	101119695.24231473	101119695.24231473	101119695.24231473	84861881.69766892
99.531__4.16_1538	1896407.8848401443	721921.9297421265	607719.5744472329	1314714.1128071402	655955.2633708651	2583134.967213235	2193967.20604552	2605993.355225884	809860.4681892319	1094174.6374798387	1335904.862791298	3094499.865539621	965157.3109041856	2133971.101000227	3870901.7401728905	1894819.8411217688	753016.5173950277	1340048.7072537993	2202722.580158237	1472881.1812374904	2082439.0	2789794.7318499493	4529804.4082936505	2106628.5342335477	11689208.197414644	11039461.290232796	4687655.844114921	4519772.670802445	4508447.882573942	2191680.8026343705	2810378.81608454	2810378.81608454	2810378.81608454	2810378.81608454	3007237.274909594	1896407.8848401443	2106628.5342335477	2106628.5342335477	2106628.5342335477	2106628.5342335477	2120299.8176168874	15341765.618440595	81500985.66645166	81500985.66645166	81500985.66645166	81500985.66645166	66159220.04801107
99.512__4.27_3979	1800467.4304845391	1079258.9588055871	1405007.8989307496	1603220.0000000002	1749994.8425722274	1715322.1097005284	1517287.5989451054	2174840.598535696	2490653.005421577	2993496.4272181233	1849333.181237339	1808203.264554869	968904.3377931224	2635397.635526127	2546046.976110679	2040759.911595865	1755315.448374502	2265349.1467973	1329341.6387376003	1433679.4999175866	5419657.154992583	2513407.2971516787	2691060.1227697367	1710051.2291861256	7300913.97104357	3103538.489278252	3749036.658366225	2404713.500754129	2992467.824120434	2090036.4541145929	2380921.591686961	2380921.591686961	2380921.591686961	2380921.591686961	2473475.953641805	1808203.264554869	2040759.911595865	2040759.911595865	2040759.911595865	2040759.911595865	2220094.8726664977	14630255.17880215	69046726.15892187	69046726.15892187	69046726.15892187	69046726.15892187	54416470.980119705
99.013__5.59_3303	1272378.4153701458	2431243.064954228	926385.3482422773	1125742.7956987	3142325.669602474	897947.1768590895	1766359.3512728335	2081641.7597082304	1876888.1478451698	1398611.7551895664	2049402.2590561383	1578895.341027463	1461810.0	2436565.903607407	1620284.6736153492	1427181.9129289803	1391215.0198093883	2047618.6101032477	1187461.6934330978	1608522.0006646323	1397381.104627346	1511509.5846465742	8236106.889934372	2017731.6440412991	3276032.1257952596	4608065.318939932	5810072.397667516	4572908.0643481165	6970343.068574175	2128691.5785854617	2487194.175778035	2487194.175778035	2487194.175778035	2487194.175778035	2601263.183975672	1578895.341027463	1766359.3512728335	1766359.3512728335	1766359.3512728335	1766359.3512728335	1892045.4976570662	14900841.050098231	72128631.09756301	72128631.09756301	72128631.09756301	72128631.09756301	57227790.04746478
99.013__3.79_3477	1314405.7877878828	1520940.1501148683	1436263.4036036378	1270883.242607606	997383.989251742	934763.1493288273	1309665.3428012684	1665717.8487516376	1844395.6780819837	2151207.0465643927	1628270.212001367	2746032.6980386944	1402144.0977785795	1366272.0171163303	2981369.8037156584	2255436.71966242	1532403.635706013	2361183.0846702997	1649105.0	3190218.6554310885	1532973.491047865	2842653.863001006	7509174.208840115	2348185.373158784	8228485.072849304	7224400.586720842	3702703.967295753	4206608.885870246	7326129.158461334	2022256.6551161837	2775150.9024227425	2775150.9024227425	2775150.9024227425	2775150.9024227425	3014708.162929375	1649105.0	1844395.6780819837	1844395.6780819837	1844395.6780819837	1844395.6780819837	2203321.8831134066	14155796.585813286	80479376.17025954	80479376.17025954	80479376.17025954	80479376.17025954	66323579.58444626
989.614__8.21_4778	2091638.7173294688	1617069.0350821258	1041002.6336570049	3318512.6443681163	2321989.0	1176135.6630541063	4495043.157725604	4264013.104362319	1952969.9829429954	1383097.795652174	970815.7487632851	868219.7304454107	1883489.7903536232	3178567.376898551	895323.0629178744	1121911.050368116	1233907.198067633	9684040.21057971	2460994.254531401	854895.776173913	1587295.9761265703	913382.9773623189	3584408.428213527	3129446.653077295	1744251.215188406	5634906.436091788	3457811.7931594206	1902817.2640106282	3525351.386246377	2160137.553077157	2492872.691818957	2492872.691818957	2492872.691818957	2492872.691818957	2598742.963236803	2091638.7173294688	1902817.2640106282	1902817.2640106282	1902817.2640106282	1902817.2640106282	1813870.5027710146	15120962.8715401	72293308.06274976	72293308.06274976	72293308.06274976	72293308.06274976	57172345.191209674
987.044__3.24_6202	6.575854461426601	2320816.31507129	1685227.102102102	1350608.171977948	1828541.2742344334	1320425.0	1929349.123128103	1078440.1316739626	3127864.3572677155	5192360.441287058	6.575854461426601	2636884.7597597595	1336049.2302003496	3411579.598005966	2273404.404404404	6.575854461426601	1333090.0956927075	3165879.3719092226	1173296.8322800412	2710567.2090000445	1984980.8518717722	3207866.2026454313	3311560.8516476676	3336581.9778733957	6.575854461426601	3606126.252247272	3481908.3614709233	3919340.7760994826	3564007.9044218347	1681510.804923616	2216785.6172307148	2216785.6172307148	2216785.6172307148	2216785.6172307148	2387100.330237519	1350608.171977948	2273404.404404404	2273404.404404404	2273404.404404404	2273404.404404404	2297110.359737847	11770575.63446531	64286782.89969073	64286782.89969073	64286782.89969073	64286782.89969073	52516207.26522542
985.675__9.92_5179	2014167.3831117298	1365157.89299795	1107788.7004055069	1208497.0695610933	2271533.2153982287	959296.7807196422	2271533.2153982287	4201336.757468245	3984365.162940148	1756798.1905192866	1040653.1479410604	1374277.7633312254	805663.5929387475	5527767.124456247	1689662.63805484	1187898.394121529	1253259.7050472985	4746848.824492533	2058923.297986046	1443483.2642574618	3867456.7588263005	2584844.781354109	1270195.6470073971	1571279.0596313728	3645259.888554562	17718775.63445069	1546947.0842875089	3341703.290755461	3167169.0	1889690.1298798302	2792501.491931533	2792501.491931533	2792501.491931533	2792501.491931533	3079759.652584347	1546947.0842875089	1756798.1905192866	1756798.1905192866	1756798.1905192866	1756798.1905192866	2014165.7029587575	13227830.909158811	80982543.26601446	80982543.26601446	80982543.26601446	80982543.26601446	67754712.35685563
