index	V5-leg-psoriasis-4B8	V5-leg-psoriasis-4B9	V5-leg-psoriasis-4A6	V5-forehead-psoriasis-4C6	V5-leg-psoriasis-4C1	V5-leg-psoriasis-4A11	V5-leg-healthy-4A3	V5-leg-psoriasis-4A9	V5-forehead-psoriasis-4C11	V5-leg-psoriasis-4B12	V5-forehead-psoriasis-4C5	V5-forehead-healthy-4C10	V5-leg-healthy-4B3	V5-leg-healthy-4B4	V5-forehead-healthy-4C9	V5-leg-healthy-4B10	V5-forehead-psoriasis-4C7	V5-leg-psoriasis-4B7	V5-leg-healthy-4A10	V5-leg-psoriasis-4A8	V5-forehead-healthy-4C4	V5-forehead-healthy-4C8	V5-leg-healthy-4B5	V5-leg-psoriasis-4A12	V5-leg-psoriasis-4A7	V5-leg-healthy-4B1	V5-leg-healthy-4B11	V5-leg-healthy-4B6	V5-leg-healthy-4A5	V5-leg-healthy-4A4	V5-leg-healthy-4B2	V5-forehead-healthy-4C2	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_forehead	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_forehead	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_forehead	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	20347395.66236307	20913637.62257256	28967071.201301448	146270380.24253494	16019377.626001908	23664883.655652158	45461199.153719515	15459710.963853583	264045140.9806019	28052960.130424183	174896208.24938264	108002856.3329694	49591488.934269115	47035044.7900547	100329720.12549168	19360594.21366414	148055596.3645961	17925694.051896267	24585749.180966385	18282601.651544195	219579389.65323222	125849735.09097315	57547908.43872374	35491214.75643294	7425613.678958143	52225725.24797852	9192547.48075688	11002817.476090373	30717801.17579472	56344825.66661803	18899742.914610524	451019862.359901	83926294.6021067	28457200.246706393	74767640.4710603	29793844.937285844	26999042.402437903	193116543.26663145	74767640.4710603	193116543.26663145	64387832.4558744	49591488.934269115	23664883.655652158	33104507.96611383	26776410.191133916	20347395.66236307	148055596.3645961	33104507.96611383	148055596.3645961	23664883.655652158	1426747008.235814	654515605.674247	2392564495.07393	357526139.24743015	296989466.42681694	1738048889.399683	2392564495.07393	1738048889.399683	965817486.8381159
992.745__8.38_527	18991547.358174678	20609012.709095184	28254473.817529246	144585330.92030656	15356053.105481014	23604509.816992186	47721772.49928436	20021686.144241944	237160252.66747484	30567912.985935196	175191442.10870135	115967083.6902694	57854038.455891356	51501726.46289566	104124366.93702336	20927162.26315439	155491481.9031075	17798221.670741647	27565816.944182917	19083286.76956631	224598965.04815063	133998047.74404566	61548170.78022489	36153568.84096953	10435750.102179388	53389116.867321104	8045235.996680225	12392951.644498978	28591622.376261223	51153827.92145561	25059921.33327665	376448996.1057327	82405224.88649112	29853364.64634929	73568542.31221393	30919612.786105037	28690184.85752484	185285107.45831242	73568542.31221393	185285107.45831242	63553635.39469978	51501726.46289566	25059921.33327665	33360740.913452365	27910145.38085608	20609012.709095184	155491481.9031075	33360740.913452365	155491481.9031075	23604509.816992186	1400888823.070349	686627386.8660337	2354193353.9908457	371035353.43326044	315592033.43277323	1667565967.124812	2354193353.9908457	1667565967.124812	953304530.9204967
991.123__7.54_5722	32255883.80035382	30627879.265366714	22040893.893675033	447342746.7898055	28180043.903246325	14981633.88601818	20379199.485537473	13944066.43469968	720457877.4400518	69374630.7200722	745936348.0208069	315672394.7891993	28826618.799006615	32258838.00181505	256614474.31801155	23578356.146039512	501261398.67328906	16576419.623222971	34414051.72487213	28666449.181674056	670652671.6398444	359513219.5414162	35764197.6437738	27610445.916371815	27621224.759541176	29320689.032577004	26283051.340885762	26672287.344223775	27753121.870456915	39940484.382727325	23104566.10628407	1610022470.379152	209457099.561519	28703262.315758318	196489019.83918807	25814735.556202903	31854382.417091504	625274844.6212863	196489019.83918807	625274844.6212863	181791862.8205463	32258838.00181505	27753121.870456915	29974284.14897186	27615835.337956496	28826618.799006615	501261398.67328906	29974284.14897186	501261398.67328906	28666449.181674056	3560770692.545823	660175033.2624413	6287648634.854018	309776826.67443484	350398206.58800656	5627473601.591577	6287648634.854018	5627473601.591577	2726877942.3081946
99.013__0.88_2719	48730644.46155405	28471997.719562624	23126337.531111483	20510847.949567802	22592312.492634006	31993640.87440629	236703894.40970764	31181928.476550814	11839684.8265705	12254756.735991077	12292987.666837193	9867085.53766914	88766417.4206564	53939755.87901942	10908616.428760415	39295055.02203987	59673410.46956045	43195055.8823273	29558237.990424618	54490982.04941525	4861812.240306099	9110282.492297329	16716231.117748048	88503997.66061775	27275975.903231937	139166886.50521755	39765271.31777298	34665684.11624826	36985375.41810399	73990185.25399433	84299072.45744	14506145.473067464	54300353.47532198	55898682.46503372	44976267.80563788	71439709.54418515	38944834.74232309	17063430.342737377	44976267.80563788	17063430.342737377	34408970.71332923	36985375.41810399	39295055.02203987	31587784.67547855	45738178.73375963	39295055.02203987	11839684.8265705	31587784.67547855	11839684.8265705	28471997.719562624	923106009.0804737	1285669696.6957755	1439240569.7804122	857276514.5302217	428393182.16555405	153570873.0846364	1439240569.7804122	153570873.0846364	516134560.69993854
983.647__7.58_4359	28675129.32228484	27122340.30039057	15888123.36630857	59701597.3615918	38492516.12077074	34664686.58929266	78342485.9197881	36899325.363517225	73142268.1616091	23117872.972559024	62882292.0969532	42130927.28368083	25901646.49633498	32752042.599066958	64569581.314584106	46129996.75175333	51692138.89273189	34981936.51832491	26456792.17849011	46276993.29819411	52470858.85240029	32936810.070192426	36182194.56089066	41576202.061446	37689745.38387308	49208843.8799379	25589519.6013038	37189137.34657673	38986168.952346236	43534464.77855612	42542837.069296926	109840336.50852284	46162626.12727779	36878304.41005668	43673994.12417406	41005555.73675392	32375848.417296052	61040756.726918496	43673994.12417406	61040756.726918496	40853544.52065651	42130927.28368083	36899325.363517225	38739342.53655849	40281185.50689612	32752042.599066958	59701597.3615918	38739342.53655849	59701597.3615918	37689745.38387308	784764644.1637224	848201001.4313036	1397567811.9735699	492066668.84104705	356134332.5902566	549366810.5422665	1397567811.9735699	549366810.5422665	612803167.8098477
982.62__7.48_4896	97754869.13657595	24119825.217734337	34124733.528143525	154530250.85947728	23426050.349127423	42483016.71728776	21283868.434428886	19558865.56746144	236706788.19660836	21336402.665402442	66112395.430183224	63737484.551171795	21707389.88802751	24502535.929826666	94188458.30123386	17889143.566518445	119249377.39990838	32744918.856823046	26979306.349975735	20456551.009097185	317115417.13247687	115509543.64060244	21237908.71932717	46292365.488631934	26296864.25232884	21343905.621291485	16462402.055078324	33823764.222566016	47135156.914250396	42517328.37867361	58742515.94360592	613935448.8373432	91653622.26390578	32270421.252703644	78853276.66128716	33934539.85043139	30455019.146091577	197898351.59433392	78853276.66128716	197898351.59433392	64346218.31165275	33823764.222566016	24502535.929826666	33974248.87535477	30552019.93905963	23426050.349127423	119249377.39990838	33974248.87535477	119249377.39990838	34124733.528143525	1558111578.4863982	742219688.8121839	2523304853.161189	407214478.2051767	335005210.6070073	1781085164.3490052	2523304853.161189	1781085164.3490052	965193274.6747912
980.117__7.52_5945	22564072.474097714	36364100.35727456	35514759.44624971	667324373.1605737	26213402.969082203	21126610.07353063	24310488.546465028	15433583.803585216	990839845.7301246	26921706.248348475	862320402.9195069	332683024.6805129	24308451.56697818	31440712.10034149	303691018.2027777	94201592.1852312	640884202.6768613	24127730.393416166	30554515.558297552	23666604.191144	948376467.6256806	626402294.8058094	46986616.985392384	58197431.84747647	17794275.12163935	29062085.641859774	35173907.824524194	16791776.329978645	33425905.47095129	38358842.34539212	27774325.768438924	1706006835.6332905	255855815.3689366	32187543.358682405	244338811.33390105	29601618.98458584	35008551.76678775	786503162.8261265	244338811.33390105	786503162.8261265	231286206.76086074	35173907.824524194	27774325.768438924	34299906.64773774	28418205.70514935	26921706.248348475	667324373.1605737	34299906.64773774	667324373.1605737	26921706.248348475	4349548861.271922	740313497.2496953	7818841962.684834	355219427.8150301	385094069.43466526	7078528465.435138	7818841962.684834	7078528465.435138	3469293101.412911
979.617__7.57_3001	43696544.25427493	35337080.89420197	17044260.260205876	60869267.054067746	19064907.041021388	22180108.061762344	27496350.148124933	32694366.878761556	100233330.58213343	33271218.57454575	99041317.14444362	56836185.75265174	27848636.553857304	40670868.12644091	80564366.80748709	33544243.68327971	75158625.61140685	45196899.48143045	40880868.42998226	19579652.69355294	100648376.4148663	59463026.7563694	31569313.64135019	34730635.12798978	22015044.712845817	22222996.196126763	41894827.56450772	18725437.395794608	24055325.70672769	22775385.305008084	35401462.77555233	150578377.70412377	47951532.2918971	30082453.63075415	46102790.85421547	26756371.35805336	33710907.019154996	87043652.64750555	46102790.85421547	87043652.64750555	44007550.558176294	35401462.77555233	31569313.64135019	35033858.011095874	23415355.505867887	33544243.68327971	80564366.80748709	35033858.011095874	80564366.80748709	34730635.12798978	815176048.9622507	691896433.5073454	1475289307.3348951	321076456.29664034	370819977.210705	783392873.8275499	1475289307.3348951	783392873.8275499	660113258.3726444
978.692__6.81_6029	23857302.50460545	42317396.530239865	31555733.108459815	29741211.40491203	26114034.176844727	24916328.8533642	35495930.45528148	23327144.777120296	243521745.56254566	32902639.67794122	40013200.6188252	72973277.65728241	47078810.37957434	39949820.33905957	48263480.37273521	30752396.555639308	42871391.088106066	28578507.40929091	39969831.73512332	33074272.30278565	156491537.20129183	33517501.456532482	28417015.44305646	43086862.63176922	27210095.56976053	29553569.663216602	25032394.95053394	37178749.24985158	44169986.424439155	46395816.77810558	60540523.04978824	262301370.3913747	61063647.77075801	34846746.19851529	54099058.69748303	36608007.945767835	32925369.746967033	103299412.86151174	54099058.69748303	103299412.86151174	46205857.74777138	39969831.73512332	32902639.67794122	36337339.852566525	34285101.379033566	30752396.555639308	48263480.37273521	36337339.852566525	48263480.37273521	31555733.108459815	1038082012.1028862	801475162.5658516	1731169878.319457	439296095.349214	362179067.2166374	929694715.7536056	1731169878.319457	929694715.7536056	693087866.2165707
978.691__7.53_4572	29944213.18540345	113310245.40182129	49365532.484039664	65929759.182067044	33785523.4668873	77597881.55116142	28435586.915182218	22949922.30725972	22582770.30953063	78520566.30895011	25859386.308711868	75567065.87761113	20809644.154718686	68663282.36534126	54438609.08380647	41739381.34930222	45347725.71964744	40170875.25856769	24999217.30600147	40184975.25110243	42907593.51404189	26724000.629265737	45994172.17541502	25850283.825846463	100350410.90874392	30871829.467674732	55673365.57292007	48347829.05734692	24990392.655501276	43033177.21602433	36308800.48068847	40899699.01062197	41788449.81361552	47039004.724604346	46317303.69691263	42078167.53076885	52450827.11787946	44472956.626144916	46317303.69691263	44472956.626144916	51450004.76464936	41739381.34930222	40184975.25110243	41319540.1799621	33590314.9741816	45994172.17541502	42907593.51404189	41319540.1799621	42907593.51404189	40184975.25110243	710403646.8314639	1081897108.6659	1482153718.3012042	504938010.36922616	576959098.296674	400256609.6353042	1482153718.3012042	400256609.6353042	771750071.4697404
