index	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	105078712.41640192	141295299.7437769	17143722.412354376	22077488.33325624	10419335.195860652	237997040.41947958	180200767.45812857	309917029.689006	83133408.88489595	142739566.70339137	236382049.744155	56447211.65116502	46142323.65668997	97003960.49495383	76541387.15096429	71224.62305121262	127706960.17325516	110161908.03609568	110161908.03609568	47091251.812631294	173232564.25956005	110161908.03609568	57526751.62461718	123187006.0800894	90068684.6899249	90068684.6899249	34109905.99497311	161470167.08075997	90068684.6899249	61341855.40382713	1532483522.079062	1762590528.5775309	1762590528.5775309	376730014.50105035	1385860514.0764804	1762590528.5775309	230107006.49846873
992.745__8.38_527	106950670.35594131	95028271.92635332	18023402.069368493	19974625.830317345	10458470.20014764	239979909.78685316	173353491.54108012	326680651.0807492	92171109.08150464	150856244.4007196	236714998.2237403	50756315.25957396	39987618.0385428	101270203.64471991	73452229.99445763	115565.50952576862	125883771.25547726	108485861.0589747	108485861.0589747	40814422.23941675	176157299.87853268	108485861.0589747	56292130.46946699	100989471.14114732	93599690.50392899	93599690.50392899	29981121.93443007	162104867.97089988	93599690.50392899	56719924.01650022	1510605255.0657272	1735773776.9435952	1735773776.9435952	326515377.915334	1409258399.0282614	1735773776.9435952	225168521.87786797
99.512__8.19_655	131893446.97681585	49975492.189551115	273780003.33741	96242046.41515297	336498411.20542383	52896114.8468704	47455281.71836966	103271258.53613494	91796069.04429258	100449478.1580356	109787993.39564118	67373001.14296846	100874485.87189573	102895657.87509917	67307638.45761257	79780970.62374392	100391763.03208224	113267334.36218862	113267334.36218862	137040059.97880483	89494608.74557242	113267334.36218862	151894048.35250783	94019057.72972277	98345762.28659429	98345762.28659429	94019057.72972277	101672568.01656738	98345762.28659429	101885071.87349746	1204701156.3849869	1812277349.795018	1812277349.795018	1096320479.8304386	715956869.9645793	1812277349.795018	607576193.4100313
99.013__3.79_3477	113991070.0499391	32063181.926788963	107746016.7237477	68460809.85060905	69821439.0927217	72753695.45939925	100737514.84799653	80224819.69476254	86512156.7703826	56728022.905722626	224559655.28026015	39080298.376685	137557717.22567126	68952748.06635694	54857595.00253576	40512698.20064282	85280828.34057803	84659964.96713887	84659964.96713887	72719289.77090614	96600640.16337162	84659964.96713887	82797374.84682141	76489257.5770809	71287567.27606048	71287567.27606048	69141124.47166538	76489257.5770809	71287567.27606048	69387093.57953933	1023369940.0869364	1354559439.474222	1354559439.474222	581754318.1672491	772805121.306973	1354559439.474222	331189499.38728565
989.614__8.21_4778	66878653.599174045	21222670.87103972	16005524.591946507	8825292.530933386	13753856.398518693	465943880.2049438	230753633.76596284	573351807.0363038	148734318.41171852	226774154.87879288	459752501.4634592	48082315.67973062	26490582.078727297	140580439.28984392	97185181.97840011	226964.0298716406	188879309.75532302	159035111.05058542	159035111.05058542	35417690.5740608	282652531.52711004	159035111.05058542	69502514.9363725	107806486.00544629	82031917.78878708	82031917.78878708	18614097.73149311	228763894.32237786	82031917.78878708	61837882.02856371	2266551717.063876	2544561776.8093667	2544561776.8093667	283341524.5924864	2261220252.2168803	2544561776.8093667	278010059.74549
975.718__8.45_3720	57156255.194881015	268526056.499519	11801244.536967304	17645832.355902404	4871497.87745308	201879219.7962656	199783328.33418563	350685387.4009858	48888595.89386938	118090825.46027528	199546392.29825166	38942147.811560325	19628064.254721746	70370877.76557381	338525088.03076226	6706632.082250424	126637659.80540948	122065465.34958905	122065465.34958905	52126258.91403045	192004671.78514764	122065465.34958905	108348881.98212773	87623540.32757814	63763566.48022741	63763566.48022741	18636948.305312075	199664860.31621864	63763566.48022741	44999471.01014778	1519651917.6649137	1953047445.5934248	1953047445.5934248	417010071.3122436	1536037374.281181	1953047445.5934248	433395527.9285109
973.655__5.42_3754	167503958.83973446	2850573.2636519508	31978155.84866659	36874426.29370256	15582029.858910957	186669131.72165224	54782350.20450993	134577577.52367318	109242356.46821165	197970558.28919744	246541379.69664738	80334837.8447191	51120934.91255272	170282737.6094069	142533998.32072052	175886.02419914692	104125099.33488049	101813805.79500979	101813805.79500979	41019900.06432684	162607711.52569276	101813805.79500979	94879925.17539778	94788597.15646538	94788597.15646538	94788597.15646538	34426291.071184576	168893348.2245707	94788597.15646538	96827466.61663662	1249501192.018566	1629020892.7201567	1629020892.7201567	328159200.5146147	1300861692.205542	1629020892.7201567	379519700.70159113
970.671__7.82_2660	56544846.840575196	152826029.573326	10308755.791120717	14326581.221843394	11839748.08132145	167784644.04207167	127481628.76563972	203446166.85552582	64199943.165322565	96283816.99704206	172207314.88098514	39844335.21556704	44119315.44633481	95000600.63665128	93103400.40704648	2196093.4920317302	92287513.0700876	84469576.33827531	84469576.33827531	42457600.24835846	126481552.42819217	84469576.33827531	61015766.14283851	80241880.08118232	78651671.78618452	78651671.78618452	27085458.218705215	111882722.88134089	78651671.78618452	68611357.92669064	1107450156.841051	1351513221.412405	1351513221.412405	339660801.98686767	1011852419.4255373	1351513221.412405	244063064.57135403
969.668__7.79_1917	61844634.42484041	57643484.52388598	9699571.444221087	21966466.85289205	16008432.007251155	206887080.71170262	158880903.6762059	235432919.9886732	81419673.6330819	113060309.88632627	213519773.18222222	40811094.98505951	64622758.083077036	122893350.00438371	116671694.73675662	837447.3552846173	100166946.72203298	95137474.71849152	95137474.71849152	36626116.11059417	153648833.32638887	95137474.71849152	80049058.70786713	71632154.02896115	73021215.85807946	73021215.85807946	31388780.918975778	140887126.8402948	73021215.85807946	90647226.40991683	1202003360.6643958	1522199595.4958644	1522199595.4958644	293008928.88475335	1229190666.611111	1522199595.4958644	320196234.8314685
968.569__6.23_4939	483856609.93866825	41398289.18473733	11026992.612351054	39590555.13858809	16356362.38327246	174873361.4206166	121494497.34164639	117015245.44165729	40201294.11515587	323362479.44444275	303265637.4394967	25172599.450517546	58937362.5237656	266945606.0537859	100807113.4719937	285275.27794702776	140128569.73381874	132786830.07741514	132786830.07741514	29121091.33579187	236452568.81903845	132786830.07741514	110761611.10820441	79206767.31319731	79872237.99787965	79872237.99787965	32381577.294552818	220909483.73720124	79872237.99787965	79872237.99787965	1681542836.805825	2124589281.2386422	2124589281.2386422	232968730.68633497	1891620550.5523076	2124589281.2386422	443046444.43281764
967.688__8.07_678	36088819.00065285	338201940.93899727	115103087.43671663	186095497.53254884	310487669.8302796	34003196.52311796	113806301.14199488	26391655.88531119	2413036168.9581647	24299747.897990726	22945215.834475417	62424752.148014635	79293159.70446151	17276514.039111797	68968250.11817667	7481732.628455027	281656509.6605367	240993981.85115436	240993981.85115436	439015501.14720476	42972462.555103935	240993981.85115436	119006398.4230074	49256785.57433374	65696501.13309565	65696501.13309565	150599292.48463273	30197426.204214573	65696501.13309565	74130704.91131909	3379878115.9264402	3855903709.6184697	3855903709.6184697	3512124009.177638	343779700.4408315	3855903709.6184697	476025593.6920296
964.712__7.85_1165	66450760.71328131	120046468.083669	9970371.322874684	18438573.11913189	13238493.979396345	203112683.47401625	134305849.4238885	233202037.63646057	85872135.21604742	111438376.68600248	208446447.58265507	53814978.82091422	59888017.327847004	120623184.28976327	113664287.05197889	324716.1666143411	103785283.18712963	97052336.30590883	97052336.30590883	45199219.254561864	148905453.35725582	97052336.30590883	76853495.66224638	98655255.95102495	98655255.95102495	98655255.95102495	36126775.97002305	127464516.85682589	98655255.95102495	86776152.18991295	1245423398.2455556	1552837380.8945413	1552837380.8945413	361593754.0364949	1191243626.8580465	1552837380.8945413	307413982.6489855
962.733__8.07_615	34162127.225655995	511188103.3176073	185923308.752824	226864570.8834837	250493477.8627999	22137896.384455748	150020148.4714871	28332618.657556526	3823836647.409069	52095335.574944474	34651499.22512075	42729397.45171739	73446982.13624917	103170851.55141716	28968594.63429472	4930918.102484422	426406047.6213672	348309529.852573	348309529.852573	639926675.7395294	56692383.965616554	348309529.852573	114019976.54619023	47412366.51333094	62771158.855596825	62771158.855596825	206393939.81815386	34406813.22538838	62771158.855596825	88308916.84383316	5116872571.456407	5572952477.641168	5572952477.641168	5119413405.916235	453539071.72493243	5572952477.641168	456079906.1847609
961.584__7.56_4092	44839935.06738649	23353012.112388894	14793001.86657354	20623130.953763556	9201238.258449199	297502884.09595656	216520494.18670082	347926864.8861342	146983998.66704094	193587274.9736378	324437732.3645869	69129365.15842478	37307877.504581295	107999883.87762883	117889918.8584348	69207.6356439025	141647241.83068654	123260363.77920827	123260363.77920827	40182604.01960827	206338123.5388083	123260363.77920827	68099729.62477353	108056681.91273287	88564624.5180268	88564624.5180268	21988071.533076227	205053884.58016932	88564624.5180268	72653880.69110507	1699766901.9682386	1972165820.4673324	1972165820.4673324	321460832.15686613	1650704988.3104663	1972165820.4673324	272398918.4990941
959.966__5.86_3235	45688932.75763486	132209061.30231358	72828555.48652926	161053410.76669043	136532546.78350812	82102422.70526218	76480397.91918093	80747099.09083836	137089675.858212	95049749.46893449	94802633.73342387	49847548.3678537	69682036.68747212	55359912.001221746	166627915.7199293	8729257792.297148	813096439.9795017	636584980.6841345	636584980.6841345	1186062578.4437158	87107382.92455322	636584980.6841345	107050602.79803282	88452528.21934304	88452528.21934304	88452528.21934304	134370804.04291084	81424760.89805028	88452528.21934304	103107291.73549011	9757157279.75402	10185359690.946152	10185359690.946152	9488500627.549726	696859063.3964257	10185359690.946152	428202411.1921313
957.631__7.62_4085	61357399.95141294	17006109.73056342	13108152.808970258	15775803.043796275	11588992.02962846	316963736.3318887	206511209.78678653	335697721.58992904	138073869.2929167	187262014.308159	345229219.39619166	67885051.65636958	28274520.944623068	109704654.6440983	117092911.25607722	272222.1010886753	142095209.16650608	123237724.30453125	123237724.30453125	36498090.20099456	209977358.4080679	123237724.30453125	66665269.718606755	102979460.47464314	88794853.15023394	88794853.15023394	16390956.387179848	196886612.04747277	88794853.15023394	68989587.79436068	1705142509.9980729	1971803588.8725	1971803588.8725	291984721.60795647	1679818867.2645433	1971803588.8725	266661078.87442702
955.525__7.06_3916	379316662.0911758	39601964.65733774	54330676.27162225	26467725.34856458	76951481.31210205	97758025.78325006	89962945.93152401	81708072.83992025	87631333.02001607	207930897.14772183	255064735.21177596	19823035.699125353	65919959.70023534	256782227.69314873	120980931.39607874	995567.5484020443	111715970.129203	116326640.10325006	116326640.10325006	46465217.94467568	186188062.26182443	116326640.10325006	130158650.02539122	84669702.92996816	84669702.92996816	84669702.92996816	46966320.46448	164455914.2719003	84669702.92996816	98966206.3540904	1340591641.550436	1861226241.652001	1861226241.652001	371721743.5574054	1489504498.0945954	1861226241.652001	520634600.1015649
954.678__8.37_2186	107965124.4953576	117683156.47183189	14177981.594017714	22325186.346929897	14095337.157093262	235649361.0409815	160852716.6062117	311607577.3332521	89835362.35325925	146112477.81012797	226926534.23004192	62314808.20517268	37943531.83348294	97911539.20267111	75884215.68613777	325251.7386291843	124647961.51881778	107600635.1315749	107600635.1315749	44837576.9625521	170363693.30059773	107600635.1315749	56458655.96984627	112824140.48359475	93873450.77796519	93873450.77796519	30134359.090206422	153482597.20816982	93873450.77796519	56913873.75981036	1495775538.2258134	1721610162.1051984	1721610162.1051984	358700615.7004168	1362909546.4047818	1721610162.1051984	225834623.87938508
953.674__8.39_629	105753870.78365915	114656398.25129461	14505392.023622287	22706592.68198357	12134988.93981821	232090708.49756166	169022424.8334188	292085617.2514255	87268948.46048295	148152435.98528528	225123624.06517947	58917530.791710466	42152798.57435905	97986321.34164096	75830066.45655382	38545.00974059654	122526840.71961369	106151641.49673352	106151641.49673352	44047649.341626465	168255633.65184057	106151641.49673352	57026043.82809301	110205134.51747689	92627634.90106195	92627634.90106195	32429695.62817131	158587430.40935203	92627634.90106195	58991432.51545644	1470322088.6353643	1698426263.9477363	1698426263.9477363	352381194.7330117	1346045069.2147245	1698426263.9477363	228104175.31237203
952.672__6.62_2982	269140318.7382246	47756517.30485483	31563140.413980093	75357842.7725138	37224328.35232661	130479247.79275517	115840272.36031406	106521499.2844412	22326960.519080535	198331420.8635568	112318964.89101139	55490203.14572602	59498838.93990262	151319275.26651287	110875036.90014608	348353.2049047575	97122895.10761362	95274513.7968907	95274513.7968907	41195773.08166115	149353254.51212028	95274513.7968907	89729369.86472204	90939671.0284775	90939671.0284775	90939671.0284775	42490422.82859072	123159760.07653461	90939671.0284775	85186937.92002435	1165474741.2913635	1524392220.7502513	1524392220.7502513	329566184.6532892	1194826036.0969622	1524392220.7502513	358917479.4588882
948.718__8.39_340	116148979.26466978	82483728.93367636	16540041.760037117	22698698.8206358	12609707.780226912	242094590.6572785	162321710.5047374	306763699.58254755	95617385.78970242	152769344.95374882	228807366.65991777	53650469.79155312	38788500.17496885	107243826.70079184	69126770.8571955	85820.9808740491	123331819.80828154	106734415.20078512	106734415.20078512	40309294.25395933	173159536.1476109	106734415.20078512	56942201.37829578	105883182.5271861	89050557.36168939	89050557.36168939	30743599.497802325	157545527.7292431	89050557.36168939	53957635.516082175	1479981837.6993785	1707750643.2125618	1707750643.2125618	322474354.0316746	1385276289.1808872	1707750643.2125618	227768805.51318312
945.705__8.08_2558	22119243.795749586	147253529.0823639	65117616.0732728	81363823.7002882	50226711.52839998	38088121.69140025	197519951.95678386	44924304.38206518	904203037.6065336	60732853.031989045	71633942.35986084	29914650.80107323	99442584.41945118	29085412.766681083	38477334.59093963	5431094.045051133	139025180.71053597	117845888.23949397	117845888.23949397	172869130.90705425	62822645.57193369	117845888.23949397	54308010.82636797	62925234.55263092	55479782.28019451	55479782.28019451	73240719.8867805	41700819.48650241	55479782.28019451	44352023.05966981	1668302168.5264318	1885534211.8319035	1885534211.8319035	1382953047.256434	502581164.5754695	1885534211.8319035	217232043.30547187
945.588__8.23_4782	61049226.01995285	25381161.938795067	8316410.290627322	16807305.297346413	12425883.07601727	459265855.268065	216946059.76806965	561636701.3678771	150834286.6847032	205427451.35852262	425264336.07138747	59063795.43963354	20225166.57387341	136725996.27809465	88557649.16758652	75899.07707642471	182505707.38183808	153000198.97985178	153000198.97985178	36641238.547259085	269359159.4124445	153000198.97985178	64483673.773892954	105941756.35232803	74803437.59376968	74803437.59376968	18516235.93560991	211186755.56329614	74803437.59376968	54391407.87072997	2190068488.582057	2448003183.6776285	2448003183.6776285	293129908.3780727	2154873275.299556	2448003183.6776285	257934695.09557182
940.632__8.28_4703	52885970.1446809	25114582.828502018	15150995.209759811	16199376.50260024	13440712.868079064	488848109.9069456	229212596.47494924	601757146.0875428	152010425.9574282	217484105.40576473	454642007.0687528	58370633.22339156	32379479.72756162	127203421.40587194	91788464.02523768	81809.4798474355	192646479.8575138	161035614.76980722	161035614.76980722	39093501.97464624	282977727.5649682	161035614.76980722	66203019.506687574	105190529.59040987	75079548.62431462	75079548.62431462	20656979.66555113	223348350.94035697	75079548.62431462	62083971.87639965	2311757758.2901654	2576569836.3169155	2576569836.3169155	312748015.7971699	2263821820.519746	2576569836.3169155	264812078.0267503
