#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
997.7__8.37_887	105078712.41640192	141295299.74377692	17143722.412354376	22077488.33325624	10419335.195860652	237997040.4194796	180200767.45812857	309917029.68900603	83133408.88489595	142739566.70339137	236382049.744155	56447211.65116502	46142323.65668997	97003960.49495384	76541387.15096429	71224.62305121262
992.745__8.38_527	106950670.35594133	95028271.92635332	18023402.069368493	19974625.830317345	10458470.20014764	239979909.7868532	173353491.54108012	326680651.08074915	92171109.08150464	150856244.4007196	236714998.22374034	50756315.25957396	39987618.0385428	101270203.64471991	73452229.99445763	115565.50952576863
99.512__8.19_655	131893446.97681583	49975492.18955112	273780003.33741003	96242046.41515297	336498411.20542383	52896114.8468704	47455281.71836966	103271258.53613494	91796069.04429258	100449478.15803559	109787993.39564118	67373001.14296846	100874485.87189572	102895657.87509917	67307638.45761257	79780970.62374392
99.013__3.79_3477	113991070.04993908	32063181.926788963	107746016.7237477	68460809.85060905	69821439.0927217	72753695.45939925	100737514.84799652	80224819.69476254	86512156.7703826	56728022.90572263	224559655.28026012	39080298.376685	137557717.22567126	68952748.06635694	54857595.00253576	40512698.20064282
989.614__8.21_4778	66878653.59917405	21222670.87103972	16005524.591946507	8825292.530933386	13753856.398518693	465943880.20494384	230753633.76596284	573351807.0363038	148734318.41171852	226774154.87879288	459752501.4634592	48082315.67973062	26490582.078727294	140580439.28984392	97185181.97840013	226964.02987164058
975.718__8.45_3720	57156255.19488102	268526056.499519	11801244.536967305	17645832.355902404	4871497.87745308	201879219.7962656	199783328.33418563	350685387.4009858	48888595.89386938	118090825.46027528	199546392.2982517	38942147.81156033	19628064.254721746	70370877.76557381	338525088.03076226	6706632.082250424
973.655__5.42_3754	167503958.83973446	2850573.2636519508	31978155.84866659	36874426.29370256	15582029.858910955	186669131.72165224	54782350.20450993	134577577.52367318	109242356.46821164	197970558.28919744	246541379.69664735	80334837.8447191	51120934.91255272	170282737.60940692	142533998.32072052	175886.02419914692
970.671__7.82_2660	56544846.8405752	152826029.573326	10308755.791120715	14326581.221843395	11839748.08132145	167784644.04207167	127481628.76563972	203446166.85552585	64199943.16532257	96283816.99704206	172207314.88098514	39844335.21556704	44119315.44633481	95000600.63665128	93103400.40704648	2196093.4920317302
969.668__7.79_1917	61844634.42484041	57643484.52388598	9699571.444221087	21966466.85289205	16008432.007251155	206887080.71170264	158880903.6762059	235432919.98867318	81419673.63308191	113060309.88632628	213519773.18222225	40811094.98505951	64622758.08307704	122893350.00438371	116671694.73675662	837447.3552846174
968.569__6.23_4939	483856609.93866825	41398289.18473733	11026992.612351054	39590555.13858809	16356362.38327246	174873361.4206166	121494497.3416464	117015245.44165727	40201294.11515587	323362479.44444275	303265637.4394967	25172599.450517546	58937362.5237656	266945606.0537859	100807113.4719937	285275.27794702776
967.688__8.07_678	36088819.00065285	338201940.93899727	115103087.43671665	186095497.53254884	310487669.83027965	34003196.52311796	113806301.14199488	26391655.88531119	2413036168.9581647	24299747.89799073	22945215.834475417	62424752.14801464	79293159.70446151	17276514.039111797	68968250.11817667	7481732.628455028
964.712__7.85_1165	66450760.71328131	120046468.08366899	9970371.322874684	18438573.11913189	13238493.979396345	203112683.47401625	134305849.4238885	233202037.63646057	85872135.21604742	111438376.68600248	208446447.58265507	53814978.82091422	59888017.32784701	120623184.28976329	113664287.05197889	324716.1666143411
962.733__8.07_615	34162127.225655995	511188103.31760734	185923308.752824	226864570.88348368	250493477.8627999	22137896.384455748	150020148.47148708	28332618.65755653	3823836647.4090686	52095335.57494448	34651499.22512075	42729397.45171739	73446982.13624917	103170851.55141716	28968594.63429472	4930918.102484422
961.584__7.56_4092	44839935.06738649	23353012.11238889	14793001.86657354	20623130.95376356	9201238.2584492	297502884.09595656	216520494.1867008	347926864.8861342	146983998.66704094	193587274.97363782	324437732.3645869	69129365.15842478	37307877.504581295	107999883.87762883	117889918.8584348	69207.6356439025
959.966__5.86_3235	45688932.75763486	132209061.30231358	72828555.48652926	161053410.76669043	136532546.78350812	82102422.70526218	76480397.91918093	80747099.09083836	137089675.85821202	95049749.46893448	94802633.73342387	49847548.3678537	69682036.68747212	55359912.00122175	166627915.7199293	8729257792.297148
