index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	48589709.865214944	51536188.78389107	26855723.45046733	77931989.0	97360084.50574899	72805396.32375835	26029560.308534354	82827553.08898047	21801162.286293965	71841820.26126564	56193040.84587661	56193040.84587661	56193040.84587661	56193040.84587661	24895482.015098553	75368692.66187918	51536188.78389107	51536188.78389107	51536188.78389107	51536188.78389107	26029560.308534354	431050921.5675938	505737367.6128895	505737367.6128895	505737367.6128895	505737367.6128895	74686446.04529566
993.67__9.35_4876	52790721.34572905	24813831.609188862	106709182.76880242	20201461.51861642	27340144.842841946	30661931.323368292	64422321.499868385	67449601.31371316	22762799.0	37209615.32557628	46350221.691347614	46350221.691347614	46350221.691347614	46350221.691347614	64631434.42289027	29001038.083105117	30661931.323368292	30661931.323368292	30661931.323368292	30661931.323368292	64422321.499868385	223257691.9534577	417151995.2221285	417151995.2221285	417151995.2221285	417151995.2221285	193894303.2686708
992.745__8.38_527	32186005.23166774	75698208.54126956	16088085.56002977	59984967.162281334	98683568.5745717	61756241.26037764	8914645.159495719	69113428.6718996	22762799.0	66237069.90701126	49465327.68462145	49465327.68462145	49465327.68462145	49465327.68462145	15921843.239841828	65434834.966138616	59984967.162281334	59984967.162281334	59984967.162281334	59984967.162281334	16088085.56002977	397422419.44206756	445187949.1615931	445187949.1615931	445187949.1615931	445187949.1615931	47765529.719525486
989.614__8.21_4778	34667111.2440526	62292981.18294709	48644843.75801927	472040010.06692106	128459613.16484085	37166976.49896615	30999084.0	40496118.74168783	33925589.69006088	129187135.14990258	98743592.03861064	98743592.03861064	98743592.03861064	98743592.03861064	37856505.81602672	51394549.96231746	40496118.74168783	40496118.74168783	40496118.74168783	40496118.74168783	33925589.69006088	775122810.8994155	888692328.3474957	888692328.3474957	888692328.3474957	888692328.3474957	113569517.44808015
987.559__3.37_5387	36091921.7407258	26388584.82083779	44243251.91995523	51323935.38545301	30172447.210985865	52991990.0	36751610.091968976	47522441.412255585	26281370.5481539	40748553.42837634	39085283.68114846	39085283.68114846	39085283.68114846	39085283.68114846	35758744.18669271	41807181.57649069	36751610.091968976	36751610.091968976	36751610.091968976	36751610.091968976	36751610.091968976	244491320.57025805	351767553.13033617	351767553.13033617	351767553.13033617	351767553.13033617	107276232.56007811
983.647__7.58_4359	34771105.0	76046437.01325816	82938600.62976266	31940858.29999387	39342473.37691464	39365732.49937996	28311816.656102862	71032388.7490354	62200388.759447776	48749832.48976368	51772200.1093217	51772200.1093217	51772200.1093217	51772200.1093217	57816935.348437764	39354102.93814731	39365732.49937996	39365732.49937996	39365732.49937996	39365732.49937996	62200388.759447776	292498994.93858206	465949800.9838953	465949800.9838953	465949800.9838953	465949800.9838953	173450806.0453133
979.434__4.56_5212	94447118.78616497	62532137.324022345	59706500.13086318	48497190.83478475	37980372.12150838	37496559.693449445	30999084.0	83778768.23769307	65759510.73833388	60788691.166270494	57910804.651868895	57910804.651868895	57910804.651868895	57910804.651868895	52155031.62306569	55514664.07940355	59706500.13086318	59706500.13086318	59706500.13086318	59706500.13086318	59706500.13086318	364732146.99762297	521197241.86682004	521197241.86682004	521197241.86682004	521197241.86682004	156465094.86919707
974.371__2.39_1449	53404452.71727947	48333206.76221905	45900875.28952091	54950461.959439136	59411944.66993766	52991990.0	67020592.4780246	54006556.96570745	59531582.976422116	53849768.8457638	55061295.97983894	55061295.97983894	55061295.97983894	55061295.97983894	57484350.247989215	53705504.84149346	54006556.96570745	54006556.96570745	54006556.96570745	54006556.96570745	59531582.976422116	323098613.0745828	495551663.8185504	495551663.8185504	495551663.8185504	495551663.8185504	172453050.74396765
973.655__5.42_3754	23193003.340032395	178431836.2543137	31034179.000000004	204639821.49440563	47245797.81999941	45794859.84982469	34099896.89578879	151296709.23380262	13078059.64992117	108433671.33206308	80979351.50423203	80979351.50423203	80979351.50423203	80979351.50423203	26070711.848569985	99271253.526901	45794859.84982469	45794859.84982469	45794859.84982469	45794859.84982469	31034179.000000004	650602027.9923785	728814163.5380883	728814163.5380883	728814163.5380883	728814163.5380883	78212135.54570995
968.569__6.23_4939	34771105.0	43227839.10684059	48313444.31333017	86166476.98970167	30638123.748102337	34866818.50661932	96153871.41412032	61607755.15293726	69740191.11517248	48546353.08403353	56165069.48298046	56165069.48298046	56165069.48298046	56165069.48298046	71402502.28087433	39047328.80672996	48313444.31333017	48313444.31333017	48313444.31333017	48313444.31333017	69740191.11517248	291278118.5042012	505485625.34682417	505485625.34682417	505485625.34682417	505485625.34682417	214207506.84262297
967.688__8.07_678	34771105.0	117051579.03233911	22698585.112161744	59717255.51673446	106418075.55121514	33012687.45629497	17939457.402294345	105250505.29885478	22851692.163793396	76036867.9759064	57745660.28152088	57745660.28152088	57745660.28152088	57745660.28152088	21163244.89274983	82483880.40779462	34771105.0	34771105.0	34771105.0	34771105.0	22698585.112161744	456221207.8554384	519710942.53368795	519710942.53368795	519710942.53368795	519710942.53368795	63489734.67824949
965.514__3.3_5490	37619377.917197675	31773657.990768503	30134426.624758	24652872.5567273	21457321.522260536	73945005.77660568	30999083.999999996	66229956.23644643	46744451.073358454	42613032.00000102	40395128.18868029	40395128.18868029	40395128.18868029	40395128.18868029	35959320.56603882	34696517.95398309	31773657.990768503	31773657.990768503	31773657.990768503	31773657.990768503	30999083.999999996	255678192.00000614	363556153.6981226	363556153.6981226	363556153.6981226	363556153.6981226	107877961.69811645
964.712__7.85_1165	65402203.93172777	24942245.700014956	19057069.05483799	77931989.0	101058635.18736392	81658074.3328352	15286620.84316489	83699490.53982589	7422957.615041305	72448773.11529462	52939920.689423546	52939920.689423546	52939920.689423546	52939920.689423546	13922215.837681396	79795031.6664176	65402203.93172777	65402203.93172777	65402203.93172777	65402203.93172777	15286620.84316489	434692638.6917677	476459286.20481193	476459286.20481193	476459286.20481193	476459286.20481193	41766647.513044186
964.583__5.02_189	55782071.03590085	53351527.9920484	21496085.1008974	80521472.87685767	162469372.64149058	34595860.42415284	30999084.0	187996013.67642123	22265676.57651921	95786053.10781193	72164129.36936536	72164129.36936536	72164129.36936536	72164129.36936536	24920281.892472204	68151771.95637926	53351527.9920484	53351527.9920484	53351527.9920484	53351527.9920484	22265676.57651921	574716318.6468716	649477164.3242882	649477164.3242882	649477164.3242882	649477164.3242882	74760845.67741661
962.733__8.07_615	27329295.140441805	119045013.7293037	17033980.99510574	90320099.84807321	132843970.81148654	39707043.33871872	30999084.0	132288584.27546212	14947816.153133733	90255667.85724767	67168320.92130286	67168320.92130286	67168320.92130286	67168320.92130286	20993627.04941316	104682556.78868845	39707043.33871872	39707043.33871872	39707043.33871872	39707043.33871872	17033980.99510574	541534007.143486	604514888.2917256	604514888.2917256	604514888.2917256	604514888.2917256	62980881.14823948
