#SampleID	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6
9_332.15_5.5_C10H25N3O7S	3059.1014686248327	699.799732977303	99.6682242990654	59.618825100133506	52.31241655540721	34.7256341789052	62.379839786381844	23.593457943925234	16.859813084112147	23.14552736982644	22.0	25.348464619492656	16.683578104138853	17.043391188251	11.602136181575437	11.969292389853136	14.186915887850466	17.175567423230973	16.93324432576769	20.66355140186916	14.833110814419225	19.32710280373832	13.246995994659546	12.395193591455273	12.901869158878505	11.249666221628836	11.543391188251	8.929238985313752	8.797062750333778	12.057409879839787	8.591455273698264	5.323765020026702	7.174232309746327
99_491.154_5.54_C20H28N4O7S_Nitrobenzenes_1-methoxy-3-[2-methyl-5-nitro-3-[(3-nitro-4-pentoxyphenyl)methyl]imidazol-4-yl]sulfanylpropan-2-ol	4491.951219512195	646.0975609756098	113.04878048780488	55.609756097560975	67.3170731707317	43.536585365853654	95.48780487804878	21.95121951219512	11.707317073170733	15.73170731707317	26.34146341463415	41.34146341463415	16.829268292682926	16.463414634146346	11.707317073170733	8.414634146341463	8.048780487804878	31.82926829268293	20.853658536585364	16.829268292682926	15.0	23.414634146341466	9.51219512195122	10.97560975609756	15.0	10.97560975609756	13.53658536585366	6.585365853658537	8.78048780487805	6.219512195121951	6.219512195121951	5.121951219512195	8.414634146341463
999_411.273_4.19_C23H38O6	2437.395348837209	891.906976744186	245.02325581395348	38.51162790697674	105.48837209302326	30.13953488372093	67.53488372093022	32.93023255813954	60.27906976744186	24.0	17.302325581395348	16.186046511627907	16.186046511627907	12.83720930232558	17.302325581395348	7.813953488372092	22.32558139534884	33.488372093023244	31.81395348837209	12.83720930232558	24.0	16.744186046511622	28.46511627906977	29.58139534883721	12.27906976744186	9.488372093023257	32.93023255813954	7.813953488372092	16.186046511627907	21.767441860465123	5.023255813953488	5.5813953488372094	5.5813953488372094
998_513.357_7.68_C26H46N6O3	1451.3162055335968	1189.8656126482213	161.53359683794466	50.32806324110672	56.9802371541502	36.08300395256917	23.24901185770751	23.98814229249012	21.300395256917	24.72727272727273	29.027667984189726	17.0	19.217391304347824	10.146245059288537	7.592885375494071	41.92885375494071	11.75889328063241	13.102766798418973	9.743083003952568	25.869565217391305	14.648221343873518	9.541501976284584	21.83794466403162	7.189723320158103	32.52173913043478	17.201581027667984	6.786561264822134	13.573122529644268	6.24901185770751	11.42292490118577	12.430830039525693	11.893280632411065	4.83794466403162
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	3669.569817247287	1172.0	62.08052541404911	74.79782981153626	81.61664762992577	20.414620217018847	72.41333523700743	16.607795545402627	13.470302684180467	29.701599086236442	11.713306681896059	51.622215876641924	20.498286693318104	13.05197030268418	11.587806967447175	16.607795545402627	12.08980582524272	9.370645345516847	11.378640776699031	8.366647629925756	17.067961165048544	10.29097658480868	10.081810394060536	6.818817818389492	6.860651056539121	17.360793832095947	8.784980011422045	15.603797829811535	10.458309537407196	13.553969160479724	8.5758138206739	3.5558252427184467	23.55211307824101
996_561.327_5.1_C24H44N6O9	2574.632653061225	824.7602040816327	145.71428571428572	75.8061224489796	59.06632653061224	35.474489795918366	46.663265306122454	25.8469387755102	14.744897959183671	19.51530612244898	23.418367346938773	14.051020408163266	17.0	18.214285714285715	12.056122448979592	13.443877551020408	10.841836734693878	11.709183673469386	18.127551020408163	23.505102040816325	17.086734693877553	17.346938775510207	12.83673469387755	13.790816326530614	6.071428571428571	11.18877551020408	11.88265306122449	9.801020408163266	9.193877551020408	11.015306122448981	6.071428571428571	5.637755102040817	4.857142857142857
995_606.348_5.19_C29H51NO12	3016.5882352941176	466.74509803921563	104.3921568627451	64.49019607843137	64.27450980392156	47.66666666666666	54.13725490196078	21.137254901960784	14.019607843137253	23.509803921568626	22.0	18.11764705882353	14.882352941176471	16.392156862745097	8.843137254901961	10.568627450980392	11.647058823529413	10.784313725490195	20.274509803921568	22.215686274509807	17.686274509803923	13.588235294117649	11.647058823529413	11.215686274509805	14.882352941176471	8.627450980392156	12.509803921568627	6.470588235294117	6.686274509803921	13.15686274509804	7.76470588235294	6.686274509803921	3.019607843137255
994_315.159_2.89_C19H22O4_Eicosanoids_15-Keto-17-phenyltrinorprostaglandin F2.alpha.	2332.333333333333	553.8888888888888	131.83333333333334	51.055555555555564	72.27777777777777	28.444444444444446	43.77777777777778	30.944444444444446	15.277777777777779	24.0	14.888888888888891	10.555555555555557	21.88888888888889	14.111111111111109	14.888888888888891	16.11111111111111	9.555555555555557	11.666666666666664	17.722222222222218	16.22222222222222	19.83333333333333	16.72222222222222	14.666666666666664	17.055555555555557	14.222222222222221	11.5	9.722222222222221	7.888888888888888	9.388888888888891	9.444444444444443	5.111111111111111	6.666666666666668	5.888888888888888
993_259.153_3.46_C9H18N6O3_Aminotriazines_1-[[4,6-bis(1-hydroxyethylamino)-1,3,5-triazin-2-yl]amino]ethanol	2007.920792079208	585.6633663366338	114.05940594059406	68.75247524752476	46.574257425742566	38.81188118811881	40.71287128712871	17.742574257425748	23.128712871287128	19.485148514851485	19.32673267326733	18.534653465346533	13.940594059405939	21.227722772277232	15.049504950495047	14.732673267326732	11.089108910891087	11.722772277227724	16.0	20.594059405940595	17.10891089108911	17.742574257425748	15.366336633663366	15.049504950495047	16.0	15.049504950495047	12.356435643564355	9.188118811881187	7.2871287128712865	13.623762376237625	6.495049504950496	6.1782178217821775	5.3861386138613865
992_120.025_8.9	2304.590163934426	1338.0327868852455	106.03278688524591	81.50819672131145	55.72131147540984	23.081967213114748	30.65573770491803	19.836065573770487	23.80327868852459	15.147540983606556	22.0	12.081967213114753	15.868852459016392	22.180327868852462	21.819672131147538	23.98360655737705	11.901639344262295	25.96721311475409	19.295081967213115	8.83606557377049	9.196721311475411	10.459016393442624	9.737704918032787	17.311475409836063	14.065573770491802	7.934426229508196	12.081967213114753	9.016393442622949	15.868852459016392	33.540983606557376	6.672131147540983	6.131147540983607	3.0655737704918034
