#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	658.2129483064068	1131.3795930198905	1940.5513679415772	1486.8632815010324	1795.273787489238	312.46853896173445	1309.9330438551676	673.6334736058171	1718.171160992187	462.6157589823082	321.3962115034983	580.2987152146497	648.4736691699372	1313.1794702339905	79.53744628116877	121.74098920587058
992_120.025_8.9	365.7003416300634	813.6832601268911	557.6930209858467	822.8257686676428	1490.2288921425086	932.5358711566616	1188.5261102977065	566.8355295265983	758.8282088823818	2569.044899951196	511.98047828208877	1417.088823816496	237.70522205954128	1106.2435334309419	804.5407515861395	667.4031234748658
990_1199.857_8.98	450.5666379816626	531.9384332003866	438.3716607141349	424.7737214600776	453.58840226034204	2624.941876797121	1758.9905706498487	688.7464152332865	786.6299938319372	218.2145489817776	452.6171208850522	132.74178795627424	3204.2572570810885	1382.7809179542614	1172.5524602804226	548.5581367331234
982_601.323_5.25_C26H44N6O10	101.66990451407024	229.75332558549687	941.737780274015	682.6197072308984	966.3805582912133	1101.2518104332457	718.9198473041369	1005.0416830846623	986.1538053229774	819.1141363680754	1068.6407089853362	901.6010400304343	1188.4606835360255	839.6251911249052	944.9841342643043	794.4713583508769
979_751.569_9.98	286.0539920372522	755.3111025702726	292.482171633595	115.70723273416945	1394.9149724063761	12567.091110850071	11872.847714445052	716.7420249922162	961.0128496532408	102.85087354148395	173.5608491012542	89.99451434879845	27011.210663832222	14411.97865500044	1436.6981397826041	221.7721960738248
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	728.9948077117772	1419.907797110253	1017.3285749410624	652.8311710851738	609.3090930128287	973.8064968687177	4417.490924343009	674.5922101213463	2203.3052024124613	293.77402698832816	190.409091566509	141.44675373512095	821.4792236155103	1800.725980243271	239.37142939789703	386.25844289206117
967_493.28_6.88_C20H40N6O6S_Amino acids, peptides, and analogues_6-amino-2-[[2-[[6-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]hexanoyl]amino]-3-hydroxypropanoyl]amino]hexanoic acid	1147.9386477650446	1151.1802676669581	1177.9236318577425	1496.4127872207237	884.5570307345897	1029.2143188574703	1409.6994548445432	676.2829520366606	1473.7214479073307	612.6661614616122	282.83133644193475	88.33414232713723	1211.1502358523535	579.8447599547402	287.28856380706554	281.61572897871724
963_546.401_6.53_C26H59BN3O3Se	249.35743961692842	84.85357495792748	1169.5384246559627	1031.8514917053633	1317.63192812027	341.0153106799727	2457.5516520833708	235.348594694629	648.4093935464268	936.5913462337277	955.4032237008156	369.0330005245714	1370.4652861129418	1308.8263684548247	243.75390164800862	899.7680967236838
954_583.309_5.11_C19H40N14O6	40.944097794769945	111.43457879475932	937.0674887162766	964.5096784588098	868.5058517237497	1015.0103215632797	1022.3749986826816	942.8540207386637	914.3597342647874	905.3292373207589	904.3648153170277	770.8362051640628	1010.8896093655193	864.4728142536011	929.5274621416507	886.9175445222542
94_234.134_2.74_C10H19NO5	328.53994687534794	1608.2562442673623	1845.6987323249195	169.77615540816382	307.65625911257445	407.0328927486441	1152.8485576285834	443.0419960448114	1845.6456606914692	357.27823638879613	1238.6919247347744	2173.9467852162893	174.950639669588	1806.3461161213706	2363.757482252019	416.18774951885615
949_383.246_6.68_C20H40N2Se_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate	1605.4346062055786	1321.1183753315433	1828.9040994483728	1914.0457575007208	1266.4000860948165	332.68719855930186	1262.0226229558782	616.5656831194432	1650.741349693589	580.8893585370969	257.39483256956515	168.97007716301383	1311.9257027397737	2219.154938284712	334.6570569718241	263.7421541210255
948_359.315_7.83_C21H42O4_1-Stearoyl-rac-glycerol_Monoradylglycerols_ 1-Hexadecanoyl-sn-glycerol _Monoradylglycerols_Sandin EU	467.5625667788253	377.79055395729085	789.2456127226571	1279.251182706866	8812.619258647299	763.0621089830429	1660.7822371983875	512.4485731895926	1451.3142072814735	452.60056464190285	684.5115977642002	579.7775828057435	1383.9851976653229	1945.0602777999134	344.1260491492154	340.3855486149848
946_250.086_7.34_C16H11NO2_Isoxadifen-ethyl_Diphenylmethanes_Diphenylmethanes_Isoxadifen-ethyl	660.7154111754891	546.8638521435406	1307.8815459042007	979.3115920698503	1043.670655192043	826.8822320436053	1681.4275701660479	731.6609281259758	1110.2879310553647	510.5442638903736	531.2445473507279	232.03135915106182	1047.0579743037372	1481.5757425760823	115.92158737798384	123.82533197193727
940_344.316_6.71_C20H41NO3_Carboximidic acids_Palmitoyl ethanolamide_Amines	554.3476407009852	1428.4443907718173	1082.6287779207328	1266.8320691881447	490.05026544726576	656.8758877271862	2055.778241220268	213.74532854614787	646.4492863346911	663.8269553221828	578.6763772834735	417.06405569980075	808.0616079183638	1278.9964374793888	121.64368291244189	151.18572019117775
938_663.336_6.3_C25H52N10O6Se	1436.964276845289	824.692541493818	2434.319719588502	2279.831860575886	1935.6419982168954	911.0239921185154	1364.2641078981758	431.6572531234861	1348.3609459409947	490.72614039301567	74.97204922671074	1.1359401397986475	1003.0351434422058	1524.4316676097849	807.6534393968384	112.45807384006609
936_500.394_8.15_C28H53NO6	16.867383896341288	25.68442547851968	890.9045494340262	314.73004952036814	1014.9181560355353	671.8202335985932	1120.91432983868	1376.2251860878462	1264.0954181405768	1074.5290241237417	1455.3868855104474	1419.3520199137186	1101.7468481382919	1305.1138289794071	1216.368388706611	1701.3056757264233
934_118.086_6.95_C5H11NO2_Amino acids, peptides, and analogues_valinium	301.677179454359	288.71448814967954	778.939904763013	813.1142727480773	553.8604466544873	519.6860786694232	302.8556059366026	2074.0306087487184	2114.0971091450006	675.2383743255771	595.105373533013	753.0145221536542	685.8442126657693	1596.7678834400645	558.5741525834617	701.163756934936
930_427.272_6.82_C22H44N2OSe	1631.5613253076974	1397.7079998751526	1327.9222937472916	2015.525128819356	1444.70653665514	940.8252544503013	1319.092265624991	646.5859302458928	1444.4216970382915	499.89352756896113	273.16119255762607	94.85159241052084	1568.042090750502	528.6623288706506	225.30813692709305	307.05710696258694
92_427.34_7.73_C23H48O5	497.54817145236535	607.7226285912168	1549.185302830137	1531.352276234855	31.372667919699836	1039.268413309044	1215.391421630448	1038.0571133893643	1399.3071261017901	689.0950654176885	348.81400020371535	225.6786339242929	1263.0224262498461	1211.5825563274554	213.91556581540505	14.9259067880511
927_118.086_7.56_C5H11NO2	379.375884051946	162.01105368766375	568.388780020887	733.1000179366785	1173.2300471214985	861.3587687727455	384.77625250820137	1165.129494437115	2422.065252630573	496.83389797550217	548.1373983099289	862.7088608868096	297.02026509405016	1306.889166413821	658.844951663166	588.6401617318451
924_298.274_7.61_C18H35NO2_Monoradylglycerols_1-Palmitoylglycerol	227.4702656441874	245.94500803153247	580.7997138021636	826.7447218336963	1061.143015873138	902.953034181495	371.8041905453215	794.4139226558423	845.2194642210412	945.6758759522306	982.6253607269209	1118.8765858335917	703.1948821183254	1091.1644722525741	1026.5028738968656	887.9423059917772
919_328.321_7.5_C20H41NO2_Stearoyl ethanolamide_Amines_ Heptadecanoyl ethanolamide _Amines_Stearamyl	652.2813295892379	592.8007575262849	1220.3542088421602	1034.560961274734	900.8967543916933	756.8735714752171	1018.1870959315614	620.2019199373083	245.9421406647946	475.84457650362435	884.1887285313134	2133.9490628877425	1035.8976033435642	1435.5535819238555	274.01162411023313	570.0778423561679
910_551.355_6.52_C31H56O3Se	156.81385656066362	471.28616855036074	815.0379079768782	1144.4314666411087	1144.712999597232	1215.0962386280505	1668.9273638987686	529.0004245556319	1054.6224536377845	853.8894559218901	919.4866346986129	202.70372840875729	1377.5407543111794	1020.8384989029917	394.42767152870687	553.77532469448
904_309.144_3.22_C11H28N3O2Se_ Nifenazone _Benzoic acids and derivatives_Benzoic acids and derivatives_9-Oxo-11.alpha.,16R-dihydroxy-17-cyclobutyl-5Z,13E-dien-1-oic acid_map00360	2050.7028065263094	2872.940962836973	937.6721625550498	2061.5207104888227	1604.2770847701727	1014.4044073679142	2757.403683046405	278.60620921117743	2443.8393784527852	896.2078337631723	134.15233648978574	131.51886106215716	948.3351561982913	698.2324457332112	141.63966858794547	29.61368936754893
903_567.446_7.32_C30H62O9_ Decaethylene glycol tridecyl ether _Ethers_Tetradecyloctaglycol	1280.7990856819679	1001.5207606748987	1585.1083985295504	1158.7378640776699	918.5528796305023	888.1781977566217	1702.3884202092565	941.6151380903008	1177.8626637760392	557.4316617965878	329.90279479687064	256.77856065604675	1547.1400461871995	844.0224102177397	467.1513573381092	385.5897115656518
8_433.209_4.15_C20H38O5Se	77.18320345071879	1537.5283223513034	1733.2736061390694	49.029853670463886	218.28667015667415	251.73397208829928	1651.3202337887064	279.457071340351	1414.2147796593167	275.45387077359044	1157.6919321266685	2187.281446117001	42.9128135520962	1745.937936904008	2437.200883368965	397.1212375315825
89_696.511_9.57	452.52015832813584	266.40377372075983	592.2761177692001	849.7162334016709	835.7406374575647	1984.92015774433	2758.589872526001	367.5099816198471	544.6627081389341	337.63112132555057	271.70486183748983	51.95066354395425	5627.345994459682	2376.5259944402223	1224.3585881240276	775.5973831877549
898_212.201_3.07_C13H25NO_Fatty amides	350.296109428149	1447.2760310584051	2631.8299800456984	170.5388953794936	239.67628539820717	179.75721404865538	1023.2333722769616	636.0639881721652	2949.861974131781	322.64115342066367	1262.9096576751688	2880.7245841130675	129.05646136826542	3267.893968217864	2382.935375978329	212.02132939072175
897_425.373_6.1_C25H48N2O3_CocamidopropylBetaine_Oleamidopropyl betaine	455.8617782755108	716.3542230043739	1257.8063759765116	753.5674293942118	952.6580835798427	2039.283710163101	2772.383876042902	290.2630098407334	1107.0928900976692	591.6899815984182	387.0173464543112	299.5663114381928	2152.783989652106	1233.6177918231172	241.88584153394447	158.15612715680984
894_355.215_5.96_C16H34O6S_Sodium_Laureth_Sulfate_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate	1685.050331032351	1168.5356896482706	1994.9922470136264	2712.612973914152	1936.3501100508408	828.2787706608096	929.6600921896927	471.7875877683972	1863.6272339868217	259.4169109709656	348.3740509399365	125.07009436978228	1554.3479410220755	3341.442216599838	295.5298653717769	290.7258485019442
891_719.398_7.87_C29H60N10O6Se	376.61638176820486	402.9963667802848	1752.3045363343304	1342.5728542318122	1168.0159321306026	979.4271031080738	1163.5257219157804	836.3016525106189	1574.3799565720042	619.6490096454519	116.745465585375	61.17911417695132	1157.9129591472529	1201.1312324649155	276.7092044884128	120.6743995233443
890_777.571_8.46_C42H80O12	110.41859674222789	372.07721084047705	1193.190048432681	1341.0840477056042	1033.9195876772246	754.8616795468671	2448.616033210981	440.33597973567254	1219.2889894808438	653.8119334373132	463.7581063173572	201.43028860248847	1961.4358003119394	2199.003084211884	392.153319339064	210.12993561854282
888_465.248_4.69_C18H36N6O6S_Amino acids, peptides, and analogues_2-[[6-amino-2-[[2-(2,6-diaminohexanoylamino)-3-hydroxypropanoyl]amino]hexanoyl]amino]-3-sulfanylpropanoic acid	570.7346586385562	356.3630820743861	911.2769601547009	1964.9409453335738	1022.8134630903024	932.6350139083268	888.7323478592073	740.4125301256946	724.9872690814093	520.1081608521838	547.7945268291063	978.5152775272268	864.6056575078891	1310.3561497363387	803.3001328447039	768.889935130529
887_997.7_8.37	523.595865482603	338.4862160695615	1070.991543032597	692.8389735173837	788.0382217869479	1097.4357786630317	2633.8458687912757	227.42042642173664	962.5701769478155	1010.1698010825977	275.02005055651875	674.3280085760797	1946.295742399979	1983.3176722825872	494.50720628912507	296.1754390608664
886_679.44_8.09_C28H58N10O9	95.12199706204727	60.74055234082539	0.22920963147481274	78.16048433291114	543.9144554897306	1554.4997206621802	774.4993447533922	826.3007214666999	1306.7241090379075	1206.3302904519396	1488.4873467974342	996.1450583895363	1138.0258202724451	769.4567328609462	1380.0711911098474	1396.3450749445594
883_507.329_6.53_C25H54NO4Se	334.39181825538174	582.4647608668378	695.8051975819054	790.7559607902236	1243.742408191173	841.0460883392934	1733.1329031462994	1015.5603369237517	891.7115153476847	969.3985034272175	1199.0817725319243	451.4852495636636	1086.1166352761784	1063.598667716893	583.2153597854807	367.41817067566626
881_255.063_2.76_C12H15O2PS	249.89963921624002	1996.0537220416654	2112.3592145070847	136.7375384390747	198.0336763600393	117.8771883095472	1908.038754770537	111.590404933038	1269.930242054855	506.0860618089892	1500.9695311415674	2410.981424891272	62.86783376509182	2598.0132303424202	2377.975812164598	315.91086466958643
878_376.284_6.98_C23H37NO3	944.2965245613788	1683.0143552312618	3114.6310014011156	204.51666373855056	827.776644923985	1252.4369875087054	2092.047682708363	563.6345740272369	2313.556828894033	350.01479469201485	419.6536290065511	411.0056691897132	525.5532071144949	3445.680971933399	518.8775890102692	237.43959847984542
870_276.171_3.37_C15H21N3O2_Eicosanoids_9-Oxoprosta-5Z,10,12Z,14E-tetraenoic acid	912.2209337430133	693.6489590122536	988.886796285794	800.4213115401652	921.1900398676156	590.4756745470806	917.6480998693652	610.9846496982417	791.5093334800507	635.6068454925329	1085.5474813993446	476.7336981516436	741.0652525372225	719.5279722252787	514.381092649179	422.7476772105648
86_258.279_5.65_C16H35NO	541.0362777641469	406.47610120689103	957.7628079331556	797.2970018170929	895.7011198534242	1401.5131962750204	2549.1884971608692	688.4560833829689	1123.0742713767652	439.46384532134283	257.56532410267005	122.25966180271458	1912.5436728955135	1829.7947554558716	216.9363511255484	236.87809474275952
861_705.383_7.43_C27H54N12O6P2	516.5269757245214	644.4962812562718	1124.8360442000928	1172.3443961747553	1077.1255290255383	965.7336058849468	1320.5300216957235	737.2891900067826	1143.030732190389	766.1985275913645	301.42533103924126	109.37029114166971	930.7593723035997	1079.9558138240288	387.54685419331014	221.36870388193776
85_640.946_9.2	358.2264254646858	486.3512053754129	697.5458975359519	766.9384392458434	764.3236478190938	2182.3451523255703	2889.947939964405	477.501142084876	893.2529789380515	415.7518368531755	200.73552645354096	39.62414700535828	5752.943414453083	2550.829605695197	1446.9853480027793	856.0424855573849
857_735.394_7.05_C29H60N10O7Se	1023.0805562732343	859.1555610816347	1207.3148429045007	1677.692539283935	818.1743122837349	1004.2219285078287	903.7634690651894	752.5317810233821	1098.515067334855	619.0707229912833	100.45845944263945	129.83439884644378	1413.3090846496964	1172.498914722214	484.15900128492285	287.2314075038644
855_229.118_1.69_C10H16N2O4_ PyroGlu-Val _Amino acids, peptides, and analogues_ PyroGlu-Val _Amino acids, peptides, and analogues_Pyroglutamylvaline	1351.4235786598097	3623.887714871102	1760.8097582043554	1037.5155741863825	1491.193598621688	636.0684989147081	1394.2529569739875	1089.8509852483412	748.9918110064801	912.0568342953386	394.13474238876563	338.35208868200687	599.924682093475	1567.5552462989178	403.11846564491026	89.00153737482859
853_619.31_6.27_C22H42N12O7S	1232.8277156631545	306.8289545689222	922.3241628359218	2449.119739163912	2188.2232628238708	650.4038917209489	1714.2000875018232	453.81288490134	935.1852567400084	571.4000291672743	220.47589549862676	56.9562730038119	2006.3306490375035	2070.6361185579362	856.1813941863338	497.9080640010654
84_698.988_9.71	662.0777916797811	621.2976378444322	787.416793909015	916.3540450060741	503.7548414954856	2851.612227751232	3967.669084921587	350.52941054060875	578.1186514305335	198.80324994732558	206.8993098999316	104.0493630946033	8071.7717727482	54.57344116201094	1763.1419452341995	1114.5575868087622
848_329.316_5.38_C19H40N2O2_Cabergoline N-oxide	570.5713202884481	414.8248181624674	744.2885726597342	333.95644205859287	554.0981325635847	1593.4065217504165	4685.873126463396	807.1861985183031	425.3077558055623	676.8982592398387	602.0201332177326	218.64412798454964	2081.611903414548	1389.738018970288	357.9174423856668	315.98569181328753
