#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
9_332.15_5.5_C10H25N3O7S	8172.958232100944	8654.301936152742	7198.252051091372	6558.619181307515	5878.306247865339	6118.0	6536.33035954354	5565.255003887808	5065.0754670820115
99_491.154_5.54_C20H28N4O7S_Nitrobenzenes_1-methoxy-3-[2-methyl-5-nitro-3-[(3-nitro-4-pentoxyphenyl)methyl]imidazol-4-yl]sulfanylpropan-2-ol	7348.459621574174	7968.923729640105	8441.1287915732	7600.5	5476.689164147079	5170.534233882766	6043.038720374525	4200.178776943334	4682.020676875061
995_606.348_5.19_C29H51NO12	3924.54984375	11008.0575	8552.93765625	7600.5	630.208125	908.893125	713.33859375	6581.55796875	5705.91703125
994_315.159_2.89_C19H22O4_Eicosanoids_15-Keto-17-phenyltrinorprostaglandin F2.alpha.	6119.5	7780.947771560106	5339.1708536730575	5212.637556058261	4556.1701789895615	6510.271738699052	5182.036413065048	4322.5328808985205	4709.41876016986
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	6119.5	9632.942336495258	3877.0072391412878	10489.916749875189	7679.162880678982	7804.4247378931595	2017.9379680479285	10887.088492261608	1675.7592361457816
982_601.323_5.25_C26H44N6O10	4245.423578751165	9499.045666356009	7577.017940354148	7059.778657968313	6484.006523765144	6751.585274930103	6648.8541472506995	6156.7003727865795	2563.5
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	6993.6306690052625	8144.463041844149	6419.295414683037	6417.133550488598	2329.048358807317	4985.258832372839	5676.334753194687	5752.0	4054.215985968429
977_555.35_5.34_C30H50O9_Terpene lactones_[(4Z)-7,10-dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E)-8,9,11-trihydroxy-6,10-dimethyltrideca-2,4-dien-2-yl]-1-oxacyclododec-4-en-6-yl] acetate	15424.25352112676	6754.475672215109	10634.039692701665	5661.695902688861	6065.123559539053	6118.0	4190.947503201024	6053.37323943662	1386.5377720870679
976_433.222_3.75_C24H32O7	6119.5	7270.954001924222	4671.701493563019	5044.024579649059	4010.8840885142254	6476.4030787556685	4510.772689787877	4270.781302973382	4239.941288312641
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	8989.217490247074	10753.5	3081.0851755526646	13254.259752925876	87368.1089076723	5157.671326397919	1072.087126137841	6143.525357607282	594.3091677503251
965_732.546_6.63_C37H73N5O9	6119.499999999999	10125.595181729565	3816.059183957666	11838.475699763265	8669.220651719816	8295.11391171146	3034.610708814928	11686.787773290627	1516.879264726361
961_478.228_2.7_C21H35NO11	8265.577235772358	6908.857917150601	7090.904374758034	6132.794425087108	6787.493612078978	5558.262485481999	7052.490902051877	5752.0	5482.548974061169
960_333.134_2.39_C16H18N3O5_Orcinol .beta.-D-glucoside_(2R)-5-[[(1R)-1-carboxy-2-(1H-indol-3-yl)ethyl]amino]-2-$l^{2}-azanyl-5-oxopentanoic acid	6758.253763440861	4864.14623655914	7531.518279569893	6232.980645161289	7263.999999999999	3473.832258064516	6695.767741935483	4416.980645161289	3850.701075268817
957_435.165_3.03_C22H26O9	6119.5	9129.329239230063	5794.1736938588465	3952.1537121906513	3480.991475710357	7307.501924839597	6235.046929422549	4649.92254812099	4679.089734188818
956_494.84_6.72_C8H16O4P2S8	3690.129716331589	10753.5	9349.710685761498	4528.257091710273	3663.475488846048	4851.069402368495	4196.5600385568705	7877.80501239328	4966.57105480584
