index	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	29828119.98778844	139540369.5888138	42585213.183767974	34098928.26079858	86218121.63833974	12915950.826458564	112511907.16875699	81167917.89050022	41784201.42812228	144023524.22986302	12948455.90208472	128276571.46249765	8856550.80716182	47662385.24026256	82473008.12170489	65887015.543944016	79429448.5793316	58363441.63539536	79429448.5793316	58363441.63539536	65887015.543944016	24422034.09954185	83693019.76441997	45123799.21201527	81167917.89050022	42585213.183767974	81167917.89050022	42585213.183767974	45123799.21201527	23523692.08144165	824730081.2170489	922418217.6152163	397147242.89665806	525270974.71855825	397147242.89665806	525270974.71855825	922418217.6152163	97688136.3981674
992.745__8.38_527	9545271.906534584	158247821.30007073	40203266.549731456	24183538.852270864	131840966.71536364	18760976.861992445	164625360.970853	130965561.75638731	36753950.52007475	109046277.93810938	15737198.703992818	140836313.96169534	21689896.965954177	62827341.27831221	96689915.923905	76090267.44866733	97513510.9572233	64188465.499469586	97513510.9572233	64188465.499469586	76090267.44866733	24591146.26057315	120005919.84724835	51515303.914021835	130965561.75638731	40203266.549731456	130965561.75638731	40203266.549731456	51515303.914021835	22936717.90911252	966899159.23905	1065263744.2813427	487567554.7861165	577696189.4952263	487567554.7861165	577696189.4952263	1065263744.2813427	98364585.0422926
99.531__4.61_1540	22165973.335652377	48440070.35228907	55659522.14969179	47489744.08426772	66105121.70569683	152357021.18449298	59338077.87595689	44753966.73206812	53204569.270582765	93659862.6531963	66230610.80728674	55004996.76548576	97286255.97500595	72614192.91434962	67009880.566887975	66736427.55757308	44437566.47604684	79124683.71397652	44437566.47604684	79124683.71397652	66736427.55757308	66052795.03428579	57498800.01282434	57498800.01282434	47489744.08426772	66230610.80728674	47489744.08426772	66230610.80728674	57498800.01282434	59717590.03893475	670098805.6688797	934309985.8060231	222187832.38023418	712122153.4257886	222187832.38023418	712122153.4257886	934309985.8060231	264211180.13714316
99.531__4.16_1538	21229766.996933077	33218404.55504537	18035094.110017613	173915416.68256202	63313092.99459386	66693789.64134375	99936403.4830354	42863729.533686064	55489178.9095768	54577408.53951796	48641838.183742374	80095475.46229316	54038424.615462646	75352581.81889975	55531574.7135366	63385757.53762214	74232744.25025238	57359653.8083831	74232744.25025238	57359653.8083831	63385757.53762214	83021214.59783596	58945250.767055914	55033293.724547386	42863729.533686064	55489178.9095768	42863729.533686064	55489178.9095768	55033293.724547386	54763801.762519725	555315747.135366	887400605.5267099	371163721.2512619	516236884.2754479	371163721.2512619	516236884.2754479	887400605.5267099	332084858.39134383
99.512__8.76_83	52457442.52394814	63683835.54822703	39025518.81709037	68887507.30113238	56637492.571449295	58382569.121319	75214574.43107416	49642722.33598121	37359938.11177447	85670710.57777062	51160375.40049815	92566580.61910453	51226214.940942645	59881710.09821596	63316315.66441803	60128370.885609135	61977216.42807259	59101234.473129444	61977216.42807259	59101234.473129444	60128370.885609135	52158508.93858691	59132139.60976748	57510030.84638415	63683835.54822703	56637492.571449295	63683835.54822703	56637492.571449295	57510030.84638415	51193295.1707204	633163156.6441803	841797192.3985279	309886082.1403629	531911110.258165	309886082.1403629	531911110.258165	841797192.3985279	208634035.75434765
99.512__8.19_655	31545674.607086815	73399842.49490891	27545928.744182184	107381213.42716298	59842859.39022197	277714983.6253073	37451630.94914309	58552217.26117822	59816991.16298211	36881357.98779917	27398417.47028886	76035268.56510583	141411683.8992457	78388880.28903884	75735864.39139724	78097639.27668943	61666115.747896	87226263.45935243	61666115.747896	87226263.45935243	78097639.27668943	84002076.48991992	59197538.32570009	59829925.276602045	58552217.26117822	59842859.39022197	58552217.26117822	59842859.39022197	59829925.276602045	83599102.29507254	757358643.9139724	1093366949.873652	308330578.73948	785036371.134172	308330578.73948	785036371.134172	1093366949.873652	336008305.95967966
99.013__7.26_2802	47479812.60316912	87344156.37151152	30530120.537283733	58847227.38816226	65290177.855067715	37129290.91001376	29926632.337748066	24137530.63537326	91034916.44601193	34294126.79835268	58553251.59231963	29204233.43691181	68959500.76505618	56842623.80254918	44217870.52879809	51398114.391395055	49547071.86719285	52426471.34928518	49547071.86719285	52426471.34928518	51398114.391395055	69348724.0478875	35711708.85418322	52161218.20285915	47479812.60316912	56842623.80254918	47479812.60316912	56842623.80254918	52161218.20285915	63903364.076609224	442178705.28798085	719573601.4795308	247735359.33596423	471838242.1435666	247735359.33596423	471838242.1435666	719573601.4795308	277394896.19155
99.013__6.55_2949	29057119.85248732	41756609.5981628	49385653.8926328	64486585.528878115	39056486.328557044	53017115.60342218	46169721.85058004	38322290.516980395	48211405.69406778	20855938.012924884	41006514.79671533	27433622.23825803	39497160.46375265	87816919.91357288	43287147.78075783	44719510.306499444	43958465.469417736	45142312.99376706	43958465.469417736	45142312.99376706	44719510.306499444	48300416.62085347	40406547.96335992	41381562.19743906	41756609.5981628	41006514.79671533	41756609.5981628	41006514.79671533	41381562.19743906	44608960.245391555	432871477.8075783	626073144.2909923	219792327.3470887	406280816.94390357	219792327.3470887	406280816.94390357	626073144.2909923	193201666.48341388
99.013__10.0_32	73.39339105067451	49293863.77188397	72300930.42488521	64633082.50147495	42215071.205046415	71446264.38610011	87401620.63356149	78807988.47543801	75237033.03386745	66042235.60964789	122196986.97033997	80977130.1479407	77354799.33263466	55777509.33069161	60426268.73785865	67406042.08692168	56027325.755149886	73727551.16012822	56027325.755149886	73727551.16012822	67406042.08692168	84855475.45957926	68744249.997874	71873597.40549266	64633082.50147495	72300930.42488521	64633082.50147495	72300930.42488521	71873597.40549266	76295916.18325105	604262687.3785865	943684589.2169034	280136628.77574944	663547960.441154	280136628.77574944	663547960.441154	943684589.2169034	339421901.83831704
985.675__9.92_5179	42433142.25522279	285369351.3237333	63478758.227991775	136224255.76934162	27281816.855179317	52548757.60630956	26905331.345638733	26855436.88369791	24561843.085695524	26056064.80656854	36398888.61385036	28399684.992640626	26994771.983971365	72810637.38674355	65213898.168372616	62594195.79547036	103557503.51552688	39836802.61766118	103557503.51552688	39836802.61766118	62594195.79547036	56044939.86321472	35416413.623931706	32399286.803245492	42433142.25522279	28399684.992640626	42433142.25522279	28399684.992640626	32399286.803245492	31696830.298910864	652138981.6837262	876318741.136585	517787517.5776344	358531223.5589506	517787517.5776344	358531223.5589506	876318741.136585	224179759.45285887
