index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	15067714.5	33416875.604241114	48257228.874428935	39317914.457211725	1584569.421482429	6788504.223548788	2102688.548559305	20978069.31082297	3052874.577719993	26681779.55407079	18951826.613112807	18951826.613112807	18951826.613112807	18951826.613112807	3491920.7311968408	27197472.45753204	15067714.5	15067714.5	15067714.5	15067714.5	2102688.548559305	160090677.32442474	170566439.51801527	170566439.51801527	170566439.51801527	170566439.51801527	10475762.193590522
996.79__9.57_5822	17055366.95943694	15781248.855439188	12514301.94193018	8508253.095225975	8887799.5	9368221.094594594	6641027.842612612	7506854.316426426	9401850.606216216	11794645.96244582	10629436.02354246	10629436.02354246	10629436.02354246	10629436.02354246	8299016.145735736	10958076.274073198	9368221.094594594	9368221.094594594	9368221.094594594	9368221.094594594	8887799.5	70767875.77467492	95664924.21188214	95664924.21188214	95664924.21188214	95664924.21188214	24897048.437207207
995.65__9.84_5856	6644724.476169704	14722636.483256036	14592731.34693608	10694521.89803204	20055664.472912334	24363641.15757895	17673421.10117075	11481062.0	27085796.573240742	14203578.796272434	16368244.389921851	16368244.389921851	16368244.389921851	16368244.389921851	20697575.57722068	13036896.67346804	14722636.483256036	14722636.483256036	14722636.483256036	14722636.483256036	20055664.472912334	85221472.7776346	147314199.50929666	147314199.50929666	147314199.50929666	147314199.50929666	62092726.731662035
992.745__8.38_527	23243970.477018867	26626164.720204663	29430910.54442116	13431034.500000002	4385121.585180619	1041223.7229071632	813038.5016619406	15051652.965550488	1238019.8044112935	18170292.168601077	12806792.980150687	12806792.980150687	12806792.980150687	12806792.980150687	2079794.6032499075	19147811.721284676	13431034.500000002	13431034.500000002	13431034.500000002	13431034.500000002	1041223.7229071632	109021753.01160645	115261136.82135618	115261136.82135618	115261136.82135618	115261136.82135618	6239383.8097497225
991.123__7.54_5722	22572018.350597475	12046370.950324344	6661227.02970297	13431034.5	4943964.889040628	3679114.2393308296	10654850.131444179	15377985.710617958	17342664.855240695	14571883.566080576	11856581.184033232	11856581.184033232	11856581.184033232	11856581.184033232	6425976.419938546	14404510.10530898	12046370.950324344	12046370.950324344	12046370.950324344	12046370.950324344	4943964.889040628	87431301.39648345	106709230.65629908	106709230.65629908	106709230.65629908	106709230.65629908	19277929.259815637
99.531__4.16_1538	16055347.722783914	7470516.815658437	19528285.85023986	19186630.226120193	8124258.519044331	8955123.777939873	6283799.842624924	5420292.34263752	7365866.5	12504489.909573322	10932235.733005451	10932235.733005451	10932235.733005451	10932235.733005451	7787727.37986971	11762932.269221175	8124258.519044331	8124258.519044331	8124258.519044331	8124258.519044331	8124258.519044331	75026939.45743993	98390121.59704906	98390121.59704906	98390121.59704906	98390121.59704906	23363182.13960913
99.512__4.27_3979	9802470.338482514	8724360.820046097	33927564.073032714	13431034.5	5056836.1181647405	9398715.596374642	13381851.399481166	10498000.610497206	20361207.995025665	16124106.389514035	13842449.050122749	13842449.050122749	13842449.050122749	13842449.050122749	9279134.371340184	11964517.555248603	10498000.610497206	10498000.610497206	10498000.610497206	10498000.610497206	9398715.596374642	96744638.3370842	124582041.45110475	124582041.45110475	124582041.45110475	124582041.45110475	27837403.11402055
99.013__7.26_2802	18085200.477753274	6293430.576172111	5689540.199105413	21668096.80701685	8887799.5	7892647.589352977	4009316.8443452683	8122366.391031215	13045877.004573096	12150751.909275325	10410475.043261133	10410475.043261133	10410475.043261133	10410475.043261133	6929921.311232748	10584121.697802156	8122366.391031215	8122366.391031215	8122366.391031215	8122366.391031215	7892647.589352977	72904511.45565195	93694275.38935019	93694275.38935019	93694275.38935019	93694275.38935019	20789763.933698244
99.013__3.79_3477	10183992.67802682	15016312.5	8649795.245300591	10189131.130678192	11306002.752223738	11828895.46712876	8853566.708486803	3324548.4887723112	11994048.59683835	9892971.439936044	10149588.174161728	10149588.174161728	10149588.174161728	10149588.174161728	10662821.6426131	10186561.904352505	10189131.130678192	10189131.130678192	10189131.130678192	10189131.130678192	11306002.752223738	59357828.63961626	91346293.56745556	91346293.56745556	91346293.56745556	91346293.56745556	31988464.9278393
99.013__0.88_2719	4.779209057472253	4.779209057472253	17131213.46357196	30039761.543623365	8887799.5	4.779209057472253	4.779209057472253	16484251.93346194	35808199.96706557	16577239.411023492	12039027.280506562	12039027.280506562	12039027.280506562	12039027.280506562	2962603.0194727047	16807732.69851695	8887799.5	8887799.5	8887799.5	8887799.5	4.779209057472253	99463436.46614096	108351245.52455907	108351245.52455907	108351245.52455907	108351245.52455907	8887809.058418114
989.614__8.21_4778	13458929.964952905	18433882.338591367	15224434.5	31985456.372340485	15572895.494814737	3404322.634291668	5512009.951988999	12940090.322706122	4490855.20498799	16088941.450596476	13446986.309408253	13446986.309408253	13446986.309408253	13446986.309408253	8163076.027031802	14341682.232476452	13458929.964952905	13458929.964952905	13458929.964952905	13458929.964952905	5512009.951988999	96533648.70357886	121022876.78467427	121022876.78467427	121022876.78467427	121022876.78467427	24489228.081095405
987.559__3.37_5387	10744312.119891422	9289082.168097913	14101994.55484159	13431034.5	15728499.738657705	14484381.53065617	9042670.485789433	11832872.014721433	5717423.243482083	10852786.43350574	11596918.92845975	11596918.92845975	11596918.92845975	11596918.92845975	13085183.918367768	11288592.067306427	11832872.014721433	11832872.014721433	11832872.014721433	11832872.014721433	14484381.53065617	65116718.60103444	104372270.35613775	104372270.35613775	104372270.35613775	104372270.35613775	39255551.755103305
985.675__9.92_5179	17069590.765088737	4205086.762623049	11998896.975779032	9308541.32260744	7265743.181316733	25528324.55728918	8928527.817605043	12417628.794744605	7365866.5	10394268.520140478	11565356.297450425	11565356.297450425	11565356.297450425	11565356.297450425	13907531.852070319	10653719.149193237	9308541.32260744	9308541.32260744	9308541.32260744	9308541.32260744	8928527.817605043	62365611.12084287	104088206.67705382	104088206.67705382	104088206.67705382	104088206.67705382	41722595.55621096
983.647__7.58_4359	15837557.160905661	15573564.519447785	12110255.86216686	15100556.343468515	6558150.2130148	4668619.891375303	6654772.869452897	16371398.713457152	7365866.499999999	13726533.183240995	11137860.230365442	11137860.230365442	11137860.230365442	11137860.230365442	5960514.324614334	15337060.43145815	12110255.86216686	12110255.86216686	12110255.86216686	12110255.86216686	6558150.2130148	82359199.09944597	100240742.07328898	100240742.07328898	100240742.07328898	100240742.07328898	17881542.973843
982.62__7.48_4896	16574055.320952583	14197160.245196579	20585082.085920334	13431034.5	17389154.9546284	6256494.788061777	3569216.992367031	19452718.71958967	2894538.1938952454	14522431.510925734	12705495.088956846	12705495.088956846	12705495.088956846	12705495.088956846	9071622.245019069	15385607.78307458	14197160.245196579	14197160.245196579	14197160.245196579	14197160.245196579	6256494.788061777	87134589.06555441	114349455.80061162	114349455.80061162	114349455.80061162	114349455.80061162	27214866.735057205
98.513__6.8_3090	15204502.890900742	15997776.683241168	15224434.5	6540863.276144025	8328220.523946836	6421509.7221063925	12581387.444165006	5494607.263795624	10592655.780705703	11509140.065797878	10709550.898333944	10709550.898333944	10709550.898333944	10709550.898333944	9110372.563406078	12898579.335803222	10592655.780705703	10592655.780705703	10592655.780705703	10592655.780705703	8328220.523946836	69054840.39478727	96385958.08500549	96385958.08500549	96385958.08500549	96385958.08500549	27331117.690218233
98.513__3.11_2260	17696570.494445708	14864900.190245315	14187144.094468437	9576853.408912718	8905127.016941614	12117596.287193496	6867381.450538305	11481062.0	19440578.10541175	14541184.715580655	12793023.672017483	12793023.672017483	12793023.672017483	12793023.672017483	9296701.584891139	14526022.142356876	12117596.287193496	12117596.287193496	12117596.287193496	12117596.287193496	8905127.016941614	87247108.29348393	115137213.04815735	115137213.04815735	115137213.04815735	115137213.04815735	27890104.754673414
98.513__10.04_5	7173319.777955767	5277137.697926283	4878967.454269015	9196864.533249216	9090229.092869887	12215633.408536986	9880204.984016968	15937451.757137159	7365866.5	8304934.620089573	9001741.689551255	9001741.689551255	9001741.689551255	9001741.689551255	10395355.828474613	7269593.138977883	9090229.092869887	9090229.092869887	9090229.092869887	9090229.092869887	9880204.984016968	49829607.72053744	81015675.20596129	81015675.20596129	81015675.20596129	81015675.20596129	31186067.48542384
