index	V13-leg-psoriasis-BB3	V13-leg-healthy-BA2	V13-leg-psoriasis-BA9	V13-leg-psoriasis-BA12	V13-leg-psoriasis-BB2	V13-leg-psoriasis-BA8	V13-leg-psoriasis-BA7	V13-leg-psoriasis-BB7	V13-leg-psoriasis-BA10	V13-leg-healthy-BA1	V13-leg-healthy-BB9	V13-leg-psoriasis-BA6	V13-leg-psoriasis-BB12	V13-leg-healthy-BC1	V13-leg-psoriasis-BB4	V13-leg-healthy-BB8	V13-leg-psoriasis-BB6	V13-leg-psoriasis-BA5	V13-leg-psoriasis-BB5	V13-leg-psoriasis-BB1	V13-leg-psoriasis-BA11	V13-leg-healthy-BA4	V13-leg-psoriasis-BB10	V13-leg-psoriasis-BA3	V13-leg-psoriasis-BB11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	2320001.7265311875	461012.32144541375	1676236.5408464465	469534.651376988	699065.8730923994	690310.1369008388	1114924.5	2045639.5535784585	672612.2219983942	892617.9259083718	2502733.05100976	1854333.2856543367	1249602.73689878	3337411.1391517166	3610989.052946458	1337965.1915114643	1640298.3328035257	1845153.8164643135	3122622.2946744747	660857.5155102164	2101560.3036072003	1226367.6910389287	2540201.288287962	1100501.3349540054	2823624.2851911443	1626351.2200109425	1679847.0708553111	1679847.0708553111	1679847.0708553111	1679847.0708553111	1696740.4974377437	1282166.4412751966	1640298.3328035257	1640298.3328035257	1640298.3328035257	1640298.3328035257	1676236.5408464465	9758107.320065655	41996176.77138278	41996176.77138278	41996176.77138278	41996176.77138278	32238069.45131713
993.67__9.35_4876	2122664.806583704	1471295.602103031	1088024.68059302	1497709.0375069522	1454291.713859149	1243470.8370759177	5.46748818131257	1092453.3460198832	1590350.1572511124	1690924.602346357	1367473.4690280866	2084337.7144327029	1871406.3872114848	1235674.198929366	1541120.893666574	1441940.658057564	1572887.0	1539174.4678740266	1219249.864432703	1369600.3219306173	3240438.090371246	2003965.6381674083	1671733.7188299499	1083765.5072997776	4423985.256979978	1535212.3614386355	1636717.7375215518	1636717.7375215518	1636717.7375215518	1636717.7375215518	1668772.0668108938	1456618.1300802976	1497709.0375069522	1497709.0375069522	1497709.0375069522	1497709.0375069522	1539174.4678740266	9211274.168631813	40917943.438038796	40917943.438038796	40917943.438038796	40917943.438038796	31706669.26940698
992.745__8.38_527	1175950.383553732	763759.9631932685	263447.66468394536	160405.9612112398	1302387.1714621098	1426099.0216589621	268523.5921674544	1714134.9705168025	329181.48893159506	1483832.3987409754	2695630.815976731	1650430.2296369397	1291180.0	2544637.9345348775	1453348.3987742169	1156703.0631361345	2336613.43197216	1664706.7786630655	1491051.1498550875	1540322.144081442	1619580.865901418	1732601.6679042226	3126880.77801901	413622.36734846514	3459887.58805381	1729527.6405810348	1482596.7931991064	1482596.7931991064	1482596.7931991064	1482596.7931991064	1404618.6308679716	1608217.033322599	1483832.3987409754	1483832.3987409754	1483832.3987409754	1483832.3987409754	1453348.3987742169	10377165.843486208	37064919.82997766	37064919.82997766	37064919.82997766	37064919.82997766	26687753.98649146
990.729__7.93_5197	1946951.164585701	401333.39216894674	306254.12582974485	1176654.365664165	3050313.0142052453	1866488.3612946274	230685.06000631314	963258.321785145	1435877.0	366706.56329915125	2681721.2124454053	502079.6346475712	1696441.541254095	2814349.4741882924	735270.2131656012	268905.94726557523	845992.5482652229	2274076.165778403	4020647.783592209	466307.02371679957	3114725.4846781893	1480835.5737439538	3124681.8709738133	955362.6540856746	4327687.347247537	1335642.027185221	1642144.2337554956	1642144.2337554956	1642144.2337554956	1642144.2337554956	1738934.4042513715	941084.4829564503	1435877.0	1435877.0	1435877.0	1435877.0	1435877.0	8013852.163111325	41053605.84388739	41053605.84388739	41053605.84388739	41053605.84388739	33039753.68077606
99.531__4.61_1540	585438.6308556781	651010.0052715369	1116041.8403013435	723774.5462485355	706694.283145196	1211485.1389325801	1238185.1868392937	1224442.0	634568.4286098683	2199995.1223403285	2094173.3084019814	1136768.0236798013	1101458.1592008693	1751715.1016836744	1004775.3034241087	666081.3886024925	1727829.3994735293	1518985.7157224896	3327950.313754712	3545616.5856740465	3752085.4039247795	2726694.391108123	8335028.466908377	2942815.142185043	2696057.697020561	1681611.5529013562	1944786.783332358	1944786.783332358	1944786.783332358	1944786.783332358	2027894.7508368848	1922944.2050428279	1238185.1868392937	1238185.1868392937	1238185.1868392937	1238185.1868392937	1224442.0	10089669.317408137	48619669.58330895	48619669.58330895	48619669.58330895	48619669.58330895	38530000.26590081
99.531__4.16_1538	925060.9252958262	726795.6145340422	706593.7298374026	691986.9717050523	706543.5393712785	1846296.7152442157	684810.7122088302	867318.7927554806	1118966.1502907062	2213460.406458842	1709423.6719839054	1158210.2090021279	1192079.535036789	1905045.6774182783	2187771.6822389844	593960.9938940248	836275.2343799452	2245946.962943615	2086820.0	4013387.349292272	4282032.929629805	2606940.2471362185	7745696.451208324	2813569.1550406213	7541125.085916958	1625937.768570885	2136244.7497129417	2136244.7497129417	2136244.7497129417	2136244.7497129417	2297394.32270517	1807234.6747010918	1709423.6719839054	1709423.6719839054	1709423.6719839054	1709423.6719839054	1192079.535036789	9755626.61142531	53406118.74282354	53406118.74282354	53406118.74282354	53406118.74282354	43650492.13139823
99.512__4.27_3979	1104408.5088084314	944122.4828949985	833247.6891676916	1001195.0000000001	1828039.850793078	1256873.4860815492	1641910.1995092516	1484719.9029366348	2463052.714398643	1785150.6652967937	834630.259833995	1684356.962392319	1523648.177092923	1825575.8026277998	987817.8607087007	1093484.3571170801	2635050.6500452943	1523439.2553033484	1829440.8557349322	885213.9119451462	1665045.2153253942	1651881.913630483	4354083.713700204	1561770.2589317937	3927949.626359747	1355807.580233525	1693044.3728254493	1693044.3728254493	1693044.3728254493	1693044.3728254493	1799540.2020650043	1372683.1353737814	1561770.2589317937	1561770.2589317937	1561770.2589317937	1561770.2589317937	1561770.2589317937	8134845.48140115	42326109.320636235	42326109.320636235	42326109.320636235	42326109.320636235	34191263.83923508
99.013__6.55_2949	1225655.0913482457	1023854.6732670909	1246615.2558184594	964206.1855635954	1125964.168983755	1272827.7312810172	1114924.5	785528.6482436194	1707306.813654139	1972235.536387608	1055409.5729007828	2125620.2354178587	2837820.089002893	1810372.9573134957	1801747.8387721463	1084568.4274769991	1522079.174650849	1741709.9334031646	1636632.3348600978	1537793.4647843465	1521959.2919397799	1568600.9077832517	3830879.3880003807	3436662.3911615554	2064846.9421433925	1419173.679188205	1680632.862166341	1680632.862166341	1680632.862166341	1680632.862166341	1763198.9199489101	1326584.6676301253	1537793.4647843465	1537793.4647843465	1537793.4647843465	1537793.4647843465	1537793.4647843465	8515042.07512923	42015821.55415852	42015821.55415852	42015821.55415852	42015821.55415852	33500779.479029294
99.013__5.59_3303	785295.3092819615	841350.1996497373	1200929.6042031525	1209262.3565674257	1560522.2626970229	1074642.7460595446	2135951.365323993	936602.2935201401	1477482.3495621716	3317404.304028021	872850.8399299475	2088933.0115586692	1142118.5569176883	1589280.0	1627564.007005254	809205.4178633976	1163032.6122591945	1036511.1593695272	3377133.8493870404	1518768.3740805604	2730509.880210158	1831628.3012259195	2464238.2164623467	3647732.92469352	3822264.1260945713	1543619.8437828373	1770448.562718039	1770448.562718039	1770448.562718039	1770448.562718039	1842078.6844870495	1231065.4199649738	1518768.3740805604	1518768.3740805604	1518768.3740805604	1518768.3740805604	1518768.3740805604	9261719.062697023	44261214.06795097	44261214.06795097	44261214.06795097	44261214.06795097	34999495.00525394
99.013__4.62_3713	713372.476363692	780941.3776016468	787316.6411401284	1001195.0	2045802.061891329	1486984.6474673217	1284562.496391827	1344130.3307356134	1505191.5701880297	1053217.2492770085	987918.3469510507	1040313.5775509228	998376.644441144	1437647.8637149304	1300896.6082582627	1220922.990441364	2806851.9256319175	1664126.5690926253	2926638.212070763	1666621.3448283349	2151912.0371485148	1921582.484867878	4787281.476962711	2896360.5269091986	2567254.6520043677	1233705.0521423132	1695096.7644772234	1695096.7644772234	1695096.7644772234	1695096.7644772234	1840799.410477721	1137070.1198591862	1437647.8637149304	1437647.8637149304	1437647.8637149304	1437647.8637149304	1505191.5701880297	7402230.312853879	42377419.11193059	42377419.11193059	42377419.11193059	42377419.11193059	34975188.7990767
