index	V14-arm-healthy-BD5	V14-arm-healthy-BC4	V14-arm-healthy-BC9	V14-arm-healthy-BD1	V14-arm-healthy-BC6	V14-arm-healthy-BC5	V14-arm-healthy-BC3	V14-arm-psoriasis-BC7	V14-arm-healthy-BD2	V14-arm-psoriasis-BD4	V14-arm-healthy-BC2	V14-arm-psoriasis-BC8	V14-arm-healthy-BC10	V14-arm-healthy-BD3	V14-arm-psoriasis-BC11	V14-arm-psoriasis-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	3773091.0183083876	2168976.708421332	3315132.266267987	7600694.016283352	1461741.6699226962	4034191.26996982	2020429.917616521	2162449.5974211576	1732645.2974522056	2931502.2003836767	1736005.3240591749	2621306.3613677886	7027699.723896245	2411316.8323758855	1897135.8400707606	2524262.7825283483	3389265.822233964	3088661.3016465837	3088661.3016465837	3088661.3016465837	3088661.3016465837	2427331.356354346	2411316.8323758855	2467789.807452117	2467789.807452117	2467789.807452117	2467789.807452117	2524262.7825283483	37281924.044573605	49418580.82634534	49418580.82634534	49418580.82634534	49418580.82634534	12136656.78177173
992.745__8.38_527	3412990.6062144046	1941177.8821065142	2353152.1198959616	9538728.011817165	1560683.0984619875	3452998.089362719	1307437.182122412	2079425.249994441	1605751.4638067626	2865092.2742072036	1834885.5448189694	2671484.8629454104	8560100.883692382	2238477.2251191987	2404457.8603575854	1971925.7989868347	3436943.827947134	3112423.009619372	3112423.009619372	3112423.009619372	3112423.009619372	2398477.209298295	2238477.2251191987	2295814.6725075804	2295814.6725075804	2295814.6725075804	2295814.6725075804	2404457.8603575854	37806382.10741848	49798768.15390995	49798768.15390995	49798768.15390995	49798768.15390995	11992386.046491476
990.729__7.93_5197	1660904.3591382338	2437376.6477091103	1479087.8700125378	3368249.0855530323	2782510.9502737965	1284860.248717244	3285270.141807209	1270653.9630308694	5195807.362710322	688233.7750135924	4406381.643402406	2765400.7041782863	1418086.5441025882	3430849.465944211	6113834.103237969	2594025.883451591	2795398.5744882445	2761345.7967676874	2761345.7967676874	2761345.7967676874	2761345.7967676874	2686429.6857824614	2782510.9502737965	2679713.2938149385	2679713.2938149385	2679713.2938149385	2679713.2938149385	2594025.883451591	30749384.31937069	44181532.748283	44181532.748283	44181532.748283	44181532.748283	13432148.428912306
99.531__4.61_1540	1191323.40299667	2007976.0633978306	2125033.8752395334	1800381.7807083535	1820129.7654675196	1703456.7751245042	1835518.6651820121	2789374.1638302915	1958958.1096394085	1837892.0893973808	4338152.271348435	3341362.868334391	3973351.447749988	4921838.6808341015	5487890.62534125	5413753.253073091	2516010.985244396	2909149.6148540475	2909149.6148540475	2909149.6148540475	2909149.6148540475	3774054.5999952806	1958958.1096394085	2066504.9693186819	2066504.9693186819	2066504.9693186819	2066504.9693186819	3341362.868334391	27676120.837688357	46546393.83766476	46546393.83766476	46546393.83766476	46546393.83766476	18870272.999976404
99.531__4.16_1538	1382742.6682124007	1744772.2235541989	1985778.1316414787	1269170.2775030513	2478390.001595156	3766018.764273295	1224481.648953612	2036244.2557849004	2060337.05537634	1625446.651035748	5968155.542054068	3131463.5584924896	6394905.150910276	3491295.79604867	8117333.114220388	4417701.140430389	2887822.478192959	3193389.748755404	3193389.748755404	3193389.748755404	3193389.748755404	3865637.743992783	2060337.05537634	2269363.528485748	2269363.528485748	2269363.528485748	2269363.528485748	3131463.5584924896	31766047.26012255	51094235.98008646	51094235.98008646	51094235.98008646	51094235.98008646	19328188.719963916
99.512__4.27_3979	1654310.533303607	2620125.399627118	2591794.0195345576	1584035.9424576918	2533654.9343322064	2268940.5485850656	2273510.12601935	1619110.5368181416	1909437.356583639	3536518.5284690657	1954990.6285116877	2550945.2273267945	4507436.881274276	4263784.35243318	8031208.093732277	5226456.5655025095	2560183.7020602166	3070391.229656948	3070391.229656948	3070391.229656948	3070391.229656948	4192847.790369758	2273510.12601935	2542300.0808295	2542300.0808295	2542300.0808295	2542300.0808295	3536518.5284690657	28162020.72266238	49126259.674511164	49126259.674511164	49126259.674511164	49126259.674511164	20964238.95184879
99.512__10.11_2256	1799215.9921805288	1629601.4935852287	640688.7991336186	2405910.549469759	701124.3512136006	5178751.020510666	2468260.3693583664	35263066.51266892	37205706.75180889	3033757.9821016127	3356589.525447089	2145789.4256711965	63828513.77407953	1942781.9727384388	3093641.291685111	18504963.09999849	11014285.872684157	11449897.68197819	11449897.68197819	11449897.68197819	11449897.68197819	12408243.662425067	2405910.549469759	2751009.1757299895	2751009.1757299895	2751009.1757299895	2751009.1757299895	3093641.291685111	121157144.59952572	183198362.91165105	183198362.91165105	183198362.91165105	183198362.91165105	62041218.31212533
99.013__7.26_2802	2995586.6570334085	1404380.3298919997	1583333.1625192668	1624480.8659216643	1637605.4680701145	3521265.293085107	874749.9431934138	1979921.2774393123	3062606.75133769	1628025.4665019028	3698223.8887192584	2164920.6877230494	7659035.620423201	6471746.109401519	3281244.7404612745	6819378.819641074	3139364.9172360585	3150406.5675852033	3150406.5675852033	3150406.5675852033	3150406.5675852033	3174698.1983533227	2995586.6570334085	2580253.672378229	2580253.672378229	2580253.672378229	2580253.672378229	2164920.6877230494	34533014.089596644	50406505.08136325	50406505.08136325	50406505.08136325	50406505.08136325	15873490.991766613
99.013__6.55_2949	1674676.0895472064	1336218.1621461497	2035398.207694168	2201254.482654301	2607970.7405957347	2344528.7451289073	1381823.3592522729	1984718.9754023296	1610721.6876696143	4181272.8078517304	6967585.994968416	2434468.9636474894	5818114.775206021	12609327.484921355	5827267.152295278	6423954.131874465	3689783.611798559	3839956.360053465	3839956.360053465	3839956.360053465	3839956.360053465	4170336.4062142586	2201254.482654301	2389498.8543881983	2389498.8543881983	2389498.8543881983	2389498.8543881983	4181272.8078517304	40587619.729784146	61439301.76085544	61439301.76085544	61439301.76085544	61439301.76085544	20851682.031071294
99.013__5.59_3303	1461174.567969876	1295485.347843676	1950665.0240086608	1364938.4108464727	2446144.6260230746	1214063.878934899	1370097.1290187584	2228089.0240598433	1846506.5496921048	3543678.9930732106	2395086.7970882813	4389844.4817677615	4666370.649161433	5557655.149772926	5406124.5439474555	5898706.635964056	2324380.7391236513	2939664.4880732805	2939664.4880732805	2939664.4880732805	2939664.4880732805	4293288.735762465	1846506.5496921048	2311587.9105740623	2311587.9105740623	2311587.9105740623	2311587.9105740623	4389844.4817677615	25568188.130360164	47034631.80917249	47034631.80917249	47034631.80917249	47034631.80917249	21466443.678812325
