index	V18-leg-psoriasis-GD6	V18-leg-healthy-GC2	V18-leg-healthy-GD9	V18-leg-healthy-GC5	V18-leg-psoriasis-GD7	V18-leg-psoriasis-GC12	V18-leg-healthy-GD12	V18-leg-healthy-GC3	V18-leg-psoriasis-GC9	V18-leg-psoriasis-GC8	V18-leg-healthy-GD8	V18-leg-healthy-GD4	V18-leg-healthy-GC10	V18-leg-healthy-GE1	V18-leg-healthy-GC1	V18-leg-psoriasis-GD5	V18-leg-psoriasis-GC7	V18-leg-healthy-GC6	V18-leg-healthy-GC4	V18-leg-healthy-GC11	V18-leg-psoriasis-GD1	V18-leg-psoriasis-GD2	V18-leg-psoriasis-GD10	V18-leg-psoriasis-GD11	V18-leg-healthy-GD3	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	565603.0294129762	3220007.324939192	1676363.866657859	2454022.972831046	1324726.945398903	1538238.706900977	1068513.0204746735	2934607.175926264	3932469.905877615	3141718.7031840933	1488360.5862249974	1889035.6865423042	2693030.4661198524	1359590.0	2594765.9852572186	1116172.7659990794	3345912.1557800043	1948117.1837038652	4640421.979552764	1261286.0435812422	1348221.889788392	1415808.1971947427	2336164.7335787686	2175290.6041161898	1510929.6493890274	2195646.5672285934	2119175.183137282	2119175.183137282	2119175.183137282	2119175.183137282	2021847.9670210674	1918576.4351230846	1889035.6865423042	1889035.6865423042	1889035.6865423042	1889035.6865423042	1538238.706900977	30739051.94120031	52979379.578432046	52979379.578432046	52979379.578432046	52979379.578432046	22240327.63723174
993.67__9.35_4876	2062893.4495360053	1395969.2745706814	1742772.1809257565	1226911.6153717325	2133158.987885893	1607373.0866281043	1564110.2998252236	2522197.116876871	1433767.2883037245	1296359.7731342514	1113967.1334956563	1228458.8000549665	1835714.1921423634	1359590.0	1966611.85477672	2018515.5220746428	2109244.767272587	2678229.23257282	5.838432766920458	1741458.5335531994	1908174.9812126132	2173292.374725704	4004989.725124426	5.838432766920458	3177561.194963692	1682396.9476830321	1772053.3224757267	1772053.3224757267	1772053.3224757267	1772053.3224757267	1886161.435848247	1652784.4166892115	1742772.1809257565	1742772.1809257565	1742772.1809257565	1742772.1809257565	2018515.5220746428	23553557.26756245	44301333.061893165	44301333.061893165	44301333.061893165	44301333.061893165	20747775.794330716
992.745__8.38_527	279602.64822057774	3386430.230152673	1030609.9428944495	2665277.37122317	1393815.1915628861	2142234.1807250604	794605.2213155569	3349455.980507169	3643608.0304518314	4656369.302756748	1729592.8785182703	2138728.1881492143	3817633.243927977	1277873.3155954222	2963348.861164475	1295807.5843444366	4407641.204268533	2310949.6074005603	4335583.13617442	1592265.7982945447	1508292.3417431074	1353153.157133899	2979920.0	3273615.3879190795	2058803.8154087795	2389368.39933762	2415408.6647941135	2415408.6647941135	2415408.6647941135	2415408.6647941135	2448550.820829651	2224838.8977748873	2142234.1807250604	2142234.1807250604	2142234.1807250604	2142234.1807250604	2142234.1807250604	33451157.59072668	60385216.61985284	60385216.61985284	60385216.61985284	60385216.61985284	26934059.02912616
990.729__7.93_5197	1129387.5623233195	1408383.590107058	2875541.769574801	1467395.2473118908	1127965.1552584318	1320281.8848264683	1717611.238816066	2857615.793359612	2175188.649997668	3780302.0787715167	1969154.8102474695	983758.6092620237	2079519.0096923546	1140770.4660400243	2764918.6191001544	2188314.9141682605	1271340.1402015209	2269705.7758606616	2567222.27306876	2294302.476490414	1677488.4179934228	2187439.5867437143	2276398.383460839	2043834.8283516818	3127399.0000000005	2108807.048495092	2028049.6112411255	2028049.6112411255	2028049.6112411255	2028049.6112411255	1925267.4183724402	2174612.392776508	2079519.0096923546	2079519.0096923546	2079519.0096923546	2079519.0096923546	2043834.8283516818	29523298.67893129	50701240.28102814	50701240.28102814	50701240.28102814	50701240.28102814	21177941.60209684
99.531__4.61_1540	510072.50185459317	1518734.4080618073	628483.2363919894	590116.9949390756	793282.4085028173	1966265.232987906	1399833.9525205821	1499781.7228643775	808314.4133722505	1249125.294146571	819149.1606732792	1881332.7218036938	1381360.7952862028	2148660.6877982887	1990968.79538882	2243292.1503110738	1738315.7137992422	6216569.842854494	2744497.0707255863	3399994.2314220765	3280261.040852969	5535140.949352579	2979920.0	7949491.526886791	4586228.554974906	2200408.01255037	2394367.736310879	2394367.736310879	2394367.736310879	2394367.736310879	2641225.566551527	1700033.5649327505	1881332.7218036938	1881332.7218036938	1881332.7218036938	1881332.7218036938	1966265.232987906	30805712.17570518	59859193.40777197	59859193.40777197	59859193.40777197	59859193.40777197	29053481.232066795
99.531__4.16_1538	405280.78710872936	562541.478853869	1071667.8839474604	382392.1869145364	1222143.6213203813	1343242.499901003	1414719.2091190452	1923624.0505148834	2440201.18575263	1426887.5683889883	1123380.012184864	1446004.6685113756	2436696.5889472757	2734396.12470759	1515808.0077784697	2575190.1702231364	3622361.7432413697	4914708.371765359	1502383.3013529251	3860807.4522350817	2606348.6498983474	4397975.332045774	3382986.17537383	6564464.072484426	3127399.0	2001180.5954880526	2320144.4057028536	2320144.4057028536	2320144.4057028536	2320144.4057028536	2726098.3459762377	1509095.6545656975	1923624.0505148834	1923624.0505148834	1923624.0505148834	1923624.0505148834	2575190.1702231364	28016528.336832736	58003610.142571345	58003610.142571345	58003610.142571345	58003610.142571345	29987081.805738617
99.512__4.27_3979	1003900.5078937508	884344.0299917721	1451286.3344046227	2039332.2758978081	1428817.1466904432	1112898.5674941505	1942603.7727394637	764761.153044148	1785571.4496304602	1322674.983846238	1785547.4504980554	1428631.1534143046	2008096.205116083	1517201.15151157	1847800.0	2269573.952408258	1464497.856793574	2500948.3879682235	1619886.239332835	6911094.956324774	5422398.77432724	2790835.108244815	3313758.204000418	3399451.9060789444	3779347.372440481	2177205.748763153	2231810.3576036976	2231810.3576036976	2231810.3576036976	2231810.3576036976	2301307.132491663	1816673.7252490278	1785571.4496304602	1785571.4496304602	1785571.4496304602	1785571.4496304602	1785571.4496304602	30480880.482684143	55795258.94009244	55795258.94009244	55795258.94009244	55795258.94009244	25314378.457408294
99.512__10.11_2256	1958624.8198117486	2632967.3346221866	1805880.1914228636	3064990.1923589436	546981.124376956	407441.26236451615	854011.2889838795	1976785.8877287612	18124343.84600602	8970864.164452193	1096368.3490097374	799658.116185705	1166725.7643165183	1859853.5894182206	1633934.3647446923	968358.7970727124	1561889.712817799	1361134.3501638689	1815683.9859158495	3378953.8559438875	2129370.0	1702282.2214390961	17079967.711032636	9268252.105939481	29380682.573008735	3773402.1317017036	4621840.22436548	4621840.22436548	4621840.22436548	4621840.22436548	5701670.524119378	1810782.0886693564	1815683.9859158495	1815683.9859158495	1815683.9859158495	1815683.9859158495	1958624.8198117486	52827629.84382385	115546005.60913701	115546005.60913701	115546005.60913701	115546005.60913701	62718375.76531316
99.013__7.26_2802	1970521.0542054116	737886.7424128725	1054570.0238804587	2524138.783605049	1611681.8740213667	854395.1754254312	1221119.3383840092	1326531.7301572766	893835.9407855816	1626044.4539316127	1847070.8019236594	2176328.8419630383	2485359.2517228317	1502153.756747607	2605202.1583527084	5519436.990963422	3564115.2487576273	2015402.2765201328	1311891.7492160485	2677235.846479618	1970588.9891517747	1829590.0079753513	2979920.0	9290006.541718232	2472243.278078347	1854081.0413888325	2322690.8342551785	2322690.8342551785	2322690.8342551785	2322690.8342551785	2919103.297903255	1931236.539221896	1970521.0542054116	1970521.0542054116	1970521.0542054116	1970521.0542054116	1970521.0542054116	25957134.579443656	58067270.856379464	58067270.856379464	58067270.856379464	58067270.856379464	32110136.27693581
99.013__6.55_2949	975730.6701181463	1537739.0	866482.6533979148	827099.3208384909	1870786.7873985749	1233586.488870254	1428818.962802407	640366.8427058628	1242685.8181906347	1253514.7489252712	1263023.9124867606	639285.3512542908	2121068.8020971385	2022842.57928383	1259774.3922932348	2733025.329708672	2209294.7330381344	2055416.27204502	2595368.6798403813	943661.0005891821	4013760.136417911	3172534.148858186	4480132.440742166	4600074.832495438	5526169.0255926	1694794.0568019364	2060489.7171996203	2060489.7171996203	2060489.7171996203	2060489.7171996203	2525920.557705763	1345921.4376445839	1537739.0	1537739.0	1537739.0	1537739.0	2209294.7330381344	23727116.79522711	51512242.92999051	51512242.92999051	51512242.92999051	51512242.92999051	27785126.13476339
