index	V1-Right-elbow-healthy-A12	V1-Left-elbow-psoriasis-RB1	V1-Left-elbow-Healthy-RD3	V1-Left-elbow-Healthy-RC11	V1-Left-elbow-Psoriasis-RD1	V1-Right-hairline-healthy-A7	V1-Left-elbow-Psoriasis-RD6	V1-Right-hairline-psoriasis-A6	V1-Right-elbow-psoriasis-A10	V1-Left-elbow-Healthy-RC6	V1-Left-elbow-Psoriasis-RD2	V1-Left-elbow-healthy-RB4	V1-Left-elbow-Healthy-RC5	V1-Mid-lower-back-psoriasis-RB5	V1-Left-elbow-Healthy-RD5	V1-Left-elbow-Healthy-RC2	V1-Left-elbow-Healthy-RD4	V1-Left-elbow-Psoriasis-RC12	V1-Left-elbow-Healthy-RC1	V1-Right-hairline-healthy-A8	V1-Left-elbow-Psoriasis-RD8	V1-Left-elbow-Healthy-RC4	V1-Mid-lower-back-psoriasis-RB6	V1-Left-elbow-Healthy-RC8	V1-Left-elbow-Healthy-RC10	V1-Left-elbow-Healthy-RC9	V1-Left-elbow-Healthy-RC3	V1-Right-elbow-healthy-A11	V1-Right-elbow-psoriasis-A9	V1-Left-elbow-Healthy-RC7	V1-Left-elbow-Psoriasis-RD7	V1-Left-elbow-healthy-RB3	V1-Mid-lower-back-healthy-RB7	V1-Left-elbow-psoriasis-RB2	V1-Mid-lower-back-healthy-RB8	V1-Right-hairline-psoriasis-A5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_Left_elbow	GROUP_MEAN_Sex_female	GROUP_MEAN_Body_side_na	GROUP_MEAN_DESCRIPTION_Right_hairline	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_Right_elbow	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_1	GROUP_MEAN_DESCRIPTION_Mid_lower_back	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_Left_elbow	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_Body_side_na	GROUP_MEDIAN_DESCRIPTION_Right_hairline	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_Right_elbow	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_1	GROUP_MEDIAN_DESCRIPTION_Mid_lower_back	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_Left_elbow	GROUP_SUM_Sex_female	GROUP_SUM_Body_side_na	GROUP_SUM_DESCRIPTION_Right_hairline	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_Right_elbow	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_1	GROUP_SUM_DESCRIPTION_Mid_lower_back	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	28735927.095361788	77630379.200527	9696193.86149233	26950517.702198226	58778051.42530759	2922966.878052708	37484324.674655765	1634137.8607911915	14987234.53800701	38200434.66616295	26641367.89848736	38359791.48093667	37213750.93914679	3840836.2686352916	40085746.14321183	61714683.668562286	47862615.61334801	54666643.403125025	62911781.18692868	6232427.737878319	6030802.773179394	34751172.59049534	1758420.9162526669	57878036.04129386	77129790.7504012	79576226.22955701	43180602.90129996	19768739.06786651	19692787.400454443	39129048.4015645	2796841.615260774	94911114.63689414	3466844.2666193955	12112830.33771951	6002024.167589799	1513109.342927239	38940019.81940283	44403864.5059065	32673561.21339424	3767031.404774288	3075660.4549123645	34017525.0002431	20796172.02542244	48541380.61130635	32673561.21339424	3767031.404774288	22826269.118237875	38280113.07354981	39607397.27238816	31743549.842928566	3653840.2676273435	2278552.3694219496	37213750.93914679	19730763.234160475	38359791.48093667	31743549.842928566	3653840.2676273435	13550032.43786326	856680436.0268623	1065692748.141756	1176248203.6821926	15068125.619097153	12302641.819649458	918473175.0065635	83184688.10168976	242706903.05653173	1176248203.6821926	15068125.619097153	319567767.65533024
996.79__9.57_5822	17705295.024859484	27839850.425460055	18492193.514263168	24188597.749064248	44699738.50750454	21844322.99558529	36774534.78922776	41100947.13508278	30639729.778730806	18485591.516038973	24590964.958920524	36774531.27752658	36993942.3674455	52385591.696544856	27738295.538946524	21027083.40795978	36184568.9904701	44651277.03117801	18489247.196970563	17903635.90767992	21178083.047131095	34429701.67526069	20058833.646059413	37811255.70079585	24385249.50361562	24796259.01008346	19075557.314796638	131389035.55256231	56157506.425591335	21238765.243574742	40306463.37112364	52906443.7043183	22412094.842865877	27531737.275357682	64734344.92710187	28338582.227481265	33136636.952808425	30024580.546543088	34034995.924366094	39897716.278143	27296872.066457313	32016997.00208716	58972891.695435986	40242013.821650796	34034995.924366094	39897716.278143	35446702.879670985	24286923.626339935	27635016.4071521	27789072.98220329	37398843.26970537	25091452.611533277	24796259.01008346	43398618.10216107	36774531.27752658	27789072.98220329	37398843.26970537	33707132.28397928	729006012.9617853	720589933.1170341	1225259853.2771795	159590865.112572	109187488.26582925	864458919.0563533	235891566.78174394	201210069.108254	1225259853.2771795	159590865.112572	496253840.31539375
992.745__8.38_527	25234690.68731224	76757535.54815955	11975524.498597018	23464575.096628323	63520413.81266	2548184.522975138	46444721.82877286	2088213.0107178749	16970831.64748135	41830818.222432286	31066231.587241948	36563801.346489884	48289169.77385936	4041742.915490383	40082758.99495234	64655167.591969796	44871193.24627544	48607936.69403645	85643701.12892923	6053451.101714952	7742368.273843991	40183505.16263917	2541548.4362860946	53344895.19950911	75271333.98189288	72205413.02120285	53310010.279114015	21064552.34570737	21926635.46481302	40750608.07845177	3415794.529502557	85318873.25980993	3271634.954632749	13798097.571057038	5756111.803225401	2033578.7888996918	40076817.01356006	46213102.030334495	33962378.45575789	3902759.5274086567	3180856.8560769144	36024801.5965674	21299177.536328495	46872988.63806589	33962378.45575789	3902759.5274086567	24353975.00778306	40467056.62054547	45657957.53752415	33815016.46686591	3656688.9350615656	2318198.7668465064	40183505.16263917	21495593.905260198	36563801.346489884	33815016.46686591	3656688.9350615656	15384464.609269194	881689974.2983212	1109114448.7280278	1222645624.4072843	15611038.109634627	12723427.424307657	972669643.1073198	85196710.14531398	234364943.19032946	1222645624.4072843	15611038.109634627	340955650.10896283
987.717__8.03_4706	31451458.80687121	67978573.90309095	19497055.6339759	29153598.67611707	20343678.334452678	13230504.091637056	20628202.76374593	37954015.308909185	27133507.99954488	37842084.43135974	56508072.35267627	22627970.085338645	20201412.309176993	18041651.91592775	69589705.32866932	34998847.06973144	20785302.29773726	63747045.62239546	16081512.596125634	138495331.6095683	32720598.97653249	24620372.731170673	45414162.57003123	16081515.136545006	21631772.57305169	28178227.52184533	15922129.225118488	17498408.63732643	16360300.758475931	20635572.520345364	15551024.763193307	35293942.18403339	21624049.69815949	28178227.52184533	18927798.461000856	29448541.365256675	30653116.892041147	30783185.189928096	32066004.8828051	26001915.66127983	54782098.093842804	32589981.432706658	23110919.050554615	34087802.89055686	32066004.8828051	26001915.66127983	34286257.43971986	21627911.13560559	23624171.40825466	23624171.40825466	20275924.079580173	33701278.33708293	24620372.731170673	22315958.318435654	28178227.52184533	23624171.40825466	20275924.079580173	28813384.443551004	674368571.6249052	738796444.5582743	1154376175.7809837	104007662.64511932	219128392.37537122	879929498.6830797	92443676.20221846	170439014.45278427	1154376175.7809837	104007662.64511932	480007604.15607804
987.559__3.37_5387	38317372.53892489	39372040.670903616	24371383.312659282	22045609.608261865	95217571.14421865	14162061.244935526	28031780.38894042	25682216.790334165	42198151.73680469	16283381.468992664	95570156.30336738	25194983.078712773	20208475.08383217	14444935.174106395	42121506.86298495	21128874.13979173	11551820.7472414	17053011.250547174	27803724.410170816	43297326.36641712	38041338.55570614	28344361.234058168	25719883.342015743	24136576.400932815	17583997.191789746	14959523.98464181	14655094.855932763	16003594.885289228	47438206.221362785	25629553.89139727	28283645.001496814	29376443.489711408	21220318.595298294	26740998.259673145	14927479.306345541	61133000.77498375	23332884.668105558	30571077.13899854	30506955.508688416	19078154.104441494	36068651.29416764	31622781.858320493	35989331.34559539	33624534.344072744	30506955.508688416	19078154.104441494	41780495.40103292	21632964.10178008	25412268.485055022	25655885.340865716	18073898.950821918	34489771.57837564	25629553.89139727	40257762.13786478	29376443.489711408	25655885.340865716	18073898.950821918	33162491.77860148	513323462.6983223	733705851.3359649	1098250398.312783	76312616.41776597	144274605.17667055	853815110.1746533	143957325.38238156	168122671.72036374	1098250398.312783	76312616.41776597	584926935.6144608
982.62__7.48_4896	18313077.560367644	69715910.52225652	22120303.288522188	17829730.94357902	18663162.5734217	18544288.92645723	40740671.34903668	19740072.90517196	37568145.98592457	22467119.27628472	18999405.174835484	21284833.824731547	27920362.921031926	46162627.87445157	47573443.66680655	21761644.513680816	51081789.20533698	39363777.000940494	94301655.3715655	30618028.3966512	17461942.248102043	40759096.76431617	26133520.064916592	17718497.051175717	68148688.85165174	19816447.100602936	14729801.292119374	30312779.975939706	33727295.997628644	33051584.22438347	20785609.085098386	22417786.712794468	18036528.634423282	27350701.300084926	46005205.20197148	31266656.08308174	32036940.622926988	33169331.844264973	32013671.99637069	34084470.44394073	25042261.577840533	31172510.43466985	29980324.87996514	34899305.67149922	32013671.99637069	34084470.44394073	31977107.01178224	22442452.994539596	22442452.994539596	26742110.682500757	36069362.63344403	25179050.65091158	22467119.27628472	32020037.986784175	27350701.300084926	26742110.682500757	36069362.63344403	29308678.691583335	704812693.7043937	796063964.2623594	1152492191.869345	136337881.77576292	100169046.31136213	841657781.7360859	119921299.51986057	174496528.3574961	1152492191.869345	136337881.77576292	447679498.1649514
975.718__8.45_3720	22403145.592271224	70881460.75145772	14144783.572327863	24733118.497650318	45599429.114075944	4195624.304944772	42050719.518171564	5131339.0779900085	19156193.769556027	38642141.29462379	4698193.691112617	39309538.7784859	46430802.526821144	16311351.35639567	45020525.130054735	55615005.26512805	37765900.46631232	49064710.25145412	51591420.421903215	14852887.343848463	6362073.507647331	34493896.17416373	3627296.1616850384	41331610.31794357	52984590.30070782	67557819.12579963	45354440.01347426	14164888.5037994	22497493.77751812	37683518.757837534	5584707.43869798	85490652.60959812	6192793.218694228	11464575.214627724	4348098.380405047	7146025.69342378	35650327.29985433	39743984.69750321	30385632.49779468	7619884.779294996	7831469.105051756	30879981.839694116	19555430.410786193	45928744.22633751	30385632.49779468	7619884.779294996	22112540.665986694	38204020.880468056	41691164.91805757	29613507.335907023	5270445.799549637	6138682.385706894	37683518.757837534	20779669.680913627	39309538.7784859	29613507.335907023	5270445.799549637	13887963.285511697	784307200.5967952	953855632.740077	1093882769.9206085	30479539.117179982	31325876.420207024	833759509.6717411	78221721.64314477	229643721.13168755	1093882769.9206085	30479539.117179982	309575569.32381374
973.655__5.42_3754	23301857.514033735	91976958.78202617	23930030.78103256	20033891.73125565	43160260.45769852	98278595.77245738	81857964.18718393	16645390.729423407	7395832.4506381815	43508814.93957264	17375838.03288973	29583496.25646002	63141863.07189064	18851165.382541277	79076495.61716767	33435880.51879168	224988018.2724918	41080824.32021697	76459863.97363192	50819874.79313883	22346055.399220627	20215351.45829246	8516351.407327257	25166808.28031481	74618694.71487726	31559659.634030297	21834924.197135743	10521217.383297466	12955011.299235303	27841032.975774363	11104899.898789505	57673068.69495429	17495826.331962783	9055092.556806333	10257221.48632881	13309820.88115425	48351931.29085877	48792741.19802106	40538165.39400123	13780141.15204003	44763420.54404347	44555917.110607475	13543479.66180117	40248725.51789643	40538165.39400123	13780141.15204003	28259390.413225103	30571577.945245158	32497770.076410986	24548419.530673683	13876523.909145797	33732632.76128112	27841032.975774363	11738114.341266384	29583496.25646002	24548419.530673683	13876523.909145797	17010614.38115657	1063742488.3988929	1171025788.7525055	1459373954.1840444	55120564.60816012	179053682.17617387	1203009761.9864018	54173918.64720468	201243627.58948213	1459373954.1840444	55120564.60816012	395631465.7851514
970.7__9.45_4004	24892176.29231445	21586584.18132471	17915077.078837942	23157989.487890933	30858917.6276961	52291125.86569365	21539422.397313733	14702119.423907453	39171439.87145621	37839708.43981739	25947293.41490493	20426164.262954775	29383256.07670993	36756276.4666944	33868115.03954807	23257560.41557593	45909883.122214414	15059766.656850243	112286606.99046414	20052512.694165472	31280217.71144352	26895016.354404256	27381393.921545897	24145411.003545016	41214196.316243336	21290411.73376097	20162662.796774704	42097824.12430569	41086759.486205384	19049313.539270394	15687671.803823875	23896487.018106133	20272630.653093226	53959126.1513685	27132472.158622753	27266667.65902721	32156209.1574688	30692369.150868494	30825562.72882988	27885693.29998907	28578106.410698444	31008235.701405924	36812049.943570435	32191024.2199919	30825562.72882988	27885693.29998907	28734546.9123973	24518793.647929735	24020949.010825574	26421154.884654593	27256933.040084325	23659590.176596344	25947293.41490493	40129099.6788308	23896487.018106133	26421154.884654593	27256933.040084325	27324030.790286556	707436601.4643136	736616859.6208439	1109720258.2378757	111542773.19995628	114312425.64279377	837222363.9379599	147248199.77428174	160955121.0999595	1109720258.2378757	111542773.19995628	402283656.7735622
970.671__7.82_2660	45344173.05014159	52626870.525947735	28677655.5653015	45653661.62029042	19048020.553577065	6448460.603074316	19172484.01653121	4222237.4499129085	30160211.59717215	38863754.471520916	65835829.46346041	54795169.99008847	68084280.31581837	7234119.555763695	26850557.73005929	27416847.494449638	29475497.695388664	28747352.192752425	37662401.05298649	17677689.077692278	13745938.414252734	65143854.851916514	5502551.003764042	42446843.20977751	48044251.94212715	41375638.33700987	24018004.982644048	43483165.237817876	43612308.51812636	60435530.62234671	7715300.400000301	39389993.74010127	8953510.130014488	26699493.12986767	12328964.75429221	7272764.9464457	36934995.74885726	37996884.67992568	31782371.895623162	8504786.36095861	8905288.019281302	33074903.959054377	40649964.6008145	43424767.18082631	31782371.895623162	8504786.36095861	23685391.55482674	39126874.10581109	38263077.7622537	29111424.944070544	8093814.842889092	6860612.774760008	29475497.695388664	43547736.87797212	43612308.51812636	29111424.944070544	8093814.842889092	19110252.28505414	812569906.4748597	911925232.3182163	1144165388.2424338	34019145.44383444	35621152.07712521	893022406.8944682	162599858.403258	217123835.90413153	1144165388.2424338	34019145.44383444	331595481.76757437
