index	V22-back-psoriasis-BB10	V22-back-healthy-BB4	V22-back-healthy-BB3	V22-back-psoriasis-BB1	V22-back-healthy-BA1	V22-back-healthy-BB8	V22-back-psoriasis-BB5	V22-back-psoriasis-BA8	V22-back-healthy-BA6	V22-back-psoriasis-BC3	V22-back-healthy-BA2	V22-back-psoriasis-BB2	V22-back-healthy-BA5	V22-back-psoriasis-BA7	V22-back-psoriasis-BC4	V22-back-healthy-BC5	V22-back-healthy-BA11	V22-back-healthy-BC1	V22-back-psoriasis-BB11	V22-back-healthy-BC2	V22-back-psoriasis-BB7	V22-back-psoriasis-BB12	V22-back-healthy-BA10	V22-back-psoriasis-BA9	V22-back-healthy-BA3	V22-back-healthy-BB9	V22-back-psoriasis-BA12	V22-back-healthy-BA4	V22-back-healthy-BC6	V22-back-psoriasis-BB6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	2465208.2001006994	1668146.234083835	2898610.077947288	765894.19934817	452152.68151563	1116508.6986101146	1715364.0920933855	508390.4520357981	2149006.1654290976	1460724.3900418032	1046014.2964012143	2789270.8037220817	2801122.7354282723	378204.95444595657	1134187.0866096208	767307.4638546521	1615170.0895483585	2055388.9441338868	2580520.3354887827	4125890.530928221	4033021.8045286415	5179959.840246602	1382226.6741353006	1137588.7122508301	844202.0464394606	1329019.4844150476	2024420.196584752	1659151.4849101733	4518778.978760724	2999860.4831292424	1901793.5366588295	1986710.404572255	1986710.404572255	1986710.404572255	1986710.404572255	2083758.253616169	1637160.787229266	1663648.8594970042	1663648.8594970042	1663648.8594970042	1663648.8594970042	1869892.1443390688	30428696.586541273	59601312.13716765	59601312.13716765	59601312.13716765	59601312.13716765	29172615.550626367
993.67__9.35_4876	1277796.3997292654	2106543.039482576	3221569.716484526	1900182.3953298496	1099020.0863284336	1948910.5671403424	1577049.3461082315	1641859.8154400212	1464927.5045458344	1508453.5343874344	1680854.2496787808	1212818.2938059624	1040563.584578192	3795400.5844981153	1231393.5096720199	1474499.0131580387	1162202.8584329502	1909597.0826145092	2144120.67414145	1714760.1022203178	1522837.8354656622	2871777.041580328	1688100.4765377378	1963457.097178099	1742339.0253402283	1824535.0315015302	5117972.177057353	3153076.649771431	1242024.914153146	2341558.725520088	1779595.243873036	1952673.3777294152	1952673.3777294152	1952673.3777294152	1952673.3777294152	2150476.959279563	1701430.2893790277	1701430.2893790277	1701430.2893790277	1701430.2893790277	1701430.2893790277	1771021.1053849354	28473523.901968576	58580201.331882454	58580201.331882454	58580201.331882454	58580201.331882454	30106677.42991388
992.745__8.38_527	835750.5860502803	1615670.6446250689	3174637.8069134625	1180411.0101792817	937267.7608256565	1611733.907578432	1595192.3775500052	435597.2412981787	1091892.9049597383	1860676.7603606405	532936.5312752096	2103771.780163924	2327496.6068112436	711698.1538777691	3354237.417953208	786792.7694984735	451355.0411335536	3955231.8734542755	3096228.615445528	4722137.187869371	6084602.6932007875	4728707.258364662	2402891.4513828247	2127333.1212445777	879741.9646556559	1754348.6879386848	501436.6062083208	1279619.1952320517	4644227.172247472	2683490.975270532	2010498.8441500734	2115570.536785629	2115570.536785629	2115570.536785629	2115570.536785629	2235652.4712262643	1613702.2761017503	1685009.6662818769	1685009.6662818769	1685009.6662818769	1685009.6662818769	1982224.2702622823	32167981.506401174	63467116.10356887	63467116.10356887	63467116.10356887	63467116.10356887	31299134.597167697
991.123__7.54_5722	1386593.4278391486	1649563.6378618244	1466056.6662448116	5.01029245937347	1209680.0010986712	5.01029245937347	5.01029245937347	1408994.4454250073	1763542.7810201114	1780432.4769006595	1860592.1459581756	1853001.5528822248	4559917.2702003885	5.01029245937347	5.01029245937347	2645078.687784577	1135207.013982544	1764725.2100405237	1833411.3093660746	2049009.2041853743	1706500.6013701446	2728805.6850731666	2519475.666120543	1172403.4252009327	3288049.519095974	1922073.4447271475	1796039.537911608	5.01029245937347	1924328.0763338655	1884867.01292384	1859831.8340774656	1576945.9620434032	1576945.9620434032	1576945.9620434032	1576945.9620434032	1253647.822575903	1812658.6779993498	1764133.9955303175	1764133.9955303175	1764133.9955303175	1764133.9955303175	1557747.523397576	29757309.34523945	47308378.86130209	47308378.86130209	47308378.86130209	47308378.86130209	17551069.516062643
990.729__7.93_5197	2532818.790828826	1490734.4608085668	1941675.7553095508	1794744.90826282	1120462.64687777	1212834.9205408958	1546341.7260407598	1409198.6695808505	1318957.9760882242	2259205.208551036	1232440.8985797148	1122001.4881773286	1578281.2321249289	1656135.2030581462	1694207.2766916668	1293154.8371615538	1579588.2973275168	2179299.4492184077	1731477.6330061583	1526872.533895235	2493625.832791923	2203141.9903411963	1470444.5533032774	2517597.5605917117	2750152.577232393	1866044.5551423624	1409061.8836875563	3207743.1859907284	736858.0079589472	3497197.3346336028	1656596.6179725046	1812410.0464601219	1812410.0464601219	1812410.0464601219	1812410.0464601219	1990482.5361602562	1508803.497351901	1617861.7501928315	1617861.7501928315	1617861.7501928315	1617861.7501928315	1763111.2706344891	26505545.887560073	54372301.393803656	54372301.393803656	54372301.393803656	54372301.393803656	27866755.506243587
99.531__4.61_1540	873070.3427458475	978555.6645751472	844084.6326001758	1658419.5779621666	1552596.2312074068	1582773.6175114843	929114.9336171255	385533.2369219622	821590.1073926068	683619.4547423273	783859.4216559571	1498181.7881032713	1784849.9257283208	1165625.5294603088	822504.026635518	2372278.3756874157	711435.266735127	1921921.216626019	727684.337441362	1151754.861524173	882300.3156846565	3361956.54517422	2793759.4133903435	2642999.132035827	5027881.965150484	1947994.205876523	4040363.2537792167	2349681.0745981173	4684937.7725579105	5504947.227650497	1956872.1095510756	1882875.7818257173	1882875.7818257173	1882875.7818257173	1882875.7818257173	1798308.5501395932	1683811.7716199025	1525389.0096553392	1525389.0096553392	1525389.0096553392	1525389.0096553392	1047370.2315387172	31309953.75281721	56486273.45477152	56486273.45477152	56486273.45477152	56486273.45477152	25176319.701954305
99.531__4.16_1538	769321.2776409875	806146.5849393175	743564.4114362218	632441.8042487028	1439262.798775244	821501.917080193	1718575.9826956827	824664.6553834261	514174.00742870313	688124.9071751802	1075370.8804362493	1081978.0546332072	2679627.814745938	2176165.7010860047	827924.8097073411	1417708.4784590884	706854.3387327538	2700163.1353511703	1749247.0240953753	2547647.863115866	2262282.45980221	3139043.4094661404	2756372.7654219223	2660418.0436640033	2458593.3255954515	1827604.204052272	1830428.5066735453	3053098.9751186506	5708794.158805239	3286929.9553757836	1953530.3537183923	1830134.4083713957	1830134.4083713957	1830134.4083713957	1830134.4083713957	1689110.4708319705	1633433.501413758	1733911.503395529	1733911.503395529	1733911.503395529	1733911.503395529	1733911.503395529	31256485.659494277	54904032.25114187	54904032.25114187	54904032.25114187	54904032.25114187	23647546.591647588
99.512__4.27_3979	872319.3617015914	1439889.194609786	1559495.8828293772	1165634.4407357604	1743161.4204196802	911065.8399524424	1780418.1289951848	1838150.132255116	1708558.8705377427	1296479.8516526304	2986126.750663172	1622488.8300474354	1447008.922321839	1541038.9455544786	1878872.5811632257	1425864.166285395	2116657.2747170967	1576829.57116914	3992400.7162275026	1840032.6027235454	1420441.1553332969	1900983.5058175724	1989029.5169651383	1773742.2155127747	1830233.7829342375	3154970.638320259	1355179.2701996483	1935359.1619079509	1955487.882559117	2498460.9324592906	1851235.7174322447	1818546.051552381	1818546.051552381	1818546.051552381	1818546.051552381	1781186.4334039649	1786697.6016769588	1758451.8179662274	1758451.8179662274	1758451.8179662274	1758451.8179662274	1698115.522780105	29619771.478915915	54556381.546571426	54556381.546571426	54556381.546571426	54556381.546571426	24936610.067655507
99.013__7.26_2802	1245216.6371185943	1195563.869538742	3155373.5949984873	1090196.909416385	1028296.8596385178	2737072.3413111633	1447124.4475368513	731345.6769649216	2242741.5387411965	2016552.2720721287	1188928.9119168115	1336315.363303383	2611432.932528914	1367982.6615804173	3160865.778069885	1648684.7057451212	1680721.0100722648	3548236.315324386	2608706.8645773293	1618261.7301952005	3808956.252798857	1777221.813199936	1744111.3866106519	1909799.393877849	3405116.3176102047	2647760.0048805866	1424534.9841437128	1748638.1468765303	1558863.1981756338	5573621.848503012	2109987.6790102758	2108608.125577589	2108608.125577589	2108608.125577589	2108608.125577589	2107031.49308309	1746374.766743591	1746374.766743591	1746374.766743591	1746374.766743591	1746374.766743591	1612173.1303683936	33759802.86416441	63258243.76732767	63258243.76732767	63258243.76732767	63258243.76732767	29498440.90316326
99.013__6.55_2949	672800.7685976413	978452.8234619511	1332895.8406327006	1533467.6161509783	1707220.8864521163	762752.025232137	881217.692468992	1398187.895878619	1534156.9742003318	900759.5733685028	1106754.9836011075	1020104.3080565492	2848402.084786104	1753513.0013509078	1177068.2962950342	844101.1084164167	2612570.3398389705	1545366.7456707144	2256659.189399221	1346766.9812594396	1093596.159486365	1858723.1772618927	3029091.2274856465	1669013.775424008	1645194.3704321014	1780718.1754125578	2343799.2427001125	3743742.8568008365	3095126.411917108	3215725.4036695347	1869582.1147250151	1722931.66452362	1722931.66452362	1722931.66452362	1722931.66452362	1555331.15000774	1595280.5580514078	1539761.859935523	1539761.859935523	1539761.859935523	1539761.859935523	1465827.7560147988	29913313.835600242	51687949.9357086	51687949.9357086	51687949.9357086	51687949.9357086	21774636.10010836
