index	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_elbow	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_elbow	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_elbow	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	51968717.57493828	30798720.29771071	16584118.55875085	51134179.21624599	57694029.0	43636829.223699585	43020503.223257005	83810535.4099122	31516857.430694297	93162964.99985322	51765777.36138036	59806522.439557314	44209898.29873458	18687530.267203584	6728703.061928522	37741055.19168293	246485658.4908126	16182674.538845757	55756622.82306344	7979500.091197864	50831886.83067862	52968333.629289664	170159599.00180408	42480358.635430455	30259481.201710984	74714750.46889172	9632622.61236658	20036394.12814089	206397102.05236694	44217315.95818456	43201255.256152794	24232480.121298533	109892733.11994052	42605321.68066107	43280515.26793224	58415021.530779555	48974354.758727886	69743821.65724157	114628901.93564104	58415021.530779555	94777331.18605208	42480358.635430455	42840806.945791624	44209898.29873458	47524601.39443159	31516857.430694297	93162964.99985322	44209898.29873458	67260636.45422453	979922398.6552045	1125293396.9662383	1927695710.5157254	881538385.657102	1046157324.8586235	802402313.5494872	1927695710.5157254	947773311.8605208
992.745__8.38_527	71600124.85809329	35605190.75015674	21924439.053146113	45254594.1509029	63263783.81511496	46326413.99291927	60906654.69098398	64035003.70364446	35613823.094823636	76718877.61781587	45970272.868472144	58964166.58526261	53975626.09110603	34149756.86527058	12776036.012623737	34628571.39930735	244337834.22662568	19200312.711883463	42329349.5	14902700.794958053	47544897.02062976	62493780.42181006	226784922.6359795	32772276.292044513	36902800.685676	77117812.75923239	18853022.804939613	18566973.51761541	205186822.54413307	49591077.44582406	42341046.50212192	37495656.72238119	117286370.8242494	46209832.95631137	47911302.01837529	62285484.635143876	52715233.535877176	73769785.95426391	115675305.7831414	62285484.635143876	99259483.49645862	37495656.72238119	39912503.111190595	45970272.868472144	48567987.23322691	35613823.094823636	76718877.61781587	45970272.868472144	74159501.23795459	1062826157.9951615	1245693852.4777577	2055420992.9597478	948874203.6457891	1106546789.3139586	809727140.4819899	2055420992.9597478	992594834.9645861
987.717__8.03_4706	62220144.227535084	34070699.72898394	38449073.96537754	77640000.44570495	42570797.894027226	57693390.53442928	109991105.26297887	44707070.54882934	24768433.520204913	80595546.8235604	60253829.5	42847549.30815936	37729272.026336014	27426223.865570348	26341358.322172377	75835585.29543717	41397205.03328375	71595912.35600862	29860496.74528671	57684025.7549599	55405388.91682923	46874522.50633243	32415319.285100043	28674051.223281037	36855795.724850155	28734122.559642658	24354775.623425853	26276081.61730083	44421609.60489952	33946894.16989718	56292621.39154696	49035299.87090644	63845330.27816241	43984230.71446952	43462222.96482872	47600288.90700063	53046528.762527004	41064801.08036897	62970248.12078195	47600288.90700063	55917222.74982216	38449073.96537754	38089172.99585678	42847549.30815936	52220344.393867835	34070699.72898394	57693390.53442928	42847549.30815936	51057500.069664404	1011637306.432799	1130017797.0855467	1570809533.9310207	954837517.725486	615972016.2055346	440791736.84547365	1570809533.9310207	559172227.4982216
983.647__7.58_4359	32366287.577033944	33923804.868385606	57006809.35590734	35498356.38049298	48403235.25160024	29863696.637557585	77677221.75756316	48243322.15879153	52336132.76398787	71393117.04738502	55073359.20011109	38945149.42704933	68802485.7734998	33008583.949190933	28143920.926653318	36694521.98285578	24493725.86841724	27137242.057043035	43045216.34588752	37221559.5	162804841.51354522	59002442.49635365	46139965.56596051	54610169.40893826	72520827.50735472	37660360.830815196	71164753.70848121	40595696.38047588	31883125.786303043	46581807.49783616	33999888.44306885	44225322.090797395	27613059.400768023	52311986.13817512	50238881.28981031	48729697.25636701	51885599.35912212	44942614.73306089	43124156.560720496	48729697.25636701	40490432.82820835	46581807.49783616	45182643.82837895	43045216.34588752	45403564.794316776	40595696.38047588	31883125.786303043	43045216.34588752	32687435.76311244	1203175681.1780279	1306210913.535068	1608080009.4601114	933940788.4641981	674139220.9959134	301869095.92504346	1608080009.4601114	404904328.2820835
98.512__1.43_3070	18639676.520732258	37284563.15937271	46327009.99174971	35444712.313845366	99067118.77006602	37364586.34853526	18905350.42435339	150374849.2673411	62971576.48664173	41881932.30022056	32136570.725558016	44512475.64161629	177211814.6045299	19465427.799925968	86195201.73324682	101184430.95297046	21055252.77798343	123683105.69007194	199009237.11204037	28911237.76436881	82138003.56597112	31271940.165116593	73095659.0	45689283.06493077	74906284.98695678	22304303.1227189	51322980.76997245	186818472.85446268	47271667.02262875	126221219.52361515	105055456.8653469	23089468.31075712	19773692.471468154	86061312.9425623	78454600.19701192	68805592.79118532	60848493.563782126	78354111.86406916	32966422.426686548	68805592.79118532	29117436.443018295	74906284.98695678	68033617.74332087	46327009.99174971	36404649.33119032	62971576.48664173	37364586.34853526	46327009.99174971	21679777.950351164	1979410197.6789327	2039819605.1223097	2270584562.1091156	1095272884.1480782	1175311677.9610374	230764956.98680583	2270584562.1091156	291174364.43018293
979.434__4.56_5212	64870706.29300615	82119695.10652669	23446864.1121969	41523176.34762862	25780077.19817562	27054079.782205164	66000777.75057534	36200729.0	40123374.30556419	38955152.368302114	49377620.85963569	88861978.4046299	39421659.111213244	38626140.336665064	68559844.09187873	46966803.42761504	43672108.67699563	46377914.213308185	65184429.95143294	31004795.708495755	29648770.347983662	48430421.09202288	28175495.544605948	78583345.42451936	35751941.270279564	39001450.27269131	29845742.76925511	51273520.04437303	31177808.964245792	110941051.44974275	82137414.11971737	61408735.20087623	45982977.99172565	50099279.1607412	49799296.83074654	49590503.07691181	53658580.91215658	44708809.67461809	48814983.41981137	49590503.07691181	48420318.08410422	46377914.213308185	43950545.280468404	43672108.67699563	47206699.54187427	40123374.30556419	43672108.67699563	43672108.67699563	41336779.47484347	1152283420.6970477	1294781717.59941	1636486601.5380895	965854456.4188185	670632145.1192713	341704883.9386796	1636486601.5380895	484203180.84104216
978.691__7.53_4572	58301593.04176431	41171285.03550645	33708984.549518555	41359435.874751866	75744395.20471089	40281361.34106496	33153042.773399267	80501832.4199491	42134654.19696311	32980701.141822174	62672232.8242727	21672364.26267486	27923098.116144225	32131466.66146693	20122356.52276535	55933827.45022035	19132257.0395538	42092118.21220529	56520965.8264941	68468189.65203846	41070262.07170663	55385609.49999999	74122356.3192794	33869841.46521104	44429474.119312815	51034954.54099699	28594457.74223846	19708481.391071778	24291801.097369257	59231925.921725735	53378120.15468936	41662930.12599891	40614063.63517903	47817688.465077154	47741340.34388472	44042437.58278988	48190098.05815268	39065245.01235452	30303655.89872333	44042437.58278988	35359360.55352916	42134654.19696311	43282064.15813796	41359435.874751866	41511183.00037539	41171285.03550645	32980701.141822174	41359435.874751866	33066871.95761072	1099806834.6967745	1241274848.9410028	1453400440.2320662	867421765.0467483	585978675.1853179	212125591.2910633	1453400440.2320662	353593605.5352916
976.712__7.48_5753	31361420.767920744	50572135.99559672	47198862.82239741	116816545.5548797	89880775.83018619	31231019.824864604	58328939.5	37816273.48628032	42305929.65905761	47457726.80560593	47669869.821300045	24700957.155181255	38109675.60815664	24451384.239165477	41244121.86898091	36803130.603702486	69162963.77730028	33131498.865374587	59187533.11673352	39655645.195974834	83562729.39750232	89116119.18909867	32585022.32067821	33402443.047057897	63670307.01751619	47921984.34828927	33028862.45644415	38537819.33411026	27375746.128813338	42889709.32538102	30753969.708184227	34704882.836638056	31529130.86968461	50549733.176575296	48706871.24679259	47156519.28721387	49221193.96430314	44678909.674706735	41398069.151635714	47156519.28721387	39352127.34168255	41244121.86898091	40449883.53247787	39655645.195974834	37962974.54721848	42305929.65905761	31529130.86968461	39655645.195974834	31445275.818802677	1162643863.0612319	1266378652.4166074	1556165136.4780576	885981491.3574566	670183645.120601	289786484.06145	1556165136.4780576	393521273.41682553
974.371__2.39_1449	96742331.48473679	15333510.775300449	73989181.51517183	33322357.00716095	54625222.192577034	57710753.05308199	94385537.00335744	88812795.80021262	22550065.470782172	34153808.837471694	39762027.84317857	59797294.13375038	30961009.465986468	43842359.443109564	47459719.24354571	32827920.634294763	47952374.964313805	23515020.00165513	76051109.02506654	124779398.63314548	55024741.91964974	74517653.1370016	37736344.49244509	59586457.03637087	72952302.1634758	24009274.928326514	53089984.525419004	38025690.315430626	33749397.95210422	43527386.88084643	40005797.98841286	45627790.0	28041754.320608683	51481890.698570855	51872209.689357795	51650556.73296942	59504037.07462153	42226380.32298689	50827274.32352688	51650556.73296942	52038488.61208611	45627790.0	44735074.721554786	45627790.0	54824982.05611339	37736344.49244509	47952374.964313805	45627790.0	45897367.20371169	1184083486.0671296	1348677451.9233027	1704468372.187991	1071072667.3431876	633395704.8448035	355790920.2646882	1704468372.187991	520384886.1208611
973.655__5.42_3754	45337849.199290335	35668146.05676665	26317889.604518257	31391335.19546028	25014235.328318264	24463112.742212445	37462104.94942448	80839896.44191866	46282712.8577178	44906168.717904	36141851.81902149	57304816.35212363	55377956.353733465	36552412.28976282	53688587.65394006	32750462.145951275	39098078.73359985	25034896.839144375	34872103.31423895	73072793.43394999	103102326.12934318	107120757.83321483	40393950.120469	29576952.747578546	32636133.184781734	70330622.09304821	24285162.57832497	34610120.0	29540847.337789435	53187836.20616565	102181501.7905342	68060873.87566741	81666943.05827586	50069933.978728645	50147283.27280232	49038528.39346031	58214197.5414442	38027725.41587964	44920295.98447567	49038528.39346031	46666295.547343105	36141851.81902149	38473181.20511591	39098078.73359985	54282896.27994956	34872103.31423895	39098078.73359985	39098078.73359985	42002123.72575192	1151608481.5107589	1303829365.0928605	1618271436.9841902	1047855555.7459955	570415881.2381946	314442071.8913297	1618271436.9841902	466662955.47343105
