#SampleID	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6
997.7__8.37_887	51968717.57493828	30798720.29771071	16584118.55875085	51134179.21624599	57694029.0	43636829.22369959	43020503.22325701	83810535.40991221	31516857.430694293	93162964.99985322	51765777.36138036	59806522.43955731	44209898.29873458	18687530.267203584	6728703.061928523	37741055.19168293	246485658.4908126	16182674.538845755	55756622.82306344	7979500.091197864	50831886.83067862	52968333.62928966	170159599.00180408	42480358.635430455	30259481.201710984	74714750.46889172	9632622.61236658	20036394.12814089	206397102.0523669	44217315.95818456	43201255.2561528	24232480.12129853	109892733.11994052
992.745__8.38_527	71600124.85809329	35605190.75015674	21924439.053146116	45254594.1509029	63263783.81511496	46326413.99291927	60906654.69098398	64035003.70364446	35613823.09482364	76718877.61781587	45970272.86847214	58964166.58526261	53975626.09110603	34149756.86527058	12776036.012623735	34628571.39930735	244337834.22662568	19200312.711883467	42329349.5	14902700.794958053	47544897.02062976	62493780.42181006	226784922.6359795	32772276.292044517	36902800.685676	77117812.75923239	18853022.804939613	18566973.51761541	205186822.54413307	49591077.44582406	42341046.50212192	37495656.72238119	117286370.82424942
987.717__8.03_4706	62220144.22753509	34070699.72898394	38449073.96537754	77640000.44570495	42570797.894027226	57693390.53442928	109991105.26297888	44707070.54882934	24768433.520204917	80595546.8235604	60253829.5	42847549.30815936	37729272.026336014	27426223.86557035	26341358.322172374	75835585.29543717	41397205.03328375	71595912.35600862	29860496.74528671	57684025.754959896	55405388.91682923	46874522.50633243	32415319.285100047	28674051.22328104	36855795.72485016	28734122.559642654	24354775.62342585	26276081.61730083	44421609.60489952	33946894.16989718	56292621.39154696	49035299.87090644	63845330.27816241
983.647__7.58_4359	32366287.577033944	33923804.86838561	57006809.35590734	35498356.38049298	48403235.25160024	29863696.637557585	77677221.75756316	48243322.15879153	52336132.76398787	71393117.04738502	55073359.20011109	38945149.42704933	68802485.77349979	33008583.94919093	28143920.92665332	36694521.98285578	24493725.86841724	27137242.057043035	43045216.34588752	37221559.5	162804841.51354522	59002442.49635365	46139965.56596051	54610169.40893826	72520827.50735472	37660360.8308152	71164753.70848121	40595696.38047588	31883125.786303043	46581807.49783616	33999888.44306885	44225322.0907974	27613059.400768027
98.512__1.43_3070	18639676.520732254	37284563.15937271	46327009.99174971	35444712.31384537	99067118.77006602	37364586.34853526	18905350.42435339	150374849.26734108	62971576.48664173	41881932.30022056	32136570.725558016	44512475.64161629	177211814.60452992	19465427.799925968	86195201.73324682	101184430.95297046	21055252.77798343	123683105.69007194	199009237.1120404	28911237.76436881	82138003.56597112	31271940.165116593	73095659.0	45689283.06493077	74906284.98695678	22304303.1227189	51322980.76997245	186818472.85446268	47271667.02262875	126221219.52361517	105055456.86534691	23089468.31075712	19773692.471468154
979.434__4.56_5212	64870706.29300615	82119695.10652669	23446864.1121969	41523176.34762862	25780077.19817562	27054079.782205164	66000777.75057534	36200729.0	40123374.30556419	38955152.36830211	49377620.85963569	88861978.4046299	39421659.11121325	38626140.33666506	68559844.09187873	46966803.42761504	43672108.67699563	46377914.21330818	65184429.95143294	31004795.708495755	29648770.347983666	48430421.09202288	28175495.54460595	78583345.42451936	35751941.270279564	39001450.27269131	29845742.76925511	51273520.04437303	31177808.96424579	110941051.44974276	82137414.11971737	61408735.20087623	45982977.99172565
978.691__7.53_4572	58301593.04176431	41171285.03550645	33708984.549518555	41359435.874751866	75744395.20471089	40281361.34106496	33153042.77339927	80501832.4199491	42134654.19696311	32980701.14182217	62672232.82427271	21672364.26267486	27923098.116144225	32131466.66146693	20122356.52276535	55933827.45022035	19132257.0395538	42092118.21220529	56520965.826494105	68468189.65203846	41070262.07170663	55385609.49999999	74122356.3192794	33869841.46521104	44429474.119312815	51034954.54099699	28594457.74223846	19708481.391071774	24291801.097369254	59231925.92172574	53378120.15468936	41662930.12599891	40614063.63517903
976.712__7.48_5753	31361420.767920744	50572135.99559672	47198862.82239741	116816545.55487971	89880775.83018619	31231019.824864604	58328939.5	37816273.48628032	42305929.65905761	47457726.80560593	47669869.82130005	24700957.15518125	38109675.60815664	24451384.23916548	41244121.86898091	36803130.60370249	69162963.77730028	33131498.86537459	59187533.11673352	39655645.19597483	83562729.39750232	89116119.18909867	32585022.32067821	33402443.047057897	63670307.01751619	47921984.34828927	33028862.45644415	38537819.33411026	27375746.128813334	42889709.32538102	30753969.70818423	34704882.836638056	31529130.86968461
974.371__2.39_1449	96742331.4847368	15333510.775300447	73989181.51517183	33322357.00716095	54625222.19257704	57710753.05308199	94385537.00335744	88812795.80021262	22550065.47078217	34153808.83747169	39762027.84317857	59797294.13375038	30961009.46598647	43842359.44310957	47459719.24354571	32827920.634294763	47952374.96431381	23515020.00165513	76051109.02506654	124779398.63314548	55024741.91964974	74517653.1370016	37736344.49244509	59586457.03637087	72952302.1634758	24009274.928326514	53089984.52541901	38025690.31543063	33749397.95210422	43527386.88084643	40005797.98841286	45627790.0	28041754.320608687
973.655__5.42_3754	45337849.19929034	35668146.05676665	26317889.604518253	31391335.19546028	25014235.328318264	24463112.742212445	37462104.94942448	80839896.44191866	46282712.8577178	44906168.717904	36141851.81902149	57304816.35212363	55377956.35373346	36552412.28976282	53688587.65394006	32750462.145951275	39098078.73359985	25034896.83914437	34872103.31423895	73072793.43394999	103102326.12934318	107120757.83321483	40393950.120469004	29576952.747578546	32636133.18478173	70330622.09304821	24285162.57832497	34610120.0	29540847.337789435	53187836.20616565	102181501.7905342	68060873.87566741	81666943.05827586
970.671__7.82_2660	22303970.53219591	30101929.775427844	9331850.274555892	63318309.89868777	59563986.58444248	51248970.75370653	40560592.99940511	65250726.55810415	22841018.50137344	93558195.41722502	56489950.21611592	36287941.17712628	48166776.377358206	25773890.07610877	15920300.006001946	61091529.71278207	309369913.9887972	10172888.921668217	65510724.83097011	21211287.171753146	70832767.91703528	31282123.273957863	300973334.79164815	37487223.5118818	55139509.90400311	64020990.0	8410117.37886928	10475878.442707898	331178019.36633235	31618739.29845791	46522106.24919281	28352963.83522261	230036471.62822807
969.668__7.79_1917	76470679.58864753	49643158.68767536	26706863.79360435	55931633.88853423	49057293.66985441	58024505.5894771	60736557.74033134	61117929.83168834	41286443.90396782	60533829.5	44372066.68533074	39050221.09481462	35741369.92694244	16237385.641448053	24487238.44053125	47077906.67067652	377883655.69474787	27026681.55540188	48621992.33915668	20952751.42705607	11750613.828835787	47790913.35601276	301099366.59046406	7032777.87457685	43710011.51520585	45783952.76857405	14476560.065953432	25510914.15117409	308734414.89092314	31146229.140659776	46695397.96859557	39870756.05382028	236799009.03802168
