index	V4-forehead-healthy-3A6	V4-temple-psoriasis-3A9	V4-forehead-healthy-3A7	V4-temple-healthy-3B3	V4-temple-psoriasis-3B2	V4-temple-healthy-3B4	V4-abdomen-healthy-3B7	V4-behind-ear-healthy-3A12	V4-eyebrow-psoriasis-3A3	V4-eyebrow-psoriasis-3A4	V4-temple-psoriasis-3A10	V4-abdomen-psoriasis-3B5	V4-temple-healthy-3A11	V4-eyebrow-healthy-3A8	V4-eyebrow-psoriasis-3A5	V4-abdomen-healthy-3B6	V4-temple-psoriasis-3B1	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_abdomen	GROUP_MEAN_DESCRIPTION_behind_ear	GROUP_MEAN_DESCRIPTION_temple	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_forehead	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEAN_DESCRIPTION_eyebrow	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_abdomen	GROUP_MEDIAN_DESCRIPTION_behind_ear	GROUP_MEDIAN_DESCRIPTION_temple	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_forehead	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_eyebrow	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_abdomen	GROUP_SUM_DESCRIPTION_behind_ear	GROUP_SUM_DESCRIPTION_temple	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_forehead	GROUP_SUM_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_eyebrow
997.7__8.37_887	21311390.078078277	38700566.77375356	47373562.540866785	20133046.830741573	55710694.215948686	25035779.73867014	48759623.41928006	15929623.47623694	60726201.70183138	45121390.61981269	6169571.433016296	19396471.068246543	40225052.78064488	58662158.99999999	60949888.55749611	64614087.26870788	64454456.51387205	38004925.01480295	44256727.25207815	15929623.47623694	35775595.46952103	40780798.00101199	42586308.43649527	40810556.792848974	34342476.30947253	40780798.00101199	34342476.30947253	43903655.11049716	56364909.96978504	40225052.78064488	48759623.41928006	15929623.47623694	38700566.77375356	45121390.61981269	48759623.41928006	42673221.70022878	34342476.30947253	45121390.61981269	34342476.30947253	50416042.417880684	59694180.350915685	342044325.1332265	132770181.75623447	15929623.47623694	250429168.28664723	693273566.0172038	298104159.0554669	326484454.3427918	68684952.61894506	693273566.0172038	68684952.61894506	351229240.8839773	225459639.87914017
996.79__9.57_5822	476281639.14386046	33906368.79373376	32138736.32377676	37644977.11561201	115019192.38381635	57535478.186031334	399020822.45929885	33319067.668301616	280672242.7293585	32409315.205094736	32511369.0	44742840.98447112	30372676.64287115	31808593.603807133	49666114.44891865	27307858.05313205	40624697.46388703	125047761.02185461	157023840.49896735	33319067.668301616	49659251.36942166	103234234.71799833	103127980.9494641	65583218.51151069	254210187.73381862	103234234.71799833	254210187.73381862	78694017.62616001	98639066.49679476	33319067.668301616	44742840.98447112	33319067.668301616	37644977.11561201	37644977.11561201	44742840.98447112	32915218.334150806	254210187.73381862	37644977.11561201	254210187.73381862	42683769.224179074	41037714.82700669	1125429849.1966915	471071521.49690205	33319067.668301616	347614759.5859516	1754981990.2059715	721895866.6462487	524665748.09208554	508420375.46763724	1754981990.2059715	508420375.46763724	629552141.0092801	394556265.98717904
992.745__8.38_527	47302272.908664525	46487452.05340785	34530900.24021325	34910783.70582949	47615660.1309395	65952781.164637625	66478505.89066899	7658278.667302436	31808545.829483744	51349022.35043252	6538643.69088978	21945296.012623686	38042685.100735806	68716494.80539607	80176781.92954381	90483699.6474391	52628729.5	50452933.57009859	59635833.850243926	7658278.667302436	41739533.62092001	46625090.21342401	54287922.29316263	41347238.053399	40916586.574438885	46625090.21342401	40916586.574438885	42318766.43716511	58012711.228714034	47302272.908664525	66478505.89066899	7658278.667302436	46487452.05340785	47302272.908664525	52628729.5	42265068.57707183	40916586.574438885	47302272.908664525	40916586.574438885	47051556.09217367	60032758.5779143	454076402.13088727	178907501.55073178	7658278.667302436	292176735.3464401	792626533.6282082	380015456.0521384	330777904.427192	81833173.14887777	792626533.6282082	81833173.14887777	338550131.4973209	232050844.91485614
99.013__0.88_2719	20320189.509167213	89752161.69784518	23762728.282992385	65228746.44432215	619060132.7745613	13964347.814921983	39732977.3539798	82034721.30724283	19669229.189678334	47528360.131739184	16329424.111219175	38322626.88742364	72799535.88327074	51241913.02934894	54578420.0	596259535.4030864	312893256.05019194	107260521.66981472	224771713.21482995	82034721.30724283	170003943.53947607	127263429.75711714	240780231.8183553	54241720.668793045	22041458.8960798	127263429.75711714	22041458.8960798	149766701.35533234	43254480.58769161	51241913.02934894	39732977.3539798	82034721.30724283	72799535.88327074	51241913.02934894	65228746.44432215	52910166.51467447	22041458.8960798	51241913.02934894	22041458.8960798	51053390.06586959	49385136.58054406	965344695.0283325	674315139.6444899	82034721.30724283	1190027604.7763324	2163478305.870991	1685461622.728487	433933765.35034436	44082917.7921596	2163478305.870991	44082917.7921596	1198133610.8426588	173017922.35076645
987.044__3.24_6202	51534782.65459568	53954899.97049213	43311279.5	31139378.607163277	42916529.48103252	25777586.663057156	38589194.89765477	65431282.31981229	104643873.65391953	98354669.25490853	100847895.98129193	149966494.21461782	30284096.418854896	40842049.95846504	60006009.2134753	29765966.110158253	16918619.123559196	39630624.12552904	72773885.07414362	65431282.31981229	43119858.035064444	57899094.589591675	47867681.29960614	69295597.09640247	47423031.07729784	57899094.589591675	47423031.07729784	78451123.86166212	75961650.5201921	38589194.89765477	38589194.89765477	65431282.31981229	31139378.607163277	43311279.5	31139378.607163277	62718645.76664379	47423031.07729784	43311279.5	47423031.07729784	79180339.23419192	79180339.23419192	356675617.1297614	218321655.22243086	65431282.31981229	301839006.2454511	984284608.0230584	335073769.09724295	554364776.7712197	94846062.15459567	984284608.0230584	94846062.15459567	627608990.893297	303846602.0807684
983.647__7.58_4359	19433539.54660482	21216237.72433478	61022261.5646811	67656749.69885449	28568583.617416386	35064365.34484961	123985673.76922442	24681539.5	49427853.904713444	72067191.11633463	16357537.128409635	41097902.07583912	31138847.88750912	24478801.356522392	84446066.0501673	35202578.13448394	57349532.28303282	46962706.31141443	66762051.32651582	24681539.5	36764550.52634383	46658544.747234	55560769.27481439	40476759.33349891	40227900.55564296	46658544.747234	40227900.55564296	46316362.987531014	57604978.10693444	35064365.34484961	41097902.07583912	24681539.5	31138847.88750912	35202578.13448394	41097902.07583912	27910193.69375456	40227900.55564296	35202578.13448394	40227900.55564296	45262877.99027628	60747522.510524035	422664356.80272985	200286153.97954747	24681539.5	257351853.68440682	793195260.702978	388925384.92370075	323814074.6679913	80455801.11128592	793195260.702978	80455801.11128592	370530903.9002481	230419912.42773777
980.117__7.52_5945	35861066.351011224	26124721.537902623	48617133.47242516	43317339.18670183	49200469.5	81420006.44563596	32613798.809672944	38555009.3273651	44883860.86467345	33460279.291656118	74586437.34737846	36729111.683468014	101869260.87782916	43483152.67994876	28998908.719435304	38900540.73688202	48703288.91601664	51626367.543052465	36081150.41000766	38555009.3273651	60745931.97306639	47489669.74988252	47269222.182625346	48995203.83077362	42239099.91171819	47489669.74988252	42239099.91171819	42835884.73256633	37706550.38892841	43317339.18670183	36729111.683468014	38555009.3273651	49200469.5	43317339.18670183	43317339.18670183	41019081.00365693	42239099.91171819	43317339.18670183	42239099.91171819	40806486.27407073	38471715.98580244	464637307.8874722	108243451.230023	38555009.3273651	425221523.8114647	807324385.7480028	330884555.2783774	391961630.646189	84478199.82343638	807324385.7480028	84478199.82343638	342687077.8605306	150826201.55571365
98.512__0.79_1293	42211939.5	87543059.69816677	37422526.03233361	44633260.529736504	462580750.2696137	16140314.020846754	34282351.39207896	98291013.67225817	15775425.170678841	50803425.46747858	32091986.56975478	26975419.968168806	122021869.18719675	38068273.48910159	85556213.2502581	454602907.45690304	316332185.1196457	98630495.03116171	171953559.60571694	98291013.67225817	154477632.1992801	115607818.87024829	193649598.39385626	66268908.31311169	39817232.766166806	115607818.87024829	39817232.766166806	134707308.18922067	47550834.344379276	42211939.5	34282351.39207896	98291013.67225817	87543059.69816677	44633260.529736504	44633260.529736504	68179819.35886835	39817232.766166806	44633260.529736504	39817232.766166806	68179819.35886835	44435849.47829008	887674455.2804554	515860678.81715083	98291013.67225817	1081343425.3949609	1965332920.794221	1355547188.7569938	530151266.50489354	79634465.53233361	1965332920.794221	79634465.53233361	1077658465.5137653	190203337.3775171
98.013__0.85_3287	50405089.980306245	35160916.867032036	34359676.28399745	43730822.08377339	101292003.06931789	31225252.2710883	24133035.299612362	18684597.21105593	24123554.887721155	58661139.5	32757177.740391187	17525824.422382083	40288138.90617238	39510070.303403854	42944508.80508318	107356202.59897672	37853140.48659616	43299209.43759851	49671687.44032372	18684597.21105593	46043921.632053055	43530067.68923002	51873754.31882099	36516263.02760746	42382383.13215184	43530067.68923002	42382383.13215184	43789783.22231546	41309818.37405205	39510070.303403854	24133035.299612362	18684597.21105593	37853140.48659616	37853140.48659616	37853140.48659616	37335493.585217945	42382383.13215184	37853140.48659616	42382383.13215184	36507028.676814094	41227289.55424352	389692884.9383866	149015062.32097116	18684597.21105593	322307451.42437136	740011150.7169102	363116280.2317469	292130104.2208597	84764766.26430368	740011150.7169102	84764766.26430368	350318265.7785237	165239273.4962082
979.617__7.57_3001	60481083.444202386	22825676.38692898	38399480.21757822	66738691.15823687	72510750.93475614	46317467.672267124	75819687.02089244	12305231.798894186	74320979.5	57998782.46430677	16002819.18270253	63365805.31891599	215518456.31265563	26654392.401456963	47122894.19523144	35504875.69506353	73605684.81954864	64193262.857916385	58230122.67829066	12305231.798894186	73359935.20958515	59146632.854331635	61980423.231382966	59093654.03027207	49440281.8308903	59146632.854331635	49440281.8308903	53469174.100298814	51524262.14024879	46317467.672267124	63365805.31891599	12305231.798894186	66738691.15823687	57998782.46430677	66738691.15823687	36888643.2983442	49440281.8308903	57998782.46430677	49440281.8308903	60682293.89161138	52560838.329769105	577739365.7212474	174690368.03487197	12305231.798894186	513519546.467096	1005492758.5236378	433862962.61968076	472749232.24217653	98880563.6617806	1005492758.5236378	98880563.6617806	427753392.8023905	206097048.56099516
979.434__4.56_5212	160864392.7218731	53099789.675801136	127076054.59206218	19380991.88003018	26337981.588082172	20418785.62163844	30156988.918354087	18884332.798654918	1167697789.9412322	2084389189.8582118	26949399.017805506	24294570.786963947	46660220.366243586	137682198.52463436	692106322.3013818	16904143.231657375	52628729.5	64225345.40612759	23785234.312325135	18884332.798654918	35067985.37851443	276795993.01909566	27160313.075246602	528433655.3104957	143970223.65696764	276795993.01909566	143970223.65696764	515937971.5836848	1020468875.1563652	30156988.918354087	24294570.786963947	18884332.798654918	26949399.017805506	46660220.366243586	24294570.786963947	95390994.10021774	143970223.65696764	46660220.366243586	143970223.65696764	52864259.587900564	929902056.121307	578028108.6551483	71355702.9369754	18884332.798654918	245475897.64960104	4705531881.324626	190122191.52672622	4227469242.4839654	287940447.3139353	4705531881.324626	287940447.3139353	4127503772.6694784	4081875500.6254606
978.692__6.81_6029	36637032.46169871	71246871.09951332	34267240.468915045	27629813.88306534	117344698.1744263	26283088.50513168	55331367.37728351	24681539.5	37005705.951687336	69388651.85191788	58612218.097655475	45501899.27408062	76358933.15928513	42094198.14826832	37619909.67596627	45393978.99498251	26483613.291990712	40964132.49984781	48742415.21544888	24681539.5	57708462.31586684	48934162.34799225	49138351.35728009	52126003.43553672	35452136.46530688	48934162.34799225	35452136.46530688	57900445.927154735	46527116.40695995	36637032.46169871	45501899.27408062	24681539.5	58612218.097655475	42094198.14826832	45393978.99498251	50353208.12296189	35452136.46530688	42094198.14826832	35452136.46530688	52057058.68586805	39857053.912117295	368677192.4986303	146227245.64634663	24681539.5	403959236.2110679	831880759.9158683	343968459.50096065	417008027.48429376	70904272.93061376	831880759.9158683	70904272.93061376	463203567.4172379	186108465.6278398
978.691__7.53_4572	45594122.880555615	46556394.22728666	40747047.699688025	52605370.588606864	50736876.24938429	23592368.25991776	34675493.75198172	20521763.59519011	74320979.5	73104307.13523987	14613493.977597563	24711873.849160656	26256571.330055796	59486192.418159835	42101450.90086309	61016431.172416195	67910708.84028411	40499484.63295244	40134599.59118619	20521763.59519011	40324540.49616187	44620673.31625813	45035588.95882166	44620144.13554911	43170585.29012182	44620673.31625813	43170585.29012182	49257010.58497703	62253232.4885657	40747047.699688025	34675493.75198172	20521763.59519011	46556394.22728666	45594122.880555615	50736876.24938429	44328922.564074874	43170585.29012182	45594122.880555615	43170585.29012182	48646635.238335475	66295249.776699856	364495361.69657195	120403798.77355857	20521763.59519011	282271783.4731331	758551446.3763882	315249122.71175164	356961153.0843929	86341170.58024365	758551446.3763882	86341170.58024365	394056084.67981625	249012929.9542628
976.712__7.48_5753	28913397.939896956	39368961.570088714	26049597.97468328	74749593.66865654	66609641.62844679	49154458.78701106	39180384.737394474	29108700.767881244	61937011.29298978	29437096.89514484	29313800.154222768	33489607.852861732	58504299.61570484	69252455.89646937	29704947.209342185	37775039.0	59121261.49036814	45854214.26529976	36815010.53008541	29108700.767881244	53831716.70207126	44804132.73418604	51439998.16639125	43328409.175230466	27481497.95729012	44804132.73418604	27481497.95729012	43622791.01168312	47582877.823486544	39180384.737394474	37775039.0	29108700.767881244	58504299.61570484	39180384.737394474	49154458.78701106	34536954.38971545	27481497.95729012	39180384.737394474	27481497.95729012	36429284.71147522	45820979.251165986	412687928.3876978	110445031.59025621	29108700.767881244	376822016.9144988	761670256.4811627	360079987.1647388	346627273.4018437	54962995.91458024	761670256.4811627	54962995.91458024	348982328.093465	190331511.29394618
975.718__8.45_3720	54296238.849939264	15196070.079628129	26009173.255295828	76559609.1523783	87155616.2642693	29376532.425362457	52889256.69079449	22817817.404877912	30275814.110349234	58661139.5	13453205.32117755	30938522.624160364	40617765.50835291	65956272.931400195	25391695.814707924	45569780.1470693	31320947.6837082	46010271.81838563	43132519.82067472	22817817.404877912	41954249.49069669	41557968.10373361	50544323.56967749	34046222.58381173	40152706.05261755	41557968.10373361	40152706.05261755	36549126.42475009	45071230.58911434	45569780.1470693	45569780.1470693	22817817.404877912	31320947.6837082	31320947.6837082	45569780.1470693	27833754.96252858	40152706.05261755	31320947.6837082	40152706.05261755	30607168.3672548	44468476.80517462	414092446.36547065	129397559.46202415	22817817.404877912	293679746.43487686	706485457.7634714	353810264.9877424	272369780.67049384	80305412.1052351	706485457.7634714	80305412.1052351	292393011.3980007	180284922.35645735
974.371__2.39_1449	45167125.82717091	35299535.9841417	51062632.9418555	23168767.0858091	8572682.787230968	30160785.394778404	79951317.15011925	47598298.67968449	27455484.74369365	24843927.077834707	32511369.0	59928695.494498804	41141222.68323718	14436218.518676111	48663414.18835699	37609886.79005834	26615116.890926372	41144028.34126547	59163299.81155879	47598298.67968449	28209925.689446244	37305087.13165133	38001035.94191732	33993683.859453104	48114879.3845132	37305087.13165133	48114879.3845132	32986278.270835396	28849761.132140364	41141222.68323718	59928695.494498804	47598298.67968449	30160785.394778404	35299535.9841417	30160785.394778404	33905452.49207085	48114879.3845132	35299535.9841417	48114879.3845132	29983426.871846825	26149705.91076418	370296255.07138926	177489899.43467638	47598298.67968449	197469479.8261237	634186481.2380725	266007251.59342125	271949470.87562484	96229758.7690264	634186481.2380725	96229758.7690264	263890226.16668317	115399044.52856146
