index	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	15557244.458637487	12586109.95468965	56135684.45864177	37478377.68254251	43812106.838111885	61698282.201413624	154218293.81817812	13410276.13839672	57555114.89724473	61306648.091719486	17272704.209568076	42387417.004056156	123509595.80336705	127287147.2980826	32066366.86930459	20270662.643696014	63712906.80341881	54784502.02297816	54784502.02297816	62043600.61211856	47525403.43383775	54784502.02297816	27999287.681656208	56845399.677943245	43099761.92108402	43099761.92108402	43099761.92108402	44101025.66397318	43099761.92108402	26168514.756500304	764554881.6410257	876552032.3676505	876552032.3676505	496348804.89694846	380203227.470702	876552032.3676505	111997150.72662483
992.745__8.38_527	2881393.3020855575	14857197.24968673	27620227.389687363	57384445.7903842	60358695.760542296	25130785.37898827	118163838.36341304	35966262.722322546	102340395.73334391	37133557.80633288	44316126.41107289	29294735.3372096	166659733.9465212	36796243.23661071	28184250.304785646	28337175.97646306	57107731.38999323	50964066.54434062	50964066.54434062	49788104.99440654	52140028.09427469	50964066.54434062	32533072.0073828	36964900.5214718	36381252.97946663	36381252.97946663	40724842.10870288	28260713.14062435	36381252.97946663	28815955.65683633	685292776.6799188	815425064.7094499	815425064.7094499	398304839.95525235	417120224.75419754	815425064.7094499	130132288.0295312
99.512__8.76_83	23454457.239950445	11395162.867079852	26771444.008698873	54562455.78272418	27746178.301090665	49867898.59437182	9983463.789772423	51235027.74050294	33422516.38646821	41073077.15750088	89474968.24793836	39533704.64789099	41278545.6069403	28481083.31860006	75577062.24848379	42080490.627925366	33272609.232808392	40371096.0353712	40371096.0353712	37781261.764074676	42960930.306667715	40371096.0353712	61666556.44305963	30951799.852534134	40303390.90269594	40303390.90269594	34007393.98324552	41679518.11743283	40303390.90269594	58828776.43820458	399271310.7937007	645937536.5659392	645937536.5659392	302250094.1125974	343687442.4533417	645937536.5659392	246666225.77223852
99.512__8.19_655	23137576.890820965	14792341.01942755	45943279.19267527	60483506.27143264	57449540.639006265	34800110.474300005	49477373.45667701	43025453.37018939	23372507.582886036	43685267.940356456	56404782.995619684	53587674.39584366	33937651.84402847	55599078.81434873	26268395.699047558	35356331.62684012	40475307.29134572	41082554.51334374	41082554.51334374	48934945.691589	33230163.33509848	41082554.51334374	42904296.179337755	43355360.65527292	43355360.65527292	43355360.65527292	54593376.60509619	34368881.159164235	43355360.65527292	44472003.01134189	485703687.4961487	657320872.2134998	657320872.2134998	391479565.532712	265841306.68078783	657320872.2134998	171617184.71735102
989.614__8.21_4778	25604784.723248057	27613445.129449364	35718211.53070909	24398170.166707966	96457610.94733246	64667785.11157598	25137077.93799871	32016030.56359309	50838273.85150589	31340846.37257604	70126808.23349905	92183298.4935847	34838232.75607794	41894601.197184734	75277822.39898676	68938304.91120432	40877089.19066328	49815706.520327136	49815706.520327136	51143982.30979163	48487430.73086265	49815706.520327136	76631558.50931871	33427131.659835514	38806406.363946915	38806406.363946915	36617723.784880385	43278242.69110749	38806406.363946915	72702315.3162429	490525070.28795934	797051304.3252342	797051304.3252342	409151858.47833306	387899445.8469012	797051304.3252342	306526234.03727484
982.62__7.48_4896	36368115.94952864	291602505.8380219	71913054.80024424	25251944.0598763	33978483.33010402	26201710.252236955	27926253.00088867	44235461.07795116	31355950.441923037	34989476.00990312	104183281.34896258	28037316.73553159	35316930.33769482	74425274.61955068	101668103.60825098	72720174.6114293	61130429.97649362	65010877.25138113	65010877.25138113	77549316.86785486	52472437.634907395	65010877.25138113	76652219.0760436	35153203.17379896	35842523.14361173	35842523.14361173	34483979.67000357	40301788.5137399	35842523.14361173	87194139.10984014	733565159.7179234	1040174036.0220981	1040174036.0220981	620394534.9428389	419779501.07925916	1040174036.0220981	306608876.3041744
98.513__6.8_3090	29843891.21139099	18608249.225227606	21926445.180895846	39215793.98662782	75351515.51508218	15159585.854013344	45552830.29174842	49107855.32747322	45293944.33854434	55150168.80802831	23644775.700703617	91911735.00397688	60303084.36843639	74385569.44597349	63606600.39757653	35253863.28169045	44158244.46278683	46519744.246086836	46519744.246086836	52977579.747171044	40061908.74500264	46519744.246086836	53604243.59598687	45423387.31514638	45423387.31514638	45423387.31514638	50351499.549888365	40273903.810117394	45423387.31514638	49430231.839633495	529898933.553442	744315907.9373894	744315907.9373894	423820637.97736835	320495269.96002114	744315907.9373894	214416974.3839475
98.513__10.04_5	12.165683310988404	24649742.554225374	60907177.18869736	30233182.909803502	72749265.48929678	38483462.7039834	30423940.8241198	64820889.675525635	49531545.51760785	54459547.51912317	67641734.49916121	42862865.382273	38281865.165837005	32987968.073060405	32196833.687346827	36462377.735528894	41460716.64891364	42293275.6932046	42293275.6932046	44501030.9063829	40085520.48002628	42293275.6932046	44790952.82607748	38382663.9349102	38382663.9349102	38382663.9349102	37925416.727666706	38382663.9349102	38382663.9349102	39662621.55890095	497528599.78696364	676692411.0912735	676692411.0912735	356008247.2510632	320684163.84021026	676692411.0912735	179163811.30430993
98.512__6.24_2325	16340186.697208226	18533721.768972255	41156196.69890888	54092772.53933825	44760359.57358298	53011494.722836524	52056487.18196149	81510791.9146213	30391952.843179304	42386165.39798552	40505627.037231945	59144320.44623832	48800700.03247751	82090791.74958563	26572335.275597047	37031395.68406638	47094301.76005482	45524081.22273697	45524081.22273697	49196280.71186205	41851881.7336119	45524081.22273697	40813419.61078342	46780529.803030245	43573262.48578425	43573262.48578425	48408423.377772234	39093796.191487625	43573262.48578425	38768511.36064916	565131621.1206578	728385299.5637915	728385299.5637915	393570245.6948964	334815053.8688952	728385299.5637915	163253678.44313368
98.512__10.13_1904	14.155696960279391	6684744.775552737	68927627.42384042	45919099.1415719	51276945.50685589	44778433.08051259	24381050.50384025	92032414.44543885	57633716.939535916	96749658.90048234	62803929.5416114	71125214.44274203	12855637.751447331	40850496.1322773	37463462.52059126	71219349.8275279	45174153.229754366	49043862.19309532	49043862.19309532	49973892.36811674	48113832.0180739	49043862.19309532	60652989.08311814	45348766.111042246	48598022.32421389	48598022.32421389	48598022.32421389	51206075.01002425	48598022.32421389	66964571.99217672	542089838.7570524	784701795.0895251	784701795.0895251	399791138.9449339	384910656.1445912	784701795.0895251	242611956.33247256
