#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	19414781.0801496	41570616.49434352	100935452.81864938	79703783.84365864	98999756.10812716	17433573.520109173	76205529.4220261	39353117.73686857	101912097.10499084	27917290.03720922	19917811.70143824	36185663.05879679	40892000.53406993	83722608.20650338	5127792.152450298	8265125.190164678
995_606.348_5.19_C29H51NO12	11186166.368545257	11341975.449817533	101614539.69861254	81961314.03673913	86508502.46260415	10527468.684256246	91958340.7254047	108550729.8090735	14913736.908965753	92193134.91101028	121166460.88212734	94634842.61157532	13508051.054293126	90203008.59231958	15127393.797691682	8334781.485787338
992_120.025_8.9	12239681.09242762	33528797.7388514	32594593.107856587	49380464.096407704	91458179.32988197	58004018.78015606	76852153.49550632	37133659.97945917	49965305.6277993	172327209.86771446	35195405.1470091	98369838.08067062	16837999.162576634	78421627.58013389	58028749.71520153	50759761.15474422
990_1199.857_8.98	13733968.06649483	20203726.0131	23573620.967292856	23544272.09952411	25858456.13604335	151304058.340796	105783459.71563984	41600028.605234064	48219669.16512056	13596722.894523732	28934686.21878137	8547388.749213627	208866104.16227725	91117835.87372118	77940275.26069394	38437618.94993047
982_601.323_5.25_C26H44N6O10	2924462.3694595373	8229694.57420683	47749885.26393777	35679013.77883859	51947693.67867352	59855972.33619626	40766773.60825652	57238664.72472778	57001368.1052725	48125367.05194923	64410922.47210404	54742359.79108421	73056070.81935216	52173883.94064175	59234766.30352367	52496300.20468671
979_751.569_9.98	8458031.15181254	27634620.16744373	15259051.870710375	6331559.655124825	76660077.65556571	696882620.2242718	686839773.7659464	41746093.33518954	56684617.02330373	6284609.69390433	10747280.503332866	5705096.9147135215	1693710412.7500837	913645486.5553582	91995224.13089712	15005930.693498122
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	22665877.11783656	55102123.68651217	55780023.04494817	37037899.67841423	35527829.69352772	57302793.87362456	270528387.1195396	41518778.45074047	137595249.14067134	18674271.634942073	12443391.797491407	9565178.486256514	54824460.84939417	121008179.79390028	16384593.760068055	27914353.594723355
968_443.42_6.18_C26H54N2O3_Fatty amides	55898395.81358112	22580595.68878407	52943402.37793642	14.526991434437628	16468945.122401815	39919736.65209157	132342417.30182742	13455611.289156418	22177631.473384205	44562984.39728943	27332824.92372309	40215651.46761107	125110372.52106416	16037508.003790453	79270145.98287609	27557194.306427974
967_493.28_6.88_C20H40N6O6S_Amino acids, peptides, and analogues_6-amino-2-[[2-[[6-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]hexanoyl]amino]-3-hydroxypropanoyl]amino]hexanoic acid	33782773.88502034	42215207.03966454	61163646.98749127	80079582.16908862	48695979.31904271	57281691.40141121	81849778.12241136	39437150.01300147	87222813.10505421	36849724.51727593	17459762.778348636	5510246.353444075	76222860.49222283	36892356.73199281	18449434.90081118	19076665.941982694
963_546.401_6.53_C26H59BN3O3Se	7359881.067850724	3127404.966418335	60827867.07916234	55321287.75199453	72640860.56080528	19022322.63213938	142950409.68341598	13768346.400437133	38446447.93299373	56436792.05413176	59070166.71916188	22991213.8114664	86402144.74802905	83423305.60231659	15688723.291082295	60982764.07507749
960_333.134_2.39_C16H18N3O5_Orcinol .beta.-D-glucoside_(2R)-5-[[(1R)-1-carboxy-2-(1H-indol-3-yl)ethyl]amino]-2-$l^{2}-azanyl-5-oxopentanoic acid	14125406.318443006	0.13601246905690276	45383214.44815678	42199431.308173545	52427125.58060351	49423521.28666674	54175898.42081684	29236813.813368853	79262707.25900728	51134990.66705418	90425232.91288629	46017142.72406189	46982234.15962674	51659136.47856	62942458.34253266	55592690.12238152
959_520.333_2.9_C22H51BN4O4Se	60847301.3473775	67582836.43256372	27599192.46747284	23126344.03206369	12001783.602081513	59947694.72195375	72183167.09628287	39550512.31056932	54768507.95050503	14152566.140618393	43466214.021244176	28733681.144078564	134549947.2266947	35793189.5295381	142104910.03047132	28075990.12336873
954_583.309_5.11_C19H40N14O6	1212888.1754302594	4109371.209105021	48900442.7767728	51879664.21838915	48050514.08226968	56783820.07278026	59673162.77788536	55267603.05454128	54395117.963704795	54741697.49225512	56104044.06469519	48168177.07332716	63952198.78464346	55285174.30866787	59968037.54358345	60315826.01783519
951_735.294_4.83_C35H46N2O15_tert-butyl (2S)-4-[[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]amino]-2-(9H-fluoren-9-ylmethoxycarbonylamino)-4-oxobutanoate	13277407.987624004	17440119.3134066	138927190.12601385	8089016.036404743	14189856.41883189	45542403.57307001	163318175.67190406	50581399.01486866	52598487.04560611	14438757.416805524	111433762.8305664	253030064.25172403	14934586.09617266	187780473.5901392	206795089.047387	29399930.66503445
94_234.134_2.74_C10H19NO5	11598644.834503805	70741909.36683427	114938118.56967597	10898603.54211261	20311411.47558507	27173175.21067815	80295346.37505503	30990875.72369376	131024706.91194302	25780484.63833083	91699518.32886362	162110006.76230866	13209515.371564433	137854329.95964763	181970675.08475572	33775660.70842792
949_383.246_6.68_C20H40N2Se_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate	49362334.94342623	50615744.50518815	99188015.34278747	107006763.3846003	72818235.29768676	19347800.15412234	76550723.98128113	37569762.44875418	102071651.86203144	36511974.47784246	16597008.088757282	10977924.041418282	86258448.14349209	147498995.45761132	22443104.10627902	18649892.800187025
948_359.315_7.83_C21H42O4_1-Stearoyl-rac-glycerol_Monoradylglycerols_ 1-Hexadecanoyl-sn-glycerol _Monoradylglycerols_Sandin EU	14424189.828696994	14563470.371425396	42710993.97158046	71426397.87535168	505211057.852387	44397132.55088666	100576321.22845045	31312609.19477999	89663861.90267506	28363725.53228488	44081952.34186181	37727645.70896057	90973984.24213456	128990070.34978636	23041533.11844495	24072356.2628382
946_250.086_7.34_C16H11NO2_Isoxadifen-ethyl_Diphenylmethanes_Diphenylmethanes_Isoxadifen-ethyl	18810764.97840382	19404810.015052143	65681384.7421009	50694087.98635039	55568974.42371667	44521884.13458119	94444690.21441156	41279449.56250341	63568591.02057367	29714312.966214355	31716393.35922109	13962446.851872144	63746939.95895266	91182610.36739948	7204307.690173383	8114972.07901266
944_618.347_5.27_C31H47N5O8	15452287.019688455	14214507.612303682	48722485.52435096	70788322.05882359	42752714.988376096	67483697.84916964	55943006.19475453	29122490.911654133	42811243.60716121	45161023.040439	61721980.90815813	45044931.22229849	66878997.19425738	45537541.7111906	82707533.2978638	62092187.73447028
