#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
9_332.15_5.5_C10H25N3O7S	47764408.27105026	61748887.06381193	57171449.06948524	52732904.27513196	47474056.07498258	52991990.0	57371479.16125688	50417557.45194762	50304339.85776157
99_491.154_5.54_C20H28N4O7S_Nitrobenzenes_1-methoxy-3-[2-methyl-5-nitro-3-[(3-nitro-4-pentoxyphenyl)methyl]imidazol-4-yl]sulfanylpropan-2-ol	50818282.71437009	67278881.03554869	79334864.48636536	72312758.72976078	52337888.83816749	52991990.0	62764720.62370865	45024059.84522493	55025141.87216388
999_411.273_4.19_C23H38O6	17242756.9565085	70974885.0	69403696.9891355	60216687.70048185	25325933.918473367	53737907.78063523	75318105.65973921	60959684.75032768	34997147.87169825
998_513.357_7.68_C26H46N6O3	20209392.032761134	41233046.691995576	32339147.38210177	77931989.0	56939245.49676979	120420563.18928388	22944916.76511348	114758039.39316414	24553535.11202934
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	39915211.55366585	44378277.68330329	29506365.056218684	97016194.36467598	57882790.10306793	90815477.18955985	30999084.0	117763016.2592104	15925553.362889212
996_561.327_5.1_C24H44N6O9	104193003.47237554	59585226.19632963	395234336.3551272	30538069.12052772	24843160.091152426	15441426.093238264	306607415.846492	63070179.0	308427473.69101185
995_606.348_5.19_C29H51NO12	29250347.184884746	100169308.09691748	86634544.69474517	77931989.0	6498011.532185795	10047998.903228763	7990234.926021578	76045549.01210906	72275091.85274044
994_315.159_2.89_C19H22O4_Eicosanoids_15-Keto-17-phenyltrinorprostaglandin F2.alpha.	34771105.0	53976789.7874709	41229408.60226066	40747635.0775173	35774605.01012002	54824599.31977843	44223069.80136591	38073842.18985867	45475104.23264379
993_259.153_3.46_C9H18N6O3_Aminotriazines_1-[[4,6-bis(1-hydroxyethylamino)-1,3,5-triazin-2-yl]amino]ethanol	65763677.77741983	111023331.11823983	49551686.66339178	57946929.98539412	83366650.0	38715997.95921883	27320316.240936786	51807429.31515728	45616861.68490326
991_403.232_4.44_C20H34O8	24687137.92052715	61813835.852432705	70153243.03419138	77931989.0	33026747.9817716	53712339.51588077	57321582.26561081	55680561.90619588	37708583.01373106
990_1199.857_8.98	34771105.0	170925834.93459824	10556656.71977858	97834854.586834	134860874.20800504	17850683.153702393	20045714.124280445	106072647.55091096	8565128.38354135
98_283.169_3.72_C19H22O2_ Enterodiol _1,2-Diethyl-1,3-bis(p-hydroxyphenyl)-1-propene	37886630.59726013	48613948.34450621	35850366.31349611	37931310.73207555	1174673.2799981595	52991990.0	40857422.07778824	35236044.98495083	42049651.27060116
988_381.225_5.81_C17H28N6O4	131173626.9803726	81580806.90440722	31034179.0	59810769.02876718	90935409.51977232	26217771.30623463	59729190.82527071	44503898.57697833	21732543.25387873
987_346.258_4.58_C18H35NO5_Fatty acids and conjugates	67953706.43559603	70747466.72237825	69953046.54629631	18412412.84028001	19277935.44564142	52991990.0	61330614.14298676	60124597.09071936	53134113.62238988
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	36044253.46037132	69258538.96668257	31034179.0	84988255.51738212	62497578.36245831	68126393.35198276	17858460.281965714	99382205.98748045	16781173.648111947
