AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	LibraryID	MQScore	MZErrorPPM	MassDiff	ProteoSAFeClusterLink	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=1	332.39	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	1	392	1	651.222	1	651.222	0
 	G1	1	1	0	0	0	0	0	Dinoseb methyl ether	0.77846	235309	60.0267	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=2	330.46	0.0	CCC(C)C1=CC(=CC(=C1OC)[N+](=O)[O-])[N+](=O)[O-]	CCMSLIB00003635564	1807_Psoriasis_GNPS_v2.mgf	1	2	90	1	315.124	1	315.124	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=3	375.74	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	3	382	1	707.283	1	707.283	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=4	249.77	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	4	-1	1	455.19	1	455.19	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=5	602.42	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	5	-1	1	98.5126	1	98.5126	0
 	G1	1	1	0	0	0	0	0	Massbank:FIO00474 Amitryptiline	0.965945	2.9619	0.000823975	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=6	251.35	0.0	CN(C)CCC=C(c21)c(c3)c(ccc3)CCc(cccc2)1	CCMSLIB00000214320	1807_Psoriasis_GNPS_v2.mgf	1	6	362	1	278.19	1	278.19	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=7	192.2	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	7	334	1	450.024	1	450.024	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=8	248.73	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	8	157	1	433.209	1	433.209	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=9	330.28	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	9	90	1	332.15	1	332.15	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=10	299.43	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	10	-1	1	671.29	1	671.29	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=11	329.58	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	11	-1	1	149.06	1	149.06	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=12	248.05	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	12	-1	1	450.235	1	450.235	0
