	ScanID	CompoundID	Pathway	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename	InchiKey	KEGG
0	1032	C00719	map00260	M+H	123999	1.0	Spectral Match to Azelaic acid from NIST14	Isolated	Data deposited by aaksenov	0.0	spectra/specs_ms.pklbin311	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3		qTof	Positive	LC-ESI	189.112	lib-00025.mgf	Bronze	3.0	0.9562950000000001	1.6137299999999999	0.000305176	1.0	GNPS-NIST14-MATCHES	Data from Rob Knight	189.112		194.2	6.0	O=C(CCCCCCCC(O)=O)O	1.0	189.112	specs_ms.pklbin	CCMSLIB00003136939	43136.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	KWIUHFFTVRNATP-UHFFFAOYSA-N	None
3	1413	C07481	map00232									InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3																												RYYVLZVUVIJVGH-UHFFFAOYSA-N	None
9	1431	C10833	map00627									InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)																												JMSVCTWVEWCHDZ-UHFFFAOYSA-N	None
11	1501	C10833	map00627									InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)																												JMSVCTWVEWCHDZ-UHFFFAOYSA-N	None
13	1610	C02679	map00061									InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)																												POULHZVOKOAJMA-UHFFFAOYSA-N	None
17	1728	D07448	map04976									InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3																												KRMDCWKBEZIMAB-UHFFFAOYSA-N	None
21	1642	C07073	map00982									InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)																												NNJVILVZKWQKPM-UHFFFAOYSA-N	None
25	2687	C01571	map00061									InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)																												GHVNFZFCNZKVNT-UHFFFAOYSA-N	None
27	3006	C16357	map00232									InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)																												GMSNIKWWOQHZGF-UHFFFAOYSA-N	None
31	3055	D07448	map04976									InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3																												KRMDCWKBEZIMAB-UHFFFAOYSA-N	None
35	3368	C00249	map00061									InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)																												IPCSVZSSVZVIGE-UHFFFAOYSA-N	None
43	367	C06424	map00061									InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)																												TUNFSRHWOTWDNC-UHFFFAOYSA-N	None
45	3778	C00156	map00130									InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)																												FJKROLUGYXJWQN-UHFFFAOYSA-N	None
58	3983	D00300	map07028									InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3																												ZZVUWRFHKOJYTH-UHFFFAOYSA-N	None
61	4476	C06424	map00061									InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)																												TUNFSRHWOTWDNC-UHFFFAOYSA-N	None
63	528	C07073	map00982									InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)																												NNJVILVZKWQKPM-UHFFFAOYSA-N	None
67	970	C07073	map00982									InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)																												NNJVILVZKWQKPM-UHFFFAOYSA-N	None
