#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
616	M+H	154234	1	Spectral Match to (+)-Catechin from NIST14	Isolated	Data deposited by mwang87	0.0	spectra/specs_ms.pklbin616	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1	N/A	qTof	Positive	LC-ESI	291.085	lib-00025.mgf	Bronze	3	0.987307	3.45975	0.00100708	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	291.085	N/A	134.1	9	Oc1ccc(cc1O)[C@H]3Oc2cc(O)cc(O)c2C[C@@H]3O	1	291.086	specs_ms.pklbin	CCMSLIB00003135476	45908	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1728	[M+H]+	50-48-6	1	Massbank:FIO00474 Amitryptiline	Isolated	Massbank	0.0	spectra/specs_ms.pklbin1728	1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	N/A	LC-ESI-QTOF	Positive	ESI	278.191	lib-00003.mgf	Bronze	3	0.978731	0.767901	0.000213623	1	MASSBANK	Putative Massbank Match	278.191	N/A	162.97	12	CN(C)CCC=C(c21)c(c3)c(ccc3)CCc(cccc2)1	1	278.191	specs_ms.pklbin	CCMSLIB00000214320	124026	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
4207	M+H	6254893	1	Palmitoyl sphingomyelin	Isolated	NIST	0.0	spectra/specs_ms.pklbin4207	InChI=1S/C39H79N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-38(42)37(36-47-48(44,45)46-35-34-41(3,4)5)40-39(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h30,32,37-38,42H,6-29,31,33-36H2,1-5H3,(H-,40,43,44,45)/b32-30+/t37-,38+/m0/s1	N/A	HCD	Positive	ESI	703.575	lib-00026.mgf	Bronze	3	0.977681	10.3233	0.00726318	1	NIST17	NIST	703.575	N/A	487.71	3	CCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O	1	703.568	specs_ms.pklbin	CCMSLIB00003709349	16427	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3806	M+H	998061	1	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	Isolated	NIST	0.0	spectra/specs_ms.pklbin3806	InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14-17,20-23,42H,6-13,18-19,24-41H2,1-5H3/b16-14-,17-15-,22-20-,23-21-/t42-/m1/s1	N/A	HCD	Positive	ESI	782.569	lib-00026.mgf	Bronze	3	0.977267	10.8411	0.00848389	1	NIST17	NIST	782.569	N/A	487.67	5	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC	1	782.561	specs_ms.pklbin	CCMSLIB00003268175	22943	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
127	M+	 	1	Benzalkonium chloride (C12)	Lysate	Quinn	0.0	spectra/specs_ms.pklbin127	InChI=1S/C21H38N/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21/h13-15,17-18H,4-12,16,19-20H2,1-3H3/q+1	 	qTof	Positive	LC-ESI	304.29	lib-00011.mgf	Bronze	3	0.976681	32.1934	0.00979614	1	GNPS-LIBRARY	Dorrestein	304.29	 	344.92	9	C[N+](CCCCCCCCCCCC)(Cc1ccccc1)C	1	304.3	specs_ms.pklbin	CCMSLIB00000531495	298583	UPDATE-SINGLE-ANNOTATED-BRONZE	Quaternary Ammonium Compound[Chemical Family]	specs_ms.pklbin
5684	M+H	80320	1	Spectral Match to Sulfachloropyridazine from NIST14	Isolated	Data deposited by aaksenov	0.0	spectra/specs_ms.pklbin5684	N/A	N/A	QqQ	Positive	ESI	285.02	lib-00025.mgf	Bronze	3	0.97657	4.28287	0.0012207	1	GNPS-NIST14-MATCHES	Data from Rob Knight	285.02	N/A	177.81	7	N/A	1	285.021	specs_ms.pklbin	CCMSLIB00003137492	41060	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2470	M+H	84742	1	Spectral Match to Dibutyl phthalate from NIST14	Isolated	Data deposited by abouslimani	0.0	spectra/specs_ms.pklbin2470	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	N/A	qTof	Positive	LC-ESI	279.161	lib-00025.mgf	Bronze	3	0.976088	7.21505	0.00201416	1	GNPS-NIST14-MATCHES	Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein	279.161	N/A	183.53	8	CCCCOC(c1c(C(OCCCC)=O)cccc1)=O	1	279.159	specs_ms.pklbin	CCMSLIB00003140244	177847	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
784	M+H	73-22-3	0	L-Tryptophan	Isolated	N/A	0.0	spectra/specs_ms.pklbin784	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	qTof	Positive	LC-ESI	205.097	lib-00027.mgf	Bronze	3	0.975603	0.892774	0.000183105	1	METLIN	Metlin	205.097	N/A	70.71	5	c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)O)N	1	205.097	specs_ms.pklbin	CCMSLIB00000526803	135960	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2806	M+H	86386734	1	Spectral Match to Fluconazole from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin2806	N/A	N/A	QqQ	Positive	in source ESI	307.115	lib-00025.mgf	Bronze	3	0.974741	4.57095	0.00140381	1	GNPS-NIST14-MATCHES	Data from Rob Knight and Pieter Dorrestein	307.115	N/A	171.23	12	N/A	1	307.114	specs_ms.pklbin	CCMSLIB00003135571	277224	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
5785	M+H	111974697	1	Spectral Match to Quetiapine from NIST14	Isolated	Data deposited by negarg	0.0	spectra/specs_ms.pklbin5785	InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2	N/A	qTof	Positive	LC-ESI	384.182	lib-00025.mgf	Bronze	3	0.970564	22.9568	0.00881958	1	GNPS-NIST14-MATCHES	Data from Dorrestein	384.182	N/A	214.4	9	OCCOCCN1CCN(C2=NC3=CC=CC=C3SC4=CC=CC=C42)CC1	1	384.173	specs_ms.pklbin	CCMSLIB00003140182	12032	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
