	ScanID	CompoundID	Pathway	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename	InchiKey	KEGG
0	616	C06562	map00941	M+H	154234	1	Spectral Match to (+)-Catechin from NIST14	Isolated	Data deposited by mwang87	0.0	spectra/specs_ms.pklbin616	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1		qTof	Positive	LC-ESI	291.085	lib-00025.mgf	Bronze	3	0.9873069999999999	3.45975	0.00100708	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	291.085		134.1	9	Oc1ccc(cc1O)[C@H]3Oc2cc(O)cc(O)c2C[C@@H]3O	1	291.086	specs_ms.pklbin	CCMSLIB00003135476	45908	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	PFTAWBLQPZVEMU-DZGCQCFKSA-N	None
3	4659	D08257	map07027	M+H	83366669	1	Nefazodone	Isolated	NIST	0.0	spectra/specs_ms.pklbin4659	InChI=1S/C25H32ClN5O2/c1-2-24-27-31(25(32)30(24)18-19-33-23-10-4-3-5-11-23)13-7-12-28-14-16-29(17-15-28)22-9-6-8-21(26)20-22/h3-6,8-11,20H,2,7,12-19H2,1H3		HCD	Positive	ESI	470.23199999999997	lib-00026.mgf	Bronze	3	0.9829760000000001	208565.0	98.0739	1	NIST17	NIST	470.23199999999997		209.75	5	CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl	1	372.158	specs_ms.pklbin	CCMSLIB00003281455	7069	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	VRBKIVRKKCLPHA-UHFFFAOYSA-N	None
4	5785	D08456	map07213	M+H	111974697	1	Spectral Match to Quetiapine from NIST14	Isolated	Data deposited by negarg	0.0	spectra/specs_ms.pklbin5785	InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2		qTof	Positive	LC-ESI	384.18199999999996	lib-00025.mgf	Bronze	3	0.970564	22.9568	0.00881958	1	GNPS-NIST14-MATCHES	Data from Dorrestein	384.18199999999996		214.4	9	OCCOCCN1CCN(C2=NC3=CC=CC=C3SC4=CC=CC=C42)CC1	1	384.173	specs_ms.pklbin	CCMSLIB00003140182	12032	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	URKOMYMAXPYINW-UHFFFAOYSA-N	None
5	692	C10509	map00943	M+H	486624	1	Ononin	Isolated	NIST	0.0	spectra/specs_ms.pklbin692	InChI=1S/C22H22O9/c1-28-12-4-2-11(3-5-12)15-10-29-16-8-13(6-7-14(16)18(15)24)30-22-21(27)20(26)19(25)17(9-23)31-22/h2-8,10,17,19-23,25-27H,9H2,1H3/t17-,19-,20+,21-,22-/m1/s1		Q-TOF	Positive	ESI	431.134	lib-00026.mgf	Bronze	3	0.950741	194835.0	83.9999	1	NIST17	NIST	431.134		141.44	5	COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O	1	347.134	specs_ms.pklbin	CCMSLIB00003236751	112212	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	MGJLSBDCWOSMHL-MIUGBVLSSA-N	None
6	1951	C01197	map00940	M+H	331395	1	Caffeic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin1951	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+		Q-TOF	Positive	ESI	181.049	lib-00026.mgf	Bronze	3	0.950514	32881.0	5.95309	1	NIST17	NIST	181.049		165.77	5	C1=CC(=C(C=C1C=CC(=O)O)O)O	1	175.09599999999998	specs_ms.pklbin	CCMSLIB00003198398	16592	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	QAIPRVGONGVQAS-DUXPYHPUSA-N	None
11	1501	C10833	map00627	M+H	530574	1	Spectral Match to Syringic acid from NIST14	Isolated	Data deposited by abouslimani	0.0	spectra/specs_ms.pklbin1501	InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)		qTof	Positive	LC-ESI	199.06	lib-00025.mgf	Bronze	3	0.947895	0.996505	0.00019836400000000003	1	GNPS-NIST14-MATCHES	Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein	199.06		148.71	7	COC1=CC(C(O)=O)=CC(OC)=C1O	1	199.06	specs_ms.pklbin	CCMSLIB00003139277	10483	UPDATE-SINGLE-ANNOTATED-BRONZE	Trihydroxybenzoic Acid[Chemical Family]	specs_ms.pklbin	JMSVCTWVEWCHDZ-UHFFFAOYSA-N	None
13	4571	C16316	map00592	M+Na	87984825	1	13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin4571	InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h3,7,9,11-12,15,17,19H,2,4-6,8,10,13-14,16H2,1H3,(H,20,21)/b9-7-,11-3-,15-12+/t17-/m0/s1		HCD	Positive	ESI	317.209	lib-00026.mgf	Bronze	3	0.9457190000000001	141708.0	44.9509	1	NIST17	NIST	317.209		147.71	5	CCC=CCC(C=CC=CCCCCCCCC(=O)O)O	1	272.258	specs_ms.pklbin	CCMSLIB00003247954	54185	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	KLLGGGQNRTVBSU-FQSPHKRJSA-N	None
14	2747	D02897	map07234	M-H	15180026	1	Amfonelic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin2747	InChI=1S/C18H16N2O3/c1-2-20-11-15(18(22)23)16(21)14-9-8-13(19-17(14)20)10-12-6-4-3-5-7-12/h3-9,11H,2,10H2,1H3,(H,22,23)		HCD	Negative	ESI	307.10900000000004	lib-00026.mgf	Bronze	3	0.942732	123993.0	38.0794	1	NIST17	NIST	307.10900000000004		210.4	4	CCN1C=C(C(=O)C2=C1N=C(C=C2)CC3=CC=CC=C3)C(=O)O	1	345.18800000000005	specs_ms.pklbin	CCMSLIB00003263633	76102	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	WHHHJDGNBVQNAU-UHFFFAOYSA-N	None
15	2816	D01400	map07110	M+H	99763	1	Methyl 4-hydroxybenzoate	Isolated	NIST	0.0	spectra/specs_ms.pklbin2816	InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3		HCD	Positive	ESI	153.055	lib-00026.mgf	Bronze	3	0.934529	1.2960399999999999	0.00019836400000000003	1	NIST17	NIST	153.055		183.6	5	COC(=O)C1=CC=C(C=C1)O	1	153.054	specs_ms.pklbin	CCMSLIB00003350709	50620	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	LXCFILQKKLGQFO-UHFFFAOYSA-N	None
16	586	D02716	map07033	M+H-H2O	148553508	1	Pregabalin	Isolated	NIST	0.0	spectra/specs_ms.pklbin586	InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1		IT-FT/ion trap with FTMS	Positive	ESI	142.123	lib-00026.mgf	Bronze	3	0.933457	133648.0	18.9944	1	NIST17	NIST	142.123		172.13	5	CC(C)CC(CC(=O)O)CN	1	161.11700000000002	specs_ms.pklbin	CCMSLIB00003352699	9943	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	AYXYPKUFHZROOJ-ZETCQYMHSA-N	None
17	463	C16649	map00982	M-H	60113828	1	4-Hydroxyvalproic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin463	InChI=1S/C8H16O3/c1-3-4-7(8(10)11)5-6(2)9/h6-7,9H,3-5H2,1-2H3,(H,10,11)		HCD	Negative	ESI	159.10299999999998	lib-00026.mgf	Bronze	3	0.9312819999999999	25117.1	3.9962	1	NIST17	NIST	159.10299999999998		220.33	5	CCCC(CC(C)O)C(=O)O	1	155.107	specs_ms.pklbin	CCMSLIB00003597877	23885	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	OASKNPCLIHUTTL-UHFFFAOYSA-N	None
18	4941	D00282	map07026	M+H-C3H4N2	23593751	1	Clotrimazole	Isolated	NIST	0.0	spectra/specs_ms.pklbin4941	InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H		HCD	Positive	ESI	277.078	lib-00026.mgf	Bronze	3	0.9151100000000001	1.76225	0.00048828099999999997	1	NIST17	NIST	277.078		256.75	6	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	1	277.078	specs_ms.pklbin	CCMSLIB00003715986	65244	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	VNFPBHJOKIVQEB-UHFFFAOYSA-N	None
19	906	C02666	map00940	M+H	458366	1	Coniferyl aldehyde	Isolated	NIST	0.0	spectra/specs_ms.pklbin906	InChI=1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-7,12H,1H3/b3-2+		Q-TOF	Positive	ESI	179.07	lib-00026.mgf	Bronze	3	0.914142	2.21549	0.000396729	1	NIST17	NIST	179.07		188.65	4	COC1=C(C=CC(=C1)C=CC=O)O	1	179.07	specs_ms.pklbin	CCMSLIB00003193904	1831	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	DKZBBWMURDFHNE-NSCUHMNNSA-N	None
23	859	C16317	map00592	M+H-C2H4O2	62653854	1	(.+/-.)7-epi-Jasmonic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin859	InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1		IT-FT/ion trap with FTMS	Positive	ESI	151.112	lib-00026.mgf	Bronze	3	0.9077459999999999	278249.0	42.0467	1	NIST17	NIST	151.112		241.91	5	CCC=CCC1C(CCC1=O)CC(=O)O	1	193.158	specs_ms.pklbin	CCMSLIB00003410288	6680	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	ZNJFBWYDHIGLCU-QKMQQOOLSA-N	None
26	2304	C16522	map01040	M+H-H2O	17046592	1	11,14,17-Eicosatrienoic acid, (Z,Z,Z)-	Isolated	NIST	0.0	spectra/specs_ms.pklbin2304	InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10H,2,5,8,11-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-		IT-FT/ion trap with FTMS	Positive	ESI	289.253	lib-00026.mgf	Bronze	3	0.8959	179882.0	52.0313	1	NIST17	NIST	289.253		432.61	8	CCC=CCC=CCC=CCCCCCCCCCC(=O)O	1	237.22099999999998	specs_ms.pklbin	CCMSLIB00003421520	22808	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	AHANXAKGNAKFSK-PDBXOOCHSA-N	None
27	1052	C05376	map00943	M+H	5928267	1	Sissotrin	Isolated	NIST	0.0	spectra/specs_ms.pklbin1052	InChI=1S/C22H22O10/c1-29-11-4-2-10(3-5-11)13-9-30-15-7-12(6-14(24)17(15)18(13)25)31-22-21(28)20(27)19(26)16(8-23)32-22/h2-7,9,16,19-24,26-28H,8H2,1H3/t16-,19-,20+,21-,22-/m1/s1		Q-TOF	Positive	ESI	447.129	lib-00026.mgf	Bronze	3	0.8932709999999999	53837.7	24.0724	1	NIST17	NIST	447.129		248.61	4	COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O	1	471.20099999999996	specs_ms.pklbin	CCMSLIB00003236161	63499	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	LFEUICHQZGNOHD-RECXWPGBSA-N	None
28	1465	C08491	map00592	M+H	77026927	1	Jasmonic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin1465	InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1		IT-FT/ion trap with FTMS	Positive	ESI	211.13299999999998	lib-00026.mgf	Bronze	3	0.893107	180056.0	38.0158	1	NIST17	NIST	211.13299999999998		215.61	5	CCC=CCC1C(CCC1=O)CC(=O)O	1	173.11700000000002	specs_ms.pklbin	CCMSLIB00003482468	3375	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	ZNJFBWYDHIGLCU-HWKXXFMVSA-N	None
34	1361	D08288	map07027	M+H-CH5N	72695	1	Nortriptyline	Isolated	NIST	0.0	spectra/specs_ms.pklbin1361	InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3		HCD	Positive	ESI	233.13299999999998	lib-00026.mgf	Bronze	3	0.889883	0.0	0.0	1	NIST17	NIST	233.13299999999998		250.8	7	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	1	233.13299999999998	specs_ms.pklbin	CCMSLIB00003362402	3648	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	PHVGLTMQBUFIQQ-UHFFFAOYSA-N	None
37	4454	C18206	map02020	M+H-H2O	677354233	1	cis-.DELTA.2-11-Methyldodecenoic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin4454	InChI=1S/C13H24O2/c1-12(2)10-8-6-4-3-5-7-9-11-13(14)15/h9,11-12H,3-8,10H2,1-2H3,(H,14,15)/b11-9-		IT-FT/ion trap with FTMS	Positive	ESI	195.174	lib-00026.mgf	Bronze	3	0.886015	71811.2	14.0157	1	NIST17	NIST	195.174		393.32	6	CC(C)CCCCCCCC=CC(=O)O	1	209.19	specs_ms.pklbin	CCMSLIB00003594174	10808	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	SNTXNGAQYNSTHI-LUAWRHEFSA-N	None
39	5627	C16577	map00982	342.1	20736112	1	Codeine-6-.beta.-D-glucuronide	Isolated	NIST	0.0	spectra/specs_ms.pklbin5627	InChI=1S/C24H29NO9/c1-25-8-7-24-11-4-6-14(32-23-18(28)16(26)17(27)20(34-23)22(29)30)21(24)33-19-13(31-2)5-3-10(15(19)24)9-12(11)25/h3-6,11-12,14,16-18,20-21,23,26-28H,7-9H2,1-2H3,(H,29,30)/t11-,12+,14-,16-,17-,18+,20-,21-,23+,24-/m0/s1		IT/ion trap	Positive	ESI	342.1	lib-00026.mgf	Bronze	3	0.871785	234058.0	80.0712	1	NIST17	NIST	342.1		154.25	4	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)OC6C(C(C(C(O6)C(=O)O)O)O)O	1	422.171	specs_ms.pklbin	CCMSLIB00003487933	87766	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	CRWVOYRJXPDBPM-HSCJLHHPSA-N	None
40	3119	C03917	map00140	M+H-H2O	521186	1	5.alpha.-Androstan-17.beta.-ol-3-one	Isolated	NIST	0.0	spectra/specs_ms.pklbin3119	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1		HCD	Positive	ESI	273.221	lib-00026.mgf	Bronze	3	0.862713	95221.0	26.0164	1	NIST17	NIST	273.221		357.48	9	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	1	247.205	specs_ms.pklbin	CCMSLIB00003394307	2688	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	NVKAWKQGWWIWPM-ABEVXSGRSA-N	None
43	3247	C14766	map00591	M+H	54232596	1	Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.pklbin3247	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b8-6-,14-11+		qTof	Positive	LC-ESI	295.226	lib-00025.mgf	Bronze	3	0.856067	0.9303319999999999	0.000274658	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	295.226		203.19	10	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	1	295.226	specs_ms.pklbin	CCMSLIB00003136345	14782	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	LUZSWWYKKLTDHU-ZJHFMPGASA-N	None
44	1735	C10509	map00943	M+H	486624	1	Ononin	Isolated	NIST	0.0	spectra/specs_ms.pklbin1735	InChI=1S/C22H22O9/c1-28-12-4-2-11(3-5-12)15-10-29-16-8-13(6-7-14(16)18(15)24)30-22-21(27)20(26)19(25)17(9-23)31-22/h2-8,10,17,19-23,25-27H,9H2,1H3/t17-,19-,20+,21-,22-/m1/s1		Q-TOF	Positive	ESI	431.134	lib-00026.mgf	Bronze	3	0.8521989999999999	130036.0	56.0627	1	NIST17	NIST	431.134		249.69	4	COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O	1	487.19599999999997	specs_ms.pklbin	CCMSLIB00003236751	73112	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	MGJLSBDCWOSMHL-MIUGBVLSSA-N	None
45	2238	D01230	map07032	M+H	1622624	1	Flunitrazepam	Isolated	NIST	0.0	spectra/specs_ms.pklbin2238	InChI=1S/C16H12FN3O3/c1-19-14-7-6-10(20(22)23)8-12(14)16(18-9-15(19)21)11-4-2-3-5-13(11)17/h2-8H,9H2,1H3		IT/ion trap	Positive	ESI	314.094	lib-00026.mgf	Bronze	3	0.8401540000000001	144.47799999999998	0.0453796	1	NIST17	NIST	314.094		311.21	4	CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F	1	314.139	specs_ms.pklbin	CCMSLIB00003179315	809082	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	PPTYJKAXVCCBDU-UHFFFAOYSA-N	None
