source	experimentName	confidence	inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
1807_Psoriasis_SIRIUS_v2	1004	0.0	SBSKZXOUCHIBBW	InChI=1S/C18H38O7S/c1-2-3-4-5-6-7-8-9-10-11-12-22-13-14-23-15-16-24-17-18-25-26(19,20)21/h2-18H2,1H3,(H,19,20,21)	C18H38O7S	1	-75.83410607283774	2-[2-(2-dodecoxyethoxy)ethoxy]ethyl hydrogen sulfate	CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)O		25745	""
1807_Psoriasis_SIRIUS_v2	1002	0.0	SPVDRNDQCLBYFB	InChI=1S/C15H22O6/c1-7-3-8(17)14(5-16)9(4-7)21-12-10(18)11(19)13(14,2)15(12)6-20-15/h4,8-12,16-19H,3,5-6H2,1-2H3	C15H22O6	1	-148.48193185785547	""	CC1=CC2C(CO)(C(C1)O)C3(C)C(C(C(C43CO4)O2)O)O		9882725	""
1807_Psoriasis_SIRIUS_v2	1016	0.0	CZHFZTRTFBFMEM	InChI=1S/C20H37NO8/c1-18(22)8-10-26-12-14-28-16-17-29-15-13-27-11-9-21-19(23)6-4-2-3-5-7-20(24)25/h2-17H2,1H3,(H,21,23)(H,24,25)	C20H37NO8	1	-203.76657091579634	""	CC(=O)CCOCCOCCOCCOCCN=C(CCCCCCC(=O)O)O		117646006	""
1807_Psoriasis_SIRIUS_v2	1009	0.0	OLMKEHXYYCVZGS	InChI=1S/C37H76O13/c1-3-5-7-8-10-12-37(11-9-6-4-2)50-36-35-49-34-33-48-32-31-47-30-29-46-28-27-45-26-25-44-24-23-43-22-21-42-20-19-41-18-17-40-16-15-39-14-13-38/h37-38H,3-36H2,1-2H3	C37H76O13	1	-118.21294080254445	""	CCCCCCCC(CCCCC)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO		87268686	""
1807_Psoriasis_SIRIUS_v2	1014	0.0	LSZAGSGEYSKFSI	InChI=1S/C28H42N6O10/c1-14(2)10-18(32-27(42)23(15(3)36)34-26(41)21(13-35)30-16(4)37)24(39)31-19(12-22(29)38)25(40)33-20(28(43)44)11-17-8-6-5-7-9-17/h5-9,14-15,18-21,23,35-36H,10-13H2,1-4H3,(H2,29,38)(H,30,37)(H,31,39)(H,32,42)(H,33,40)(H,34,41)(H,43,44)	C28H42N6O10	1	-302.79781328102496	""	CC(C)CC(C(=NC(CC(=N)O)C(=NC(CC1=CC=CC=C1)C(=O)O)O)O)N=C(C(C(C)O)N=C(C(CO)N=C(C)O)O)O		44378010	""
1807_Psoriasis_SIRIUS_v2	1025	0.0	GRNSEWZNCIATIU	InChI=1S/C16H32N6O/c1-3-5-10-17-14-20-15(18-11-6-4-2)22-16(21-14)19-12-8-7-9-13-23/h23H,3-13H2,1-2H3,(H3,17,18,19,20,21,22)	C16H32N6O	1	-210.01543936508102	5-[[4,6-bis(butylamino)-1,3,5-triazin-2-yl]amino]pentan-1-ol	CCCCN=C1NC(=NCCCC)NC(=NCCCCCO)N1		59235519	""
1807_Psoriasis_SIRIUS_v2	1003	0.0	OEKUAXXHCCCDMW	InChI=1S/C14H31NO6/c1-16-5-6-18-9-10-20-13-14-21-12-11-19-8-7-17-4-2-3-15/h2-15H2,1H3	C14H31NO6	1	-147.04418871254632	3-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]propan-1-amine	COCCOCCOCCOCCOCCOCCCN		20067991	""
1807_Psoriasis_SIRIUS_v2	1006	0.0	
1807_Psoriasis_SIRIUS_v2	1000	0.0	
1807_Psoriasis_SIRIUS_v2	1013	0.0	QCQYBSPWZVQVSM	InChI=1S/C19H33N4O8P/c1-5-18(4,31-32(28,29)19(27,6-2)7-3)8-9-30-17(13(25)10-24)23-12-22-14-15(23)20-11-21-16(14)26/h11-13,17,24-25,27H,5-10H2,1-4H3,(H,28,29)(H,20,21,26)	C19H33N4O8P	1	-282.09327756565466	""	CCC(C)(CCOC(C(CO)O)N1C=NC2=C(N=CN=C21)O)OP(=O)(C(CC)(CC)O)O		117935603	""
1807_Psoriasis_SIRIUS_v2	1008	0.0	OOMZWSJYLXKLKK	InChI=1S/C32H62N6O7/c1-24(2)23-25(33)26(39)34-13-12-14-35-15-17-36(27(40)43-30(3,4)5)19-21-38(29(42)45-32(9,10)11)22-20-37(18-16-35)28(41)44-31(6,7)8/h24-25H,12-23,33H2,1-11H3,(H,34,39)	C32H62N6O7	1	-308.22263799430215	""	CC(C)CC(C(=NCCCN1CCN(CCN(CCN(CC1)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)O)N		68613101	""
1807_Psoriasis_SIRIUS_v2	1018	0.0	FWUKZSAPKCYBPA	InChI=1S/C25H46N2O10/c1-6-13-8-7-12(2)22(33-13)36-21-15(27-24(32)37-25(3,4)5)9-14(26)20(19(21)31)35-23-17(30)10-16(29)18(11-28)34-23/h12-23,28-31H,6-11,26H2,1-5H3,(H,27,32)	C25H46N2O10	1	-287.1111055604857	""	CCC1CCC(C)C(O1)OC2C(CC(C(C2O)OC3C(CC(C(CO)O3)O)O)N)N=C(O)OC(C)(C)C		91174254	""
1807_Psoriasis_SIRIUS_v2	1020	0.0	YSNAVWLKYHDQOE	InChI=1S/C13H24N6O3/c1-4-5-9(10(21)22)16-13-18-11(14-6-7-20)17-12(19-13)15-8(2)3/h8-9,20H,4-7H2,1-3H3,(H,21,22)(H3,14,15,16,17,18,19)	C13H24N6O3	1	-194.94832718459023	""	CCCC(C(=O)O)N=C1NC(=NCCO)NC(=NC(C)C)N1		122060523	""
1807_Psoriasis_SIRIUS_v2	1019	0.0	POXATXOOPIJVHS	InChI=1S/C20H38O3/c1-2-3-4-15-18-23-19-16-13-11-9-7-5-6-8-10-12-14-17-20(21)22/h8,10H,2-7,9,11-19H2,1H3,(H,21,22)	C20H38O3	1	-74.90799080167012	""	CCCCCCOCCCCCCCCC=CCCCC(=O)O		24988468;74380650;87507210	""
1807_Psoriasis_SIRIUS_v2	1021	0.0	
1807_Psoriasis_SIRIUS_v2	1012	0.0	
1807_Psoriasis_SIRIUS_v2	1024	0.0	OKGZPXYIHGLPAJ	InChI=1S/C21H40N6O4/c1-13(2)10-17(25-15(5)29)20(31)27(6)18(11-14(3)4)19(30)26-16(12-28)8-7-9-24-21(22)23/h12-14,16-18H,7-11H2,1-6H3,(H,25,29)(H,26,30)(H4,22,23,24)	C21H40N6O4	1	-215.29789457019086	""	CC(C)CC(C(=O)N(C)C(CC(C)C)C(=NC(CCCNC(=N)N)C=O)O)N=C(C)O			""
1807_Psoriasis_SIRIUS_v2	1011	0.0	CAZFPGBBCULAIM	InChI=1S/C29H55N5O4/c1-5-6-7-8-9-10-11-12-13-16-22-19-25(35)31-21-26(36)33-23(17-14-15-18-30)27(37)34-24(28(38)32-22)20-29(2,3)4/h22-24H,5-21,30H2,1-4H3,(H,31,35)(H,32,38)(H,33,36)(H,34,37)	C29H55N5O4	1	-263.8322552673455	""	CCCCCCCCCCCC1CC(=NCC(=NC(CCCCN)C(=NC(CC(C)(C)C)C(=N1)O)O)O)O		10555143	""
