id	SiriusMF	SiriusScore	connectedCompounds	ZodiacMF	ZodiacScore	2	3	4	5	6	7	8	9	10
3640	C15H37BN8O3S	0.684272644	5	C15H37BN8O3S	0.660560561	C18H33BN8O3	0.285085085	C17H39BN5O4S	0.034034034	C16H38BN6O4P	0.019019019	C14H35BN9O5	7.01E-04	C18H41BN4O2S2
3638	C28H52N6O7	0.978459887	5	C28H52N6O7	0.976276276	C32H56O9	0.005805806	C29H48N10O3	0.004704705	C21H52N12O5S	0.004504505	C27H50N10O3	0.003203203	C30H54N3O8
2304	C16H28O	1	84	C16H28O	1									
2303	C8H12O	1	134	C8H12O	1									
2302	C28H67N13O5	0.728199613	9	C28H67N13O5	0.733733734	C35H75N3O6S	0.213513514	C37H71N5O5	0.023823824	C32H71N7O7	0.015315315	C30H69N10O6	0.006006006	C37H72N5O3P
2301	C18H28N6O6	0.999771634	6	C18H28N6O6	0.9998999	C16H33N4O7P	1.00E-04							
2300	C16H28O2	0.999999998	77	C16H28O2	1									
3630	C24H48O4	0.807665597	6	C24H48O4	0.973373373	C25H44N4	0.026326326	C22H46N3O3	2.00E-04	C20H44N6O2	1.00E-04			
3631	C40H69N9O6S2	0.474872053	3	C40H69N9O6S2	0.455255255	C46H69N5O5S2	0.255055055	C36H70ClN11O5S2	0.07967968	not_explainable	0.047947948	C38H74N7O7PS2	0.026526527	C40H78BrN5O4S2
3632	C16H30N6O9	0.569443807	5	C16H30N6O9	0.574474474	C12H26N12O7	0.388088088	C14H28N9O8	0.013513514	C17H26N10O5	0.011211211	C13H22N16O3	0.004004004	C15H31N8O6P
3633	C30H64N12O8	0.991522747	5	C30H64N12O8	0.992392392	C32H66N9O9	0.006106106	C31H70N5O13	7.01E-04	C31H60N16O4	4.00E-04	C29H68N8O12	4.00E-04	
3634	C30H63N9O8	0.837055201	28	C30H63N9O8	0.324824825	C31H65N8O8	0.224924925	C25H66N12O7P	0.211411411	C32H65N6O9	0.150650651	C35H63N7O6	0.053053053	C25H65N12O9
